# Small-Angle Scattering Data
# Converted from HDF5 format
#
# Column 1: Q (Å⁻¹)
# Column 2: Intensity (cm⁻¹)
# Column 3: Error (cm⁻¹)
#
#              Q       Intensity           Error
   1.000000e-03    1.000003e+10    3.000009e+08
   1.047452e-03    8.307389e+09    2.492217e+08
   1.097156e-03    6.901250e+09    2.070375e+08
   1.149219e-03    5.733119e+09    1.719936e+08
   1.203752e-03    4.762711e+09    1.428813e+08
   1.260872e-03    3.956557e+09    1.186967e+08
   1.320704e-03    3.286857e+09    9.860570e+07
   1.383374e-03    2.730512e+09    8.191536e+07
   1.449018e-03    2.268336e+09    6.805009e+07
   1.517777e-03    1.884390e+09    5.653170e+07
   1.589799e-03    1.565432e+09    4.696297e+07
   1.665239e-03    1.300462e+09    3.901387e+07
   1.744258e-03    1.080342e+09    3.241026e+07
   1.827027e-03    8.974804e+08    2.692441e+07
   1.913724e-03    7.455705e+08    2.236711e+07
   2.004534e-03    6.193734e+08    1.858120e+07
   2.099654e-03    5.145369e+08    1.543611e+07
   2.199287e-03    4.274454e+08    1.282336e+07
   2.303648e-03    3.550953e+08    1.065286e+07
   2.412961e-03    2.949914e+08    8.849743e+06
   2.527462e-03    2.450610e+08    7.351829e+06
   2.647395e-03    2.035819e+08    6.107458e+06
   2.773020e-03    1.691238e+08    5.073713e+06
   2.904606e-03    1.404981e+08    4.214943e+06
   3.042436e-03    1.167177e+08    3.501531e+06
   3.186807e-03    9.696244e+07    2.908873e+06
   3.338028e-03    8.055102e+07    2.416531e+06
   3.496425e-03    6.691744e+07    2.007523e+06
   3.662338e-03    5.559151e+07    1.667745e+06
   3.836124e-03    4.618263e+07    1.385479e+06
   4.018156e-03    3.836631e+07    1.150989e+06
   4.208827e-03    3.187299e+07    9.561898e+05
   4.408545e-03    2.647874e+07    7.943621e+05
   4.617741e-03    2.199751e+07    6.599252e+05
   4.836863e-03    1.827476e+07    5.482428e+05
   5.066383e-03    1.518211e+07    4.554634e+05
   5.306794e-03    1.261291e+07    3.783874e+05
   5.558613e-03    1.047856e+07    3.143567e+05
   5.822382e-03    8.705442e+06    2.611633e+05
   6.098667e-03    7.232419e+06    2.169726e+05
   6.388062e-03    6.008695e+06    1.802608e+05
   6.691190e-03    4.992070e+06    1.497621e+05
   7.008702e-03    4.147491e+06    1.244247e+05
   7.341280e-03    3.445835e+06    1.033750e+05
   7.689641e-03    2.862911e+06    8.588733e+04
   8.054531e-03    2.378622e+06    7.135867e+04
   8.436737e-03    1.976274e+06    5.928822e+04
   8.837079e-03    1.641997e+06    4.925991e+04
   9.256418e-03    1.364271e+06    4.092814e+04
   9.695656e-03    1.133526e+06    3.400577e+04
   1.015574e-02    9.418106e+05    2.825432e+04
   1.063765e-02    7.825216e+05    2.347565e+04
   1.114243e-02    6.501727e+05    1.950518e+04
