# Small-Angle Scattering Data
# Converted from HDF5 format
#
# Column 1: Q (Å⁻¹)
# Column 2: Intensity (cm⁻¹)
# Column 3: Error (cm⁻¹)
#
#              Q       Intensity           Error
   1.000000e-03    3.162778e+06    1.581389e+05
   1.047452e-03    2.816706e+06    1.408353e+05
   1.097156e-03    2.508508e+06    1.254254e+05
   1.149219e-03    2.234038e+06    1.117019e+05
   1.203752e-03    1.989605e+06    9.948025e+04
   1.260872e-03    1.771922e+06    8.859612e+04
   1.320704e-03    1.578062e+06    7.890312e+04
   1.383374e-03    1.405418e+06    7.027090e+04
   1.449018e-03    1.251667e+06    6.258337e+04
   1.517777e-03    1.114743e+06    5.573714e+04
   1.589799e-03    9.928028e+05    4.964014e+04
   1.665239e-03    8.842077e+05    4.421038e+04
   1.744258e-03    7.874969e+05    3.937485e+04
   1.827027e-03    7.013700e+05    3.506850e+04
   1.913724e-03    6.246685e+05    3.123343e+04
   2.004534e-03    5.563610e+05    2.781805e+04
   2.099654e-03    4.955290e+05    2.477645e+04
   2.199287e-03    4.413542e+05    2.206771e+04
   2.303648e-03    3.931082e+05    1.965541e+04
   2.412961e-03    3.501421e+05    1.750710e+04
   2.527462e-03    3.118781e+05    1.559390e+04
   2.647395e-03    2.778016e+05    1.389008e+04
   2.773020e-03    2.474543e+05    1.237271e+04
   2.904606e-03    2.204281e+05    1.102141e+04
   3.042436e-03    1.963596e+05    9.817982e+03
   3.186807e-03    1.749251e+05    8.746257e+03
   3.338028e-03    1.558364e+05    7.791818e+03
   3.496425e-03    1.388366e+05    6.941830e+03
   3.662338e-03    1.236972e+05    6.184861e+03
   3.836124e-03    1.102146e+05    5.510732e+03
   4.018156e-03    9.820756e+04    4.910378e+03
   4.208827e-03    8.751447e+04    4.375723e+03
   4.408545e-03    7.799159e+04    3.899579e+03
   4.617741e-03    6.951084e+04    3.475542e+03
   4.836863e-03    6.195818e+04    3.097909e+03
   5.066383e-03    5.523203e+04    2.761602e+03
   5.306794e-03    4.924195e+04    2.462097e+03
   5.558613e-03    4.390737e+04    2.195368e+03
