# Small-Angle Scattering Data
# Converted from HDF5 format
#
# Column 1: Q (Å⁻¹)
# Column 2: Intensity (cm⁻¹)
# Column 3: Error (cm⁻¹)
#
#              Q       Intensity           Error
   1.000000e-03    1.000100e+10    5.000501e+08
   1.047452e-03    8.308233e+09    4.154117e+08
   1.097156e-03    6.901984e+09    3.450992e+08
   1.149219e-03    5.733758e+09    2.866879e+08
   1.203752e-03    4.763266e+09    2.381633e+08
   1.260872e-03    3.957040e+09    1.978520e+08
   1.320704e-03    3.287276e+09    1.643638e+08
   1.383374e-03    2.730876e+09    1.365438e+08
   1.449018e-03    2.268653e+09    1.134326e+08
   1.517777e-03    1.884665e+09    9.423325e+07
   1.589799e-03    1.565671e+09    7.828355e+07
   1.665239e-03    1.300670e+09    6.503348e+07
   1.744258e-03    1.080522e+09    5.402610e+07
   1.827027e-03    8.976364e+08    4.488182e+07
   1.913724e-03    7.457058e+08    3.728529e+07
   2.004534e-03    6.194907e+08    3.097453e+07
   2.099654e-03    5.146385e+08    2.573193e+07
   2.199287e-03    4.275334e+08    2.137667e+07
   2.303648e-03    3.551715e+08    1.775857e+07
   2.412961e-03    2.950573e+08    1.475287e+07
   2.527462e-03    2.451179e+08    1.225590e+07
   2.647395e-03    2.036311e+08    1.018155e+07
   2.773020e-03    1.691661e+08    8.458307e+06
   2.904606e-03    1.405346e+08    7.026730e+06
   3.042436e-03    1.167491e+08    5.837455e+06
   3.186807e-03    9.698941e+07    4.849470e+06
   3.338028e-03    8.057414e+07    4.028707e+06
   3.496425e-03    6.693722e+07    3.346861e+06
   3.662338e-03    5.560840e+07    2.780420e+06
   3.836124e-03    4.619701e+07    2.309851e+06
   4.018156e-03    3.837852e+07    1.918926e+06
   4.208827e-03    3.188333e+07    1.594166e+06
   4.408545e-03    2.648745e+07    1.324373e+06
   4.617741e-03    2.200483e+07    1.100241e+06
   4.836863e-03    1.828089e+07    9.140443e+05
   5.066383e-03    1.518721e+07    7.593606e+05
   5.306794e-03    1.261713e+07    6.308567e+05
   5.558613e-03    1.048203e+07    5.241015e+05
   5.822382e-03    8.708281e+06    4.354141e+05
   6.098667e-03    7.234725e+06    3.617362e+05
   6.388062e-03    6.010553e+06    3.005277e+05
   6.691190e-03    4.993558e+06    2.496779e+05
   7.008702e-03    4.148673e+06    2.074337e+05
   7.341280e-03    3.446770e+06    1.723385e+05
   7.689641e-03    2.863647e+06    1.431824e+05
   8.054531e-03    2.379202e+06    1.189601e+05
   8.436737e-03    1.976732e+06    9.883661e+04
   8.837079e-03    1.642365e+06    8.211823e+04
   9.256418e-03    1.364572e+06    6.822861e+04
   9.695656e-03    1.133780e+06    5.668902e+04
   1.015574e-02    9.420341e+05    4.710170e+04
   1.063765e-02    7.827255e+05    3.913627e+04
   1.114243e-02    6.503649e+05    3.251824e+04
   1.167116e-02    5.403920e+05    2.701960e+04
   1.222498e-02    4.490184e+05    2.245092e+04
   1.280509e-02    3.730971e+05    1.865486e+04
   1.341272e-02    3.100138e+05    1.550069e+04
   1.404918e-02    2.575966e+05    1.287983e+04
   1.471585e-02    2.140416e+05    1.070208e+04
   1.541415e-02    1.778502e+05    8.892508e+03
   1.614558e-02    1.477772e+05    7.388862e+03
   1.691173e-02    1.227886e+05    6.139430e+03
   1.771422e-02    1.020250e+05    5.101251e+03
   1.855480e-02    8.477260e+04    4.238630e+03
   1.943527e-02    7.043813e+04    3.521906e+03
   2.035752e-02    5.852866e+04    2.926433e+03
   2.132353e-02    4.863449e+04    2.431725e+03
   2.233538e-02    4.041509e+04    2.020754e+03
   2.339524e-02    3.358734e+04    1.679367e+03
   2.450540e-02    2.791589e+04    1.395795e+03
   2.566823e-02    2.320509e+04    1.160254e+03
   2.688625e-02    1.929226e+04    9.646131e+02
   2.816206e-02    1.604222e+04    8.021110e+02
   2.949841e-02    1.334262e+04    6.671308e+02
   3.089818e-02    1.110012e+04    5.550058e+02
   3.236437e-02    9.237201e+03    4.618600e+02
   3.390013e-02    7.689503e+03    3.844751e+02
   3.550877e-02    6.403581e+03    3.201790e+02
   3.719374e-02    5.335068e+03    2.667534e+02
   3.895866e-02    4.447126e+03    2.223563e+02
   4.080734e-02    3.709169e+03    1.854585e+02
   4.274374e-02    3.095793e+03    1.547897e+02
   4.477202e-02    2.585898e+03    1.292949e+02
   4.689655e-02    2.161956e+03    1.080978e+02
   4.912190e-02    1.809403e+03    9.047014e+01
   5.145285e-02    1.516141e+03    7.580703e+01
   5.389440e-02    1.272115e+03    6.360577e+01
   5.645181e-02    1.068974e+03    5.344872e+01
   5.913057e-02    8.997771e+02    4.498885e+01
   6.193645e-02    7.587564e+02    3.793782e+01
   6.487547e-02    6.411210e+02    3.205605e+01
   6.795396e-02    5.428902e+02    2.714451e+01
   7.117853e-02    4.607572e+02    2.303786e+01
   7.455611e-02    3.919756e+02    1.959878e+01
   7.809396e-02    3.342648e+02    1.671324e+01
   8.179969e-02    2.857324e+02    1.428662e+01
   8.568127e-02    2.448084e+02    1.224042e+01
   8.974704e-02    2.101920e+02    1.050960e+01
   9.400574e-02    1.808062e+02    9.040311e+00
   9.846652e-02    1.557612e+02    7.788060e+00
   1.031390e-01    1.343230e+02    6.716151e+00
   1.080332e-01    1.158881e+02    5.794403e+00
   1.131596e-01    9.996147e+01    4.998074e+00
   1.185292e-01    8.613928e+01    4.306964e+00
   1.241537e-01    7.409316e+01    3.704658e+00
   1.300451e-01    6.355765e+01    3.177882e+00
   1.362160e-01    5.431917e+01    2.715958e+00
   1.426798e-01    4.620656e+01    2.310328e+00
   1.494502e-01    3.908287e+01    1.954143e+00
   1.565420e-01    3.283812e+01    1.641906e+00
   1.639703e-01    2.738305e+01    1.369152e+00
   1.717510e-01    2.264354e+01    1.132177e+00
   1.799010e-01    1.855597e+01    9.277984e-01
   1.884377e-01    1.506324e+01    7.531619e-01
   1.973795e-01    1.211176e+01    6.055880e-01
   2.067456e-01    9.649259e+00    4.824630e-01
   2.165561e-01    7.623514e+00    3.811757e-01
   2.268322e-01    5.981964e+00    2.990982e-01
   2.375959e-01    4.672089e+00    2.336045e-01
   2.488703e-01    3.642402e+00    1.821201e-01
   2.606798e-01    2.843797e+00    1.421898e-01
   2.730496e-01    2.230997e+00    1.115499e-01
   2.860065e-01    1.763824e+00    8.819119e-02
   2.995781e-01    1.408061e+00    7.040307e-02
   3.137938e-01    1.135804e+00    5.679019e-02
   3.286840e-01    9.252533e-01    4.626267e-02
   3.442808e-01    7.600709e-01    3.800354e-02
   3.606177e-01    6.284390e-01    3.142195e-02
   3.777298e-01    5.220261e-01    2.610130e-02
   3.956539e-01    4.350153e-01    2.175076e-02
   4.144285e-01    3.633050e-01    1.816525e-02
   4.340941e-01    3.039184e-01    1.519592e-02
   4.546928e-01    2.546085e-01    1.273042e-02
   4.762690e-01    2.136132e-01    1.068066e-02
   4.988691e-01    1.795111e-01    8.975556e-03
   5.225415e-01    1.511360e-01    7.556800e-03
   5.473373e-01    1.275230e-01    6.376149e-03
   5.733097e-01    1.078710e-01    5.393549e-03
   6.005145e-01    9.151415e-02    4.575707e-03
   6.290102e-01    7.789878e-02    3.894939e-03
   6.588582e-01    6.656436e-02    3.328218e-03
   6.901225e-01    5.712789e-02    2.856394e-03
   7.228703e-01    4.927077e-02    2.463539e-03
   7.571721e-01    4.272801e-02    2.136400e-03
   7.931017e-01    3.727915e-02    1.863957e-03
   8.307361e-01    3.274079e-02    1.637040e-03
   8.701564e-01    2.896036e-02    1.448018e-03
   9.114473e-01    2.581089e-02    1.290544e-03
   9.546975e-01    2.318674e-02    1.159337e-03
   1.000000e+00    2.100000e-02    1.050000e-03
