# Small-Angle Scattering Data
# Converted from HDF5 format
#
# Column 1: Q (Å⁻¹)
# Column 2: Intensity (cm⁻¹)
# Column 3: Error (cm⁻¹)
#
#              Q       Intensity           Error
   1.000000e-03    1.000001e+09    5.000005e+07
   1.047452e-03    8.307371e+08    4.153686e+07
   1.097156e-03    6.901235e+08    3.450617e+07
   1.149219e-03    5.733107e+08    2.866553e+07
   1.203752e-03    4.762700e+08    2.381350e+07
   1.260872e-03    3.956549e+08    1.978274e+07
   1.320704e-03    3.286850e+08    1.643425e+07
   1.383374e-03    2.730506e+08    1.365253e+07
   1.449018e-03    2.268332e+08    1.134166e+07
   1.517777e-03    1.884387e+08    9.421935e+06
   1.589799e-03    1.565430e+08    7.827150e+06
   1.665239e-03    1.300461e+08    6.502304e+06
   1.744258e-03    1.080341e+08    5.401707e+06
   1.827027e-03    8.974804e+07    4.487402e+06
   1.913724e-03    7.455710e+07    3.727855e+06
   2.004534e-03    6.193745e+07    3.096872e+06
   2.099654e-03    5.145384e+07    2.572692e+06
   2.199287e-03    4.274473e+07    2.137237e+06
   2.303648e-03    3.550976e+07    1.775488e+06
   2.412961e-03    2.949941e+07    1.474970e+06
   2.527462e-03    2.450639e+07    1.225320e+06
   2.647395e-03    2.035851e+07    1.017926e+06
   2.773020e-03    1.691272e+07    8.456360e+05
   2.904606e-03    1.405017e+07    7.025087e+05
   3.042436e-03    1.167215e+07    5.836077e+05
   3.186807e-03    9.696647e+06    4.848324e+05
   3.338028e-03    8.055522e+06    4.027761e+05
   3.496425e-03    6.692180e+06    3.346090e+05
   3.662338e-03    5.559602e+06    2.779801e+05
   3.836124e-03    4.618728e+06    2.309364e+05
   4.018156e-03    3.837110e+06    1.918555e+05
   4.208827e-03    3.187792e+06    1.593896e+05
   4.408545e-03    2.648379e+06    1.324190e+05
   4.617741e-03    2.200269e+06    1.100135e+05
   4.836863e-03    1.828008e+06    9.140039e+04
   5.066383e-03    1.518756e+06    7.593781e+04
   5.306794e-03    1.261849e+06    6.309246e+04
   5.558613e-03    1.048427e+06    5.242134e+04
   5.822382e-03    8.711285e+05    4.355643e+04
   6.098667e-03    7.238398e+05    3.619199e+04
   6.388062e-03    6.014811e+05    3.007405e+04
   6.691190e-03    4.998325e+05    2.499162e+04
   7.008702e-03    4.153884e+05    2.076942e+04
   7.341280e-03    3.452369e+05    1.726184e+04
   7.689641e-03    2.869584e+05    1.434792e+04
   8.054531e-03    2.385433e+05    1.192716e+04
   8.436737e-03    1.983219e+05    9.916095e+03
   8.837079e-03    1.649073e+05    8.245363e+03
   9.256418e-03    1.371471e+05    6.857356e+03
   9.695656e-03    1.140842e+05    5.704211e+03
   1.015574e-02    9.492339e+04    4.746169e+03
   1.063765e-02    7.900398e+04    3.950199e+03
   1.114243e-02    6.577719e+04    3.288860e+03
   1.167116e-02    5.478710e+04    2.739355e+03
   1.222498e-02    4.565493e+04    2.282747e+03
   1.280509e-02    3.806603e+04    1.903301e+03
   1.341272e-02    3.175897e+04    1.587948e+03
   1.404918e-02    2.651658e+04    1.325829e+03
   1.471585e-02    2.215842e+04    1.107921e+03
   1.541415e-02    1.853461e+04    9.267304e+02
   1.614558e-02    1.552060e+04    7.760299e+02
   1.691173e-02    1.301293e+04    6.506465e+02
   1.771422e-02    1.092565e+04    5.462823e+02
   1.855480e-02    9.187333e+03    4.593667e+02
   1.943527e-02    7.738665e+03    3.869333e+02
   2.035752e-02    6.530359e+03    3.265180e+02
   2.132353e-02    5.521479e+03    2.760740e+02
   2.233538e-02    4.678029e+03    2.339014e+02
