# Small-Angle Scattering Data
# Converted from HDF5 format
#
# Column 1: Q (Å⁻¹)
# Column 2: Intensity (cm⁻¹)
# Column 3: Error (cm⁻¹)
#
#              Q       Intensity           Error
   1.000000e-03    1.581147e+08    7.905734e+06
   1.047452e-03    1.344320e+08    6.721602e+06
   1.097156e-03    1.142966e+08    5.714832e+06
   1.149219e-03    9.717715e+07    4.858858e+06
   1.203752e-03    8.262187e+07    4.131093e+06
   1.260872e-03    7.024670e+07    3.512335e+06
   1.320704e-03    5.972512e+07    2.986256e+06
   1.383374e-03    5.077948e+07    2.538974e+06
   1.449018e-03    4.317374e+07    2.158687e+06
   1.517777e-03    3.670720e+07    1.835360e+06
   1.589799e-03    3.120923e+07    1.560462e+06
   1.665239e-03    2.653477e+07    1.326738e+06
   1.744258e-03    2.256045e+07    1.128023e+06
   1.827027e-03    1.918142e+07    9.590708e+05
   1.913724e-03    1.630850e+07    8.154250e+05
   2.004534e-03    1.386590e+07    6.932948e+05
   2.099654e-03    1.178915e+07    5.894576e+05
   2.199287e-03    1.002347e+07    5.011733e+05
   2.303648e-03    8.522247e+06    4.261124e+05
   2.412961e-03    7.245885e+06    3.622943e+05
   2.527462e-03    6.160699e+06    3.080350e+05
   2.647395e-03    5.238054e+06    2.619027e+05
   2.773020e-03    4.453605e+06    2.226803e+05
   2.904606e-03    3.786653e+06    1.893326e+05
   3.042436e-03    3.219597e+06    1.609799e+05
   3.186807e-03    2.737477e+06    1.368738e+05
   3.338028e-03    2.327569e+06    1.163784e+05
   3.496425e-03    1.979058e+06    9.895289e+04
   3.662338e-03    1.682747e+06    8.413736e+04
   3.836124e-03    1.430818e+06    7.154091e+04
   4.018156e-03    1.216624e+06    6.083118e+04
   4.208827e-03    1.034511e+06    5.172556e+04
   4.408545e-03    8.796755e+05    4.398377e+04
   4.617741e-03    7.480310e+05    3.740155e+04
   4.836863e-03    6.361042e+05    3.180521e+04
   5.066383e-03    5.409415e+05    2.704708e+04
   5.306794e-03    4.600320e+05    2.300160e+04
   5.558613e-03    3.912407e+05    1.956203e+04
   5.822382e-03    3.327525e+05    1.663763e+04
   6.098667e-03    2.830241e+05    1.415121e+04
   6.388062e-03    2.407434e+05    1.203717e+04
   6.691190e-03    2.047948e+05    1.023974e+04
   7.008702e-03    1.742298e+05    8.711492e+03
   7.341280e-03    1.482420e+05    7.412099e+03
   7.689641e-03    1.261456e+05    6.307280e+03
   8.054531e-03    1.073577e+05    5.367887e+03
   8.436737e-03    9.138273e+04    4.569137e+03
   8.837079e-03    7.779917e+04    3.889959e+03
   9.256418e-03    6.624875e+04    3.312438e+03
   9.695656e-03    5.642681e+04    2.821341e+03
   1.015574e-02    4.807434e+04    2.403717e+03
   1.063765e-02    4.097109e+04    2.048554e+03
   1.114243e-02    3.492981e+04    1.746490e+03
   1.167116e-02    2.979128e+04    1.489564e+03
   1.222498e-02    2.542013e+04    1.271007e+03
   1.280509e-02    2.170125e+04    1.085063e+03
   1.341272e-02    1.853677e+04    9.268387e+02
   1.404918e-02    1.584348e+04    7.921738e+02
   1.471585e-02    1.355060e+04    6.775300e+02
   1.541415e-02    1.159799e+04    5.798993e+02
   1.614558e-02    9.934482e+03    4.967241e+02
   1.691173e-02    8.516599e+03    4.258299e+02
   1.771422e-02    7.307367e+03    3.653683e+02
   1.855480e-02    6.275361e+03    3.137680e+02
   1.943527e-02    5.393875e+03    2.696938e+02
   2.035752e-02    4.640220e+03    2.320110e+02
   2.132353e-02    3.995124e+03    1.997562e+02
   2.233538e-02    3.442228e+03    1.721114e+02
   2.339524e-02    2.967655e+03    1.483827e+02
   2.450540e-02    2.559642e+03    1.279821e+02
   2.566823e-02    2.208230e+03    1.104115e+02
   2.688625e-02    1.904998e+03    9.524988e+01
   2.816206e-02    1.642836e+03    8.214179e+01
   2.949841e-02    1.415753e+03    7.078765e+01
   3.089818e-02    1.218711e+03    6.093555e+01
   3.236437e-02    1.047479e+03    5.237397e+01
   3.390013e-02    8.985138e+02    4.492569e+01
   3.550877e-02    7.688465e+02    3.844233e+01
   3.719374e-02    6.559921e+02    3.279961e+01
   3.895866e-02    5.578643e+02    2.789322e+01
   4.080734e-02    4.727026e+02    2.363513e+01
   4.274374e-02    3.990081e+02    1.995041e+01
   4.477202e-02    3.354879e+02    1.677440e+01
   4.689655e-02    2.810080e+02    1.405040e+01
   4.912190e-02    2.345546e+02    1.172773e+01
   5.145285e-02    1.952045e+02    9.760225e+00
   5.389440e-02    1.621039e+02    8.105194e+00
   5.645181e-02    1.344555e+02    6.722774e+00
   5.913057e-02    1.115133e+02    5.575665e+00
   6.193645e-02    9.258321e+01    4.629161e+00
   6.487547e-02    7.702768e+01    3.851384e+00
   6.795396e-02    6.427210e+01    3.213605e+00
   7.117853e-02    5.381066e+01    2.690533e+00
   7.455611e-02    4.520977e+01    2.260489e+00
   7.809396e-02    3.810779e+01    1.905389e+00
   8.179969e-02    3.221090e+01    1.610545e+00
   8.568127e-02    2.728566e+01    1.364283e+00
   8.974704e-02    2.314945e+01    1.157473e+00
   9.400574e-02    1.966027e+01    9.830135e-01
   9.846652e-02    1.670722e+01    8.353610e-01
   1.031390e-01    1.420254e+01    7.101270e-01
   1.080332e-01    1.207547e+01    6.037734e-01
   1.131596e-01    1.026788e+01    5.133941e-01
   1.185292e-01    8.731328e+00    4.365664e-01
   1.241537e-01    7.425004e+00    3.712502e-01
   1.300451e-01    6.314363e+00    3.157182e-01
   1.362160e-01    5.370081e+00    2.685041e-01
   1.426798e-01    4.567236e+00    2.283618e-01
   1.494502e-01    3.884643e+00    1.942322e-01
   1.565420e-01    3.304291e+00    1.652145e-01
   1.639703e-01    2.810865e+00    1.405432e-01
   1.717510e-01    2.391345e+00    1.195673e-01
   1.799010e-01    2.034662e+00    1.017331e-01
   1.884377e-01    1.731404e+00    8.657019e-02
   1.973795e-01    1.473568e+00    7.367841e-02
   2.067456e-01    1.254352e+00    6.271759e-02
   2.165561e-01    1.067970e+00    5.339850e-02
   2.268322e-01    9.095050e-01    4.547525e-02
   2.375959e-01    7.747751e-01    3.873876e-02
   2.488703e-01    6.602255e-01    3.301127e-02
   2.606798e-01    5.628333e-01    2.814166e-02
   2.730496e-01    4.800287e-01    2.400143e-02
   2.860065e-01    4.096268e-01    2.048134e-02
   2.995781e-01    3.497698e-01    1.748849e-02
   3.137938e-01    2.988783e-01    1.494392e-02
   3.286840e-01    2.556095e-01    1.278048e-02
   3.442808e-01    2.188216e-01    1.094108e-02
   3.606177e-01    1.875438e-01    9.377191e-03
   3.777298e-01    1.609509e-01    8.047546e-03
   3.956539e-01    1.383412e-01    6.917058e-03
   4.144285e-01    1.191179e-01    5.955897e-03
   4.340941e-01    1.027740e-01    5.138701e-03
   4.546928e-01    8.887813e-02    4.443906e-03
   4.762690e-01    7.706359e-02    3.853179e-03
   4.988691e-01    6.701866e-02    3.350933e-03
   5.225415e-01    5.847828e-02    2.923914e-03
   5.473373e-01    5.121710e-02    2.560855e-03
   5.733097e-01    4.504351e-02    2.252175e-03
   6.005145e-01    3.979462e-02    1.989731e-03
   6.290102e-01    3.533191e-02    1.766596e-03
   6.588582e-01    3.153764e-02    1.576882e-03
   6.901225e-01    2.831169e-02    1.415584e-03
   7.228703e-01    2.556892e-02    1.278446e-03
   7.571721e-01    2.323698e-02    1.161849e-03
   7.931017e-01    2.125431e-02    1.062716e-03
   8.307361e-01    1.956862e-02    9.784309e-04
   8.701564e-01    1.813541e-02    9.067705e-04
   9.114473e-01    1.691687e-02    8.458435e-04
   9.546975e-01    1.588085e-02    7.940423e-04
   1.000000e+00    1.500000e-02    7.500000e-04
