dataset,quantity,unit,irena_value,status,note
sizes_sphere_lognormal,volume fraction,-,0.00996809,,
sizes_sphere_lognormal,R at distribution peak,A,95.95,,
sizes_sphere_lognormal,volume-weighted mean R,A,103.19,,
sizes_sphere_lognormal,RMS radius (pyIrena 'Rg'),A,106.52,,
sizes_sphere_lognormal,reduced chi^2,-,1.0001,,
sizes_sphere_bimodal,mode 1: R at peak,A,36.9,,
sizes_sphere_bimodal,mode 1: volume fraction,-,0.00400055,,
sizes_sphere_bimodal,mode 2: R at peak,A,245.27,,
sizes_sphere_bimodal,mode 2: volume fraction,-,0.0098972,,
sizes_sphere_bimodal,total volume fraction,-,0.0139006,,
sizes_sphere_bimodal,reduced chi^2,-,1,,
sizes_spheroid_lognormal,volume fraction,-,0.0079583,,
sizes_spheroid_lognormal,R at distribution peak,A,147.5,,
sizes_spheroid_lognormal,RMS radius (pyIrena 'Rg'),A,156.43,,
sizes_spheroid_lognormal,reduced chi^2,-,1,,
unified_one_level,G,1/cm,99.95,,
unified_one_level,Rg,A,199.8,,
unified_one_level,P,-,4.009,,
unified_one_level,B,cm^-1 A^-P,2.95e-7,,
unified_one_level,background,1/cm,0.01006,,
unified_two_level,G_1,1/cm,7.9617,,
unified_two_level,Rg_1,A,119.83,,
unified_two_level,P_1,-,3.9354,,
unified_two_level,B_1,cm^-1 A^-P,2.3206e-7,,
unified_two_level,G_2,1/cm,4001.,,
unified_two_level,Rg_2,A,1202,,
unified_two_level,P_2,-,3.1894,,
unified_two_level,B_2,cm^-1 A^-P,1.4765e-6,,
unified_two_level,background,1/cm,0.02016,,
modeling_sizedist_plus_unified,pop1 mean_size (log-normal median),A,31.34,,
modeling_sizedist_plus_unified,pop1 sdeviation,-,0.322,,
modeling_sizedist_plus_unified,pop1 scale,-,0.004947,,
modeling_sizedist_plus_unified,pop2 G,1/cm,19999.7,,
modeling_sizedist_plus_unified,pop2 Rg,A,4000.4,,
modeling_sizedist_plus_unified,pop2 P,-,3.503,,
modeling_sizedist_plus_unified,pop2 B,cm^-1 A^-P,1.551e-8,,
modeling_sizedist_plus_unified,background,1/cm,0.00998,,
modeling_sizedist_plus_unified,reduced chi^2,-,1.0535,,
modeling_sizedist_plus_peak,pop1 mean_size (log-normal median),A,59.119,,
modeling_sizedist_plus_peak,pop1 sdeviation,-,0.261,,
modeling_sizedist_plus_peak,pop1 scale,-,0.003955,,
modeling_sizedist_plus_peak,pop2 amplitude,1/cm,4.992,,
modeling_sizedist_plus_peak,pop2 position,1/A,0.1494,,
modeling_sizedist_plus_peak,pop2 width (sigma),1/A,0.01413,,
modeling_sizedist_plus_peak,background,1/cm,0.005008,,
modeling_sizedist_plus_peak,reduced chi^2,-,1.131,,
modeling_hardsphere,pop1 mean_size (log-normal median),A,49.222,,
modeling_hardsphere,pop1 sdeviation,-,0.1248,,
modeling_hardsphere,pop1 scale,-,0.19763,,
modeling_hardsphere,hard-sphere radius,A,49.9542,,
modeling_hardsphere,hard-sphere volume fraction,-,0.2497,,
modeling_hardsphere,background,1/cm,0.00936,,
modeling_hardsphere,reduced chi^2,-,1.1246,,
simple_guinier,I0,1/cm,250.77,,
simple_guinier,Rg,A,46.065,,
simple_guinier,reduced chi^2,-,0.88,,
simple_guinier_rod,I0,cm^-1 A^-1,5.0044,,
simple_guinier_rod,Rc,A,25.069,,
simple_guinier_rod,reduced chi^2,-,1.05,,
simple_guinier_sheet,I0,cm^-1 A^-2,0.02002,,
simple_guinier_sheet,Rg,A,15,,
simple_guinier_sheet,reduced chi^2,-,0.99,,
simple_porod,Kp,cm^-1 A^-4,2.5137e-06,,
simple_porod,Background,1/cm,0.049994,,
simple_porod,reduced chi^2,-,1.07,,
simple_power_law,Prefactor,cm^-1 A^-n,0.0012048,,
simple_power_law,Exponent,-,3.1989,,
simple_power_law,Background,1/cm,0.019507,,
simple_power_law,reduced chi^2,-,0.94,,
simple_sphere,Scale,1/cm,7.9986,,
simple_sphere,R,A,119.96,,
simple_sphere,BG_flat,1/cm,0.010049,,
simple_sphere,reduced chi^2,-,1.002,,
waxs_three_gauss,bg0,-,,not comparable,Irena parameterises this differently; see irena_notes.md
waxs_three_gauss,bg1,-,,not comparable,Irena parameterises this differently; see irena_notes.md
waxs_three_gauss,peak1_A,1/cm,99.4159,,
waxs_three_gauss,peak1_Q0,1/A,1.85019,,
waxs_three_gauss,peak1_FWHM,1/A,0.09144,,
waxs_three_gauss,peak2_A,1/cm,59.7985,,
waxs_three_gauss,peak2_Q0,1/A,2.55028,,
waxs_three_gauss,peak2_FWHM,1/A,0.122968,,
waxs_three_gauss,peak3_A,1/cm,34.9566,,
waxs_three_gauss,peak3_Q0,1/A,3.04925,,
waxs_three_gauss,peak3_FWHM,1/A,0.1555942,,
waxs_pseudovoigt,bg0,-,,not comparable,Irena parameterises this differently; see irena_notes.md
waxs_pseudovoigt,bg1,-,,not comparable,Irena parameterises this differently; see irena_notes.md
waxs_pseudovoigt,bg2,-,,not comparable,Irena parameterises this differently; see irena_notes.md
waxs_pseudovoigt,bg3,-,,not comparable,Irena parameterises this differently; see irena_notes.md
waxs_pseudovoigt,peak1_Q0,1/A,2.09957,,
contrast: SiO2 (2.2 g/cm3),formula weight,g/mol,60.08,,
contrast: SiO2 (2.2 g/cm3),X-ray SLD,1e10 cm^-2,18.64,,
contrast: SiO2 (2.2 g/cm3),neutron SLD,1e10 cm^-2,3.474,,
contrast: H2O (1 g/cm3),formula weight,g/mol,18.02,,
contrast: H2O (1 g/cm3),X-ray SLD,1e10 cm^-2,9.42,,
contrast: H2O (1 g/cm3),neutron SLD,1e10 cm^-2,-0.5606,,
contrast: D2O (1.107 g/cm3),formula weight,g/mol,20.03,,
contrast: D2O (1.107 g/cm3),X-ray SLD,1e10 cm^-2,9.38,,
contrast: D2O (1.107 g/cm3),neutron SLD,1e10 cm^-2,6.375,,
contrast: Al2O3 (3.97 g/cm3),formula weight,g/mol,102.0,,
contrast: Al2O3 (3.97 g/cm3),X-ray SLD,1e10 cm^-2,33.04,,
contrast: Al2O3 (3.97 g/cm3),neutron SLD,1e10 cm^-2,5.698,,
contrast: Fe (7.874 g/cm3),formula weight,g/mol,55.85,,
contrast: Fe (7.874 g/cm3),X-ray SLD,1e10 cm^-2,62.21,,
contrast: Fe (7.874 g/cm3),neutron SLD,1e10 cm^-2,8.1,,
