# pyIrena / Irena validation dataset: manipulate_input
# tool          : Data Manipulation
# model         : The reference curve scaled and offset by known constants
# equation      : I_input(Q) = a * I_reference(Q) + b  (applied to the NOISY reference, so the inverse is exact)
# 
# GROUND-TRUTH PARAMETERS
#   a_multiply                 = 2.5            [-]
#   b_add                      = 0.3            [1/cm]
# 
# DERIVED QUANTITIES (not fitted; for cross-checking)
#   inverse_operation          = subtract 0.3 then divide by 2.5 [-]   must reproduce manipulate_reference to machine precision
# 
# NOISE
#   exact transform of manipulate_reference: I = 2.5 * I_manipulate_reference + 0.3
#   rel systematic = 0, kappa = nan, seed = 3138783688
#   median rel. error = 0.009641, max = 0.01027
# 
# Q range       : 0.001 to 0.3 1/A, 300 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]               dI[1/cm]
1.00000000e-03  2.49165169e+02  2.46694085e+00
1.01925931e-03  2.45128859e+02  2.46566203e+00
1.03888954e-03  2.41666259e+02  2.46433419e+00
1.05889783e-03  2.47318389e+02  2.46295546e+00
1.07929147e-03  2.46631814e+02  2.46152393e+00
1.10007788e-03  2.44315786e+02  2.46003761e+00
1.12126462e-03  2.43779626e+02  2.45849443e+00
1.14285940e-03  2.45368744e+02  2.45689228e+00
1.16487008e-03  2.48877823e+02  2.45522891e+00
1.18730468e-03  2.46714407e+02  2.45350206e+00
1.21017134e-03  2.47154786e+02  2.45170933e+00
1.23347841e-03  2.44491075e+02  2.44984828e+00
1.25723435e-03  2.38414364e+02  2.44791634e+00
1.28144781e-03  2.45295452e+02  2.44591089e+00
1.30612761e-03  2.46830483e+02  2.44382918e+00
1.33128273e-03  2.39497128e+02  2.44166840e+00
1.35692231e-03  2.43791359e+02  2.43942561e+00
1.38305570e-03  2.43005303e+02  2.43709778e+00
1.40969239e-03  2.45142058e+02  2.43468177e+00
1.43684209e-03  2.43920422e+02  2.43217435e+00
1.46451468e-03  2.43807447e+02  2.42957214e+00
1.49272022e-03  2.44269524e+02  2.42687169e+00
1.52146898e-03  2.42493265e+02  2.42406940e+00
1.55077142e-03  2.45688586e+02  2.42116156e+00
1.58063821e-03  2.47466497e+02  2.41814433e+00
1.61108021e-03  2.40065428e+02  2.41501374e+00
1.64210850e-03  2.39653687e+02  2.41176571e+00
1.67373437e-03  2.40450264e+02  2.40839598e+00
1.70596934e-03  2.40966433e+02  2.40490020e+00
1.73882513e-03  2.39564613e+02  2.40127385e+00
1.77231370e-03  2.42146069e+02  2.39751226e+00
1.80644723e-03  2.43090548e+02  2.39361064e+00
1.84123816e-03  2.39633237e+02  2.38956401e+00
1.87669913e-03  2.40748993e+02  2.38536726e+00
1.91284306e-03  2.39030808e+02  2.38101511e+00
1.94968310e-03  2.40013190e+02  2.37650213e+00
1.98723265e-03  2.35702908e+02  2.37182271e+00
2.02550537e-03  2.34972584e+02  2.36697108e+00
2.06451521e-03  2.37641665e+02  2.36194129e+00
2.10427634e-03  2.35658448e+02  2.35672723e+00
2.14480325e-03  2.37475103e+02  2.35132261e+00
2.18611068e-03  2.37882137e+02  2.34572095e+00
2.22821366e-03  2.35614652e+02  2.33991559e+00
