# pyIrena / Irena validation dataset: manipulate_input
# tool          : Data Manipulation
# model         : The reference curve scaled and offset by known constants
# equation      : I_input(Q) = a * I_reference(Q) + b  (applied to the NOISY reference, so the inverse is exact)
# 
# GROUND-TRUTH PARAMETERS
#   a_multiply                 = 2.5            [-]
#   b_add                      = 0.3            [1/cm]
# 
# DERIVED QUANTITIES (not fitted; for cross-checking)
#   inverse_operation          = subtract 0.3 then divide by 2.5 [-]   must reproduce manipulate_reference to machine precision
# 
# NOISE
#   exact transform of manipulate_reference: I = 2.5 * I_manipulate_reference + 0.3
#   rel systematic = 0, kappa = nan, seed = 3138783688
#   median rel. error = 0.009641, max = 0.01027
# 
# Q range       : 0.001 to 0.3 1/A, 300 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]
1.00000000e-03  2.49165169e+02
1.01925931e-03  2.45128859e+02
1.03888954e-03  2.41666259e+02
1.05889783e-03  2.47318389e+02
1.07929147e-03  2.46631814e+02
1.10007788e-03  2.44315786e+02
1.12126462e-03  2.43779626e+02
1.14285940e-03  2.45368744e+02
1.16487008e-03  2.48877823e+02
1.18730468e-03  2.46714407e+02
1.21017134e-03  2.47154786e+02
1.23347841e-03  2.44491075e+02
1.25723435e-03  2.38414364e+02
1.28144781e-03  2.45295452e+02
1.30612761e-03  2.46830483e+02
1.33128273e-03  2.39497128e+02
1.35692231e-03  2.43791359e+02
1.38305570e-03  2.43005303e+02
1.40969239e-03  2.45142058e+02
1.43684209e-03  2.43920422e+02
1.46451468e-03  2.43807447e+02
1.49272022e-03  2.44269524e+02
1.52146898e-03  2.42493265e+02
1.55077142e-03  2.45688586e+02
1.58063821e-03  2.47466497e+02
1.61108021e-03  2.40065428e+02
1.64210850e-03  2.39653687e+02
1.67373437e-03  2.40450264e+02
1.70596934e-03  2.40966433e+02
1.73882513e-03  2.39564613e+02
1.77231370e-03  2.42146069e+02
1.80644723e-03  2.43090548e+02
1.84123816e-03  2.39633237e+02
1.87669913e-03  2.40748993e+02
1.91284306e-03  2.39030808e+02
1.94968310e-03  2.40013190e+02
1.98723265e-03  2.35702908e+02
2.02550537e-03  2.34972584e+02
2.06451521e-03  2.37641665e+02
2.10427634e-03  2.35658448e+02
2.14480325e-03  2.37475103e+02
2.18611068e-03  2.37882137e+02
2.22821366e-03  2.35614652e+02
2.27112751e-03  2.34959369e+02
2.31486786e-03  2.35766503e+02
2.35945061e-03  2.33800860e+02
2.40489200e-03  2.31310527e+02
2.45120856e-03  2.28665979e+02
2.49841714e-03  2.31714859e+02
2.54653493e-03  2.30905401e+02
2.59557943e-03  2.28768436e+02
2.64556849e-03  2.28468023e+02
2.69652031e-03  2.26008241e+02
2.74845343e-03  2.23789345e+02
2.80138674e-03  2.23805238e+02
2.85533952e-03  2.24732842e+02
2.91033138e-03  2.21701134e+02
2.96638235e-03  2.22547423e+02
3.02351283e-03  2.17401497e+02
3.08174359e-03  2.19152428e+02
3.14109584e-03  2.18179938e+02
3.20159118e-03  2.19707263e+02
3.26325161e-03  2.21249221e+02
3.32609958e-03  2.17739466e+02
3.39015796e-03  2.14805560e+02
3.45545006e-03  2.12242316e+02
3.52199964e-03  2.13483918e+02
3.58983092e-03  2.10950279e+02
3.65896858e-03  2.06364799e+02
3.72943778e-03  2.05554078e+02
3.80126418e-03  2.03999742e+02
3.87447390e-03  2.05789282e+02
3.94909359e-03  2.01247389e+02
4.02515040e-03  1.97575687e+02
4.10267201e-03  1.98894394e+02
4.18168664e-03  2.01956696e+02
4.26222303e-03  1.97755524e+02
4.34431050e-03  1.93029745e+02
4.42797892e-03  1.94798319e+02
4.51325873e-03  1.89124198e+02
4.60018098e-03  1.86886643e+02
4.68877728e-03  1.87875845e+02
4.77907989e-03  1.85623907e+02
4.87112167e-03  1.80719400e+02
4.96493610e-03  1.79783400e+02
5.06055734e-03  1.80066638e+02
5.15802017e-03  1.77571650e+02
5.25736008e-03  1.74113279e+02
5.35861320e-03  1.69226850e+02
5.46181638e-03  1.67639621e+02
5.56700719e-03  1.65916249e+02
5.67422390e-03  1.63091043e+02
5.78350553e-03  1.61791772e+02
5.89489185e-03  1.59428038e+02
6.00842339e-03  1.55539273e+02
6.12414147e-03  1.49193385e+02
6.24208820e-03  1.47172665e+02
6.36230651e-03  1.45107969e+02
6.48484013e-03  1.44941341e+02
6.60973367e-03  1.44165288e+02
6.73703257e-03  1.34968426e+02
6.86678316e-03  1.33620651e+02
6.99903266e-03  1.28108723e+02
7.13382919e-03  1.28119273e+02
7.27122181e-03  1.25484205e+02
7.41126051e-03  1.20085225e+02
7.55399627e-03  1.19534806e+02
7.69948101e-03  1.14649903e+02
7.84776769e-03  1.10385266e+02
7.99891028e-03  1.06405327e+02
8.15296376e-03  1.04381568e+02
8.30998420e-03  1.01436275e+02
8.47002875e-03  9.96844795e+01
8.63315565e-03  9.48481767e+01
8.79942426e-03  8.97733260e+01
8.96889509e-03  8.73717402e+01
9.14162981e-03  8.25059899e+01
9.31769128e-03  7.95953709e+01
9.49714357e-03  7.65508248e+01
9.68005199e-03  7.37641188e+01
9.86648310e-03  6.94474167e+01
1.00565047e-02  6.84896698e+01
1.02501861e-02  6.49806908e+01
1.04475976e-02  6.16476102e+01
1.06488111e-02  5.79359182e+01
1.08538998e-02  5.50681186e+01
1.10629384e-02  5.31660849e+01
1.12760030e-02  4.95021402e+01
1.14931710e-02  4.63226905e+01
1.17145215e-02  4.36747222e+01
1.19401351e-02  4.20188090e+01
1.21700939e-02  3.91829805e+01
1.24044815e-02  3.71544405e+01
1.26433832e-02  3.49021151e+01
1.28868860e-02  3.24457520e+01
1.31350785e-02  3.00247993e+01
1.33880511e-02  2.84974154e+01
1.36458957e-02  2.70413397e+01
1.39087062e-02  2.47529925e+01
1.41765783e-02  2.28045325e+01
1.44496093e-02  2.07155935e+01
1.47278988e-02  1.90510757e+01
1.50115480e-02  1.76779817e+01
1.53006600e-02  1.68791401e+01
1.55953402e-02  1.53688483e+01
1.58956956e-02  1.42249860e+01
1.62018357e-02  1.30967404e+01
1.65138719e-02  1.18807437e+01
1.68319176e-02  1.10008896e+01
1.71560887e-02  9.89005236e+00
1.74865032e-02  9.28459369e+00
1.78232811e-02  8.61247022e+00
1.81665452e-02  7.94247368e+00
1.85164203e-02  7.25952769e+00
1.88730337e-02  6.71841707e+00
1.92365153e-02  6.07513817e+00
1.96069973e-02  5.71281211e+00
1.99846145e-02  5.19392573e+00
2.03695044e-02  4.75313648e+00
2.07618070e-02  4.44607337e+00
2.11616650e-02  4.06795663e+00
2.15692241e-02  3.83185593e+00
2.19846324e-02  3.57228524e+00
2.24080412e-02  3.25309918e+00
2.28396046e-02  3.11831034e+00
2.32794796e-02  2.88706523e+00
2.37278263e-02  2.67335216e+00
2.41848078e-02  2.51371208e+00
2.46505905e-02  2.36006461e+00
2.51253438e-02  2.17830151e+00
2.56092406e-02  2.05155767e+00
2.61024568e-02  1.92937537e+00
2.66051721e-02  1.80061153e+00
2.71175693e-02  1.66702588e+00
2.76398350e-02  1.59736337e+00
2.81721591e-02  1.48676287e+00
2.87147354e-02  1.41207485e+00
2.92677614e-02  1.33256772e+00
2.98314382e-02  1.24089174e+00
3.04059711e-02  1.18602358e+00
3.09915691e-02  1.12667453e+00
3.15884453e-02  1.05959269e+00
3.21968169e-02  1.00647876e+00
3.28169053e-02  9.51625599e-01
3.34489362e-02  9.09194242e-01
3.40931396e-02  8.70322818e-01
3.47497499e-02  8.07896658e-01
3.54190061e-02  7.85827428e-01
3.61011517e-02  7.52118990e-01
3.67964349e-02  7.20182851e-01
3.75051088e-02  6.84027538e-01
3.82274312e-02  6.54907912e-01
3.89636651e-02  6.30016755e-01
3.97140784e-02  6.08331327e-01
4.04789441e-02  5.77877146e-01
4.12585406e-02  5.63410036e-01
4.20531515e-02  5.40090729e-01
4.28630662e-02  5.26347783e-01
4.36885792e-02  5.08831304e-01
4.45299910e-02  4.98009874e-01
4.53876079e-02  4.76459918e-01
4.62617418e-02  4.63369959e-01
4.71527110e-02  4.53559958e-01
4.80608396e-02  4.41693628e-01
4.89864582e-02  4.33244151e-01
4.99299035e-02  4.20930958e-01
5.08915189e-02  4.14946335e-01
5.18716544e-02  4.05958146e-01
5.28706666e-02  3.96694323e-01
5.38889191e-02  3.90799136e-01
5.49267824e-02  3.84119754e-01
5.59846343e-02  3.77071120e-01
5.70628596e-02  3.72500430e-01
5.81618508e-02  3.65519615e-01
5.92820079e-02  3.61438191e-01
6.04237384e-02  3.57463011e-01
6.15874578e-02  3.52590906e-01
6.27735897e-02  3.47641083e-01
6.39825656e-02  3.46456229e-01
6.52148256e-02  3.41964321e-01
6.64708180e-02  3.39509120e-01
6.77510000e-02  3.35371706e-01
6.90558375e-02  3.32688408e-01
7.03858052e-02  3.30271120e-01
7.17413871e-02  3.29060434e-01
7.31230766e-02  3.26529467e-01
7.45313765e-02  3.24531965e-01
7.59667993e-02  3.23167054e-01
7.74298674e-02  3.21013484e-01
7.89211131e-02  3.19965399e-01
8.04410792e-02  3.17885727e-01
8.19903187e-02  3.16557524e-01
8.35693956e-02  3.15459404e-01
8.51788844e-02  3.14342463e-01
8.68193708e-02  3.13059315e-01
8.84914519e-02  3.12519615e-01
9.01957361e-02  3.11374115e-01
9.19328436e-02  3.10789746e-01
9.37034066e-02  3.09912097e-01
9.55080694e-02  3.08926617e-01
9.73474888e-02  3.08473272e-01
9.92223342e-02  3.07840940e-01
1.01133288e-01  3.07327197e-01
1.03081045e-01  3.06658654e-01
1.05066315e-01  3.06161804e-01
1.07089819e-01  3.05762397e-01
1.09152295e-01  3.05296296e-01
1.11254493e-01  3.05007611e-01
1.13397177e-01  3.04528038e-01
1.15581129e-01  3.04308647e-01
1.17807141e-01  3.03855652e-01
1.20076025e-01  3.03609128e-01
1.22388607e-01  3.03351472e-01
1.24745727e-01  3.03145333e-01
1.27148243e-01  3.02864104e-01
1.29597030e-01  3.02631966e-01
1.32092980e-01  3.02471224e-01
1.34636999e-01  3.02288601e-01
1.37230015e-01  3.02166552e-01
1.39872970e-01  3.02024485e-01
1.42566826e-01  3.01902286e-01
1.45312565e-01  3.01715060e-01
1.48111185e-01  3.01592936e-01
1.50963704e-01  3.01440776e-01
1.53871160e-01  3.01350778e-01
1.56834612e-01  3.01234647e-01
1.59855139e-01  3.01114775e-01
1.62933838e-01  3.01066260e-01
1.66071831e-01  3.01006639e-01
1.69270260e-01  3.00970158e-01
1.72530288e-01  3.00835847e-01
1.75853102e-01  3.00803655e-01
1.79239911e-01  3.00695878e-01
1.82691948e-01  3.00623568e-01
1.86210469e-01  3.00630151e-01
1.89796753e-01  3.00593457e-01
1.93452108e-01  3.00506378e-01
1.97177862e-01  3.00509797e-01
2.00975371e-01  3.00484237e-01
2.04846018e-01  3.00438872e-01
2.08791210e-01  3.00375894e-01
2.12812385e-01  3.00364021e-01
2.16911004e-01  3.00341546e-01
2.21088560e-01  3.00313520e-01
2.25346573e-01  3.00316965e-01
2.29686592e-01  3.00282160e-01
2.34110197e-01  3.00236663e-01
2.38618998e-01  3.00233205e-01
2.43214635e-01  3.00216842e-01
2.47898780e-01  3.00209027e-01
2.52673139e-01  3.00203401e-01
2.57539449e-01  3.00157361e-01
2.62499481e-01  3.00139161e-01
2.67555040e-01  3.00146929e-01
2.72707965e-01  3.00124005e-01
2.77960132e-01  3.00141385e-01
2.83313452e-01  3.00128665e-01
2.88769873e-01  3.00114189e-01
2.94331381e-01  3.00110913e-01
3.00000000e-01  3.00101367e-01
