# pyIrena / Irena validation dataset: manipulate_reference
# tool          : Data Manipulation
# model         : Reference curve (single Unified level)
# equation      : I(Q) = G exp(-Q^2Rg^2/3) + B/Q*^P
# 
# GROUND-TRUTH PARAMETERS
#   G                          = 100            [1/cm]
#   Rg                         = 200            [A]
#   P                          = 4              [-]
#   B                          = 3.045e-07      [cm^-1 A^-P]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 2.36109e+06, seed = 3138783688
#   median rel. error = 0.01001, max = 0.1066
# 
# Q range       : 0.001 to 0.3 1/A, 300 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]               dI[1/cm]
1.00000000e-03  9.95460674e+01  9.86776339e-01
1.01925931e-03  9.79315436e+01  9.86264813e-01
1.03888954e-03  9.65465037e+01  9.85733674e-01
1.05889783e-03  9.88073557e+01  9.85182183e-01
1.07929147e-03  9.85327256e+01  9.84609571e-01
1.10007788e-03  9.76063144e+01  9.84015043e-01
1.12126462e-03  9.73918506e+01  9.83397774e-01
1.14285940e-03  9.80274975e+01  9.82756910e-01
1.16487008e-03  9.94311294e+01  9.82091566e-01
1.18730468e-03  9.85657627e+01  9.81400824e-01
1.21017134e-03  9.87419144e+01  9.80683733e-01
1.23347841e-03  9.76764301e+01  9.79939311e-01
1.25723435e-03  9.52457456e+01  9.79166537e-01
1.28144781e-03  9.79981808e+01  9.78364355e-01
1.30612761e-03  9.86121931e+01  9.77531674e-01
1.33128273e-03  9.56788512e+01  9.76667360e-01
1.35692231e-03  9.73965435e+01  9.75770243e-01
1.38305570e-03  9.70821210e+01  9.74839111e-01
1.40969239e-03  9.79368232e+01  9.73872709e-01
1.43684209e-03  9.74481687e+01  9.72869738e-01
1.46451468e-03  9.74029790e+01  9.71828857e-01
1.49272022e-03  9.75878096e+01  9.70748677e-01
1.52146898e-03  9.68773062e+01  9.69627761e-01
1.55077142e-03  9.81554342e+01  9.68464624e-01
1.58063821e-03  9.88665987e+01  9.67257732e-01
1.61108021e-03  9.59061713e+01  9.66005497e-01
1.64210850e-03  9.57414746e+01  9.64706282e-01
1.67373437e-03  9.60601054e+01  9.63358393e-01
1.70596934e-03  9.62665732e+01  9.61960080e-01
1.73882513e-03  9.57058452e+01  9.60509539e-01
1.77231370e-03  9.67384274e+01  9.59004905e-01
1.80644723e-03  9.71162191e+01  9.57444254e-01
1.84123816e-03  9.57332947e+01  9.55825602e-01
1.87669913e-03  9.61795973e+01  9.54146902e-01
1.91284306e-03  9.54923232e+01  9.52406044e-01
1.94968310e-03  9.58852760e+01  9.50600851e-01
1.98723265e-03  9.41611634e+01  9.48729083e-01
2.02550537e-03  9.38690334e+01  9.46788430e-01
2.06451521e-03  9.49366661e+01  9.44776516e-01
2.10427634e-03  9.41433793e+01  9.42690892e-01
2.14480325e-03  9.48700411e+01  9.40529043e-01
2.18611068e-03  9.50328549e+01  9.38288378e-01
2.22821366e-03  9.41258607e+01  9.35966237e-01
2.27112751e-03  9.38637474e+01  9.33559886e-01
2.31486786e-03  9.41866012e+01  9.31066518e-01
2.35945061e-03  9.34003442e+01  9.28483250e-01
2.40489200e-03  9.24042109e+01  9.25807127e-01
2.45120856e-03  9.13463917e+01  9.23035117e-01
2.49841714e-03  9.25659436e+01  9.20164118e-01
2.54653493e-03  9.22421603e+01  9.17190948e-01
2.59557943e-03  9.13873745e+01  9.14112356e-01
2.64556849e-03  9.12672093e+01  9.10925015e-01
2.69652031e-03  9.02832965e+01  9.07625528e-01
2.74845343e-03  8.93957379e+01  9.04210427e-01
2.80138674e-03  8.94020952e+01  9.00676173e-01
2.85533952e-03  8.97731368e+01  8.97019162e-01
2.91033138e-03  8.85604536e+01  8.93235724e-01
