# pyIrena / Irena validation dataset: manipulate_reference
# tool          : Data Manipulation
# model         : Reference curve (single Unified level)
# equation      : I(Q) = G exp(-Q^2Rg^2/3) + B/Q*^P
# 
# GROUND-TRUTH PARAMETERS
#   G                          = 100            [1/cm]
#   Rg                         = 200            [A]
#   P                          = 4              [-]
#   B                          = 3.045e-07      [cm^-1 A^-P]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 2.36109e+06, seed = 3138783688
#   median rel. error = 0.01001, max = 0.1066
# 
# Q range       : 0.001 to 0.3 1/A, 300 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]
1.00000000e-03  9.86755163e+01
1.01925931e-03  9.86243636e+01
1.03888954e-03  9.85712498e+01
1.05889783e-03  9.85161006e+01
1.07929147e-03  9.84588394e+01
1.10007788e-03  9.83993866e+01
1.12126462e-03  9.83376597e+01
1.14285940e-03  9.82735734e+01
1.16487008e-03  9.82070389e+01
1.18730468e-03  9.81379647e+01
1.21017134e-03  9.80662557e+01
1.23347841e-03  9.79918134e+01
1.25723435e-03  9.79145360e+01
1.28144781e-03  9.78343179e+01
1.30612761e-03  9.77510497e+01
1.33128273e-03  9.76646184e+01
1.35692231e-03  9.75749067e+01
1.38305570e-03  9.74817934e+01
1.40969239e-03  9.73851532e+01
1.43684209e-03  9.72848562e+01
1.46451468e-03  9.71807681e+01
1.49272022e-03  9.70727500e+01
1.52146898e-03  9.69606584e+01
1.55077142e-03  9.68443447e+01
1.58063821e-03  9.67236555e+01
1.61108021e-03  9.65984321e+01
1.64210850e-03  9.64685106e+01
1.67373437e-03  9.63337216e+01
1.70596934e-03  9.61938904e+01
1.73882513e-03  9.60488363e+01
1.77231370e-03  9.58983728e+01
1.80644723e-03  9.57423078e+01
1.84123816e-03  9.55804426e+01
1.87669913e-03  9.54125726e+01
1.91284306e-03  9.52384868e+01
1.94968310e-03  9.50579675e+01
1.98723265e-03  9.48707907e+01
2.02550537e-03  9.46767254e+01
2.06451521e-03  9.44755339e+01
2.10427634e-03  9.42669716e+01
2.14480325e-03  9.40507866e+01
2.18611068e-03  9.38267202e+01
2.22821366e-03  9.35945061e+01
2.27112751e-03  9.33538710e+01
2.31486786e-03  9.31045341e+01
2.35945061e-03  9.28462073e+01
2.40489200e-03  9.25785950e+01
2.45120856e-03  9.23013941e+01
2.49841714e-03  9.20142941e+01
2.54653493e-03  9.17169771e+01
2.59557943e-03  9.14091179e+01
2.64556849e-03  9.10903839e+01
2.69652031e-03  9.07604352e+01
2.74845343e-03  9.04189251e+01
2.80138674e-03  9.00654997e+01
2.85533952e-03  8.96997986e+01
2.91033138e-03  8.93214548e+01
2.96638235e-03  8.89300951e+01
