# pyIrena / Irena validation dataset: merge_saxs
# tool          : Data Merge
# model         : High-Q (SAXS-like) branch of the SAME curve, deliberately mis-scaled by 1.15
# equation      : I(Q) = 1.15 * I_unified_2level(Q)
# 
# GROUND-TRUTH PARAMETERS
#   scale_factor               = 1.15           [-]   merge should recover 1/1.15 = 0.869565 for this branch
#   G1                         = 8              [-]
#   Rg1                        = 120            [-]
#   P1                         = 4              [-]
#   B1                         = 1.88e-07       [-]
#   G2                         = 4000           [-]
#   Rg2                        = 1200           [-]
#   P2                         = 3.2            [-]
#   B2                         = 1.393e-06      [-]
#   RgCO2                      = 120            [-]
#   bg                         = 0.02           [-]
# 
# DERIVED QUANTITIES (not fitted; for cross-checking)
#   expected_recovered_scale   = 0.869565       [-]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 12072.7, seed = 652841110
#   median rel. error = 0.03927, max = 0.06083
# 
# Q range       : 0.005 to 0.5 1/A, 320 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]               dI[1/cm]
5.00000000e-03  4.09600970e+01  4.12526040e-01
5.07270488e-03  3.91504771e+01  3.96603795e-01
5.14646696e-03  3.74487947e+01  3.81369040e-01
5.22130162e-03  3.64514666e+01  3.66794103e-01
5.29722444e-03  3.49356697e+01  3.52852330e-01
5.37425126e-03  3.41470279e+01  3.39517970e-01
5.45239812e-03  3.21877199e+01  3.26766100e-01
5.53168131e-03  3.12560249e+01  3.14572565e-01
5.61211736e-03  2.99196588e+01  3.02913942e-01
5.69372302e-03  2.91540460e+01  2.91767515e-01
5.77651531e-03  2.77035759e+01  2.81111265e-01
5.86051149e-03  2.69612761e+01  2.70923863e-01
5.94572905e-03  2.51476699e+01  2.61184669e-01
6.03218575e-03  2.48145451e+01  2.51873730e-01
6.11989962e-03  2.39608909e+01  2.42971784e-01
6.20888894e-03  2.28187977e+01  2.34460253e-01
6.29917225e-03  2.22872309e+01  2.26321246e-01
6.39076836e-03  2.11159035e+01  2.18537550e-01
6.48369637e-03  2.09393029e+01  2.11092623e-01
6.57797565e-03  2.02280729e+01  2.03970584e-01
6.67362584e-03  1.94596093e+01  1.97156200e-01
6.77066687e-03  1.89220284e+01  1.90634869e-01
6.86911898e-03  1.80320462e+01  1.84392609e-01
6.96900268e-03  1.73731890e+01  1.78416034e-01
7.07033878e-03  1.66188681e+01  1.72692340e-01
7.17314841e-03  1.64413562e+01  1.67209281e-01
