# pyIrena / Irena validation dataset: merge_saxs
# tool          : Data Merge
# model         : High-Q (SAXS-like) branch of the SAME curve, deliberately mis-scaled by 1.15
# equation      : I(Q) = 1.15 * I_unified_2level(Q)
# 
# GROUND-TRUTH PARAMETERS
#   scale_factor               = 1.15           [-]   merge should recover 1/1.15 = 0.869565 for this branch
#   G1                         = 8              [-]
#   Rg1                        = 120            [-]
#   P1                         = 4              [-]
#   B1                         = 1.88e-07       [-]
#   G2                         = 4000           [-]
#   Rg2                        = 1200           [-]
#   P2                         = 3.2            [-]
#   B2                         = 1.393e-06      [-]
#   RgCO2                      = 120            [-]
#   bg                         = 0.02           [-]
# 
# DERIVED QUANTITIES (not fitted; for cross-checking)
#   expected_recovered_scale   = 0.869565       [-]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 12072.7, seed = 652841110
#   median rel. error = 0.03927, max = 0.06083
# 
# Q range       : 0.005 to 0.5 1/A, 320 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]
5.00000000e-03  4.08405265e+01
5.07270488e-03  3.92483854e+01
5.14646696e-03  3.77249963e+01
5.22130162e-03  3.62675920e+01
5.29722444e-03  3.48735070e+01
5.37425126e-03  3.35401665e+01
5.45239812e-03  3.22650781e+01
5.53168131e-03  3.10458263e+01
5.61211736e-03  2.98800689e+01
5.69372302e-03  2.87655343e+01
5.77651531e-03  2.77000207e+01
5.86051149e-03  2.66813952e+01
5.94572905e-03  2.57075938e+01
6.03218575e-03  2.47766214e+01
6.11989962e-03  2.38865514e+01
6.20888894e-03  2.30355265e+01
6.29917225e-03  2.22217573e+01
6.39076836e-03  2.14435226e+01
6.48369637e-03  2.06991683e+01
6.57797565e-03  1.99871062e+01
6.67362584e-03  1.93058131e+01
6.77066687e-03  1.86538288e+01
6.86911898e-03  1.80297550e+01
6.96900268e-03  1.74322533e+01
7.07033878e-03  1.68600431e+01
7.17314841e-03  1.63118999e+01
7.27745299e-03  1.57866534e+01
7.38327426e-03  1.52831853e+01
7.49063428e-03  1.48004271e+01
7.59955541e-03  1.43373587e+01
7.71006037e-03  1.38930059e+01
7.82217218e-03  1.34664389e+01
7.93591420e-03  1.30567704e+01
8.05131014e-03  1.26631535e+01
8.16838405e-03  1.22847806e+01
8.28716033e-03  1.19208813e+01
8.40766373e-03  1.15707209e+01
8.52991937e-03  1.12335993e+01
8.65395273e-03  1.09088490e+01
8.77978965e-03  1.05958342e+01
8.90745636e-03  1.02939493e+01
9.03697947e-03  1.00026177e+01
9.16838598e-03  9.72129083e+00
9.30170326e-03  9.44944663e+00
9.43695911e-03  9.18658888e+00
9.57418171e-03  8.93224601e+00
9.71339966e-03  8.68597018e+00
9.85464198e-03  8.44733639e+00
9.99793809e-03  8.21594160e+00
1.01433179e-02  7.99140392e+00
1.02908116e-02  7.77336182e+00
1.04404501e-02  7.56147339e+00
1.05922644e-02  7.35541561e+00
1.07462863e-02  7.15488372e+00
1.09025478e-02  6.95959053e+00
1.10610815e-02  6.76926581e+00
1.12219204e-02  6.58365570e+00
1.13850981e-02  6.40252216e+00
1.15506485e-02  6.22564237e+00
1.17186062e-02  6.05280825e+00
1.18890062e-02  5.88382592e+00
1.20618839e-02  5.71851521e+00
1.22372755e-02  5.55670918e+00
1.24152174e-02  5.39825363e+00
1.25957468e-02  5.24300665e+00
1.27789013e-02  5.09083816e+00
1.29647190e-02  4.94162943e+00
1.31532387e-02  4.79527269e+00
1.33444996e-02  4.65167062e+00
1.35385416e-02  4.51073595e+00
1.37354053e-02  4.37239099e+00
