# pyIrena / Irena validation dataset: merge_usaxs
# tool          : Data Merge
# model         : Low-Q (USAXS-like) branch of a two-level Unified curve, correct scale
# equation      : I(Q) = I_unified_2level(Q)
# 
# GROUND-TRUTH PARAMETERS
#   scale_factor               = 1              [-]   reference branch
#   G1                         = 8              [-]
#   Rg1                        = 120            [-]
#   P1                         = 4              [-]
#   B1                         = 1.88e-07       [-]
#   G2                         = 4000           [-]
#   Rg2                        = 1200           [-]
#   P2                         = 3.2            [-]
#   B2                         = 1.393e-06      [-]
#   RgCO2                      = 120            [-]
#   bg                         = 0.02           [-]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 2240.84, seed = 183252891
#   median rel. error = 0.01005, max = 0.09506
# 
# Q range       : 0.0001 to 0.05 1/A, 300 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]               dI[1/cm]
1.00000000e-04  3.98453508e+03  3.99109631e+01
1.02100215e-04  3.93443088e+03  3.99028533e+01
1.04244539e-04  3.97728861e+03  3.98944010e+01
1.06433898e-04  4.00187532e+03  3.98855919e+01
1.08669238e-04  3.85330131e+03  3.98764109e+01
1.10951525e-04  4.02135340e+03  3.98668425e+01
1.13281746e-04  3.90965075e+03  3.98568705e+01
1.15660906e-04  3.98142329e+03  3.98464778e+01
1.18090033e-04  4.01118797e+03  3.98356469e+01
1.20570177e-04  4.00026886e+03  3.98243594e+01
1.23102410e-04  3.98853352e+03  3.98125962e+01
1.25687825e-04  4.02752867e+03  3.98003375e+01
1.28327539e-04  3.98136173e+03  3.97875624e+01
1.31022693e-04  3.92527823e+03  3.97742495e+01
1.33774451e-04  3.96928441e+03  3.97603763e+01
1.36584002e-04  4.01272755e+03  3.97459194e+01
1.39452559e-04  3.95824374e+03  3.97308545e+01
1.42381362e-04  3.93089949e+03  3.97151563e+01
1.45371677e-04  3.98039697e+03  3.96987983e+01
1.48424794e-04  4.00240814e+03  3.96817533e+01
1.51542034e-04  3.94069158e+03  3.96639925e+01
1.54724742e-04  3.92838095e+03  3.96454865e+01
1.57974293e-04  3.91818808e+03  3.96262041e+01
1.61292093e-04  3.96017335e+03  3.96061134e+01
1.64679573e-04  3.98581946e+03  3.95851807e+01
1.68138198e-04  3.89918583e+03  3.95633714e+01
1.71669461e-04  3.94790987e+03  3.95406493e+01
1.75274888e-04  3.94315676e+03  3.95169766e+01
1.78956038e-04  3.92828369e+03  3.94923143e+01
1.82714499e-04  3.98019013e+03  3.94666217e+01
1.86551895e-04  3.92375845e+03  3.94398564e+01
1.90469886e-04  3.93085968e+03  3.94119745e+01
1.94470162e-04  3.97288931e+03  3.93829302e+01
1.98554454e-04  3.86562578e+03  3.93526761e+01
2.02724523e-04  3.95043090e+03  3.93211626e+01
2.06982174e-04  3.91735238e+03  3.92883386e+01
2.11329244e-04  3.92065569e+03  3.92541507e+01
2.15767612e-04  3.91205985e+03  3.92185435e+01
2.20299195e-04  3.90481902e+03  3.91814596e+01
2.24925951e-04  3.91215504e+03  3.91428392e+01
2.29649879e-04  3.98981027e+03  3.91026203e+01
2.34473020e-04  3.88878305e+03  3.90607385e+01
2.39397457e-04  3.88959441e+03  3.90171272e+01
2.44425317e-04  3.87927136e+03  3.89717170e+01
2.49558774e-04  3.97990658e+03  3.89244360e+01
2.54800044e-04  3.91966570e+03  3.88752097e+01
2.60151392e-04  3.97122261e+03  3.88239607e+01
2.65615130e-04  3.89034173e+03  3.87706090e+01
2.71193618e-04  3.83408922e+03  3.87150714e+01
2.76889267e-04  3.84806531e+03  3.86572619e+01
2.82704536e-04  3.84159287e+03  3.85970914e+01
2.88641938e-04  3.82060509e+03  3.85344675e+01
2.94704039e-04  3.76516405e+03  3.84692948e+01
3.00893456e-04  3.83699503e+03  3.84014742e+01
3.07212865e-04  3.90790383e+03  3.83309036e+01
3.13664995e-04  3.75091127e+03  3.82574771e+01
3.20252634e-04  3.80017055e+03  3.81810854e+01
3.26978627e-04  3.77649637e+03  3.81016155e+01
3.33845880e-04  3.76635589e+03  3.80189506e+01
3.40857360e-04  3.79676900e+03  3.79329702e+01
3.48016097e-04  3.73445324e+03  3.78435500e+01
3.55325182e-04  3.72664474e+03  3.77505617e+01
3.62787774e-04  3.82638864e+03  3.76538731e+01
3.70407096e-04  3.79894347e+03  3.75533479e+01
3.78186441e-04  3.70771920e+03  3.74488459e+01
3.86129168e-04  3.71466482e+03  3.73402226e+01
3.94238710e-04  3.73407599e+03  3.72273295e+01
4.02518570e-04  3.68675060e+03  3.71100141e+01
4.10972324e-04  3.70363173e+03  3.69881196e+01
4.19603625e-04  3.67565575e+03  3.68614852e+01
4.28416203e-04  3.65907829e+03  3.67299461e+01
4.37413863e-04  3.65464636e+03  3.65933332e+01
4.46600493e-04  3.62395614e+03  3.64514737e+01
4.55980063e-04  3.61322048e+03  3.63041908e+01
4.65556623e-04  3.54529622e+03  3.61513040e+01
4.75334312e-04  3.64550148e+03  3.59926290e+01
4.85317353e-04  3.57400286e+03  3.58279782e+01
4.95510060e-04  3.57117758e+03  3.56571606e+01
5.05916835e-04  3.54442773e+03  3.54799820e+01
5.16542175e-04  3.51349459e+03  3.52962457e+01
5.27390670e-04  3.51109645e+03  3.51057520e+01
5.38467007e-04  3.46467757e+03  3.49082993e+01
5.49775970e-04  3.45611722e+03  3.47036839e+01
5.61322446e-04  3.48271306e+03  3.44917009e+01
5.73111423e-04  3.39769190e+03  3.42721442e+01
5.85147994e-04  3.41364029e+03  3.40448073e+01
5.97437358e-04  3.39483937e+03  3.38094837e+01
6.09984826e-04  3.32892790e+03  3.35659678e+01
6.22795817e-04  3.38933605e+03  3.33140551e+01
6.35875866e-04  3.29257753e+03  3.30535436e+01
6.49230625e-04  3.29729954e+03  3.27842341e+01
6.62865863e-04  3.31305609e+03  3.25059311e+01
6.76787469e-04  3.23101369e+03  3.22184443e+01
6.91001459e-04  3.24716296e+03  3.19215889e+01
7.05513974e-04  3.11946220e+03  3.16151873e+01
7.20331282e-04  3.10473772e+03  3.12990702e+01
7.35459786e-04  3.13665583e+03  3.09730775e+01
7.50906021e-04  3.08189174e+03  3.06370602e+01
7.66676660e-04  3.04106370e+03  3.02908817e+01
7.82778516e-04  2.96541456e+03  2.99344190e+01
7.99218546e-04  2.89984369e+03  2.95675647e+01
8.16003852e-04  2.96326629e+03  2.91902289e+01
8.33141685e-04  2.86880439e+03  2.88023403e+01
8.50639450e-04  2.86576106e+03  2.84038486e+01
8.68504705e-04  2.78327412e+03  2.79947265e+01
8.86745169e-04  2.74865767e+03  2.75749711e+01
9.05368721e-04  2.70613473e+03  2.71446065e+01
9.24383409e-04  2.68291602e+03  2.67036858e+01
9.43797446e-04  2.60270105e+03  2.62522928e+01
9.63619219e-04  2.58052622e+03  2.57905444e+01
9.83857292e-04  2.55085337e+03  2.53185928e+01
1.00452041e-03  2.48777045e+03  2.48366271e+01
1.02561749e-03  2.42172046e+03  2.43448758e+01
1.04715766e-03  2.41726927e+03  2.38436083e+01
1.06915022e-03  2.33854344e+03  2.33331368e+01
1.09160467e-03  2.27316484e+03  2.28138180e+01
1.11453072e-03  2.22277299e+03  2.22860546e+01
1.13793825e-03  2.16154251e+03  2.17502963e+01
1.16183740e-03  2.10140415e+03  2.12070409e+01
1.18623848e-03  2.06495114e+03  2.06568350e+01
1.21115204e-03  2.01618846e+03  2.01002745e+01
1.23658883e-03  1.92252889e+03  1.95380042e+01
1.26255985e-03  1.90724774e+03  1.89707176e+01
1.28907632e-03  1.83389107e+03  1.83991560e+01
1.31614969e-03  1.78298971e+03  1.78241071e+01
1.34379166e-03  1.70077531e+03  1.72464031e+01
1.37201417e-03  1.65896169e+03  1.66669183e+01
1.40082942e-03  1.59013947e+03  1.60865659e+01
1.43024984e-03  1.55492283e+03  1.55062947e+01
1.46028816e-03  1.47811421e+03  1.49270848e+01
1.49095735e-03  1.42275745e+03  1.43499430e+01
1.52227065e-03  1.38040027e+03  1.37758972e+01
1.55424161e-03  1.30262378e+03  1.32059909e+01
1.58688402e-03  1.25118893e+03  1.26412768e+01
1.62021199e-03  1.21157017e+03  1.20828098e+01
1.65423992e-03  1.15438225e+03  1.15316402e+01
1.68898251e-03  1.12274635e+03  1.09888060e+01
1.72445477e-03  1.05699461e+03  1.04553251e+01
1.76067202e-03  9.92501635e+02  9.93218786e+00
1.79764992e-03  9.34597711e+02  9.42034892e+00
1.83540443e-03  8.84285995e+02  8.92071952e+00
1.87395186e-03  8.35448190e+02  8.43415988e+00
1.91330887e-03  7.87379183e+02  7.96147196e+00
1.95349247e-03  7.48333881e+02  7.50339257e+00
1.99452001e-03  7.00188496e+02  7.06058703e+00
2.03640921e-03  6.59272580e+02  6.63364346e+00
2.07917818e-03  6.18806380e+02  6.22306780e+00
2.12284538e-03  5.73871113e+02  5.82927963e+00
2.16742969e-03  5.39762427e+02  5.45260890e+00
2.21295037e-03  5.06219332e+02  5.09329358e+00
2.25942708e-03  4.80439612e+02  4.75147828e+00
2.30687990e-03  4.36189842e+02  4.42721396e+00
2.35532933e-03  4.03727611e+02  4.12045859e+00
2.40479631e-03  3.77053820e+02  3.83107892e+00
2.45530219e-03  3.51533267e+02  3.55885318e+00
2.50686881e-03  3.30964898e+02  3.30347493e+00
2.55951844e-03  3.04952330e+02  3.06455771e+00
2.61327383e-03  2.79676587e+02  2.84164070e+00
2.66815819e-03  2.61988050e+02  2.63419520e+00
