# pyIrena / Irena validation dataset: merge_usaxs
# tool          : Data Merge
# model         : Low-Q (USAXS-like) branch of a two-level Unified curve, correct scale
# equation      : I(Q) = I_unified_2level(Q)
# 
# GROUND-TRUTH PARAMETERS
#   scale_factor               = 1              [-]   reference branch
#   G1                         = 8              [-]
#   Rg1                        = 120            [-]
#   P1                         = 4              [-]
#   B1                         = 1.88e-07       [-]
#   G2                         = 4000           [-]
#   Rg2                        = 1200           [-]
#   P2                         = 3.2            [-]
#   B2                         = 1.393e-06      [-]
#   RgCO2                      = 120            [-]
#   bg                         = 0.02           [-]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 2240.84, seed = 183252891
#   median rel. error = 0.01005, max = 0.09506
# 
# Q range       : 0.0001 to 0.05 1/A, 300 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]
1.00000000e-04  3.98886563e+03
1.02100215e-04  3.98805465e+03
1.04244539e-04  3.98720942e+03
1.06433898e-04  3.98632851e+03
1.08669238e-04  3.98541041e+03
1.10951525e-04  3.98445357e+03
1.13281746e-04  3.98345636e+03
1.15660906e-04  3.98241710e+03
1.18090033e-04  3.98133401e+03
1.20570177e-04  3.98020526e+03
1.23102410e-04  3.97902894e+03
1.25687825e-04  3.97780307e+03
1.28327539e-04  3.97652556e+03
1.31022693e-04  3.97519427e+03
1.33774451e-04  3.97380695e+03
1.36584002e-04  3.97236126e+03
1.39452559e-04  3.97085477e+03
1.42381362e-04  3.96928495e+03
1.45371677e-04  3.96764915e+03
1.48424794e-04  3.96594465e+03
1.51542034e-04  3.96416858e+03
1.54724742e-04  3.96231797e+03
1.57974293e-04  3.96038974e+03
1.61292093e-04  3.95838066e+03
1.64679573e-04  3.95628740e+03
1.68138198e-04  3.95410647e+03
1.71669461e-04  3.95183425e+03
1.75274888e-04  3.94946699e+03
1.78956038e-04  3.94700076e+03
1.82714499e-04  3.94443150e+03
1.86551895e-04  3.94175497e+03
1.90469886e-04  3.93896678e+03
1.94470162e-04  3.93606235e+03
1.98554454e-04  3.93303694e+03
2.02724523e-04  3.92988559e+03
2.06982174e-04  3.92660319e+03
2.11329244e-04  3.92318440e+03
2.15767612e-04  3.91962368e+03
2.20299195e-04  3.91591529e+03
2.24925951e-04  3.91205325e+03
2.29649879e-04  3.90803136e+03
2.34473020e-04  3.90384319e+03
2.39397457e-04  3.89948206e+03
2.44425317e-04  3.89494103e+03
2.49558774e-04  3.89021294e+03
2.54800044e-04  3.88529030e+03
2.60151392e-04  3.88016541e+03
2.65615130e-04  3.87483023e+03
2.71193618e-04  3.86927647e+03
2.76889267e-04  3.86349553e+03
2.82704536e-04  3.85747848e+03
2.88641938e-04  3.85121609e+03
2.94704039e-04  3.84469882e+03
3.00893456e-04  3.83791676e+03
3.07212865e-04  3.83085970e+03
3.13664995e-04  3.82351706e+03
3.20252634e-04  3.81587789e+03
3.26978627e-04  3.80793090e+03
3.33845880e-04  3.79966441e+03
3.40857360e-04  3.79106637e+03
3.48016097e-04  3.78212435e+03
3.55325182e-04  3.77282553e+03
3.62787774e-04  3.76315667e+03
3.70407096e-04  3.75310415e+03
3.78186441e-04  3.74265395e+03
3.86129168e-04  3.73179162e+03
3.94238710e-04  3.72050231e+03
4.02518570e-04  3.70877078e+03
4.10972324e-04  3.69658133e+03
4.19603625e-04  3.68391790e+03
4.28416203e-04  3.67076398e+03
4.37413863e-04  3.65710269e+03
4.46600493e-04  3.64291675e+03
4.55980063e-04  3.62818846e+03
4.65556623e-04  3.61289978e+03
4.75334312e-04  3.59703228e+03
4.85317353e-04  3.58056721e+03
4.95510060e-04  3.56348545e+03
5.05916835e-04  3.54576760e+03
5.16542175e-04  3.52739397e+03
5.27390670e-04  3.50834460e+03
5.38467007e-04  3.48859934e+03
5.49775970e-04  3.46813781e+03
5.61322446e-04  3.44693951e+03
5.73111423e-04  3.42498384e+03
5.85147994e-04  3.40225015e+03
5.97437358e-04  3.37871780e+03
6.09984826e-04  3.35436621e+03
6.22795817e-04  3.32917496e+03
6.35875866e-04  3.30312381e+03
6.49230625e-04  3.27619286e+03
6.62865863e-04  3.24836257e+03
6.76787469e-04  3.21961390e+03
6.91001459e-04  3.18992836e+03
7.05513974e-04  3.15928821e+03
7.20331282e-04  3.12767651e+03
7.35459786e-04  3.09507725e+03
7.50906021e-04  3.06147553e+03
7.66676660e-04  3.02685768e+03
7.82778516e-04  2.99121142e+03
7.99218546e-04  2.95452601e+03
8.16003852e-04  2.91679244e+03
8.33141685e-04  2.87800359e+03
8.50639450e-04  2.83815443e+03
8.68504705e-04  2.79724223e+03
8.86745169e-04  2.75526671e+03
9.05368721e-04  2.71223027e+03
9.24383409e-04  2.66813821e+03
9.43797446e-04  2.62299892e+03
9.63619219e-04  2.57682410e+03
9.83857292e-04  2.52962896e+03
1.00452041e-03  2.48143241e+03
1.02561749e-03  2.43225730e+03
1.04715766e-03  2.38213056e+03
1.06915022e-03  2.33108344e+03
1.09160467e-03  2.27915159e+03
1.11453072e-03  2.22637527e+03
1.13793825e-03  2.17279947e+03
1.16183740e-03  2.11847395e+03
1.18623848e-03  2.06345340e+03
1.21115204e-03  2.00779738e+03
1.23658883e-03  1.95157039e+03
1.26255985e-03  1.89484176e+03
1.28907632e-03  1.83768565e+03
1.31614969e-03  1.78018080e+03
1.34379166e-03  1.72241045e+03
1.37201417e-03  1.66446202e+03
1.40082942e-03  1.60642683e+03
1.43024984e-03  1.54839977e+03
1.46028816e-03  1.49047884e+03
1.49095735e-03  1.43276473e+03
1.52227065e-03  1.37536022e+03
1.55424161e-03  1.31836967e+03
1.58688402e-03  1.26189835e+03
1.62021199e-03  1.20605174e+03
1.65423992e-03  1.15093488e+03
1.68898251e-03  1.09665156e+03
1.72445477e-03  1.04330358e+03
1.76067202e-03  9.90989987e+02
1.79764992e-03  9.39806230e+02
1.83540443e-03  8.89843437e+02
1.87395186e-03  8.41187634e+02
1.91330887e-03  7.93919017e+02
1.95349247e-03  7.48111270e+02
1.99452001e-03  7.03830924e+02
2.03640921e-03  6.61136794e+02
2.07917818e-03  6.20079475e+02
2.12284538e-03  5.80700928e+02
2.16742969e-03  5.43034151e+02
2.21295037e-03  5.07102940e+02
2.25942708e-03  4.72921762e+02
2.30687990e-03  4.40495714e+02
2.35532933e-03  4.09820596e+02
2.40479631e-03  3.80883084e+02
2.45530219e-03  3.53661008e+02
2.50686881e-03  3.28123723e+02
2.55951844e-03  3.04232589e+02
2.61327383e-03  2.81941525e+02
2.66815819e-03  2.61197665e+02
2.72419524e-03  2.41942074e+02
2.78140919e-03  2.24110548e+02
2.83982476e-03  2.07634452e+02
2.89946717e-03  1.92441623e+02
2.96036221e-03  1.78457281e+02
3.02253618e-03  1.65604974e+02
3.08601593e-03  1.53807509e+02
3.15082889e-03  1.42987869e+02
3.21700306e-03  1.33070086e+02
3.28456703e-03  1.23980064e+02
3.35354999e-03  1.15646326e+02
3.42398175e-03  1.08000666e+02
3.49589271e-03  1.00978702e+02
3.56931397e-03  9.45203083e+01
3.64427723e-03  8.85699362e+01
3.72081488e-03  8.30767973e+01
3.79895998e-03  7.79949328e+01
3.87874630e-03  7.32831644e+01
3.96020830e-03  6.89049393e+01
4.04338118e-03  6.48280866e+01
4.12830086e-03  6.10244991e+01
4.21500405e-03  5.74697629e+01
4.30352818e-03  5.41427519e+01
4.39391152e-03  5.10252095e+01
4.48619309e-03  4.81013331e+01
4.58041278e-03  4.53573786e+01
4.67661129e-03  4.27812954e+01
4.77483017e-03  4.03624027e+01
4.87511186e-03  3.80911111e+01
4.97749967e-03  3.59586915e+01
5.08203786e-03  3.39570900e+01
5.18877156e-03  3.20787866e+01
5.29774691e-03  3.03166911e+01
5.40901097e-03  2.86640700e+01
5.52261182e-03  2.71144999e+01
5.63859852e-03  2.56618386e+01
5.75702120e-03  2.43002102e+01
5.87793101e-03  2.30239982e+01
6.00138018e-03  2.18278436e+01
6.12742206e-03  2.07066445e+01
6.25611108e-03  1.96555562e+01
6.38750285e-03  1.86699890e+01
6.52165412e-03  1.77456056e+01
6.65862286e-03  1.68783154e+01
6.79846824e-03  1.60642675e+01
6.94125067e-03  1.52998425e+01
7.08703185e-03  1.45816426e+01
7.23587473e-03  1.39064812e+01
7.38784364e-03  1.32713726e+01
7.54300422e-03  1.26735212e+01
7.70142351e-03  1.21103104e+01
7.86316994e-03  1.15792929e+01
8.02831340e-03  1.10781805e+01
8.19692522e-03  1.06048345e+01
8.36907825e-03  1.01572572e+01
8.54484687e-03  9.73358330e+00
8.72430700e-03  9.33207210e+00
8.90753618e-03  8.95110019e+00
9.09461357e-03  8.58915465e+00
9.28561999e-03  8.24482667e+00
9.48063795e-03  7.91680568e+00
9.67975170e-03  7.60387381e+00
9.88304727e-03  7.30490083e+00
1.00906125e-02  7.01883935e+00
1.03025370e-02  6.74472043e+00
1.05189124e-02  6.48164943e+00
1.07398322e-02  6.22880218e+00
1.09653917e-02  5.98542139e+00
1.11956885e-02  5.75081326e+00
1.14308220e-02  5.52434431e+00
1.16708938e-02  5.30543837e+00
1.19160076e-02  5.09357378e+00
1.21662694e-02  4.88828059e+00
1.24217872e-02  4.68913800e+00
1.26826714e-02  4.49577183e+00
1.29490347e-02  4.30785200e+00
1.32209922e-02  4.12509014e+00
1.34986615e-02  3.94723718e+00
1.37821623e-02  3.77408093e+00
