# pyIrena / Irena validation dataset: modeling_guinier_porod
# tool          : Modeling
# model         : Guinier-Porod model, single level with dimensionality s1 = 1 (rod-like)
# equation      : I(Q<Q1) = G Q^-s1 exp(-Q^2 Rg1^2/(3-s1)); I(Q>=Q1) = D Q^-P
# 
# GROUND-TRUTH PARAMETERS
#   pop_type                   = guinier_porod  [-]
#   G                          = 150            [1/cm]
#   Rg1                        = 90             [A]
#   s1                         = 1              [-]   0 = globular, 1 = rod, 2 = lamella
#   P                          = 3.6            [-]
#   Rg2                        = 1e+10          [A]   collapsed (single level)
#   s2                         = 0              [-]
#   background                 = 0.005          [1/cm]
# 
# DERIVED QUANTITIES (not fitted; for cross-checking)
#   Q1                         = 0.0179161      [1/A]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 3172.66, seed = 1241706239
#   median rel. error = 0.01004, max = 0.09308
# 
# Q range       : 0.002 to 0.4 1/A, 400 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]               dI[1/cm]
2.00000000e-03  7.44415418e+04  7.37963695e+02
2.02673510e-03  7.27241786e+04  7.27911832e+02
2.05382758e-03  7.21872662e+04  7.17988465e+02
2.08128221e-03  6.92529302e+04  7.08191848e+02
2.10910386e-03  6.99855869e+04  6.98520260e+02
2.13729740e-03  6.82757112e+04  6.88972003e+02
2.16586783e-03  6.69377718e+04  6.79545399e+02
2.19482017e-03  6.71960272e+04  6.70238792e+02
2.22415954e-03  6.67436356e+04  6.61050548e+02
2.25389110e-03  6.61339376e+04  6.51979054e+02
2.28402009e-03  6.31500339e+04  6.43022718e+02
2.31455184e-03  6.44340144e+04  6.34179969e+02
2.34549173e-03  6.21802138e+04  6.25449256e+02
2.37684520e-03  6.11937836e+04  6.16829046e+02
2.40861779e-03  6.15094400e+04  6.08317830e+02
2.44081511e-03  5.99084831e+04  5.99914115e+02
2.47344282e-03  5.88633796e+04  5.91616429e+02
2.50650669e-03  5.88630499e+04  5.83423319e+02
2.54001254e-03  5.86380786e+04  5.75333350e+02
2.57396628e-03  5.81590457e+04  5.67345106e+02
2.60837389e-03  5.57040718e+04  5.59457190e+02
2.64324146e-03  5.52194031e+04  5.51668222e+02
2.67857512e-03  5.38619462e+04  5.43976840e+02
2.71438110e-03  5.34615987e+04  5.36381702e+02
2.75066572e-03  5.32613590e+04  5.28881480e+02
2.78743538e-03  5.22848431e+04  5.21474866e+02
2.82469655e-03  5.16073522e+04  5.14160567e+02
2.86245582e-03  5.12299543e+04  5.06937308e+02
2.90071984e-03  4.90926372e+04  4.99803830e+02
2.93949535e-03  4.90153371e+04  4.92758892e+02
2.97878919e-03  4.81869405e+04  4.85801267e+02
3.01860830e-03  4.83503974e+04  4.78929744e+02
3.05895969e-03  4.71778675e+04  4.72143131e+02
3.09985049e-03  4.72121067e+04  4.65440248e+02
3.14128789e-03  4.66333528e+04  4.58819933e+02
3.18327920e-03  4.52298376e+04  4.52281038e+02
3.22583184e-03  4.49293296e+04  4.45822429e+02
3.26895331e-03  4.36805053e+04  4.39442991e+02
3.31265120e-03  4.26428997e+04  4.33141618e+02
3.35693322e-03  4.20492338e+04  4.26917225e+02
3.40180719e-03  4.19563775e+04  4.20768735e+02
3.44728101e-03  4.12258699e+04  4.14695091e+02
3.49336270e-03  4.08440381e+04  4.08695247e+02
3.54006040e-03  4.01282613e+04  4.02768171e+02
3.58738233e-03  3.97451355e+04  3.96912846e+02
3.63533683e-03  3.90329983e+04  3.91128268e+02
3.68393237e-03  3.92630181e+04  3.85413447e+02
3.73317752e-03  3.81717063e+04  3.79767406e+02
3.78308095e-03  3.75830456e+04  3.74189182e+02
3.83365147e-03  3.72063202e+04  3.68677824e+02
3.88489799e-03  3.60915722e+04  3.63232395e+02
3.93682955e-03  3.60856028e+04  3.57851971e+02
3.98945531e-03  3.55957093e+04  3.52535640e+02
4.04278454e-03  3.49141950e+04  3.47282504e+02
4.09682666e-03  3.43136206e+04  3.42091676e+02
4.15159119e-03  3.43224588e+04  3.36962282e+02
4.20708778e-03  3.35036477e+04  3.31893462e+02
4.26332623e-03  3.21869706e+04  3.26884367e+02
4.32031645e-03  3.17518292e+04  3.21934159e+02
4.37806849e-03  3.20664146e+04  3.17042014e+02
4.43659253e-03  3.13053519e+04  3.12207119e+02
4.49589890e-03  3.05476053e+04  3.07428674e+02
4.55599804e-03  3.01196298e+04  3.02705889e+02
4.61690057e-03  3.00108163e+04  2.98037988e+02
4.67861721e-03  2.92653418e+04  2.93424205e+02
4.74115885e-03  2.91111272e+04  2.88863787e+02
4.80453652e-03  2.88007797e+04  2.84355991e+02
4.86876139e-03  2.78150553e+04  2.79900087e+02
4.93384479e-03  2.71850883e+04  2.75495356e+02
4.99979820e-03  2.66536317e+04  2.71141091e+02
5.06663325e-03  2.68306594e+04  2.66836594e+02
5.13436171e-03  2.63705790e+04  2.62581182e+02
5.20299554e-03  2.56582719e+04  2.58374180e+02
5.27254683e-03  2.49873757e+04  2.54214926e+02
5.34302786e-03  2.51645383e+04  2.50102769e+02
5.41445104e-03  2.40820484e+04  2.46037069e+02
5.48682898e-03  2.41584221e+04  2.42017198e+02
5.56017443e-03  2.42435676e+04  2.38042538e+02
5.63450033e-03  2.36802254e+04  2.34112482e+02
5.70981978e-03  2.29875068e+04  2.30226435e+02
5.78614607e-03  2.23237760e+04  2.26383814e+02
5.86349266e-03  2.19485031e+04  2.22584045e+02
5.94187318e-03  2.20081967e+04  2.18826566e+02
6.02130146e-03  2.16099263e+04  2.15110827e+02
6.10179149e-03  2.12022330e+04  2.11436288e+02
6.18335749e-03  2.08654868e+04  2.07802420e+02
6.26601382e-03  2.02372144e+04  2.04208707e+02
6.34977506e-03  1.99016671e+04  2.00654643e+02
6.43465598e-03  1.95549733e+04  1.97139731e+02
6.52067156e-03  1.91143037e+04  1.93663490e+02
6.60783695e-03  1.97190102e+04  1.90225446e+02
6.69616753e-03  1.87764357e+04  1.86825138e+02
6.78567887e-03  1.82898224e+04  1.83462116e+02
6.87638676e-03  1.77566956e+04  1.80135943e+02
6.96830719e-03  1.74946184e+04  1.76846191e+02
7.06145637e-03  1.75443858e+04  1.73592443e+02
7.15585073e-03  1.68473856e+04  1.70374297e+02
7.25150691e-03  1.69277152e+04  1.67191360e+02
7.34844178e-03  1.64061119e+04  1.64043249e+02
7.44667243e-03  1.61864098e+04  1.60929596e+02
7.54621618e-03  1.57631728e+04  1.57850043e+02
7.64709059e-03  1.54522030e+04  1.54804244e+02
7.74931345e-03  1.52950297e+04  1.51791863e+02
7.85290277e-03  1.48392936e+04  1.48812578e+02
7.95787682e-03  1.45202215e+04  1.45866079e+02
8.06425413e-03  1.43692064e+04  1.42952066e+02
8.17205343e-03  1.40639150e+04  1.40070251e+02
8.28129375e-03  1.36939704e+04  1.37220360e+02
8.39199434e-03  1.34730167e+04  1.34402128e+02
8.50417473e-03  1.31971409e+04  1.31615306e+02
8.61785470e-03  1.28756634e+04  1.28859653e+02
8.73305429e-03  1.28524481e+04  1.26134941e+02
8.84979381e-03  1.22372068e+04  1.23440956e+02
8.96809386e-03  1.19096602e+04  1.20777495e+02
9.08797528e-03  1.16013003e+04  1.18144366e+02
9.20945923e-03  1.17325872e+04  1.15541390e+02
9.33256712e-03  1.13460229e+04  1.12968400e+02
9.45732066e-03  1.09976602e+04  1.10425241e+02
9.58374185e-03  1.07559820e+04  1.07911770e+02
9.71185299e-03  1.04894512e+04  1.05427856e+02
9.84167665e-03  1.03236295e+04  1.02973380e+02
9.97323574e-03  1.00915388e+04  1.00548233e+02
1.01065534e-02  9.70033365e+03  9.81523221e+01
1.02416533e-02  9.64801595e+03  9.57855614e+01
1.03785591e-02  9.31281602e+03  9.34478791e+01
1.05172950e-02  9.15515864e+03  9.11392141e+01
1.06578854e-02  8.81705846e+03  8.88595167e+01
1.08003552e-02  8.76269419e+03  8.66087482e+01
1.09447295e-02  8.42895898e+03  8.43868809e+01
1.10910337e-02  8.34440307e+03  8.21938978e+01
1.12392936e-02  7.86236532e+03  8.00297922e+01
1.13895354e-02  7.82833181e+03  7.78945679e+01
1.15417856e-02  7.65266988e+03  7.57882383e+01
1.16960710e-02  7.43922826e+03  7.37108269e+01
1.18524187e-02  7.05865079e+03  7.16623660e+01
1.20108565e-02  7.01433695e+03  6.96428971e+01
1.21714122e-02  6.88697283e+03  6.76524702e+01
1.23341142e-02  6.47690759e+03  6.56911434e+01
1.24989910e-02  6.42159945e+03  6.37589825e+01
1.26660719e-02  6.20837756e+03  6.18560605e+01
1.28353862e-02  5.99451380e+03  5.99824571e+01
1.30069639e-02  5.77320379e+03  5.81382579e+01
1.31808351e-02  5.58103657e+03  5.63235542e+01
1.33570305e-02  5.45946544e+03  5.45384424e+01
1.35355813e-02  5.27724302e+03  5.27830226e+01
1.37165188e-02  5.11513943e+03  5.10573991e+01
1.38998751e-02  4.99356052e+03  4.93616786e+01
1.40856823e-02  4.79525552e+03  4.76959699e+01
1.42739733e-02  4.66075822e+03  4.60603833e+01
1.44647814e-02  4.38627658e+03  4.44550293e+01
1.46581400e-02  4.30453706e+03  4.28800181e+01
1.48540834e-02  4.11651949e+03  4.13354583e+01
1.50526461e-02  4.06174045e+03  3.98214566e+01
1.52538631e-02  3.88390303e+03  3.83381162e+01
1.54577698e-02  3.63698197e+03  3.68855361e+01
1.56644023e-02  3.51722148e+03  3.54638101e+01
1.58737970e-02  3.39981381e+03  3.40730255e+01
1.60859907e-02  3.19245921e+03  3.27132624e+01
1.63010210e-02  3.09908985e+03  3.13845923e+01
1.65189256e-02  3.01619389e+03  3.00870773e+01
1.67397432e-02  2.92658891e+03  2.88207685e+01
1.69635125e-02  2.76803842e+03  2.75857054e+01
1.71902731e-02  2.66275107e+03  2.63819144e+01
1.74200649e-02  2.51113240e+03  2.52094078e+01
1.76529284e-02  2.42571682e+03  2.40681826e+01
1.78889048e-02  2.27975377e+03  2.29582197e+01
1.81280356e-02  2.19097972e+03  2.18874050e+01
1.83703630e-02  2.13253245e+03  2.08664443e+01
1.86159297e-02  2.00906101e+03  1.98931417e+01
1.88647791e-02  1.90335706e+03  1.89652726e+01
1.91169549e-02  1.77976829e+03  1.80807162e+01
1.93725017e-02  1.73924090e+03  1.72374506e+01
1.96314646e-02  1.64381985e+03  1.64335483e+01
1.98938891e-02  1.57389481e+03  1.56671720e+01
2.01598216e-02  1.49382560e+03  1.49365698e+01
2.04293090e-02  1.43401700e+03  1.42400720e+01
2.07023988e-02  1.35497001e+03  1.35760864e+01
2.09791391e-02  1.29406529e+03  1.29430955e+01
2.12595788e-02  1.22116963e+03  1.23396523e+01
2.15437672e-02  1.17720452e+03  1.17643777e+01
2.18317546e-02  1.10129139e+03  1.12159567e+01
2.21235916e-02  1.05457374e+03  1.06931358e+01
2.24193298e-02  1.02555056e+03  1.01947200e+01
2.27190212e-02  9.83769732e+02  9.71957005e+00
2.30227189e-02  9.10194490e+02  9.26659991e+00
2.33304762e-02  8.88789165e+02  8.83477423e+00
2.36423474e-02  8.24723574e+02  8.42310600e+00
2.39583877e-02  8.01890315e+02  8.03065426e+00
2.42786526e-02  7.74040969e+02  7.65652200e+00
2.46031986e-02  7.22403664e+02  7.29985405e+00
2.49320831e-02  6.98924777e+02  6.95983520e+00
2.52653639e-02  6.67799781e+02  6.63568825e+00
2.56030999e-02  6.33936106e+02  6.32667232e+00
