# pyIrena / Irena validation dataset: modeling_guinier_porod
# tool          : Modeling
# model         : Guinier-Porod model, single level with dimensionality s1 = 1 (rod-like)
# equation      : I(Q<Q1) = G Q^-s1 exp(-Q^2 Rg1^2/(3-s1)); I(Q>=Q1) = D Q^-P
# 
# GROUND-TRUTH PARAMETERS
#   pop_type                   = guinier_porod  [-]
#   G                          = 150            [1/cm]
#   Rg1                        = 90             [A]
#   s1                         = 1              [-]   0 = globular, 1 = rod, 2 = lamella
#   P                          = 3.6            [-]
#   Rg2                        = 1e+10          [A]   collapsed (single level)
#   s2                         = 0              [-]
#   background                 = 0.005          [1/cm]
# 
# DERIVED QUANTITIES (not fitted; for cross-checking)
#   Q1                         = 0.0179161      [1/A]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 3172.66, seed = 1241706239
#   median rel. error = 0.01004, max = 0.09308
# 
# Q range       : 0.002 to 0.4 1/A, 400 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]
2.00000000e-03  7.37947936e+04
2.02673510e-03  7.27896073e+04
2.05382758e-03  7.17972705e+04
2.08128221e-03  7.08176088e+04
2.10910386e-03  6.98504501e+04
2.13729740e-03  6.88956244e+04
2.16586783e-03  6.79529639e+04
2.19482017e-03  6.70223032e+04
2.22415954e-03  6.61034788e+04
2.25389110e-03  6.51963295e+04
2.28402009e-03  6.43006959e+04
2.31455184e-03  6.34164210e+04
2.34549173e-03  6.25433496e+04
2.37684520e-03  6.16813287e+04
2.40861779e-03  6.08302071e+04
2.44081511e-03  5.99898356e+04
2.47344282e-03  5.91600670e+04
2.50650669e-03  5.83407560e+04
2.54001254e-03  5.75317590e+04
2.57396628e-03  5.67329346e+04
2.60837389e-03  5.59441430e+04
2.64324146e-03  5.51652462e+04
2.67857512e-03  5.43961081e+04
2.71438110e-03  5.36365943e+04
2.75066572e-03  5.28865721e+04
2.78743538e-03  5.21459107e+04
2.82469655e-03  5.14144808e+04
2.86245582e-03  5.06921549e+04
2.90071984e-03  4.99788071e+04
2.93949535e-03  4.92743132e+04
2.97878919e-03  4.85785507e+04
3.01860830e-03  4.78913985e+04
3.05895969e-03  4.72127372e+04
3.09985049e-03  4.65424489e+04
3.14128789e-03  4.58804174e+04
3.18327920e-03  4.52265278e+04
3.22583184e-03  4.45806670e+04
3.26895331e-03  4.39427231e+04
3.31265120e-03  4.33125859e+04
3.35693322e-03  4.26901465e+04
3.40180719e-03  4.20752976e+04
3.44728101e-03  4.14679332e+04
3.49336270e-03  4.08679488e+04
3.54006040e-03  4.02752412e+04
3.58738233e-03  3.96897087e+04
3.63533683e-03  3.91112509e+04
3.68393237e-03  3.85397688e+04
3.73317752e-03  3.79751647e+04
3.78308095e-03  3.74173422e+04
3.83365147e-03  3.68662064e+04
3.88489799e-03  3.63216636e+04
3.93682955e-03  3.57836211e+04
3.98945531e-03  3.52519881e+04
4.04278454e-03  3.47266744e+04
4.09682666e-03  3.42075916e+04
4.15159119e-03  3.36946523e+04
4.20708778e-03  3.31877703e+04
4.26332623e-03  3.26868608e+04
4.32031645e-03  3.21918400e+04
4.37806849e-03  3.17026255e+04
4.43659253e-03  3.12191360e+04
4.49589890e-03  3.07412914e+04
4.55599804e-03  3.02690130e+04
4.61690057e-03  2.98022229e+04
4.67861721e-03  2.93408446e+04
4.74115885e-03  2.88848027e+04
4.80453652e-03  2.84340232e+04
4.86876139e-03  2.79884328e+04
4.93384479e-03  2.75479597e+04
4.99979820e-03  2.71125332e+04
5.06663325e-03  2.66820835e+04
5.13436171e-03  2.62565422e+04
5.20299554e-03  2.58358420e+04
5.27254683e-03  2.54199167e+04
5.34302786e-03  2.50087010e+04
5.41445104e-03  2.46021310e+04
5.48682898e-03  2.42001439e+04
5.56017443e-03  2.38026779e+04
5.63450033e-03  2.34096723e+04
5.70981978e-03  2.30210676e+04
5.78614607e-03  2.26368055e+04
5.86349266e-03  2.22568286e+04
5.94187318e-03  2.18810807e+04
6.02130146e-03  2.15095068e+04
6.10179149e-03  2.11420529e+04
6.18335749e-03  2.07786661e+04
6.26601382e-03  2.04192948e+04
6.34977506e-03  2.00638883e+04
6.43465598e-03  1.97123972e+04
6.52067156e-03  1.93647731e+04
6.60783695e-03  1.90209687e+04
6.69616753e-03  1.86809379e+04
6.78567887e-03  1.83446357e+04
6.87638676e-03  1.80120184e+04
6.96830719e-03  1.76830432e+04
7.06145637e-03  1.73576684e+04
7.15585073e-03  1.70358538e+04
7.25150691e-03  1.67175601e+04
7.34844178e-03  1.64027490e+04
7.44667243e-03  1.60913838e+04
7.54621618e-03  1.57834284e+04
7.64709059e-03  1.54788485e+04
7.74931345e-03  1.51776104e+04
7.85290277e-03  1.48796820e+04
7.95787682e-03  1.45850320e+04
8.06425413e-03  1.42936307e+04
8.17205343e-03  1.40054492e+04
8.28129375e-03  1.37204601e+04
8.39199434e-03  1.34386370e+04
8.50417473e-03  1.31599547e+04
8.61785470e-03  1.28843894e+04
8.73305429e-03  1.26119183e+04
8.84979381e-03  1.23425198e+04
8.96809386e-03  1.20761736e+04
9.08797528e-03  1.18128607e+04
9.20945923e-03  1.15525631e+04
9.33256712e-03  1.12952641e+04
9.45732066e-03  1.10409483e+04
9.58374185e-03  1.07896012e+04
9.71185299e-03  1.05412097e+04
9.84167665e-03  1.02957621e+04
9.97323574e-03  1.00532475e+04
1.01065534e-02  9.81365637e+03
1.02416533e-02  9.57698031e+03
1.03785591e-02  9.34321208e+03
1.05172950e-02  9.11234559e+03
1.06578854e-02  8.88437585e+03
1.08003552e-02  8.65929900e+03
1.09447295e-02  8.43711227e+03
1.10910337e-02  8.21781396e+03
1.12392936e-02  8.00140341e+03
1.13895354e-02  7.78788098e+03
1.15417856e-02  7.57724803e+03
1.16960710e-02  7.36950689e+03
1.18524187e-02  7.16466081e+03
1.20108565e-02  6.96271392e+03
1.21714122e-02  6.76367124e+03
1.23341142e-02  6.56753856e+03
1.24989910e-02  6.37432248e+03
1.26660719e-02  6.18403029e+03
1.28353862e-02  5.99666995e+03
1.30069639e-02  5.81225004e+03
1.31808351e-02  5.63077968e+03
1.33570305e-02  5.45226850e+03
1.35355813e-02  5.27672654e+03
1.37165188e-02  5.10416419e+03
1.38998751e-02  4.93459215e+03
1.40856823e-02  4.76802129e+03
1.42739733e-02  4.60446264e+03
1.44647814e-02  4.44392725e+03
1.46581400e-02  4.28642613e+03
1.48540834e-02  4.13197017e+03
1.50526461e-02  3.98057001e+03
1.52538631e-02  3.83223598e+03
1.54577698e-02  3.68697798e+03
1.56644023e-02  3.54480539e+03
1.58737970e-02  3.40572695e+03
1.60859907e-02  3.26975065e+03
1.63010210e-02  3.13688367e+03
1.65189256e-02  3.00713218e+03
1.67397432e-02  2.88050132e+03
1.69635125e-02  2.75699503e+03
1.71902731e-02  2.63661595e+03
1.74200649e-02  2.51936531e+03
1.76529284e-02  2.40524282e+03
1.78889048e-02  2.29424655e+03
1.81280356e-02  2.18716511e+03
1.83703630e-02  2.08506906e+03
1.86159297e-02  1.98773883e+03
1.88647791e-02  1.89495195e+03
1.91169549e-02  1.80649634e+03
1.93725017e-02  1.72216981e+03
1.96314646e-02  1.64177962e+03
1.98938891e-02  1.56514203e+03
2.01598216e-02  1.49208185e+03
2.04293090e-02  1.42243211e+03
2.07023988e-02  1.35603359e+03
2.09791391e-02  1.29273454e+03
2.12595788e-02  1.23239028e+03
2.15437672e-02  1.17486286e+03
2.18317546e-02  1.12002082e+03
2.21235916e-02  1.06773878e+03
2.24193298e-02  1.01789725e+03
2.27190212e-02  9.70382318e+02
2.30227189e-02  9.25085366e+02
2.33304762e-02  8.81902864e+02
2.36423474e-02  8.40736109e+02
2.39583877e-02  8.01491008e+02
2.42786526e-02  7.64077857e+02
2.46031986e-02  7.28411142e+02
2.49320831e-02  6.94409340e+02
2.52653639e-02  6.61994732e+02
2.56030999e-02  6.31093230e+02
2.59453505e-02  6.01634202e+02
2.62921762e-02  5.73550313e+02
2.66436382e-02  5.46777372e+02
2.69997983e-02  5.21254185e+02
2.73607194e-02  4.96922414e+02
2.77264651e-02  4.73726443e+02
2.80971000e-02  4.51613253e+02
2.84726893e-02  4.30532302e+02
2.88532994e-02  4.10435403e+02
2.92389973e-02  3.91276623e+02
2.96298510e-02  3.73012169e+02
3.00259294e-02  3.55600295e+02
3.04273025e-02  3.39001202e+02
3.08340409e-02  3.23176951e+02
3.12462165e-02  3.08091371e+02
3.16639018e-02  2.93709983e+02
3.20871705e-02  2.79999913e+02
3.25160973e-02  2.66929826e+02
3.29507578e-02  2.54469847e+02
3.33912286e-02  2.42591497e+02
3.38375875e-02  2.31267624e+02
3.42899131e-02  2.20472347e+02
3.47482852e-02  2.10180991e+02
3.52127845e-02  2.00370032e+02
3.56834931e-02  1.91017047e+02
3.61604939e-02  1.82100656e+02
3.66438711e-02  1.73600480e+02
3.71337098e-02  1.65497090e+02
3.76300965e-02  1.57771963e+02
3.81331186e-02  1.50407444e+02
3.86428649e-02  1.43386699e+02
3.91594253e-02  1.36693679e+02
3.96828908e-02  1.30313089e+02
4.02133537e-02  1.24230342e+02
4.07509077e-02  1.18431537e+02
4.12956474e-02  1.12903418e+02
4.18476689e-02  1.07633350e+02
4.24070697e-02  1.02609288e+02
4.29739482e-02  9.78197474e+01
4.35484046e-02  9.32537813e+01
4.41305400e-02  8.89009534e+01
4.47204571e-02  8.47513142e+01
4.53182599e-02  8.07953791e+01
4.59240540e-02  7.70241060e+01
4.65379460e-02  7.34288749e+01
4.71600442e-02  7.00014682e+01
4.77904584e-02  6.67340519e+01
4.84292996e-02  6.36191578e+01
4.90766806e-02  6.06496660e+01
4.97327155e-02  5.78187894e+01
5.03975200e-02  5.51200573e+01
5.10712113e-02  5.25473012e+01
5.17539082e-02  5.00946408e+01
5.24457310e-02  4.77564699e+01
5.31468019e-02  4.55274441e+01
5.38572443e-02  4.34024687e+01
5.45771836e-02  4.13766865e+01
5.53067468e-02  3.94454674e+01
5.60460624e-02  3.76043970e+01
5.67952608e-02  3.58492673e+01
5.75544742e-02  3.41760665e+01
5.83238364e-02  3.25809704e+01
5.91034831e-02  3.10603328e+01
5.98935518e-02  2.96106783e+01
6.06941817e-02  2.82286932e+01
6.15055141e-02  2.69112188e+01
6.23276920e-02  2.56552438e+01
6.31608605e-02  2.44578973e+01
6.40051663e-02  2.33164426e+01
6.48607585e-02  2.22282708e+01
6.57277878e-02  2.11908945e+01
6.66064072e-02  2.02019426e+01
6.74967715e-02  1.92591548e+01
6.83990379e-02  1.83603761e+01
6.93133653e-02  1.75035520e+01
7.02399151e-02  1.66867244e+01
7.11788505e-02  1.59080260e+01
7.21303372e-02  1.51656770e+01
7.30945430e-02  1.44579807e+01
7.40716378e-02  1.37833194e+01
7.50617940e-02  1.31401512e+01
7.60651862e-02  1.25270059e+01
7.70819912e-02  1.19424820e+01
7.81123885e-02  1.13852436e+01
7.91565596e-02  1.08540169e+01
8.02146887e-02  1.03475877e+01
8.12869624e-02  9.86479848e+00
8.23735698e-02  9.40454575e+00
8.34747025e-02  8.96577749e+00
8.45905546e-02  8.54749081e+00
8.57213229e-02  8.14872964e+00
8.68672068e-02  7.76858253e+00
8.80284084e-02  7.40618059e+00
8.92051324e-02  7.06069548e+00
9.03975863e-02  6.73133752e+00
9.16059804e-02  6.41735389e+00
9.28305278e-02  6.11802694e+00
9.40714443e-02  5.83267249e+00
9.53289489e-02  5.56063831e+00
9.66032632e-02  5.30130261e+00
9.78946120e-02  5.05407263e+00
9.92032230e-02  4.81838328e+00
1.00529327e-01  4.59369585e+00
1.01873157e-01  4.37949676e+00
1.03234952e-01  4.17529643e+00
1.04614950e-01  3.98062812e+00
1.06013395e-01  3.79504687e+00
1.07430535e-01  3.61812851e+00
1.08866617e-01  3.44946864e+00
1.10321897e-01  3.28868177e+00
1.11796630e-01  3.13540039e+00
1.13291077e-01  2.98927415e+00
1.14805501e-01  2.84996903e+00
1.16340169e-01  2.71716665e+00
1.17895352e-01  2.59056344e+00
1.19471324e-01  2.46987003e+00
1.21068363e-01  2.35481056e+00
1.22686750e-01  2.24512204e+00
1.24326771e-01  2.14055375e+00
1.25988715e-01  2.04086667e+00
1.27672875e-01  1.94583297e+00
1.29379549e-01  1.85523541e+00
1.31109036e-01  1.76886692e+00
1.32861642e-01  1.68653008e+00
1.34637677e-01  1.60803671e+00
1.36437452e-01  1.53320739e+00
1.38261287e-01  1.46187108e+00
1.40109501e-01  1.39386473e+00
1.41982421e-01  1.32903290e+00
1.43880378e-01  1.26722740e+00
1.45803706e-01  1.20830697e+00
1.47752744e-01  1.15213692e+00
1.49727836e-01  1.09858888e+00
1.51729330e-01  1.04754045e+00
1.53757579e-01  9.98874939e-01
1.55812941e-01  9.52481125e-01
1.57895778e-01  9.08252961e-01
1.60006458e-01  8.66089357e-01
1.62145352e-01  8.25893938e-01
1.64312838e-01  7.87574830e-01
1.66509297e-01  7.51044448e-01
1.68735118e-01  7.16219294e-01
1.70990693e-01  6.83019769e-01
1.73276420e-01  6.51369989e-01
1.75592701e-01  6.21197612e-01
1.77939944e-01  5.92433674e-01
1.80318565e-01  5.65012428e-01
1.82728982e-01  5.38871199e-01
1.85171621e-01  5.13950235e-01
1.87646911e-01  4.90192575e-01
1.90155291e-01  4.67543917e-01
1.92697201e-01  4.45952491e-01
1.95273090e-01  4.25368948e-01
1.97883412e-01  4.05746239e-01
2.00528628e-01  3.87039512e-01
2.03209204e-01  3.69206011e-01
2.05925613e-01  3.52204972e-01
2.08678334e-01  3.35997538e-01
2.11467851e-01  3.20546662e-01
2.14294658e-01  3.05817029e-01
2.17159252e-01  2.91774971e-01
2.20062139e-01  2.78388393e-01
2.23003830e-01  2.65626696e-01
2.25984845e-01  2.53460712e-01
2.29005708e-01  2.41862633e-01
2.32066953e-01  2.30805949e-01
2.35169119e-01  2.20265389e-01
2.38312754e-01  2.10216858e-01
2.41498411e-01  2.00637391e-01
2.44726653e-01  1.91505090e-01
2.47998048e-01  1.82799083e-01
2.51313174e-01  1.74499469e-01
2.54672615e-01  1.66587280e-01
2.58076963e-01  1.59044429e-01
2.61526820e-01  1.51853677e-01
2.65022792e-01  1.44998587e-01
2.68565497e-01  1.38463490e-01
2.72155559e-01  1.32233451e-01
2.75793612e-01  1.26294227e-01
2.79480296e-01  1.20632246e-01
2.83216262e-01  1.15234564e-01
2.87002169e-01  1.10088844e-01
2.90838685e-01  1.05183325e-01
2.94726485e-01  1.00506794e-01
2.98666255e-01  9.60485629e-02
3.02658691e-01  9.17984405e-02
3.06704496e-01  8.77467127e-02
3.10804383e-01  8.38841185e-02
3.14959075e-01  8.02018291e-02
3.19169306e-01  7.66914280e-02
3.23435817e-01  7.33448914e-02
3.27759361e-01  7.01545703e-02
3.32140700e-01  6.71131725e-02
3.36580607e-01  6.42137464e-02
3.41079864e-01  6.14496647e-02
3.45639266e-01  5.88146095e-02
3.50259616e-01  5.63025581e-02
3.54941728e-01  5.39077685e-02
3.59686429e-01  5.16247670e-02
3.64494554e-01  4.94483355e-02
3.69366953e-01  4.73734992e-02
3.74304483e-01  4.53955156e-02
3.79308017e-01  4.35098638e-02
3.84378435e-01  4.17122338e-02
3.89516632e-01  3.99985166e-02
3.94723514e-01  3.83647953e-02
4.00000000e-01  3.68073356e-02
