# pyIrena / Irena validation dataset: modeling_hardsphere
# tool          : Modeling
# model         : Log-normal spheres with a Percus-Yevick hard-sphere structure factor
# equation      : I(Q) = I_sizedist(Q) * S_PY(Q; R_HS, phi_HS) + bg
# 
# GROUND-TRUTH PARAMETERS
#   pop1_type                  = size_dist / lognormal / sphere [-]
#   pop1_min_size              = 0              [A]
#   pop1_mean_size             = 50             [A]
#   pop1_sdeviation            = 0.12           [-]
#   pop1_scale                 = 0.2            [-]
#   pop1_contrast              = 100            [1e20 cm^-4]
#   structure_factor           = hard_sphere    [-]
#   sf_radius                  = 50             [A]
#   sf_volume_fraction         = 0.25           [-]
#   background                 = 0.01           [1/cm]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 6306.94, seed = 1762171967
#   median rel. error = 0.01005, max = 0.08505
# 
# Q range       : 0.003 to 0.5 1/A, 450 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]               dI[1/cm]
3.00000000e-03  1.54814207e+02  1.58189141e+00
3.03437808e-03  1.58811605e+02  1.58195321e+00
3.06915012e-03  1.56887465e+02  1.58201644e+00
3.10432062e-03  1.57276344e+02  1.58208113e+00
3.13989415e-03  1.55753930e+02  1.58214731e+00
3.17587533e-03  1.58306782e+02  1.58221503e+00
3.21226883e-03  1.57146361e+02  1.58228432e+00
3.24907938e-03  1.57461711e+02  1.58235520e+00
3.28631176e-03  1.57091311e+02  1.58242773e+00
3.32397079e-03  1.55470305e+02  1.58250194e+00
3.36206137e-03  1.56679567e+02  1.58257786e+00
3.40058845e-03  1.58408880e+02  1.58265554e+00
3.43955702e-03  1.57141675e+02  1.58273502e+00
3.47897214e-03  1.55595453e+02  1.58281634e+00
3.51883894e-03  1.56555439e+02  1.58289955e+00
3.55916259e-03  1.59747010e+02  1.58298468e+00
3.59994832e-03  1.57133122e+02  1.58307178e+00
3.64120143e-03  1.54160350e+02  1.58316090e+00
3.68292727e-03  1.58751804e+02  1.58325208e+00
3.72513126e-03  1.59079966e+02  1.58334537e+00
3.76781889e-03  1.58144625e+02  1.58344083e+00
3.81099568e-03  1.56105137e+02  1.58353850e+00
3.85466726e-03  1.57346856e+02  1.58363843e+00
3.89883928e-03  1.53966338e+02  1.58374068e+00
3.94351749e-03  1.56521700e+02  1.58384530e+00
3.98870768e-03  1.57136091e+02  1.58395235e+00
4.03441572e-03  1.56170791e+02  1.58406187e+00
4.08064755e-03  1.58420857e+02  1.58417394e+00
4.12740916e-03  1.57444342e+02  1.58428861e+00
4.17470664e-03  1.57066978e+02  1.58440593e+00
4.22254611e-03  1.58727157e+02  1.58452598e+00
4.27093379e-03  1.55131654e+02  1.58464881e+00
4.31987596e-03  1.54752935e+02  1.58477450e+00
4.36937898e-03  1.60428154e+02  1.58490310e+00
4.41944927e-03  1.57541510e+02  1.58503469e+00
4.47009334e-03  1.57499020e+02  1.58516933e+00
4.52131775e-03  1.56935700e+02  1.58530710e+00
4.57312917e-03  1.58831054e+02  1.58544807e+00
4.62553430e-03  1.58993652e+02  1.58559231e+00
4.67853997e-03  1.56421070e+02  1.58573991e+00
4.73215305e-03  1.58455905e+02  1.58589093e+00
4.78638050e-03  1.57946168e+02  1.58604547e+00
4.84122937e-03  1.59984699e+02  1.58620360e+00
4.89670676e-03  1.58457452e+02  1.58636540e+00
4.95281989e-03  1.59701484e+02  1.58653097e+00
5.00957604e-03  1.55948274e+02  1.58670039e+00
5.06698259e-03  1.57380909e+02  1.58687375e+00
5.12504697e-03  1.56583015e+02  1.58705115e+00
5.18377673e-03  1.58001084e+02  1.58723267e+00
5.24317950e-03  1.58021306e+02  1.58741842e+00
5.30326299e-03  1.57517778e+02  1.58760850e+00
5.36403500e-03  1.57193211e+02  1.58780300e+00
5.42550341e-03  1.54924906e+02  1.58800204e+00
5.48767621e-03  1.59472320e+02  1.58820571e+00
5.55056148e-03  1.58576949e+02  1.58841413e+00
5.61416737e-03  1.57178090e+02  1.58862742e+00
5.67850214e-03  1.57846690e+02  1.58884567e+00
5.74357415e-03  1.61647464e+02  1.58906902e+00
5.80939184e-03  1.56933921e+02  1.58929757e+00
5.87596375e-03  1.57706268e+02  1.58953147e+00
5.94329855e-03  1.58377453e+02  1.58977082e+00
6.01140495e-03  1.61293341e+02  1.59001576e+00
6.08029181e-03  1.58039798e+02  1.59026643e+00
6.14996807e-03  1.57455120e+02  1.59052295e+00
6.22044278e-03  1.59211338e+02  1.59078547e+00
6.29172508e-03  1.56932337e+02  1.59105412e+00
6.36382423e-03  1.58393544e+02  1.59132906e+00
6.43674959e-03  1.56996516e+02  1.59161044e+00
6.51051062e-03  1.58516681e+02  1.59189840e+00
6.58511692e-03  1.57732724e+02  1.59219310e+00
6.66057815e-03  1.58082419e+02  1.59249470e+00
6.73690412e-03  1.54146123e+02  1.59280337e+00
6.81410474e-03  1.57482556e+02  1.59311928e+00
6.89219003e-03  1.57966406e+02  1.59344259e+00
6.97117012e-03  1.61008347e+02  1.59377349e+00
7.05105528e-03  1.58714524e+02  1.59411215e+00
7.13185587e-03  1.56802563e+02  1.59445876e+00
7.21358238e-03  1.57178836e+02  1.59481351e+00
7.29624542e-03  1.59273886e+02  1.59517660e+00
7.37985574e-03  1.61567386e+02  1.59554822e+00
7.46442417e-03  1.62340680e+02  1.59592858e+00
7.54996170e-03  1.61372011e+02  1.59631789e+00
7.63647944e-03  1.60812407e+02  1.59671637e+00
7.72398861e-03  1.58929563e+02  1.59712422e+00
7.81250059e-03  1.55406793e+02  1.59754169e+00
7.90202686e-03  1.59579456e+02  1.59796899e+00
7.99257903e-03  1.59136306e+02  1.59840637e+00
8.08416888e-03  1.57513588e+02  1.59885407e+00
8.17680830e-03  1.60759278e+02  1.59931235e+00
8.27050930e-03  1.58998723e+02  1.59978144e+00
8.36528405e-03  1.59536400e+02  1.60026162e+00
8.46114486e-03  1.60726680e+02  1.60075316e+00
8.55810417e-03  1.60786140e+02  1.60125632e+00
8.65617458e-03  1.60433304e+02  1.60177140e+00
8.75536881e-03  1.59846109e+02  1.60229867e+00
8.85569975e-03  1.59674517e+02  1.60283844e+00
8.95718041e-03  1.57920459e+02  1.60339102e+00
9.05982397e-03  1.59642228e+02  1.60395671e+00
9.16364377e-03  1.56752266e+02  1.60453582e+00
9.26865327e-03  1.60293046e+02  1.60512871e+00
9.37486612e-03  1.59563519e+02  1.60573568e+00
9.48229609e-03  1.60545043e+02  1.60635710e+00
9.59095715e-03  1.58995080e+02  1.60699332e+00
9.70086339e-03  1.60011180e+02  1.60764470e+00
9.81202909e-03  1.63430033e+02  1.60831161e+00
9.92446867e-03  1.63415133e+02  1.60899443e+00
1.00381967e-02  1.57011300e+02  1.60969356e+00
1.01532281e-02  1.58883695e+02  1.61040939e+00
1.02695776e-02  1.59973223e+02  1.61114235e+00
1.03872604e-02  1.58823140e+02  1.61189286e+00
1.05062917e-02  1.62183769e+02  1.61266134e+00
1.06266871e-02  1.61742418e+02  1.61344825e+00
1.07484622e-02  1.57453042e+02  1.61425405e+00
1.08716327e-02  1.60211528e+02  1.61507920e+00
1.09962147e-02  1.59232210e+02  1.61592419e+00
1.11222242e-02  1.59649366e+02  1.61678951e+00
1.12496778e-02  1.63304357e+02  1.61767567e+00
1.13785920e-02  1.61159949e+02  1.61858319e+00
1.15089833e-02  1.61903482e+02  1.61951261e+00
1.16408689e-02  1.59046451e+02  1.62046449e+00
1.17742659e-02  1.60613712e+02  1.62143937e+00
1.19091914e-02  1.61791005e+02  1.62243786e+00
1.20456632e-02  1.59038379e+02  1.62346054e+00
1.21836988e-02  1.61374169e+02  1.62450802e+00
1.23233162e-02  1.59788386e+02  1.62558093e+00
1.24645335e-02  1.63699274e+02  1.62667993e+00
1.26073691e-02  1.63279148e+02  1.62780566e+00
1.27518415e-02  1.62571541e+02  1.62895883e+00
1.28979694e-02  1.58651766e+02  1.63014012e+00
1.30457719e-02  1.65354079e+02  1.63135026e+00
1.31952681e-02  1.62593075e+02  1.63258999e+00
1.33464775e-02  1.65624641e+02  1.63386007e+00
1.34994196e-02  1.63819073e+02  1.63516127e+00
1.36541143e-02  1.59651100e+02  1.63649441e+00
1.38105817e-02  1.62934747e+02  1.63786032e+00
1.39688422e-02  1.62171955e+02  1.63925983e+00
1.41289162e-02  1.66360200e+02  1.64069382e+00
1.42908246e-02  1.63152970e+02  1.64216320e+00
1.44545883e-02  1.64522888e+02  1.64366888e+00
1.46202286e-02  1.61735987e+02  1.64521181e+00
1.47877671e-02  1.60854989e+02  1.64679298e+00
1.49572255e-02  1.61032293e+02  1.64841338e+00
1.51286257e-02  1.62506033e+02  1.65007405e+00
1.53019901e-02  1.65703855e+02  1.65177605e+00
1.54773411e-02  1.62797622e+02  1.65352047e+00
1.56547016e-02  1.65210523e+02  1.65530845e+00
1.58340945e-02  1.64247133e+02  1.65714113e+00
1.60155431e-02  1.65463822e+02  1.65901971e+00
1.61990710e-02  1.65953494e+02  1.66094541e+00
1.63847020e-02  1.65165015e+02  1.66291949e+00
1.65724602e-02  1.63158759e+02  1.66494326e+00
1.67623700e-02  1.64932582e+02  1.66701805e+00
1.69544560e-02  1.64980653e+02  1.66914524e+00
1.71487433e-02  1.66671042e+02  1.67132623e+00
1.73452569e-02  1.68775844e+02  1.67356250e+00
1.75440225e-02  1.68071856e+02  1.67585553e+00
1.77450658e-02  1.64994554e+02  1.67820687e+00
1.79484129e-02  1.66794703e+02  1.68061812e+00
1.81540902e-02  1.68930335e+02  1.68309092e+00
1.83621245e-02  1.68438665e+02  1.68562694e+00
1.85725427e-02  1.69619824e+02  1.68822792e+00
1.87853722e-02  1.73219150e+02  1.69089566e+00
1.90006406e-02  1.68994617e+02  1.69363200e+00
1.92183758e-02  1.69519954e+02  1.69643883e+00
1.94386061e-02  1.69416420e+02  1.69931810e+00
1.96613601e-02  1.69297202e+02  1.70227182e+00
1.98866667e-02  1.69249903e+02  1.70530208e+00
2.01145552e-02  1.71713107e+02  1.70841099e+00
2.03450552e-02  1.68814963e+02  1.71160075e+00
2.05781965e-02  1.71111220e+02  1.71487363e+00
2.08140095e-02  1.73695660e+02  1.71823195e+00
2.10525247e-02  1.71899491e+02  1.72167811e+00
2.12937732e-02  1.73055226e+02  1.72521457e+00
2.15377862e-02  1.69358052e+02  1.72884387e+00
2.17845955e-02  1.72711414e+02  1.73256863e+00
2.20342331e-02  1.73011591e+02  1.73639153e+00
2.22867313e-02  1.71201536e+02  1.74031534e+00
2.25421230e-02  1.74523527e+02  1.74434290e+00
2.28004413e-02  1.70125923e+02  1.74847713e+00
2.30617198e-02  1.73891320e+02  1.75272105e+00
2.33259924e-02  1.72488931e+02  1.75707774e+00
2.35932934e-02  1.74361087e+02  1.76155037e+00
2.38636574e-02  1.79463940e+02  1.76614221e+00
2.41371197e-02  1.76204549e+02  1.77085659e+00
2.44137157e-02  1.79085698e+02  1.77569695e+00
2.46934813e-02  1.79116055e+02  1.78066680e+00
2.49764528e-02  1.76122582e+02  1.78576976e+00
2.52626670e-02  1.79877674e+02  1.79100950e+00
2.55521610e-02  1.78896763e+02  1.79638981e+00
2.58449725e-02  1.80289550e+02  1.80191455e+00
2.61411393e-02  1.79804760e+02  1.80758764e+00
2.64407001e-02  1.79227666e+02  1.81341312e+00
2.67436936e-02  1.80944697e+02  1.81939507e+00
2.70501593e-02  1.80196702e+02  1.82553765e+00
2.73601368e-02  1.79614563e+02  1.83184508e+00
2.76736665e-02  1.82531469e+02  1.83832166e+00
2.79907890e-02  1.80999477e+02  1.84497170e+00
2.83115456e-02  1.83960890e+02  1.85179958e+00
2.86359778e-02  1.85089029e+02  1.85880967e+00
2.89641278e-02  1.86428351e+02  1.86600639e+00
2.92960382e-02  1.87060896e+02  1.87339412e+00
2.96317521e-02  1.89271018e+02  1.88097724e+00
2.99713131e-02  1.88853167e+02  1.88876005e+00
3.03147652e-02  1.84555257e+02  1.89674679e+00
3.06621530e-02  1.91651578e+02  1.90494159e+00
3.10135217e-02  1.93387279e+02  1.91334845e+00
3.13689168e-02  1.91924290e+02  1.92197115e+00
3.17283846e-02  1.93678885e+02  1.93081326e+00
3.20919716e-02  1.91168319e+02  1.93987805e+00
3.24597251e-02  1.92762774e+02  1.94916846e+00
3.28316928e-02  1.95057346e+02  1.95868698e+00
3.32079230e-02  1.92495581e+02  1.96843560e+00
3.35884646e-02  1.96827829e+02  1.97841572e+00
3.39733670e-02  2.00427032e+02  1.98862802e+00
3.43626801e-02  2.00841775e+02  1.99907237e+00
3.47564544e-02  2.00253780e+02  2.00974765e+00
3.51547412e-02  2.00634127e+02  2.02065164e+00
3.55575921e-02  2.00849084e+02  2.03178078e+00
3.59650593e-02  2.02318578e+02  2.04313004e+00
3.63771959e-02  2.05387628e+02  2.05469264e+00
3.67940554e-02  2.05045030e+02  2.06645979e+00
3.72156917e-02  2.06294242e+02  2.07842044e+00
3.76421598e-02  2.06462244e+02  2.09056090e+00
3.80735149e-02  2.08046434e+02  2.10286450e+00
3.85098131e-02  2.09106966e+02  2.11531116e+00
3.89511109e-02  2.12429049e+02  2.12787693e+00
3.93974658e-02  2.14724377e+02  2.14053349e+00
3.98489356e-02  2.15811460e+02  2.15324751e+00
4.03055789e-02  2.17771291e+02  2.16598008e+00
4.07674551e-02  2.15302896e+02  2.17868597e+00
4.12346241e-02  2.23719809e+02  2.19131284e+00
4.17071465e-02  2.19794679e+02  2.20380041e+00
4.21850838e-02  2.21064012e+02  2.21607954e+00
4.26684979e-02  2.20275530e+02  2.22807122e+00
4.31574516e-02  2.22809077e+02  2.23968556e+00
