# pyIrena / Irena validation dataset: modeling_hardsphere
# tool          : Modeling
# model         : Log-normal spheres with a Percus-Yevick hard-sphere structure factor
# equation      : I(Q) = I_sizedist(Q) * S_PY(Q; R_HS, phi_HS) + bg
# 
# GROUND-TRUTH PARAMETERS
#   pop1_type                  = size_dist / lognormal / sphere [-]
#   pop1_min_size              = 0              [A]
#   pop1_mean_size             = 50             [A]
#   pop1_sdeviation            = 0.12           [-]
#   pop1_scale                 = 0.2            [-]
#   pop1_contrast              = 100            [1e20 cm^-4]
#   structure_factor           = hard_sphere    [-]
#   sf_radius                  = 50             [A]
#   sf_volume_fraction         = 0.25           [-]
#   background                 = 0.01           [1/cm]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 6306.94, seed = 1762171967
#   median rel. error = 0.01005, max = 0.08505
# 
# Q range       : 0.003 to 0.5 1/A, 450 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]
3.00000000e-03  1.57398351e+02
3.03437808e-03  1.57404531e+02
3.06915012e-03  1.57410853e+02
3.10432062e-03  1.57417322e+02
3.13989415e-03  1.57423941e+02
3.17587533e-03  1.57430712e+02
3.21226883e-03  1.57437641e+02
3.24907938e-03  1.57444729e+02
3.28631176e-03  1.57451982e+02
3.32397079e-03  1.57459403e+02
3.36206137e-03  1.57466995e+02
3.40058845e-03  1.57474763e+02
3.43955702e-03  1.57482711e+02
3.47897214e-03  1.57490843e+02
3.51883894e-03  1.57499163e+02
3.55916259e-03  1.57507676e+02
3.59994832e-03  1.57516386e+02
3.64120143e-03  1.57525298e+02
3.68292727e-03  1.57534416e+02
3.72513126e-03  1.57543745e+02
3.76781889e-03  1.57553291e+02
3.81099568e-03  1.57563058e+02
3.85466726e-03  1.57573051e+02
3.89883928e-03  1.57583275e+02
3.94351749e-03  1.57593737e+02
3.98870768e-03  1.57604442e+02
4.03441572e-03  1.57615394e+02
4.08064755e-03  1.57626601e+02
4.12740916e-03  1.57638067e+02
4.17470664e-03  1.57649800e+02
4.22254611e-03  1.57661804e+02
4.27093379e-03  1.57674088e+02
4.31987596e-03  1.57686656e+02
4.36937898e-03  1.57699516e+02
4.41944927e-03  1.57712674e+02
4.47009334e-03  1.57726138e+02
4.52131775e-03  1.57739915e+02
4.57312917e-03  1.57754012e+02
4.62553430e-03  1.57768436e+02
4.67853997e-03  1.57783196e+02
4.73215305e-03  1.57798298e+02
4.78638050e-03  1.57813751e+02
4.84122937e-03  1.57829564e+02
4.89670676e-03  1.57845744e+02
4.95281989e-03  1.57862301e+02
5.00957604e-03  1.57879243e+02
5.06698259e-03  1.57896579e+02
5.12504697e-03  1.57914318e+02
5.18377673e-03  1.57932470e+02
5.24317950e-03  1.57951045e+02
5.30326299e-03  1.57970052e+02
5.36403500e-03  1.57989503e+02
5.42550341e-03  1.58009406e+02
5.48767621e-03  1.58029773e+02
5.55056148e-03  1.58050615e+02
5.61416737e-03  1.58071943e+02
5.67850214e-03  1.58093768e+02
5.74357415e-03  1.58116102e+02
5.80939184e-03  1.58138958e+02
5.87596375e-03  1.58162347e+02
5.94329855e-03  1.58186282e+02
6.01140495e-03  1.58210776e+02
6.08029181e-03  1.58235842e+02
6.14996807e-03  1.58261494e+02
6.22044278e-03  1.58287745e+02
6.29172508e-03  1.58314610e+02
6.36382423e-03  1.58342104e+02
6.43674959e-03  1.58370241e+02
6.51051062e-03  1.58399037e+02
6.58511692e-03  1.58428506e+02
6.66057815e-03  1.58458666e+02
6.73690412e-03  1.58489533e+02
6.81410474e-03  1.58521123e+02
6.89219003e-03  1.58553454e+02
6.97117012e-03  1.58586543e+02
7.05105528e-03  1.58620409e+02
7.13185587e-03  1.58655070e+02
7.21358238e-03  1.58690545e+02
7.29624542e-03  1.58726853e+02
7.37985574e-03  1.58764015e+02
7.46442417e-03  1.58802050e+02
7.54996170e-03  1.58840981e+02
7.63647944e-03  1.58880828e+02
7.72398861e-03  1.58921613e+02
7.81250059e-03  1.58963359e+02
7.90202686e-03  1.59006089e+02
7.99257903e-03  1.59049826e+02
8.08416888e-03  1.59094596e+02
8.17680830e-03  1.59140422e+02
8.27050930e-03  1.59187331e+02
8.36528405e-03  1.59235349e+02
8.46114486e-03  1.59284502e+02
8.55810417e-03  1.59334818e+02
8.65617458e-03  1.59386324e+02
8.75536881e-03  1.59439051e+02
8.85569975e-03  1.59493028e+02
8.95718041e-03  1.59548285e+02
9.05982397e-03  1.59604853e+02
9.16364377e-03  1.59662764e+02
9.26865327e-03  1.59722051e+02
9.37486612e-03  1.59782748e+02
9.48229609e-03  1.59844890e+02
9.59095715e-03  1.59908511e+02
9.70086339e-03  1.59973647e+02
9.81202909e-03  1.60040337e+02
9.92446867e-03  1.60108619e+02
1.00381967e-02  1.60178531e+02
1.01532281e-02  1.60250114e+02
1.02695776e-02  1.60323409e+02
1.03872604e-02  1.60398458e+02
1.05062917e-02  1.60475306e+02
1.06266871e-02  1.60553996e+02
1.07484622e-02  1.60634575e+02
1.08716327e-02  1.60717089e+02
1.09962147e-02  1.60801586e+02
1.11222242e-02  1.60888117e+02
1.12496778e-02  1.60976732e+02
1.13785920e-02  1.61067484e+02
1.15089833e-02  1.61160425e+02
1.16408689e-02  1.61255611e+02
1.17742659e-02  1.61353099e+02
1.19091914e-02  1.61452946e+02
1.20456632e-02  1.61555212e+02
1.21836988e-02  1.61659959e+02
1.23233162e-02  1.61767249e+02
