# pyIrena / Irena validation dataset: modeling_mass_fractal
# tool          : Modeling
# model         : Mass-fractal aggregate of spherical primary particles (Teixeira 1988)
# equation      : I(Q) = phi*contrast*1e-4*V*[bracket*S_f(Q)+(1-eta)^2]*F_sph^2(QR) + bg
# 
# GROUND-TRUTH PARAMETERS
#   pop_type                   = mass_fractal   [-]
#   Phi                        = 0.005          [-]
#   Radius                     = 40             [A]
#   Dv                         = 2.4            [-]   mass fractal dimension
#   Ksi                        = 800            [A]   aggregate correlation length
#   Eta                        = 0.5            [-]   packing term
#   Beta                       = 1              [-]   aspect ratio (sphere)
#   Contrast                   = 100            [1e20 cm^-4]
#   background                 = 0.01           [1/cm]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 24414.7, seed = 2358675931
#   median rel. error = 0.01003, max = 0.06472
# 
# Q range       : 0.0003 to 0.3 1/A, 400 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]               dI[1/cm]
3.00000000e-04  1.23177345e+04  1.24838311e+02
3.05239021e-04  1.26215177e+04  1.24513533e+02
3.10569533e-04  1.22230235e+04  1.24178866e+02
3.15993134e-04  1.23725065e+04  1.23834061e+02
3.21511449e-04  1.22956222e+04  1.23478867e+02
3.27126133e-04  1.22929945e+04  1.23113031e+02
3.32838868e-04  1.21460980e+04  1.22736297e+02
3.38651368e-04  1.22302406e+04  1.22348408e+02
3.44565373e-04  1.21441386e+04  1.21949105e+02
3.50582657e-04  1.19915706e+04  1.21538127e+02
3.56705023e-04  1.21047802e+04  1.21115215e+02
3.62934306e-04  1.20080825e+04  1.20680105e+02
3.69272374e-04  1.22702676e+04  1.20232537e+02
3.75721126e-04  1.20403825e+04  1.19772248e+02
3.82282496e-04  1.20192494e+04  1.19298978e+02
3.88958449e-04  1.18939342e+04  1.18812469e+02
3.95750987e-04  1.17986290e+04  1.18312462e+02
4.02662146e-04  1.19299946e+04  1.17798702e+02
4.09693997e-04  1.16612638e+04  1.17270937e+02
4.16848648e-04  1.18563282e+04  1.16728918e+02
4.24128244e-04  1.15430549e+04  1.16172402e+02
4.31534966e-04  1.15286753e+04  1.15601148e+02
4.39071035e-04  1.15473625e+04  1.15014924e+02
4.46738710e-04  1.14399680e+04  1.14413501e+02
4.54540288e-04  1.13350929e+04  1.13796660e+02
4.62478108e-04  1.11002158e+04  1.13164188e+02
4.70554549e-04  1.12435873e+04  1.12515882e+02
4.78772033e-04  1.10930660e+04  1.11851549e+02
4.87133022e-04  1.10384390e+04  1.11171005e+02
4.95640022e-04  1.10842109e+04  1.10474079e+02
5.04295583e-04  1.10738105e+04  1.09760612e+02
5.13102300e-04  1.09538164e+04  1.09030457e+02
5.22062812e-04  1.08566993e+04  1.08283483e+02
5.31179805e-04  1.05616267e+04  1.07519574e+02
5.40456012e-04  1.07075353e+04  1.06738631e+02
5.49894213e-04  1.04401267e+04  1.05940571e+02
5.59497237e-04  1.05956878e+04  1.05125329e+02
5.69267963e-04  1.04057652e+04  1.04292862e+02
5.79209319e-04  1.02421483e+04  1.03443144e+02
5.89324284e-04  1.01376362e+04  1.02576173e+02
5.99615892e-04  1.01629744e+04  1.01691968e+02
6.10087225e-04  1.00373590e+04  1.00790571e+02
6.20741424e-04  9.94416209e+03  9.98720495e+01
6.31581682e-04  9.92655659e+03  9.89364950e+01
6.42611247e-04  1.00249997e+04  9.79840253e+01
6.53833426e-04  9.72290039e+03  9.70147850e+01
6.65251583e-04  9.52285840e+03  9.60289462e+01
6.76869139e-04  9.71026418e+03  9.50267093e+01
6.88689577e-04  9.30381703e+03  9.40083033e+01
7.00716441e-04  9.15235652e+03  9.29739868e+01
7.12953334e-04  9.16334978e+03  9.19240483e+01
7.25403925e-04  9.17799812e+03  9.08588066e+01
7.38071946e-04  8.94232133e+03  8.97786110e+01
7.50961194e-04  8.90713560e+03  8.86838416e+01
7.64075532e-04  8.83102581e+03  8.75749095e+01
7.77418890e-04  8.80649682e+03  8.64522567e+01
7.90995270e-04  8.63090152e+03  8.53163559e+01
8.04808739e-04  8.33094245e+03  8.41677103e+01
8.18863438e-04  8.21731969e+03  8.30068534e+01
8.33163580e-04  8.23273298e+03  8.18343483e+01
8.47713451e-04  8.10233648e+03  8.06507872e+01
8.62517412e-04  7.91960302e+03  7.94567904e+01
8.77579901e-04  7.76134050e+03  7.82530060e+01
8.92905432e-04  7.67723783e+03  7.70401082e+01
9.08498600e-04  7.42443679e+03  7.58187967e+01
9.24364077e-04  7.32957461e+03  7.45897950e+01
9.40506619e-04  7.37807045e+03  7.33538493e+01
9.56931065e-04  7.18526951e+03  7.21117268e+01
9.73642337e-04  7.10203018e+03  7.08642143e+01
9.90645445e-04  6.95434578e+03  6.96121160e+01
1.00794549e-03  6.73854675e+03  6.83562522e+01
