# pyIrena / Irena validation dataset: modeling_mass_fractal
# tool          : Modeling
# model         : Mass-fractal aggregate of spherical primary particles (Teixeira 1988)
# equation      : I(Q) = phi*contrast*1e-4*V*[bracket*S_f(Q)+(1-eta)^2]*F_sph^2(QR) + bg
# 
# GROUND-TRUTH PARAMETERS
#   pop_type                   = mass_fractal   [-]
#   Phi                        = 0.005          [-]
#   Radius                     = 40             [A]
#   Dv                         = 2.4            [-]   mass fractal dimension
#   Ksi                        = 800            [A]   aggregate correlation length
#   Eta                        = 0.5            [-]   packing term
#   Beta                       = 1              [-]   aspect ratio (sphere)
#   Contrast                   = 100            [1e20 cm^-4]
#   background                 = 0.01           [1/cm]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 24414.7, seed = 2358675931
#   median rel. error = 0.01003, max = 0.06472
# 
# Q range       : 0.0003 to 0.3 1/A, 400 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]
3.00000000e-04  1.24836263e+04
3.05239021e-04  1.24511485e+04
3.10569533e-04  1.24176818e+04
3.15993134e-04  1.23832013e+04
3.21511449e-04  1.23476819e+04
3.27126133e-04  1.23110983e+04
3.32838868e-04  1.22734249e+04
3.38651368e-04  1.22346360e+04
3.44565373e-04  1.21947057e+04
3.50582657e-04  1.21536079e+04
3.56705023e-04  1.21113167e+04
3.62934306e-04  1.20678057e+04
3.69272374e-04  1.20230489e+04
3.75721126e-04  1.19770200e+04
3.82282496e-04  1.19296931e+04
3.88958449e-04  1.18810421e+04
3.95750987e-04  1.18310414e+04
4.02662146e-04  1.17796654e+04
4.09693997e-04  1.17268889e+04
4.16848648e-04  1.16726870e+04
4.24128244e-04  1.16170354e+04
4.31534966e-04  1.15599100e+04
4.39071035e-04  1.15012876e+04
4.46738710e-04  1.14411453e+04
4.54540288e-04  1.13794612e+04
4.62478108e-04  1.13162140e+04
4.70554549e-04  1.12513835e+04
4.78772033e-04  1.11849501e+04
4.87133022e-04  1.11168957e+04
4.95640022e-04  1.10472031e+04
5.04295583e-04  1.09758564e+04
5.13102300e-04  1.09028409e+04
5.22062812e-04  1.08281435e+04
5.31179805e-04  1.07517526e+04
5.40456012e-04  1.06736583e+04
5.49894213e-04  1.05938523e+04
5.59497237e-04  1.05123282e+04
5.69267963e-04  1.04290814e+04
5.79209319e-04  1.03441096e+04
5.89324284e-04  1.02574125e+04
5.99615892e-04  1.01689920e+04
6.10087225e-04  1.00788523e+04
6.20741424e-04  9.98700016e+03
6.31581682e-04  9.89344470e+03
6.42611247e-04  9.79819773e+03
6.53833426e-04  9.70127371e+03
6.65251583e-04  9.60268983e+03
6.76869139e-04  9.50246613e+03
6.88689577e-04  9.40062553e+03
7.00716441e-04  9.29719389e+03
7.12953334e-04  9.19220004e+03
7.25403925e-04  9.08567587e+03
7.38071946e-04  8.97765630e+03
7.50961194e-04  8.86817937e+03
7.64075532e-04  8.75728616e+03
7.77418890e-04  8.64502088e+03
7.90995270e-04  8.53143080e+03
8.04808739e-04  8.41656624e+03
8.18863438e-04  8.30048055e+03
8.33163580e-04  8.18323004e+03
8.47713451e-04  8.06487392e+03
8.62517412e-04  7.94547425e+03
8.77579901e-04  7.82509581e+03
8.92905432e-04  7.70380603e+03
9.08498600e-04  7.58167488e+03
9.24364077e-04  7.45877471e+03
9.40506619e-04  7.33518014e+03
9.56931065e-04  7.21096789e+03
9.73642337e-04  7.08621664e+03
9.90645445e-04  6.96100681e+03
1.00794549e-03  6.83542043e+03
1.02554764e-03  6.70954090e+03
1.04345720e-03  6.58345282e+03
1.06167951e-03  6.45724174e+03
1.08022005e-03  6.33099398e+03
1.09908436e-03  6.20479637e+03
1.11827812e-03  6.07873606e+03
1.13780706e-03  5.95290025e+03
1.15767704e-03  5.82737597e+03
1.17789402e-03  5.70224987e+03
