# pyIrena / Irena validation dataset: modeling_sizedist_plus_peak
# tool          : Modeling
# model         : Population 1: log-normal spheres.  Population 2: Gaussian diffraction peak.
# equation      : I(Q) = I_sizedist(Q) + A exp(-(Q-Q0)^2/(2 w^2)) + bg
# 
# GROUND-TRUTH PARAMETERS
#   pop1_type                  = size_dist / lognormal / sphere [-]
#   pop1_min_size              = 0              [A]
#   pop1_mean_size             = 60             [A]
#   pop1_sdeviation            = 0.25           [-]
#   pop1_scale                 = 0.004          [-]
#   pop1_contrast              = 80             [1e20 cm^-4]
#   pop2_type                  = diffraction_peak / gaussian [-]
#   pop2_amplitude             = 5              [1/cm]
#   pop2_position              = 0.15           [1/A]
#   pop2_width                 = 0.012          [1/A]   Gaussian sigma, NOT FWHM
#   background                 = 0.005          [1/cm]
# 
# DERIVED QUANTITIES (not fitted; for cross-checking)
#   peak_FWHM                  = 0.0282578      [1/A]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 50847.9, seed = 1155364236
#   median rel. error = 0.01013, max = 0.0625
# 
# Q range       : 0.003 to 0.5 1/A, 450 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]               dI[1/cm]
3.00000000e-03  3.75103049e+01  3.80521976e-01
3.03437808e-03  3.77758504e+01  3.80428635e-01
3.06915012e-03  3.83460992e+01  3.80333169e-01
3.10432062e-03  3.85347700e+01  3.80235530e-01
3.13989415e-03  3.78349518e+01  3.80135669e-01
3.17587533e-03  3.81293145e+01  3.80033536e-01
3.21226883e-03  3.81063670e+01  3.79929080e-01
3.24907938e-03  3.82479357e+01  3.79822250e-01
3.28631176e-03  3.76358378e+01  3.79712991e-01
3.32397079e-03  3.80361108e+01  3.79601249e-01
3.36206137e-03  3.75801209e+01  3.79486970e-01
3.40058845e-03  3.76916794e+01  3.79370096e-01
3.43955702e-03  3.87353249e+01  3.79250568e-01
3.47897214e-03  3.85335391e+01  3.79128329e-01
3.51883894e-03  3.79007923e+01  3.79003317e-01
3.55916259e-03  3.75483997e+01  3.78875471e-01
3.59994832e-03  3.78489883e+01  3.78744727e-01
3.64120143e-03  3.75966671e+01  3.78611020e-01
3.68292727e-03  3.74481880e+01  3.78474286e-01
3.72513126e-03  3.71315368e+01  3.78334456e-01
3.76781889e-03  3.76942482e+01  3.78191463e-01
3.81099568e-03  3.64533400e+01  3.78045235e-01
3.85466726e-03  3.82812945e+01  3.77895701e-01
3.89883928e-03  3.77625316e+01  3.77742787e-01
3.94351749e-03  3.74587182e+01  3.77586420e-01
3.98870768e-03  3.70664583e+01  3.77426522e-01
4.03441572e-03  3.80723850e+01  3.77263016e-01
4.08064755e-03  3.85391185e+01  3.77095822e-01
4.12740916e-03  3.66921921e+01  3.76924859e-01
4.17470664e-03  3.77127026e+01  3.76750044e-01
4.22254611e-03  3.73798751e+01  3.76571291e-01
4.27093379e-03  3.76273464e+01  3.76388515e-01
4.31987596e-03  3.77047468e+01  3.76201628e-01
4.36937898e-03  3.77823846e+01  3.76010538e-01
4.41944927e-03  3.80339199e+01  3.75815155e-01
4.47009334e-03  3.68868382e+01  3.75615384e-01
4.52131775e-03  3.74432355e+01  3.75411130e-01
4.57312917e-03  3.75417248e+01  3.75202294e-01
4.62553430e-03  3.73716482e+01  3.74988777e-01
4.67853997e-03  3.72969678e+01  3.74770477e-01
4.73215305e-03  3.75571043e+01  3.74547291e-01
4.78638050e-03  3.75671198e+01  3.74319111e-01
4.84122937e-03  3.73906907e+01  3.74085831e-01
4.89670676e-03  3.69038708e+01  3.73847340e-01
4.95281989e-03  3.76069422e+01  3.73603525e-01
5.00957604e-03  3.73222894e+01  3.73354272e-01
5.06698259e-03  3.75714593e+01  3.73099463e-01
5.12504697e-03  3.72990467e+01  3.72838979e-01
5.18377673e-03  3.73925272e+01  3.72572698e-01
5.24317950e-03  3.72000008e+01  3.72300497e-01
5.30326299e-03  3.68093146e+01  3.72022249e-01
5.36403500e-03  3.69258349e+01  3.71737824e-01
5.42550341e-03  3.70028586e+01  3.71447091e-01
5.48767621e-03  3.64019342e+01  3.71149917e-01
5.55056148e-03  3.73786482e+01  3.70846164e-01
5.61416737e-03  3.71505707e+01  3.70535693e-01
5.67850214e-03  3.70616665e+01  3.70218362e-01
5.74357415e-03  3.70150267e+01  3.69894027e-01
5.80939184e-03  3.65166073e+01  3.69562540e-01
5.87596375e-03  3.68598552e+01  3.69223752e-01
5.94329855e-03  3.66424182e+01  3.68877508e-01
6.01140495e-03  3.66720791e+01  3.68523655e-01
6.08029181e-03  3.66644657e+01  3.68162032e-01
6.14996807e-03  3.66368324e+01  3.67792479e-01
6.22044278e-03  3.65426128e+01  3.67414831e-01
6.29172508e-03  3.62356009e+01  3.67028920e-01
6.36382423e-03  3.68132716e+01  3.66634577e-01
6.43674959e-03  3.59558829e+01  3.66231627e-01
6.51051062e-03  3.64391255e+01  3.65819895e-01
6.58511692e-03  3.61977890e+01  3.65399200e-01
6.66057815e-03  3.58014163e+01  3.64969360e-01
6.73690412e-03  3.67649347e+01  3.64530190e-01
6.81410474e-03  3.59764120e+01  3.64081499e-01
6.89219003e-03  3.59801476e+01  3.63623096e-01
6.97117012e-03  3.67182024e+01  3.63154785e-01
7.05105528e-03  3.62870346e+01  3.62676367e-01
7.13185587e-03  3.63208526e+01  3.62187641e-01
7.21358238e-03  3.61183633e+01  3.61688401e-01
7.29624542e-03  3.60171070e+01  3.61178439e-01
7.37985574e-03  3.62275852e+01  3.60657542e-01
7.46442417e-03  3.64657373e+01  3.60125495e-01
7.54996170e-03  3.58291619e+01  3.59582079e-01
7.63647944e-03  3.57238725e+01  3.59027073e-01
7.72398861e-03  3.61429031e+01  3.58460251e-01
7.81250059e-03  3.61120216e+01  3.57881385e-01
7.90202686e-03  3.60541529e+01  3.57290241e-01
7.99257903e-03  3.53569896e+01  3.56686586e-01
8.08416888e-03  3.53343682e+01  3.56070178e-01
8.17680830e-03  3.55614481e+01  3.55440778e-01
8.27050930e-03  3.54161757e+01  3.54798138e-01
8.36528405e-03  3.55121143e+01  3.54142010e-01
8.46114486e-03  3.47193110e+01  3.53472142e-01
8.55810417e-03  3.50194155e+01  3.52788279e-01
8.65617458e-03  3.52224704e+01  3.52090160e-01
8.75536881e-03  3.51769418e+01  3.51377525e-01
8.85569975e-03  3.45474855e+01  3.50650108e-01
8.95718041e-03  3.46011274e+01  3.49907641e-01
9.05982397e-03  3.48221916e+01  3.49149852e-01
9.16364377e-03  3.46566416e+01  3.48376466e-01
9.26865327e-03  3.43573978e+01  3.47587207e-01
9.37486612e-03  3.47745794e+01  3.46781793e-01
9.48229609e-03  3.48834192e+01  3.45959942e-01
9.59095715e-03  3.46494814e+01  3.45121367e-01
9.70086339e-03  3.44409784e+01  3.44265779e-01
9.81202909e-03  3.41057123e+01  3.43392887e-01
9.92446867e-03  3.40697960e+01  3.42502397e-01
1.00381967e-02  3.36601427e+01  3.41594013e-01
1.01532281e-02  3.35392888e+01  3.40667435e-01
1.02695776e-02  3.41606563e+01  3.39722364e-01
1.03872604e-02  3.44268763e+01  3.38758496e-01
1.05062917e-02  3.37095441e+01  3.37775526e-01
1.06266871e-02  3.35053146e+01  3.36773149e-01
1.07484622e-02  3.37722060e+01  3.35751055e-01
