# pyIrena / Irena validation dataset: modeling_sizedist_plus_peak
# tool          : Modeling
# model         : Population 1: log-normal spheres.  Population 2: Gaussian diffraction peak.
# equation      : I(Q) = I_sizedist(Q) + A exp(-(Q-Q0)^2/(2 w^2)) + bg
# 
# GROUND-TRUTH PARAMETERS
#   pop1_type                  = size_dist / lognormal / sphere [-]
#   pop1_min_size              = 0              [A]
#   pop1_mean_size             = 60             [A]
#   pop1_sdeviation            = 0.25           [-]
#   pop1_scale                 = 0.004          [-]
#   pop1_contrast              = 80             [1e20 cm^-4]
#   pop2_type                  = diffraction_peak / gaussian [-]
#   pop2_amplitude             = 5              [1/cm]
#   pop2_position              = 0.15           [1/A]
#   pop2_width                 = 0.012          [1/A]   Gaussian sigma, NOT FWHM
#   background                 = 0.005          [1/cm]
# 
# DERIVED QUANTITIES (not fitted; for cross-checking)
#   peak_FWHM                  = 0.0282578      [1/A]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 50847.9, seed = 1155364236
#   median rel. error = 0.01013, max = 0.0625
# 
# Q range       : 0.003 to 0.5 1/A, 450 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]
3.00000000e-03  3.79539921e+01
3.03437808e-03  3.79446580e+01
3.06915012e-03  3.79351115e+01
3.10432062e-03  3.79253476e+01
3.13989415e-03  3.79153615e+01
3.17587533e-03  3.79051483e+01
3.21226883e-03  3.78947027e+01
3.24907938e-03  3.78840197e+01
3.28631176e-03  3.78730938e+01
3.32397079e-03  3.78619197e+01
3.36206137e-03  3.78504918e+01
3.40058845e-03  3.78388044e+01
3.43955702e-03  3.78268518e+01
3.47897214e-03  3.78146279e+01
3.51883894e-03  3.78021267e+01
3.55916259e-03  3.77893421e+01
3.59994832e-03  3.77762677e+01
3.64120143e-03  3.77628972e+01
3.68292727e-03  3.77492238e+01
3.72513126e-03  3.77352409e+01
3.76781889e-03  3.77209416e+01
3.81099568e-03  3.77063188e+01
3.85466726e-03  3.76913654e+01
3.89883928e-03  3.76760742e+01
3.94351749e-03  3.76604375e+01
3.98870768e-03  3.76444478e+01
4.03441572e-03  3.76280972e+01
4.08064755e-03  3.76113779e+01
4.12740916e-03  3.75942816e+01
4.17470664e-03  3.75768001e+01
4.22254611e-03  3.75589249e+01
4.27093379e-03  3.75406474e+01
4.31987596e-03  3.75219587e+01
4.36937898e-03  3.75028498e+01
4.41944927e-03  3.74833116e+01
4.47009334e-03  3.74633346e+01
4.52131775e-03  3.74429092e+01
4.57312917e-03  3.74220257e+01
4.62553430e-03  3.74006741e+01
4.67853997e-03  3.73788442e+01
4.73215305e-03  3.73565256e+01
4.78638050e-03  3.73337077e+01
4.84122937e-03  3.73103798e+01
4.89670676e-03  3.72865308e+01
4.95281989e-03  3.72621494e+01
5.00957604e-03  3.72372241e+01
5.06698259e-03  3.72117433e+01
5.12504697e-03  3.71856950e+01
5.18377673e-03  3.71590670e+01
5.24317950e-03  3.71318470e+01
5.30326299e-03  3.71040223e+01
5.36403500e-03  3.70755799e+01
5.42550341e-03  3.70465067e+01
5.48767621e-03  3.70167894e+01
5.55056148e-03  3.69864142e+01
5.61416737e-03  3.69553672e+01
5.67850214e-03  3.69236342e+01
5.74357415e-03  3.68912008e+01
5.80939184e-03  3.68580523e+01
5.87596375e-03  3.68241735e+01
5.94329855e-03  3.67895493e+01
6.01140495e-03  3.67541641e+01
6.08029181e-03  3.67180020e+01
6.14996807e-03  3.66810468e+01
6.22044278e-03  3.66432821e+01
6.29172508e-03  3.66046912e+01
6.36382423e-03  3.65652570e+01
6.43674959e-03  3.65249622e+01
6.51051062e-03  3.64837891e+01
6.58511692e-03  3.64417198e+01
6.66057815e-03  3.63987359e+01
6.73690412e-03  3.63548190e+01
6.81410474e-03  3.63099501e+01
6.89219003e-03  3.62641100e+01
6.97117012e-03  3.62172791e+01
7.05105528e-03  3.61694375e+01
7.13185587e-03  3.61205651e+01
7.21358238e-03  3.60706413e+01
7.29624542e-03  3.60196452e+01
7.37985574e-03  3.59675557e+01
7.46442417e-03  3.59143512e+01
7.54996170e-03  3.58600098e+01
7.63647944e-03  3.58045094e+01
7.72398861e-03  3.57478275e+01
7.81250059e-03  3.56899410e+01
7.90202686e-03  3.56308269e+01
7.99257903e-03  3.55704615e+01
8.08416888e-03  3.55088211e+01
8.17680830e-03  3.54458812e+01
8.27050930e-03  3.53816175e+01
8.36528405e-03  3.53160050e+01
8.46114486e-03  3.52490185e+01
8.55810417e-03  3.51806323e+01
8.65617458e-03  3.51108208e+01
8.75536881e-03  3.50395575e+01
8.85569975e-03  3.49668161e+01
8.95718041e-03  3.48925697e+01
9.05982397e-03  3.48167911e+01
9.16364377e-03  3.47394528e+01
9.26865327e-03  3.46605272e+01
9.37486612e-03  3.45799862e+01
9.48229609e-03  3.44978014e+01
9.59095715e-03  3.44139442e+01
9.70086339e-03  3.43283858e+01
9.81202909e-03  3.42410969e+01
9.92446867e-03  3.41520483e+01
1.00381967e-02  3.40612102e+01
1.01532281e-02  3.39685529e+01
1.02695776e-02  3.38740462e+01
1.03872604e-02  3.37776598e+01
1.05062917e-02  3.36793632e+01
1.06266871e-02  3.35791259e+01
1.07484622e-02  3.34769170e+01
1.08716327e-02  3.33727055e+01
1.09962147e-02  3.32664603e+01
1.11222242e-02  3.31581504e+01
1.12496778e-02  3.30477444e+01
1.13785920e-02  3.29352109e+01
1.15089833e-02  3.28205187e+01
1.16408689e-02  3.27036363e+01
1.17742659e-02  3.25845323e+01
1.19091914e-02  3.24631754e+01
1.20456632e-02  3.23395343e+01
1.21836988e-02  3.22135778e+01
1.23233162e-02  3.20852747e+01
1.24645335e-02  3.19545943e+01
1.26073691e-02  3.18215056e+01
1.27518415e-02  3.16859783e+01
1.28979694e-02  3.15479819e+01
1.30457719e-02  3.14074866e+01
1.31952681e-02  3.12644627e+01
1.33464775e-02  3.11188809e+01
1.34994196e-02  3.09707124e+01
1.36541143e-02  3.08199287e+01
1.38105817e-02  3.06665020e+01
1.39688422e-02  3.05104049e+01
1.41289162e-02  3.03516107e+01
1.42908246e-02  3.01900932e+01
1.44545883e-02  3.00258272e+01
1.46202286e-02  2.98587881e+01
1.47877671e-02  2.96889519e+01
1.49572255e-02  2.95162959e+01
1.51286257e-02  2.93407979e+01
1.53019901e-02  2.91624371e+01
1.54773411e-02  2.89811935e+01
1.56547016e-02  2.87970484e+01
1.58340945e-02  2.86099840e+01
1.60155431e-02  2.84199842e+01
1.61990710e-02  2.82270338e+01
1.63847020e-02  2.80311194e+01
1.65724602e-02  2.78322287e+01
1.67623700e-02  2.76303512e+01
1.69544560e-02  2.74254781e+01
1.71487433e-02  2.72176020e+01
1.73452569e-02  2.70067176e+01
1.75440225e-02  2.67928212e+01
1.77450658e-02  2.65759114e+01
1.79484129e-02  2.63559884e+01
1.81540902e-02  2.61330549e+01
1.83621245e-02  2.59071155e+01
1.85725427e-02  2.56781774e+01
1.87853722e-02  2.54462498e+01
1.90006406e-02  2.52113448e+01
1.92183758e-02  2.49734765e+01
1.94386061e-02  2.47326622e+01
1.96613601e-02  2.44889215e+01
1.98866667e-02  2.42422769e+01
2.01145552e-02  2.39927539e+01
2.03450552e-02  2.37403809e+01
2.05781965e-02  2.34851892e+01
2.08140095e-02  2.32272134e+01
2.10525247e-02  2.29664914e+01
2.12937732e-02  2.27030641e+01
2.15377862e-02  2.24369759e+01
2.17845955e-02  2.21682746e+01
2.20342331e-02  2.18970117e+01
2.22867313e-02  2.16232419e+01
2.25421230e-02  2.13470237e+01
2.28004413e-02  2.10684194e+01
2.30617198e-02  2.07874948e+01
2.33259924e-02  2.05043196e+01
2.35932934e-02  2.02189674e+01
2.38636574e-02  1.99315154e+01
2.41371197e-02  1.96420450e+01
2.44137157e-02  1.93506412e+01
2.46934813e-02  1.90573933e+01
2.49764528e-02  1.87623941e+01
2.52626670e-02  1.84657407e+01
2.55521610e-02  1.81675340e+01
2.58449725e-02  1.78678786e+01
2.61411393e-02  1.75668835e+01
2.64407001e-02  1.72646610e+01
2.67436936e-02  1.69613275e+01
2.70501593e-02  1.66570032e+01
2.73601368e-02  1.63518119e+01
2.76736665e-02  1.60458810e+01
2.79907890e-02  1.57393414e+01
2.83115456e-02  1.54323275e+01
2.86359778e-02  1.51249771e+01
2.89641278e-02  1.48174310e+01
2.92960382e-02  1.45098331e+01
2.96317521e-02  1.42023303e+01
2.99713131e-02  1.38950723e+01
3.03147652e-02  1.35882110e+01
3.06621530e-02  1.32819012e+01
3.10135217e-02  1.29762995e+01
3.13689168e-02  1.26715647e+01
3.17283846e-02  1.23678571e+01
3.20919716e-02  1.20653387e+01
3.24597251e-02  1.17641727e+01
3.28316928e-02  1.14645232e+01
3.32079230e-02  1.11665552e+01
3.35884646e-02  1.08704338e+01
3.39733670e-02  1.05763247e+01
3.43626801e-02  1.02843929e+01
3.47564544e-02  9.99480329e+00
3.51547412e-02  9.70771967e+00
3.55575921e-02  9.42330482e+00
3.59650593e-02  9.14171996e+00
3.63771959e-02  8.86312446e+00
3.67940554e-02  8.58767549e+00
3.72156917e-02  8.31552763e+00
3.76421598e-02  8.04683256e+00
3.80735149e-02  7.78173863e+00
3.85098131e-02  7.52039057e+00
3.89511109e-02  7.26292908e+00
3.93974658e-02  7.00949049e+00
3.98489356e-02  6.76020638e+00
4.03055789e-02  6.51520328e+00
4.07674551e-02  6.27460229e+00
4.12346241e-02  6.03851873e+00
4.17071465e-02  5.80706188e+00
4.21850838e-02  5.58033460e+00
4.26684979e-02  5.35843309e+00
4.31574516e-02  5.14144656e+00
4.36520084e-02  4.92945700e+00
4.41522326e-02  4.72253893e+00
4.46581890e-02  4.52075914e+00
4.51699433e-02  4.32417653e+00
4.56875620e-02  4.13284191e+00
4.62111122e-02  3.94679784e+00
4.67406621e-02  3.76607850e+00
4.72762802e-02  3.59070959e+00
4.78180362e-02  3.42070826e+00
4.83660003e-02  3.25608305e+00
4.89202438e-02  3.09683387e+00
4.94808385e-02  2.94295204e+00
5.00478573e-02  2.79442029e+00
5.06213738e-02  2.65121288e+00
5.12014624e-02  2.51329568e+00
5.17881984e-02  2.38062632e+00
5.23816581e-02  2.25315434e+00
5.29819185e-02  2.13082142e+00
5.35890574e-02  2.01356157e+00
5.42031538e-02  1.90130143e+00
5.48242873e-02  1.79396054e+00
5.54525386e-02  1.69145163e+00
5.60879893e-02  1.59368101e+00
5.67307218e-02  1.50054888e+00
5.73808196e-02  1.41194976e+00
5.80383671e-02  1.32777289e+00
5.87034498e-02  1.24790262e+00
5.93761538e-02  1.17221890e+00
6.00565666e-02  1.10059770e+00
6.07447765e-02  1.03291150e+00
6.14408728e-02  9.69029744e-01
6.21449459e-02  9.08819358e-01
6.28570873e-02  8.52145196e-01
6.35773894e-02  7.98870550e-01
6.43059457e-02  7.48857631e-01
6.50428507e-02  7.01968046e-01
6.57882002e-02  6.58063275e-01
6.65420910e-02  6.17005134e-01
6.73046208e-02  5.78656222e-01
6.80758888e-02  5.42880364e-01
6.88559950e-02  5.09543020e-01
6.96450407e-02  4.78511694e-01
7.04431284e-02  4.49656303e-01
