# pyIrena / Irena validation dataset: modeling_sizedist_plus_unified
# tool          : Modeling
# model         : Population 1: log-normal spheres.  Population 2: Unified level.
# equation      : I(Q) = I_sizedist(Q) + I_unified(Q) + bg
# 
# GROUND-TRUTH PARAMETERS
#   pop1_type                  = size_dist / lognormal / sphere [-]
#   pop1_min_size              = 0              [A]
#   pop1_mean_size             = 30             [A]   log-normal median
#   pop1_sdeviation            = 0.3            [-]
#   pop1_scale                 = 0.005          [-]   INT P_V(r) dr
#   pop1_contrast              = 100            [1e20 cm^-4]
#   pop2_type                  = unified_level  [-]
#   pop2_G                     = 20000          [1/cm]
#   pop2_Rg                    = 4000           [A]
#   pop2_P                     = 3.5            [-]
#   pop2_B                     = 1.56345e-08    [cm^-1 A^-P]
#   background                 = 0.01           [1/cm]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 20749.9, seed = 1656842697
#   median rel. error = 0.01023, max = 0.06839
# 
# Q range       : 5e-05 to 0.5 1/A, 480 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]               dI[1/cm]
5.00000000e-05  1.97453038e+04  1.97438328e+02
5.09707161e-05  1.98274842e+04  1.97335192e+02
5.19602780e-05  1.98089280e+04  1.97228069e+02
5.29690515e-05  1.93053053e+04  1.97116808e+02
5.39974097e-05  1.95721767e+04  1.97001252e+02
5.50457328e-05  1.99149601e+04  1.96881238e+02
5.61144084e-05  1.96020807e+04  1.96756595e+02
5.72038316e-05  1.95791763e+04  1.96627150e+02
5.83144051e-05  1.96869275e+04  1.96492720e+02
5.94465398e-05  1.94298539e+04  1.96353117e+02
6.06006540e-05  1.97386468e+04  1.96208147e+02
6.17771746e-05  1.95662860e+04  1.96057606e+02
6.29765366e-05  1.96816337e+04  1.95901285e+02
6.41991833e-05  1.93143826e+04  1.95738969e+02
6.54455669e-05  1.95490701e+04  1.95570431e+02
6.67161482e-05  1.94764531e+04  1.95395440e+02
6.80113970e-05  1.95726172e+04  1.95213754e+02
6.93317921e-05  1.94381149e+04  1.95025125e+02
7.06778218e-05  1.96754817e+04  1.94829293e+02
7.20499838e-05  1.94538485e+04  1.94625993e+02
7.34487854e-05  1.94717420e+04  1.94414948e+02
7.48747437e-05  1.93845928e+04  1.94195871e+02
7.63283861e-05  1.96244545e+04  1.93968468e+02
7.78102499e-05  1.93479249e+04  1.93732432e+02
7.93208831e-05  1.93362927e+04  1.93487447e+02
8.08608443e-05  1.91367214e+04  1.93233186e+02
8.24307027e-05  1.91736644e+04  1.92969312e+02
8.40310389e-05  1.88886293e+04  1.92695476e+02
8.56624445e-05  1.92354901e+04  1.92411317e+02
8.73255228e-05  1.94469386e+04  1.92116462e+02
8.90208886e-05  1.93409723e+04  1.91810529e+02
9.07491688e-05  1.86867424e+04  1.91493118e+02
9.25110023e-05  1.91315993e+04  1.91163822e+02
9.43070407e-05  1.89793235e+04  1.90822219e+02
9.61379479e-05  1.92542786e+04  1.90467872e+02
9.80044010e-05  1.90703022e+04  1.90100332e+02
