# pyIrena / Irena validation dataset: modeling_sizedist_plus_unified
# tool          : Modeling
# model         : Population 1: log-normal spheres.  Population 2: Unified level.
# equation      : I(Q) = I_sizedist(Q) + I_unified(Q) + bg
# 
# GROUND-TRUTH PARAMETERS
#   pop1_type                  = size_dist / lognormal / sphere [-]
#   pop1_min_size              = 0              [A]
#   pop1_mean_size             = 30             [A]   log-normal median
#   pop1_sdeviation            = 0.3            [-]
#   pop1_scale                 = 0.005          [-]   INT P_V(r) dr
#   pop1_contrast              = 100            [1e20 cm^-4]
#   pop2_type                  = unified_level  [-]
#   pop2_G                     = 20000          [1/cm]
#   pop2_Rg                    = 4000           [A]
#   pop2_P                     = 3.5            [-]
#   pop2_B                     = 1.56345e-08    [cm^-1 A^-P]
#   background                 = 0.01           [1/cm]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 20749.9, seed = 1656842697
#   median rel. error = 0.01023, max = 0.06839
# 
# Q range       : 5e-05 to 0.5 1/A, 480 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]
5.00000000e-05  1.97435918e+04
5.09707161e-05  1.97332782e+04
5.19602780e-05  1.97225659e+04
5.29690515e-05  1.97114399e+04
5.39974097e-05  1.96998843e+04
5.50457328e-05  1.96878828e+04
5.61144084e-05  1.96754186e+04
5.72038316e-05  1.96624740e+04
5.83144051e-05  1.96490311e+04
5.94465398e-05  1.96350708e+04
6.06006540e-05  1.96205737e+04
6.17771746e-05  1.96055196e+04
6.29765366e-05  1.95898876e+04
6.41991833e-05  1.95736559e+04
6.54455669e-05  1.95568021e+04
6.67161482e-05  1.95393030e+04
6.80113970e-05  1.95211344e+04
6.93317921e-05  1.95022715e+04
7.06778218e-05  1.94826884e+04
7.20499838e-05  1.94623583e+04
7.34487854e-05  1.94412538e+04
7.48747437e-05  1.94193461e+04
7.63283861e-05  1.93966058e+04
7.78102499e-05  1.93730022e+04
7.93208831e-05  1.93485037e+04
8.08608443e-05  1.93230777e+04
8.24307027e-05  1.92966903e+04
8.40310389e-05  1.92693066e+04
8.56624445e-05  1.92408907e+04
8.73255228e-05  1.92114053e+04
8.90208886e-05  1.91808119e+04
9.07491688e-05  1.91490709e+04
9.25110023e-05  1.91161413e+04
9.43070407e-05  1.90819809e+04
9.61379479e-05  1.90465462e+04
