# pyIrena / Irena validation dataset: modeling_surface_fractal
# tool          : Modeling
# model         : Surface-fractal scattering (Teixeira 1988)
# equation      : I(Q) = pi*contrast*Ksi^4*S*Gamma(5-Ds)*sin[(3-Ds)atan(Q Ksi)]/[(1+Q^2Ksi^2)^((5-Ds)/2) Q Ksi] + bg
# 
# GROUND-TRUTH PARAMETERS
#   pop_type                   = surface_fractal [-]
#   Surface                    = 20000          [1/cm]
#   Ds                         = 2.4            [-]   surface fractal dimension
#   Ksi                        = 600            [A]
#   Contrast                   = 100            [1e20 cm^-4]
#   background                 = 0.01           [1/cm]
# 
# DERIVED QUANTITIES (not fitted; for cross-checking)
#   Porod_slope_high_Q         = 3.6            [-]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 8527.71, seed = 3936854831
#   median rel. error = 0.01001, max = 0.08331
# 
# Q range       : 0.0005 to 0.3 1/A, 380 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]               dI[1/cm]
5.00000000e-04  6.12888022e+05  6.03588905e+03
5.08510844e-04  6.02749438e+05  6.00698643e+03
5.17166557e-04  5.94358399e+05  5.97732099e+03
5.25969605e-04  5.94850768e+05  5.94687995e+03
5.34922495e-04  5.79532506e+05  5.91565081e+03
5.44027779e-04  5.93918502e+05  5.88362133e+03
5.53288050e-04  5.87290931e+05  5.85077962e+03
5.62705947e-04  5.77944090e+05  5.81711418e+03
5.72284152e-04  5.68385514e+05  5.78261389e+03
5.82025394e-04  5.74031454e+05  5.74726814e+03
5.91932449e-04  5.71163835e+05  5.71106679e+03
6.02008139e-04  5.59563199e+05  5.67400025e+03
6.12255333e-04  5.67369343e+05  5.63605955e+03
6.22676953e-04  5.63171143e+05  5.59723637e+03
6.33275965e-04  5.55851825e+05  5.55752307e+03
6.44055391e-04  5.51992526e+05  5.51691277e+03
6.55018301e-04  5.42756721e+05  5.47539940e+03
6.66167819e-04  5.43845284e+05  5.43297775e+03
6.77507119e-04  5.31726231e+05  5.38964349e+03
6.89039434e-04  5.35319846e+05  5.34539331e+03
7.00768048e-04  5.28386199e+05  5.30022485e+03
7.12696304e-04  5.32117648e+05  5.25413689e+03
7.24827598e-04  5.24090964e+05  5.20712930e+03
7.37165387e-04  5.13960112e+05  5.15920313e+03
7.49713186e-04  5.11375749e+05  5.11036068e+03
7.62474570e-04  4.96712536e+05  5.06060553e+03
7.75453175e-04  4.93891399e+05  5.00994260e+03
7.88652697e-04  4.94802338e+05  4.95837818e+03
8.02076897e-04  4.87475207e+05  4.90592003e+03
8.15729600e-04  4.87105285e+05  4.85257734e+03
8.29614694e-04  4.76464887e+05  4.79836086e+03
8.43736137e-04  4.64951910e+05  4.74328286e+03
8.58097950e-04  4.70099337e+05  4.68735723e+03
8.72704226e-04  4.60643784e+05  4.63059948e+03
8.87559125e-04  4.63435948e+05  4.57302676e+03
9.02666879e-04  4.51824460e+05  4.51465791e+03
9.18031793e-04  4.52275952e+05  4.45551345e+03
9.33658244e-04  4.33006056e+05  4.39561562e+03
9.49550684e-04  4.25220474e+05  4.33498834e+03
9.65713639e-04  4.32670570e+05  4.27365727e+03
9.82151716e-04  4.21944481e+05  4.21164977e+03
9.98869596e-04  4.09414924e+05  4.14899491e+03
1.01587204e-03  4.05595296e+05  4.08572340e+03
1.03316390e-03  3.96224679e+05  4.02186764e+03
1.05075009e-03  3.94220090e+05  3.95746162e+03
1.06863563e-03  3.85774105e+05  3.89254092e+03
1.08682562e-03  3.80800633e+05  3.82714265e+03
1.10532522e-03  3.82211056e+05  3.76130540e+03
1.12413972e-03  3.70719029e+05  3.69506917e+03
1.14327448e-03  3.62249867e+05  3.62847528e+03
1.16273494e-03  3.56926347e+05  3.56156635e+03
1.18252665e-03  3.49144619e+05  3.49438617e+03
1.20265525e-03  3.40350685e+05  3.42697959e+03
1.22312647e-03  3.33431415e+05  3.35939249e+03
1.24394615e-03  3.24954945e+05  3.29167161e+03
1.26512022e-03  3.21713170e+05  3.22386447e+03
1.28665470e-03  3.17926907e+05  3.15601926e+03
1.30855573e-03  3.06299679e+05  3.08818469e+03
1.33082956e-03  3.07324980e+05  3.02040987e+03
1.35348252e-03  2.90605522e+05  2.95274423e+03
1.37652108e-03  2.88065760e+05  2.88523732e+03
1.39995179e-03  2.86221486e+05  2.81793870e+03
1.42378134e-03  2.69881334e+05  2.75089782e+03
1.44801650e-03  2.64479800e+05  2.68416385e+03
1.47266418e-03  2.68468187e+05  2.61778558e+03
1.49773141e-03  2.56508378e+05  2.55181123e+03
1.52322533e-03  2.52679839e+05  2.48628837e+03
1.54915320e-03  2.44367249e+05  2.42126375e+03
1.57552240e-03  2.31412904e+05  2.35678315e+03
1.60234045e-03  2.33694994e+05  2.29289132e+03
1.62961499e-03  2.24778846e+05  2.22963179e+03
1.65735379e-03  2.14809599e+05  2.16704677e+03
1.68556475e-03  2.13065733e+05  2.10517704e+03
1.71425591e-03  2.03379458e+05  2.04406186e+03
1.74343543e-03  1.97949032e+05  1.98373884e+03
1.77311165e-03  1.94362241e+05  1.92424386e+03
1.80329300e-03  1.86389404e+05  1.86561101e+03
1.83398809e-03  1.83029613e+05  1.80787247e+03
1.86520567e-03  1.76071358e+05  1.75105846e+03
1.89695461e-03  1.68735072e+05  1.69519721e+03
1.92924398e-03  1.66254090e+05  1.64031487e+03
1.96208297e-03  1.60054943e+05  1.58643550e+03
1.99548094e-03  1.55769611e+05  1.53358101e+03
2.02944739e-03  1.49693368e+05  1.48177119e+03
2.06399201e-03  1.42470658e+05  1.43102364e+03
2.09912464e-03  1.35718012e+05  1.38135381e+03
2.13485529e-03  1.36283350e+05  1.33277497e+03
2.17119413e-03  1.26592428e+05  1.28529829e+03
2.20815152e-03  1.23151680e+05  1.23893277e+03
2.24573798e-03  1.20129921e+05  1.19368537e+03
2.28396423e-03  1.17603119e+05  1.14956097e+03
2.32284116e-03  1.11840421e+05  1.10656248e+03
2.36237984e-03  1.06835021e+05  1.06469084e+03
2.40259153e-03  1.01953448e+05  1.02394510e+03
