# pyIrena / Irena validation dataset: modeling_surface_fractal
# tool          : Modeling
# model         : Surface-fractal scattering (Teixeira 1988)
# equation      : I(Q) = pi*contrast*Ksi^4*S*Gamma(5-Ds)*sin[(3-Ds)atan(Q Ksi)]/[(1+Q^2Ksi^2)^((5-Ds)/2) Q Ksi] + bg
# 
# GROUND-TRUTH PARAMETERS
#   pop_type                   = surface_fractal [-]
#   Surface                    = 20000          [1/cm]
#   Ds                         = 2.4            [-]   surface fractal dimension
#   Ksi                        = 600            [A]
#   Contrast                   = 100            [1e20 cm^-4]
#   background                 = 0.01           [1/cm]
# 
# DERIVED QUANTITIES (not fitted; for cross-checking)
#   Porod_slope_high_Q         = 3.6            [-]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 8527.71, seed = 3936854831
#   median rel. error = 0.01001, max = 0.08331
# 
# Q range       : 0.0005 to 0.3 1/A, 380 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]
5.00000000e-04  6.03588319e+05
5.08510844e-04  6.00698056e+05
5.17166557e-04  5.97731512e+05
5.25969605e-04  5.94687409e+05
5.34922495e-04  5.91564495e+05
5.44027779e-04  5.88361546e+05
5.53288050e-04  5.85077376e+05
5.62705947e-04  5.81710831e+05
5.72284152e-04  5.78260803e+05
5.82025394e-04  5.74726228e+05
5.91932449e-04  5.71106092e+05
6.02008139e-04  5.67399439e+05
6.12255333e-04  5.63605369e+05
6.22676953e-04  5.59723051e+05
6.33275965e-04  5.55751720e+05
6.44055391e-04  5.51690691e+05
6.55018301e-04  5.47539354e+05
6.66167819e-04  5.43297188e+05
6.77507119e-04  5.38963763e+05
6.89039434e-04  5.34538744e+05
7.00768048e-04  5.30021899e+05
7.12696304e-04  5.25413103e+05
7.24827598e-04  5.20712343e+05
7.37165387e-04  5.15919726e+05
7.49713186e-04  5.11035481e+05
7.62474570e-04  5.06059966e+05
7.75453175e-04  5.00993673e+05
7.88652697e-04  4.95837232e+05
8.02076897e-04  4.90591417e+05
8.15729600e-04  4.85257148e+05
8.29614694e-04  4.79835499e+05
8.43736137e-04  4.74327699e+05
8.58097950e-04  4.68735137e+05
8.72704226e-04  4.63059362e+05
8.87559125e-04  4.57302090e+05
9.02666879e-04  4.51465205e+05
9.18031793e-04  4.45550759e+05
9.33658244e-04  4.39560975e+05
9.49550684e-04  4.33498247e+05
9.65713639e-04  4.27365141e+05
9.82151716e-04  4.21164391e+05
9.98869596e-04  4.14898904e+05
1.01587204e-03  4.08571754e+05
1.03316390e-03  4.02186177e+05
1.05075009e-03  3.95745575e+05
1.06863563e-03  3.89253505e+05
1.08682562e-03  3.82713679e+05
1.10532522e-03  3.76129954e+05
1.12413972e-03  3.69506330e+05
1.14327448e-03  3.62846942e+05
1.16273494e-03  3.56156049e+05
1.18252665e-03  3.49438030e+05
1.20265525e-03  3.42697373e+05
1.22312647e-03  3.35938663e+05
1.24394615e-03  3.29166575e+05
1.26512022e-03  3.22385861e+05
1.28665470e-03  3.15601340e+05
1.30855573e-03  3.08817882e+05
1.33082956e-03  3.02040401e+05
1.35348252e-03  2.95273837e+05
1.37652108e-03  2.88523146e+05
1.39995179e-03  2.81793284e+05
1.42378134e-03  2.75089196e+05
1.44801650e-03  2.68415799e+05
1.47266418e-03  2.61777972e+05
1.49773141e-03  2.55180537e+05
1.52322533e-03  2.48628251e+05
1.54915320e-03  2.42125788e+05
1.57552240e-03  2.35677729e+05
1.60234045e-03  2.29288546e+05
1.62961499e-03  2.22962593e+05
1.65735379e-03  2.16704090e+05
1.68556475e-03  2.10517117e+05
1.71425591e-03  2.04405599e+05
1.74343543e-03  1.98373297e+05
1.77311165e-03  1.92423800e+05
