# pyIrena / Irena validation dataset: simple_debye_bueche
# tool          : Simple Fits
# model         : Debye-Bueche
# equation      : I(Q) = Prefactor Eta^2 xi^3/(1+Q^2 xi^2)^2
# 
# GROUND-TRUTH PARAMETERS
#   Prefactor                  = 1              [cm^-1 A^-3]
#   Eta                        = 0.05           [-]
#   CorrLength                 = 80             [A]
# 
# DERIVED QUANTITIES (not fitted; for cross-checking)
#   I(0)                       = 1280           [1/cm]   only the product Prefactor*Eta^2 is determined by a fit
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 5731.79, seed = 1541744988
#   median rel. error = 0.01009, max = 0.09541
# 
# Q range       : 0.002 to 0.2 1/A, 300 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]               dI[1/cm]
2.00000000e-03  1.21635192e+03  1.21776936e+01
2.03104226e-03  1.21320431e+03  1.21587114e+01
2.06256632e-03  1.22796493e+03  1.21391818e+01
2.09457968e-03  1.19447630e+03  1.21190905e+01
2.12708991e-03  1.22054764e+03  1.20984229e+01
2.16010475e-03  1.19986383e+03  1.20771642e+01
2.19363201e-03  1.18802955e+03  1.20552991e+01
2.22767965e-03  1.19663194e+03  1.20328121e+01
2.26225575e-03  1.20697594e+03  1.20096876e+01
2.29736851e-03  1.18185009e+03  1.19859095e+01
2.33302626e-03  1.21283097e+03  1.19614614e+01
2.36923746e-03  1.19680906e+03  1.19363269e+01
2.40601070e-03  1.18790865e+03  1.19104891e+01
2.44335470e-03  1.19080412e+03  1.18839307e+01
2.48127832e-03  1.18811858e+03  1.18566346e+01
2.51979056e-03  1.17712701e+03  1.18285830e+01
2.55890055e-03  1.15806354e+03  1.17997581e+01
2.59861757e-03  1.17627063e+03  1.17701417e+01
2.63895104e-03  1.16838831e+03  1.17397156e+01
2.67991054e-03  1.16334550e+03  1.17084612e+01
2.72150577e-03  1.15743713e+03  1.16763596e+01
2.76374661e-03  1.17789681e+03  1.16433920e+01
2.80664308e-03  1.17105980e+03  1.16095393e+01
2.85020534e-03  1.16837964e+03  1.15747820e+01
2.89444374e-03  1.15010358e+03  1.15391007e+01
2.93936877e-03  1.16710117e+03  1.15024759e+01
2.98499109e-03  1.15940858e+03  1.14648878e+01
3.03132152e-03  1.13764654e+03  1.14263167e+01
3.07837105e-03  1.12450412e+03  1.13867426e+01
3.12615084e-03  1.13313557e+03  1.13461456e+01
3.17467222e-03  1.11812871e+03  1.13045058e+01
3.22394671e-03  1.11643693e+03  1.12618032e+01
3.27398600e-03  1.12688755e+03  1.12180178e+01
3.32480196e-03  1.11717222e+03  1.11731298e+01
3.37640663e-03  1.10491218e+03  1.11271194e+01
3.42881227e-03  1.09162871e+03  1.10799669e+01
3.48203130e-03  1.10354752e+03  1.10316528e+01
3.53607636e-03  1.08717034e+03  1.09821578e+01
3.59096025e-03  1.09682560e+03  1.09314628e+01
3.64669600e-03  1.07583892e+03  1.08795490e+01
3.70329684e-03  1.07848885e+03  1.08263978e+01
3.76077618e-03  1.07977734e+03  1.07719912e+01
3.81914767e-03  1.06168189e+03  1.07163113e+01
3.87842514e-03  1.08184724e+03  1.06593409e+01
3.93862268e-03  1.08090774e+03  1.06010633e+01
3.99975454e-03  1.04840715e+03  1.05414621e+01
4.06183524e-03  1.06448900e+03  1.04805217e+01
4.12487951e-03  1.05231408e+03  1.04182272e+01
4.18890229e-03  1.02832641e+03  1.03545644e+01
4.25391877e-03  1.01189269e+03  1.02895198e+01
4.31994439e-03  1.01168078e+03  1.02230807e+01
4.38699480e-03  1.01461999e+03  1.01552356e+01
4.45508590e-03  1.01421758e+03  1.00859736e+01
4.52423386e-03  1.00608986e+03  1.00152850e+01
4.59445507e-03  1.00396835e+03  9.94316133e+00
4.66576620e-03  9.67770509e+02  9.86959506e+00
4.73818415e-03  9.70245629e+02  9.79458001e+00
4.81172611e-03  9.57076112e+02  9.71811130e+00
4.88640952e-03  9.70443994e+02  9.64018540e+00
4.96225211e-03  9.55655452e+02  9.56080026e+00
5.03927186e-03  9.52943685e+02  9.47995531e+00
5.11748704e-03  9.29528279e+02  9.39765157e+00
5.19691621e-03  9.34825127e+02  9.31389172e+00
5.27757821e-03  9.27483873e+02  9.22868016e+00
5.35949217e-03  9.15329452e+02  9.14202307e+00
5.44267754e-03  9.04154895e+02  9.05392847e+00
5.52715403e-03  8.98293208e+02  8.96440632e+00
5.61294169e-03  8.74119485e+02  8.87346852e+00
5.70006088e-03  8.62794570e+02  8.78112905e+00
5.78853225e-03  8.84214008e+02  8.68740392e+00
5.87837680e-03  8.53596941e+02  8.59231134e+00
5.96961583e-03  8.53518577e+02  8.49587166e+00
6.06227100e-03  8.55487653e+02  8.39810750e+00
6.15636429e-03  8.19135715e+02  8.29904372e+00
6.25191800e-03  8.16582354e+02  8.19870753e+00
6.34895482e-03  7.97420512e+02  8.09712842e+00
6.44749776e-03  8.09139591e+02  7.99433830e+00
6.54757019e-03  7.85229997e+02  7.89037141e+00
6.64919586e-03  7.74103653e+02  7.78526440e+00
6.75239888e-03  7.64298059e+02  7.67905630e+00
6.85720373e-03  7.64661815e+02  7.57178853e+00
6.96363526e-03  7.31758851e+02  7.46350489e+00
7.07171873e-03  7.37873493e+02  7.35425152e+00
7.18147978e-03  7.22021189e+02  7.24407691e+00
7.29294445e-03  7.19045090e+02  7.13303181e+00
7.40613917e-03  7.07162294e+02  7.02116923e+00
7.52109080e-03  6.93104622e+02  6.90854437e+00
7.63782661e-03  6.63664828e+02  6.79521454e+00
7.75637429e-03  6.70776292e+02  6.68123913e+00
7.87676197e-03  6.66273406e+02  6.56667946e+00
7.99901819e-03  6.43425097e+02  6.45159877e+00
8.12317198e-03  6.26758311e+02  6.33606204e+00
8.24925277e-03  6.04630714e+02  6.22013595e+00
8.37729047e-03  6.07727340e+02  6.10388870e+00
8.50731547e-03  5.98111961e+02  5.98738994e+00
8.63935859e-03  6.05174210e+02  5.87071058e+00
8.77345118e-03  5.82494082e+02  5.75392268e+00
8.90962504e-03  5.56737740e+02  5.63709932e+00
9.04791247e-03  5.52367085e+02  5.52031438e+00
9.18834627e-03  5.36871680e+02  5.40364244e+00
9.33095976e-03  5.20639371e+02  5.28715856e+00
9.47578678e-03  5.15686664e+02  5.17093814e+00
9.62286168e-03  5.04827269e+02  5.05505673e+00
9.77221934e-03  4.96569635e+02  4.93958985e+00
9.92389521e-03  4.68702210e+02  4.82461281e+00
1.00779253e-02  4.75193980e+02  4.71020050e+00
1.02343460e-02  4.60070633e+02  4.59642723e+00
1.03931946e-02  4.50059137e+02  4.48336655e+00
1.05545087e-02  4.34271644e+02  4.37109101e+00
1.07183266e-02  4.30761961e+02  4.25967206e+00
1.08846871e-02  4.18660349e+02  4.14917979e+00
1.10536297e-02  4.02831911e+02  4.03968279e+00
1.12251945e-02  4.01326217e+02  3.93124798e+00
1.13994222e-02  3.83277714e+02  3.82394043e+00
1.15763541e-02  3.64955201e+02  3.71782322e+00
1.17560321e-02  3.60570141e+02  3.61295724e+00
1.19384990e-02  3.51052180e+02  3.50940112e+00
1.21237980e-02  3.40191314e+02  3.40721102e+00
1.23119730e-02  3.29903289e+02  3.30644054e+00
1.25030687e-02  3.19413858e+02  3.20714062e+00
1.26971304e-02  3.11033703e+02  3.10935938e+00
