# pyIrena / Irena validation dataset: simple_debye_bueche
# tool          : Simple Fits
# model         : Debye-Bueche
# equation      : I(Q) = Prefactor Eta^2 xi^3/(1+Q^2 xi^2)^2
# 
# GROUND-TRUTH PARAMETERS
#   Prefactor                  = 1              [cm^-1 A^-3]
#   Eta                        = 0.05           [-]
#   CorrLength                 = 80             [A]
# 
# DERIVED QUANTITIES (not fitted; for cross-checking)
#   I(0)                       = 1280           [1/cm]   only the product Prefactor*Eta^2 is determined by a fit
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 5731.79, seed = 1541744988
#   median rel. error = 0.01009, max = 0.09541
# 
# Q range       : 0.002 to 0.2 1/A, 300 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]
2.00000000e-03  1.21689735e+03
2.03104226e-03  1.21499912e+03
2.06256632e-03  1.21304616e+03
2.09457968e-03  1.21103703e+03
2.12708991e-03  1.20897028e+03
2.16010475e-03  1.20684440e+03
2.19363201e-03  1.20465789e+03
2.22767965e-03  1.20240920e+03
2.26225575e-03  1.20009675e+03
2.29736851e-03  1.19771894e+03
2.33302626e-03  1.19527414e+03
2.36923746e-03  1.19276068e+03
2.40601070e-03  1.19017690e+03
2.44335470e-03  1.18752107e+03
2.48127832e-03  1.18479145e+03
2.51979056e-03  1.18198630e+03
2.55890055e-03  1.17910380e+03
2.59861757e-03  1.17614217e+03
2.63895104e-03  1.17309956e+03
2.67991054e-03  1.16997412e+03
2.72150577e-03  1.16676396e+03
2.76374661e-03  1.16346720e+03
2.80664308e-03  1.16008193e+03
2.85020534e-03  1.15660620e+03
2.89444374e-03  1.15303807e+03
2.93936877e-03  1.14937560e+03
2.98499109e-03  1.14561679e+03
3.03132152e-03  1.14175968e+03
3.07837105e-03  1.13780227e+03
3.12615084e-03  1.13374257e+03
3.17467222e-03  1.12957859e+03
3.22394671e-03  1.12530833e+03
3.27398600e-03  1.12092979e+03
3.32480196e-03  1.11644099e+03
3.37640663e-03  1.11183995e+03
3.42881227e-03  1.10712470e+03
3.48203130e-03  1.10229330e+03
3.53607636e-03  1.09734380e+03
3.59096025e-03  1.09227430e+03
3.64669600e-03  1.08708292e+03
3.70329684e-03  1.08176781e+03
3.76077618e-03  1.07632714e+03
3.81914767e-03  1.07075916e+03
3.87842514e-03  1.06506212e+03
3.93862268e-03  1.05923436e+03
3.99975454e-03  1.05327424e+03
4.06183524e-03  1.04718020e+03
4.12487951e-03  1.04095076e+03
4.18890229e-03  1.03458448e+03
4.25391877e-03  1.02808002e+03
4.31994439e-03  1.02143612e+03
4.38699480e-03  1.01465160e+03
4.45508590e-03  1.00772541e+03
4.52423386e-03  1.00065656e+03
4.59445507e-03  9.93444188e+02
4.66576620e-03  9.86087564e+02
4.73818415e-03  9.78586062e+02
4.81172611e-03  9.70939194e+02
4.88640952e-03  9.63146607e+02
4.96225211e-03  9.55208096e+02
5.03927186e-03  9.47123604e+02
5.11748704e-03  9.38893234e+02
5.19691621e-03  9.30517253e+02
5.27757821e-03  9.21996101e+02
5.35949217e-03  9.13330395e+02
5.44267754e-03  9.04520940e+02
5.52715403e-03  8.95568729e+02
5.61294169e-03  8.86474954e+02
5.70006088e-03  8.77241010e+02
5.78853225e-03  8.67868503e+02
5.87837680e-03  8.58359249e+02
5.96961583e-03  8.48715286e+02
6.06227100e-03  8.38938875e+02
6.15636429e-03  8.29032503e+02
6.25191800e-03  8.18998889e+02
6.34895482e-03  8.08840985e+02
6.44749776e-03  7.98561978e+02
6.54757019e-03  7.88165296e+02
6.64919586e-03  7.77654601e+02
6.75239888e-03  7.67033798e+02
6.85720373e-03  7.56307028e+02
6.96363526e-03  7.45478671e+02
7.07171873e-03  7.34553342e+02
7.18147978e-03  7.23535889e+02
7.29294445e-03  7.12431387e+02
7.40613917e-03  7.01245137e+02
7.52109080e-03  6.89982660e+02
7.63782661e-03  6.78649687e+02
7.75637429e-03  6.67252155e+02
7.87676197e-03  6.55796198e+02
7.99901819e-03  6.44288139e+02
8.12317198e-03  6.32734477e+02
8.24925277e-03  6.21141879e+02
8.37729047e-03  6.09517166e+02
8.50731547e-03  5.97867302e+02
8.63935859e-03  5.86199378e+02
8.77345118e-03  5.74520602e+02
8.90962504e-03  5.62838280e+02
9.04791247e-03  5.51159800e+02
9.18834627e-03  5.39492621e+02
9.33095976e-03  5.27844248e+02
9.47578678e-03  5.16222222e+02
9.62286168e-03  5.04634098e+02
9.77221934e-03  4.93087428e+02
9.92389521e-03  4.81589742e+02
1.00779253e-02  4.70148530e+02
1.02343460e-02  4.58771223e+02
1.03931946e-02  4.47465176e+02
1.05545087e-02  4.36237644e+02
1.07183266e-02  4.25095772e+02
1.08846871e-02  4.14046568e+02
1.10536297e-02  4.03096893e+02
1.12251945e-02  3.92253438e+02
1.13994222e-02  3.81522711e+02
1.15763541e-02  3.70911017e+02
1.17560321e-02  3.60424450e+02
1.19384990e-02  3.50068869e+02
1.21237980e-02  3.39849891e+02
1.23119730e-02  3.29772878e+02
1.25030687e-02  3.19842921e+02
1.26971304e-02  3.10064834e+02
1.28942042e-02  3.00443144e+02
1.30943368e-02  2.90982080e+02
1.32975757e-02  2.81685567e+02
1.35039690e-02  2.72557223e+02
1.37135659e-02  2.63600351e+02
1.39264159e-02  2.54817935e+02
1.41425696e-02  2.46212644e+02
1.43620782e-02  2.37786821e+02
1.45849938e-02  2.29542493e+02
1.48113694e-02  2.21481368e+02
1.50412585e-02  2.13604836e+02
1.52747158e-02  2.05913976e+02
1.55117966e-02  1.98409560e+02
1.57525572e-02  1.91092057e+02
1.59970547e-02  1.83961642e+02
1.62453470e-02  1.77018203e+02
1.64974931e-02  1.70261347e+02
1.67535528e-02  1.63690414e+02
1.70135868e-02  1.57304484e+02
1.72776569e-02  1.51102385e+02
1.75458256e-02  1.45082711e+02
1.78181566e-02  1.39243827e+02
1.80947145e-02  1.33583885e+02
1.83755649e-02  1.28100832e+02
1.86607743e-02  1.22792428e+02
1.89504106e-02  1.17656255e+02
1.92445423e-02  1.12689730e+02
1.95432393e-02  1.07890119e+02
1.98465725e-02  1.03254550e+02
2.01546136e-02  9.87800243e+01
2.04674360e-02  9.44634294e+01
2.07851137e-02  9.03015525e+01
2.11077221e-02  8.62910914e+01
2.14353377e-02  8.24286670e+01
2.17680383e-02  7.87108349e+01
2.21059028e-02  7.51340960e+01
2.24490114e-02  7.16949078e+01
2.27974453e-02  6.83896943e+01
2.31512874e-02  6.52148565e+01
2.35106215e-02  6.21667812e+01
2.38755328e-02  5.92418504e+01
2.42461080e-02  5.64364496e+01
2.46224350e-02  5.37469757e+01
2.50046029e-02  5.11698449e+01
2.53927026e-02  4.87014989e+01
2.57868259e-02  4.63384123e+01
2.61870665e-02  4.40770978e+01
2.65935193e-02  4.19141122e+01
2.70062808e-02  3.98460613e+01
2.74254487e-02  3.78696040e+01
2.78511226e-02  3.59814574e+01
2.82834034e-02  3.41783992e+01
2.87223937e-02  3.24572720e+01
2.91681977e-02  3.08149854e+01
2.96209210e-02  2.92485188e+01
3.00806711e-02  2.77549235e+01
3.05475570e-02  2.63313240e+01
3.10216895e-02  2.49749198e+01
3.15031811e-02  2.36829861e+01
3.19921460e-02  2.24528750e+01
3.24887002e-02  2.12820154e+01
3.29929615e-02  2.01679137e+01
3.35050494e-02  1.91081537e+01
3.40250856e-02  1.81003961e+01
3.45531933e-02  1.71423784e+01
3.50894978e-02  1.62319139e+01
3.56341264e-02  1.53668913e+01
3.61872082e-02  1.45452737e+01
3.67488745e-02  1.37650971e+01
3.73192585e-02  1.30244698e+01
3.78984954e-02  1.23215707e+01
3.84867228e-02  1.16546480e+01
3.90840802e-02  1.10220178e+01
3.96907092e-02  1.04220623e+01
4.03067537e-02  9.85322873e+00
4.09323600e-02  9.31402700e+00
4.15676764e-02  8.80302854e+00
4.22128536e-02  8.31886437e+00
4.28680447e-02  7.86022336e+00
4.35334051e-02  7.42585055e+00
4.42090926e-02  7.01454531e+00
4.48952676e-02  6.62515962e+00
4.55920927e-02  6.25659634e+00
4.62997334e-02  5.90780743e+00
4.70183575e-02  5.57779224e+00
4.77481354e-02  5.26559581e+00
4.84892403e-02  4.97030719e+00
4.92418480e-02  4.69105779e+00
5.00061370e-02  4.42701973e+00
5.07822887e-02  4.17740431e+00
5.15704871e-02  3.94146040e+00
5.23709192e-02  3.71847293e+00
5.31837749e-02  3.50776146e+00
5.40092470e-02  3.30867865e+00
5.48475315e-02  3.12060897e+00
5.56988270e-02  2.94296725e+00
5.65633356e-02  2.77519738e+00
5.74412624e-02  2.61677110e+00
5.83328155e-02  2.46718667e+00
5.92382066e-02  2.32596774e+00
6.01576504e-02  2.19266219e+00
6.10913649e-02  2.06684099e+00
6.20395718e-02  1.94809716e+00
6.30024959e-02  1.83604474e+00
6.39803657e-02  1.73031779e+00
6.49734131e-02  1.63056943e+00
6.59818738e-02  1.53647094e+00
6.70059868e-02  1.44771088e+00
6.80459953e-02  1.36399425e+00
6.91021459e-02  1.28504167e+00
7.01746891e-02  1.21058864e+00
7.12638794e-02  1.14038477e+00
7.23699752e-02  1.07419309e+00
7.34932388e-02  1.01178938e+00
7.46339368e-02  9.52961504e-01
7.57923396e-02  8.97508810e-01
7.69687222e-02  8.45241547e-01
7.81633636e-02  7.95980293e-01
7.93765471e-02  7.49555428e-01
8.06085606e-02  7.05806621e-01
8.18596964e-02  6.64582349e-01
8.31302512e-02  6.25739432e-01
8.44205264e-02  5.89142596e-01
8.57308282e-02  5.54664052e-01
8.70614673e-02  5.22183105e-01
8.84127594e-02  4.91585767e-01
8.97850252e-02  4.62764406e-01
