# pyIrena / Irena validation dataset: simple_debye_chain
# tool          : Simple Fits
# model         : Debye Polymer Chain
# equation      : I(Q) = Scale 2(exp(-x)-1+x)/x^2, x = Q^2 Rg^2
# 
# GROUND-TRUTH PARAMETERS
#   Scale                      = 15             [1/cm]
#   Rg                         = 60             [A]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 1902.13, seed = 1210075857
#   median rel. error = 0.01344, max = 0.07613
# 
# Q range       : 0.003 to 0.3 1/A, 300 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]               dI[1/cm]
3.00000000e-03  1.48431864e+01  1.72690148e-01
3.04656338e-03  1.46428566e+01  1.72639721e-01
3.09384948e-03  1.47964590e+01  1.72587742e-01
3.14186951e-03  1.45606225e+01  1.72534165e-01
3.19063487e-03  1.52539151e+01  1.72478942e-01
3.24015712e-03  1.47724509e+01  1.72422023e-01
3.29044802e-03  1.47023304e+01  1.72363357e-01
3.34151948e-03  1.45169278e+01  1.72302892e-01
3.39338363e-03  1.46944929e+01  1.72240573e-01
3.44605277e-03  1.50924091e+01  1.72176344e-01
3.49953940e-03  1.48077864e+01  1.72110149e-01
3.55385619e-03  1.47957406e+01  1.72041929e-01
3.60901605e-03  1.49006883e+01  1.71971623e-01
3.66503205e-03  1.48659014e+01  1.71899170e-01
3.72191748e-03  1.48644369e+01  1.71824504e-01
3.77968583e-03  1.46583797e+01  1.71747560e-01
3.83835082e-03  1.47468131e+01  1.71668271e-01
3.89792635e-03  1.48250844e+01  1.71586568e-01
3.95842657e-03  1.47915147e+01  1.71502378e-01
4.01986581e-03  1.46790182e+01  1.71415628e-01
4.08225866e-03  1.44074340e+01  1.71326243e-01
4.14561992e-03  1.44095740e+01  1.71234146e-01
4.20996461e-03  1.47515411e+01  1.71139256e-01
4.27530801e-03  1.47159397e+01  1.71041491e-01
4.34166561e-03  1.46388490e+01  1.70940769e-01
4.40905316e-03  1.47436187e+01  1.70837002e-01
4.47748664e-03  1.43724750e+01  1.70730102e-01
4.54698228e-03  1.43054396e+01  1.70619977e-01
4.61755657e-03  1.47227347e+01  1.70506535e-01
4.68922625e-03  1.42370090e+01  1.70389680e-01
4.76200833e-03  1.48304038e+01  1.70269312e-01
4.83592007e-03  1.42858717e+01  1.70145332e-01
4.91097900e-03  1.46947915e+01  1.70017636e-01
4.98720294e-03  1.43403758e+01  1.69886117e-01
5.06460995e-03  1.46557577e+01  1.69750666e-01
5.14321841e-03  1.45296388e+01  1.69611172e-01
5.22304696e-03  1.47204911e+01  1.69467521e-01
5.30411454e-03  1.44277227e+01  1.69319594e-01
5.38644037e-03  1.44177186e+01  1.69167272e-01
5.47004400e-03  1.44901955e+01  1.69010431e-01
5.55494525e-03  1.46860428e+01  1.68848945e-01
5.64116427e-03  1.44494301e+01  1.68682686e-01
5.72872150e-03  1.46236615e+01  1.68511520e-01
5.81763772e-03  1.41888419e+01  1.68335312e-01
5.90793401e-03  1.42541946e+01  1.68153924e-01
5.99963181e-03  1.44858417e+01  1.67967214e-01
6.09275286e-03  1.42700086e+01  1.67775037e-01
6.18731926e-03  1.44982075e+01  1.67577245e-01
6.28335343e-03  1.44123881e+01  1.67373686e-01
6.38087816e-03  1.40282097e+01  1.67164205e-01
6.47991658e-03  1.42277451e+01  1.66948645e-01
6.58049220e-03  1.41652125e+01  1.66726843e-01
6.68262886e-03  1.43795231e+01  1.66498635e-01
6.78635079e-03  1.41703189e+01  1.66263853e-01
6.89168261e-03  1.42352439e+01  1.66022326e-01
6.99864929e-03  1.41663594e+01  1.65773877e-01
7.10727622e-03  1.41941163e+01  1.65518330e-01
7.21758916e-03  1.37987537e+01  1.65255502e-01
7.32961429e-03  1.41072234e+01  1.64985208e-01
7.44337817e-03  1.44188028e+01  1.64707260e-01
7.55890779e-03  1.41536020e+01  1.64421467e-01
7.67623056e-03  1.38859606e+01  1.64127634e-01
7.79537431e-03  1.38622896e+01  1.63825563e-01
7.91636731e-03  1.37021985e+01  1.63515053e-01
8.03923826e-03  1.39436282e+01  1.63195899e-01
8.16401631e-03  1.39439414e+01  1.62867895e-01
8.29073104e-03  1.36832721e+01  1.62530830e-01
8.41941254e-03  1.42432875e+01  1.62184492e-01
8.55009132e-03  1.37694318e+01  1.61828666e-01
8.68279837e-03  1.39373813e+01  1.61463133e-01
8.81756520e-03  1.35580678e+01  1.61087673e-01
8.95442375e-03  1.33703824e+01  1.60702063e-01
9.09340650e-03  1.36655118e+01  1.60306078e-01
9.23454643e-03  1.37959024e+01  1.59899492e-01
9.37787700e-03  1.38735616e+01  1.59482076e-01
9.52343223e-03  1.38528776e+01  1.59053600e-01
9.67124663e-03  1.31564129e+01  1.58613833e-01
9.82135529e-03  1.33673292e+01  1.58162542e-01
9.97379380e-03  1.34890268e+01  1.57699494e-01
1.01285983e-02  1.31427187e+01  1.57224456e-01
1.02858056e-02  1.30526416e+01  1.56737193e-01
1.04454529e-02  1.32133761e+01  1.56237472e-01
1.06075781e-02  1.30485451e+01  1.55725059e-01
1.07722197e-02  1.28109016e+01  1.55199723e-01
1.09394167e-02  1.30321791e+01  1.54661232e-01
1.11092088e-02  1.29740124e+01  1.54109356e-01
