# pyIrena / Irena validation dataset: simple_debye_chain
# tool          : Simple Fits
# model         : Debye Polymer Chain
# equation      : I(Q) = Scale 2(exp(-x)-1+x)/x^2, x = Q^2 Rg^2
# 
# GROUND-TRUTH PARAMETERS
#   Scale                      = 15             [1/cm]
#   Rg                         = 60             [A]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 1902.13, seed = 1210075857
#   median rel. error = 0.01344, max = 0.07613
# 
# Q range       : 0.003 to 0.3 1/A, 300 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]
3.00000000e-03  1.48393037e+01
3.04656338e-03  1.48343184e+01
3.09384948e-03  1.48291798e+01
3.14186951e-03  1.48238832e+01
3.19063487e-03  1.48184239e+01
3.24015712e-03  1.48127970e+01
3.29044802e-03  1.48069975e+01
3.34151948e-03  1.48010200e+01
3.39338363e-03  1.47948594e+01
3.44605277e-03  1.47885101e+01
3.49953940e-03  1.47819665e+01
3.55385619e-03  1.47752227e+01
3.60901605e-03  1.47682728e+01
3.66503205e-03  1.47611107e+01
3.72191748e-03  1.47537299e+01
3.77968583e-03  1.47461241e+01
3.83835082e-03  1.47382865e+01
3.89792635e-03  1.47302103e+01
3.95842657e-03  1.47218885e+01
4.01986581e-03  1.47133137e+01
4.08225866e-03  1.47044785e+01
4.14561992e-03  1.46953753e+01
4.20996461e-03  1.46859963e+01
4.27530801e-03  1.46763332e+01
4.34166561e-03  1.46663779e+01
4.40905316e-03  1.46561218e+01
4.47748664e-03  1.46455562e+01
4.54698228e-03  1.46346721e+01
4.61755657e-03  1.46234603e+01
4.68922625e-03  1.46119113e+01
4.76200833e-03  1.46000154e+01
4.83592007e-03  1.45877626e+01
4.91097900e-03  1.45751428e+01
4.98720294e-03  1.45621454e+01
5.06460995e-03  1.45487598e+01
5.14321841e-03  1.45349748e+01
5.22304696e-03  1.45207793e+01
5.30411454e-03  1.45061616e+01
5.38644037e-03  1.44911098e+01
5.47004400e-03  1.44756119e+01
5.55494525e-03  1.44596554e+01
5.64116427e-03  1.44432275e+01
5.72872150e-03  1.44263152e+01
5.81763772e-03  1.44089052e+01
5.90793401e-03  1.43909838e+01
5.99963181e-03  1.43725371e+01
6.09275286e-03  1.43535508e+01
6.18731926e-03  1.43340102e+01
6.28335343e-03  1.43139005e+01
6.38087816e-03  1.42932064e+01
6.47991658e-03  1.42719123e+01
6.58049220e-03  1.42500024e+01
6.68262886e-03  1.42274605e+01
6.78635079e-03  1.42042699e+01
6.89168261e-03  1.41804139e+01
6.99864929e-03  1.41558752e+01
7.10727622e-03  1.41306362e+01
7.21758916e-03  1.41046792e+01
7.32961429e-03  1.40779860e+01
7.44337817e-03  1.40505380e+01
7.55890779e-03  1.40223164e+01
7.67623056e-03  1.39933022e+01
7.79537431e-03  1.39634759e+01
7.91636731e-03  1.39328178e+01
8.03923826e-03  1.39013077e+01
8.16401631e-03  1.38689255e+01
8.29073104e-03  1.38356506e+01
8.41941254e-03  1.38014620e+01
8.55009132e-03  1.37663387e+01
8.68279837e-03  1.37302593e+01
8.81756520e-03  1.36932023e+01
8.95442375e-03  1.36551458e+01
9.09340650e-03  1.36160680e+01
9.23454643e-03  1.35759465e+01
9.37787700e-03  1.35347592e+01
9.52343223e-03  1.34924835e+01
9.67124663e-03  1.34490969e+01
9.82135529e-03  1.34045768e+01
9.97379380e-03  1.33589003e+01
1.01285983e-02  1.33120449e+01
1.02858056e-02  1.32639877e+01
1.04454529e-02  1.32147060e+01
1.06075781e-02  1.31641773e+01
1.07722197e-02  1.31123789e+01
1.09394167e-02  1.30592884e+01
1.11092088e-02  1.30048838e+01
1.12816362e-02  1.29491429e+01
1.14567399e-02  1.28920442e+01
1.16345614e-02  1.28335662e+01
1.18151429e-02  1.27736879e+01
1.19985273e-02  1.27123889e+01
1.21847580e-02  1.26496490e+01
1.23738791e-02  1.25854487e+01
1.25659357e-02  1.25197692e+01
1.27609732e-02  1.24525921e+01
1.29590379e-02  1.23839001e+01
1.31601768e-02  1.23136763e+01
1.33644376e-02  1.22419051e+01
1.35718687e-02  1.21685716e+01
1.37825194e-02  1.20936620e+01
1.39964396e-02  1.20171636e+01
1.42136802e-02  1.19390648e+01
1.44342925e-02  1.18593554e+01
1.46583290e-02  1.17780266e+01
1.48858428e-02  1.16950709e+01
1.51168879e-02  1.16104824e+01
1.53515190e-02  1.15242567e+01
1.55897919e-02  1.14363913e+01
1.58317631e-02  1.13468852e+01
1.60774899e-02  1.12557397e+01
1.63270306e-02  1.11629576e+01
1.65804446e-02  1.10685440e+01
1.68377918e-02  1.09725062e+01
1.70991333e-02  1.08748534e+01
1.73645311e-02  1.07755975e+01
1.76340482e-02  1.06747524e+01
1.79077485e-02  1.05723347e+01
1.81856970e-02  1.04683635e+01
1.84679595e-02  1.03628604e+01
1.87546031e-02  1.02558496e+01
1.90456956e-02  1.01473582e+01
1.93413063e-02  1.00374158e+01
1.96415052e-02  9.92605513e+00
1.99463635e-02  9.81331145e+00
2.02559536e-02  9.69922301e+00
2.05703488e-02  9.58383094e+00
2.08896238e-02  9.46717923e+00
2.12138543e-02  9.34931476e+00
2.15431173e-02  9.23028730e+00
2.18774908e-02  9.11014944e+00
2.22170541e-02  8.98895658e+00
2.25618878e-02  8.86676689e+00
2.29120737e-02  8.74364123e+00
2.32676950e-02  8.61964309e+00
2.36288358e-02  8.49483849e+00
2.39955820e-02  8.36929585e+00
2.43680205e-02  8.24308594e+00
2.47462397e-02  8.11628169e+00
2.51303292e-02  7.98895808e+00
2.55203802e-02  7.86119194e+00
2.59164853e-02  7.73306182e+00
2.63187384e-02  7.60464781e+00
2.67272349e-02  7.47603129e+00
2.71420717e-02  7.34729477e+00
2.75633473e-02  7.21852166e+00
2.79911615e-02  7.08979603e+00
2.84256159e-02  6.96120240e+00
2.88668135e-02  6.83282545e+00
2.93148590e-02  6.70474981e+00
2.97698587e-02  6.57705981e+00
3.02319205e-02  6.44983918e+00
3.07011540e-02  6.32317084e+00
3.11776705e-02  6.19713663e+00
3.16615831e-02  6.07181703e+00
3.21530066e-02  5.94729094e+00
3.26520575e-02  5.82363545e+00
3.31588542e-02  5.70092555e+00
3.36735170e-02  5.57923398e+00
3.41961680e-02  5.45863095e+00
3.47269311e-02  5.33918399e+00
3.52659322e-02  5.22095774e+00
3.58132993e-02  5.10401378e+00
3.63691620e-02  4.98841051e+00
3.69336524e-02  4.87420298e+00
3.75069044e-02  4.76144284e+00
3.80890538e-02  4.65017815e+00
3.86802389e-02  4.54045341e+00
3.92805998e-02  4.43230946e+00
3.98902790e-02  4.32578346e+00
4.05094211e-02  4.22090888e+00
4.11381730e-02  4.11771551e+00
4.17766839e-02  4.01622951e+00
4.24251051e-02  3.91647343e+00
4.30835906e-02  3.81846632e+00
4.37522965e-02  3.72222376e+00
4.44313815e-02  3.62775800e+00
4.51210066e-02  3.53507805e+00
4.58213355e-02  3.44418979e+00
4.65325343e-02  3.35509615e+00
4.72547717e-02  3.26779721e+00
4.79882191e-02  3.18229033e+00
4.87330503e-02  3.09857035e+00
4.94894422e-02  3.01662972e+00
5.02575742e-02  2.93645865e+00
5.10376284e-02  2.85804527e+00
5.18297899e-02  2.78137578e+00
5.26342467e-02  2.70643462e+00
5.34511896e-02  2.63320461e+00
5.42808123e-02  2.56166709e+00
5.51233117e-02  2.49180206e+00
5.59788877e-02  2.42358832e+00
5.68477432e-02  2.35700360e+00
5.77300842e-02  2.29202470e+00
5.86261202e-02  2.22862755e+00
5.95360637e-02  2.16678738e+00
6.04601306e-02  2.10647881e+00
6.13985400e-02  2.04767591e+00
6.23515146e-02  1.99035235e+00
6.33192804e-02  1.93448141e+00
6.43020670e-02  1.88003614e+00
6.53001076e-02  1.82698935e+00
6.63136389e-02  1.77531374e+00
6.73429014e-02  1.72498194e+00
6.83881391e-02  1.67596655e+00
6.94496002e-02  1.62824020e+00
7.05275363e-02  1.58177561e+00
7.16222032e-02  1.53654562e+00
7.27338605e-02  1.49252322e+00
7.38627720e-02  1.44968161e+00
7.50092056e-02  1.40799420e+00
7.61734330e-02  1.36743467e+00
7.73557306e-02  1.32797697e+00
7.85563788e-02  1.28959536e+00
7.97756623e-02  1.25226441e+00
8.10138706e-02  1.21595904e+00
8.22712972e-02  1.18065453e+00
8.35482405e-02  1.14632650e+00
8.48450034e-02  1.11295100e+00
8.61618935e-02  1.08050442e+00
8.74992233e-02  1.04896358e+00
8.88573099e-02  1.01830569e+00
9.02364755e-02  9.88508380e-01
9.16370474e-02  9.59549692e-01
9.30593577e-02  9.31408086e-01
9.45037439e-02  9.04062442e-01
9.59705485e-02  8.77492062e-01
9.74601197e-02  8.51676670e-01
9.89728106e-02  8.26596411e-01
1.00508980e-01  8.02231851e-01
1.02068993e-01  7.78563974e-01
1.03653219e-01  7.55574180e-01
1.05262034e-01  7.33244281e-01
1.06895819e-01  7.11556500e-01
1.08554963e-01  6.90493464e-01
1.10239858e-01  6.70038201e-01
1.11950905e-01  6.50174138e-01
1.13688509e-01  6.30885090e-01
1.15453083e-01  6.12155261e-01
1.17245045e-01  5.93969235e-01
1.19064821e-01  5.76311971e-01
1.20912841e-01  5.59168798e-01
1.22789545e-01  5.42525406e-01
1.24695377e-01  5.26367846e-01
1.26630790e-01  5.10682517e-01
1.28596242e-01  4.95456163e-01
1.30592201e-01  4.80675868e-01
1.32619139e-01  4.66329045e-01
1.34677538e-01  4.52403435e-01
1.36767885e-01  4.38887096e-01
1.38890677e-01  4.25768398e-01
1.41046417e-01  4.13036019e-01
1.43235616e-01  4.00678935e-01
1.45458794e-01  3.88686414e-01
1.47716479e-01  3.77048012e-01
1.50009205e-01  3.65753565e-01
1.52337517e-01  3.54793181e-01
1.54701967e-01  3.44157238e-01
1.57103116e-01  3.33836374e-01
1.59541534e-01  3.23821483e-01
1.62017798e-01  3.14103707e-01
1.64532497e-01  3.04674434e-01
1.67086227e-01  2.95525286e-01
1.69679594e-01  2.86648119e-01
1.72313212e-01  2.78035014e-01
1.74987708e-01  2.69678273e-01
1.77703714e-01  2.61570413e-01
1.80461876e-01  2.53704159e-01
1.83262848e-01  2.46072443e-01
1.86107294e-01  2.38668393e-01
1.88995889e-01  2.31485333e-01
1.91929319e-01  2.24516773e-01
1.94908278e-01  2.17756411e-01
1.97933474e-01  2.11198122e-01
2.01005625e-01  2.04835954e-01
2.04125459e-01  1.98664126e-01
2.07293716e-01  1.92677025e-01
2.10511149e-01  1.86869194e-01
2.13778519e-01  1.81235336e-01
2.17096603e-01  1.75770305e-01
2.20466187e-01  1.70469103e-01
2.23888071e-01  1.65326878e-01
2.27363066e-01  1.60338916e-01
2.30891997e-01  1.55500641e-01
2.34475701e-01  1.50807609e-01
2.38115029e-01  1.46255505e-01
2.41810842e-01  1.41840140e-01
2.45564019e-01  1.37557446e-01
2.49375450e-01  1.33403474e-01
2.53246038e-01  1.29374390e-01
2.57176702e-01  1.25466474e-01
2.61168374e-01  1.21676113e-01
2.65222002e-01  1.17999799e-01
2.69338547e-01  1.14434128e-01
2.73518985e-01  1.10975798e-01
2.77764308e-01  1.07621600e-01
2.82075523e-01  1.04368422e-01
2.86453653e-01  1.01213243e-01
2.90899737e-01  9.81531317e-02
2.95414829e-01  9.51852421e-02
3.00000000e-01  9.23068130e-02
