# pyIrena / Irena validation dataset: simple_guinier
# tool          : Simple Fits
# model         : Guinier
# equation      : I(Q) = I0 exp(-Q^2 Rg^2/3)
# 
# GROUND-TRUTH PARAMETERS
#   I0                         = 250            [1/cm]
#   Rg                         = 45             [A]
# 
# DERIVED QUANTITIES (not fitted; for cross-checking)
#   Q_max*Rg                   = 1.35           [-]   Guinier validity limit ~1.3
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 1.76605, seed = 192184972
#   median rel. error = 0.04958, max = 0.06525
# 
# Q range       : 0.002 to 0.03 1/A, 200 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]               dI[1/cm]
2.00000000e-03  2.46531800e+02  1.21405761e+01
2.02740261e-03  2.51194649e+02  1.21401049e+01
2.05518068e-03  2.43948832e+02  1.21396206e+01
2.08333934e-03  2.31713791e+02  1.21391230e+01
2.11188381e-03  2.43989797e+02  1.21386118e+01
2.14081938e-03  2.52194403e+02  1.21380864e+01
2.17015140e-03  2.36033505e+02  1.21375465e+01
2.19988531e-03  2.46831787e+02  1.21369918e+01
2.23002661e-03  2.47649918e+02  1.21364219e+01
2.26058089e-03  2.50823595e+02  1.21358362e+01
2.29155381e-03  2.51396527e+02  1.21352344e+01
2.32295109e-03  2.55136447e+02  1.21346160e+01
2.35477855e-03  2.38471154e+02  1.21339806e+01
2.38704210e-03  2.60647336e+02  1.21333277e+01
2.41974769e-03  2.45010073e+02  1.21326568e+01
2.45290140e-03  2.51374569e+02  1.21319675e+01
2.48650935e-03  2.48555742e+02  1.21312592e+01
2.52057778e-03  2.35191269e+02  1.21305314e+01
2.55511299e-03  2.58071832e+02  1.21297835e+01
2.59012137e-03  2.54414992e+02  1.21290151e+01
2.62560942e-03  2.74905535e+02  1.21282255e+01
2.66158370e-03  2.72888617e+02  1.21274142e+01
2.69805088e-03  2.37814794e+02  1.21265806e+01
2.73501770e-03  2.56866813e+02  1.21257240e+01
2.77249102e-03  2.48367936e+02  1.21248439e+01
2.81047777e-03  2.44243337e+02  1.21239396e+01
2.84898498e-03  2.69715701e+02  1.21230104e+01
2.88801980e-03  2.64816636e+02  1.21220556e+01
2.92758945e-03  2.27694049e+02  1.21210746e+01
2.96770125e-03  2.54521542e+02  1.21200666e+01
3.00836263e-03  2.36474808e+02  1.21190309e+01
3.04958113e-03  2.49716124e+02  1.21179667e+01
3.09136438e-03  2.34525412e+02  1.21168732e+01
3.13372011e-03  2.57667008e+02  1.21157497e+01
3.17665617e-03  2.47435544e+02  1.21145953e+01
3.22018051e-03  2.25603554e+02  1.21134092e+01
3.26430119e-03  2.47886616e+02  1.21121905e+01
3.30902638e-03  2.69613155e+02  1.21109383e+01
3.35436437e-03  2.39234027e+02  1.21096517e+01
3.40032354e-03  2.50928736e+02  1.21083297e+01
3.44691242e-03  2.43828811e+02  1.21069714e+01
3.49413962e-03  2.56045291e+02  1.21055759e+01
3.54201390e-03  2.39209382e+02  1.21041420e+01
3.59054412e-03  2.49982461e+02  1.21026687e+01
3.63973927e-03  2.55945571e+02  1.21011550e+01
3.68960845e-03  2.43244825e+02  1.20995997e+01
3.74016091e-03  2.48257657e+02  1.20980018e+01
3.79140600e-03  2.52945640e+02  1.20963600e+01
3.84335322e-03  2.40415190e+02  1.20946731e+01
3.89601218e-03  2.35773428e+02  1.20929400e+01
3.94939264e-03  2.51903138e+02  1.20911593e+01
4.00350448e-03  2.42876362e+02  1.20893298e+01
4.05835772e-03  2.61539642e+02  1.20874502e+01
4.11396252e-03  2.37078750e+02  1.20855189e+01
4.17032918e-03  2.52842948e+02  1.20835348e+01
4.22746814e-03  2.30413399e+02  1.20814963e+01
4.28538998e-03  2.47748254e+02  1.20794019e+01
4.34410542e-03  2.43369031e+02  1.20772501e+01
4.40362534e-03  2.51429641e+02  1.20750394e+01
4.46396077e-03  2.49910256e+02  1.20727682e+01
4.52512286e-03  2.46246695e+02  1.20704348e+01
4.58712296e-03  2.69283743e+02  1.20680375e+01
4.64997254e-03  2.55239004e+02  1.20655746e+01
4.71368324e-03  2.52295168e+02  1.20630443e+01
4.77826686e-03  2.61228480e+02  1.20604448e+01
4.84373536e-03  2.43680268e+02  1.20577741e+01
4.91010086e-03  2.59753930e+02  1.20550305e+01
4.97737566e-03  2.49938835e+02  1.20522119e+01
5.04557221e-03  2.53387837e+02  1.20493162e+01
5.11470314e-03  2.60790494e+02  1.20463414e+01
5.18478126e-03  2.35959582e+02  1.20432854e+01
5.25581954e-03  2.41669057e+02  1.20401459e+01
5.32783113e-03  2.37399343e+02  1.20369207e+01
5.40082938e-03  2.44765125e+02  1.20336075e+01
5.47482780e-03  2.42856999e+02  1.20302039e+01
5.54984010e-03  2.41796500e+02  1.20267075e+01
5.62588016e-03  2.35602388e+02  1.20231157e+01
5.70296207e-03  2.39343549e+02  1.20194261e+01
5.78110010e-03  2.35660110e+02  1.20156359e+01
5.86030872e-03  2.39721866e+02  1.20117424e+01
5.94060261e-03  2.48638644e+02  1.20077430e+01
6.02199663e-03  2.43475266e+02  1.20036347e+01
6.10450585e-03  2.44115496e+02  1.19994146e+01
6.18814556e-03  2.36670724e+02  1.19950798e+01
6.27293124e-03  2.66309307e+02  1.19906271e+01
6.35887860e-03  2.42050365e+02  1.19860534e+01
6.44600354e-03  2.48924423e+02  1.19813554e+01
6.53432221e-03  2.41250658e+02  1.19765299e+01
6.62385097e-03  2.39840441e+02  1.19715734e+01
6.71460638e-03  2.50174530e+02  1.19664825e+01
6.80660526e-03  2.36914464e+02  1.19612535e+01
6.89986465e-03  2.55416789e+02  1.19558829e+01
6.99440181e-03  2.61715149e+02  1.19503667e+01
7.09023425e-03  2.39641236e+02  1.19447012e+01
7.18737973e-03  2.39206081e+02  1.19388823e+01
7.28585622e-03  2.21293251e+02  1.19329061e+01
7.38568197e-03  2.51122049e+02  1.19267684e+01
7.48687547e-03  2.45114314e+02  1.19204648e+01
7.58945544e-03  2.47100875e+02  1.19139910e+01
7.69344090e-03  2.43528364e+02  1.19073426e+01
7.79885110e-03  2.22118438e+02  1.19005148e+01
7.90570555e-03  2.37578304e+02  1.18935031e+01
8.01402404e-03  2.23557476e+02  1.18863025e+01
8.12382664e-03  2.24927128e+02  1.18789081e+01
8.23513368e-03  2.27400144e+02  1.18713148e+01
8.34796578e-03  2.18674537e+02  1.18635175e+01
8.46234382e-03  2.40921664e+02  1.18555107e+01
8.57828899e-03  2.28497115e+02  1.18472891e+01
8.69582275e-03  2.47605921e+02  1.18388470e+01
8.81496689e-03  2.57021639e+02  1.18301786e+01
8.93574345e-03  2.41521612e+02  1.18212782e+01
9.05817482e-03  2.36176970e+02  1.18121397e+01
9.18228365e-03  2.28885678e+02  1.18027570e+01
9.30809293e-03  2.39531696e+02  1.17931237e+01
9.43562597e-03  2.34729534e+02  1.17832334e+01
9.56490637e-03  2.26672065e+02  1.17730794e+01
9.69595809e-03  2.40337410e+02  1.17626551e+01
9.82880538e-03  2.28809767e+02  1.17519534e+01
9.96347286e-03  2.49966588e+02  1.17409674e+01
1.00999855e-02  2.29335627e+02  1.17296897e+01
1.02383685e-02  2.19146144e+02  1.17181129e+01
1.03786475e-02  2.29547221e+02  1.17062294e+01
1.05208485e-02  2.10728341e+02  1.16940315e+01
1.06649979e-02  2.33036718e+02  1.16815113e+01
1.08111223e-02  2.23532047e+02  1.16686605e+01
1.09592488e-02  2.14407438e+02  1.16554709e+01
1.11094048e-02  2.31464551e+02  1.16419340e+01
1.12616182e-02  2.33114141e+02  1.16280412e+01
1.14159171e-02  2.27301003e+02  1.16137835e+01
1.15723301e-02  2.49708010e+02  1.15991519e+01
1.17308861e-02  2.40184019e+02  1.15841372e+01
1.18916146e-02  2.13757070e+02  1.15687298e+01
1.20545452e-02  2.19230731e+02  1.15529202e+01
1.22197083e-02  2.19406776e+02  1.15366984e+01
1.23871342e-02  2.24627883e+02  1.15200544e+01
1.25568541e-02  2.13634599e+02  1.15029779e+01
1.27288995e-02  2.19372995e+02  1.14854584e+01
1.29033020e-02  2.37014219e+02  1.14674852e+01
1.30800941e-02  2.39192104e+02  1.14490475e+01
1.32593085e-02  2.31411714e+02  1.14301340e+01
1.34409783e-02  2.50007240e+02  1.14107334e+01
1.36251373e-02  2.26214869e+02  1.13908341e+01
1.38118195e-02  2.23642981e+02  1.13704244e+01
1.40010595e-02  2.09483758e+02  1.13494922e+01
1.41928923e-02  1.99719582e+02  1.13280253e+01
1.43873535e-02  2.45663565e+02  1.13060112e+01
1.45844790e-02  2.11801002e+02  1.12834373e+01
1.47843054e-02  2.15833572e+02  1.12602906e+01
