# pyIrena / Irena validation dataset: simple_guinier
# tool          : Simple Fits
# model         : Guinier
# equation      : I(Q) = I0 exp(-Q^2 Rg^2/3)
# 
# GROUND-TRUTH PARAMETERS
#   I0                         = 250            [1/cm]
#   Rg                         = 45             [A]
# 
# DERIVED QUANTITIES (not fitted; for cross-checking)
#   Q_max*Rg                   = 1.35           [-]   Guinier validity limit ~1.3
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 1.76605, seed = 192184972
#   median rel. error = 0.04958, max = 0.06525
# 
# Q range       : 0.002 to 0.03 1/A, 200 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]
2.00000000e-03  2.49325910e+02
2.02740261e-03  2.49307338e+02
2.05518068e-03  2.49288254e+02
2.08333934e-03  2.49268646e+02
2.11188381e-03  2.49248498e+02
2.14081938e-03  2.49227796e+02
2.17015140e-03  2.49206524e+02
2.19988531e-03  2.49184668e+02
2.23002661e-03  2.49162210e+02
2.26058089e-03  2.49139135e+02
2.29155381e-03  2.49115425e+02
2.32295109e-03  2.49091064e+02
2.35477855e-03  2.49066033e+02
2.38704210e-03  2.49040314e+02
2.41974769e-03  2.49013889e+02
2.45290140e-03  2.48986737e+02
2.48650935e-03  2.48958839e+02
2.52057778e-03  2.48930174e+02
2.55511299e-03  2.48900722e+02
2.59012137e-03  2.48870461e+02
2.62560942e-03  2.48839370e+02
2.66158370e-03  2.48807424e+02
2.69805088e-03  2.48774601e+02
2.73501770e-03  2.48740877e+02
2.77249102e-03  2.48706228e+02
2.81047777e-03  2.48670627e+02
2.84898498e-03  2.48634050e+02
2.88801980e-03  2.48596469e+02
2.92758945e-03  2.48557857e+02
2.96770125e-03  2.48518185e+02
3.00836263e-03  2.48477426e+02
3.04958113e-03  2.48435550e+02
3.09136438e-03  2.48392525e+02
3.13372011e-03  2.48348321e+02
3.17665617e-03  2.48302906e+02
3.22018051e-03  2.48256246e+02
3.26430119e-03  2.48208308e+02
3.30902638e-03  2.48159057e+02
3.35436437e-03  2.48108458e+02
3.40032354e-03  2.48056473e+02
3.44691242e-03  2.48003065e+02
3.49413962e-03  2.47948195e+02
3.54201390e-03  2.47891825e+02
3.59054412e-03  2.47833912e+02
3.63973927e-03  2.47774416e+02
3.68960845e-03  2.47713293e+02
3.74016091e-03  2.47650499e+02
3.79140600e-03  2.47585990e+02
3.84335322e-03  2.47519718e+02
3.89601218e-03  2.47451636e+02
3.94939264e-03  2.47381695e+02
4.00350448e-03  2.47309845e+02
4.05835772e-03  2.47236035e+02
4.11396252e-03  2.47160211e+02
4.17032918e-03  2.47082319e+02
4.22746814e-03  2.47002304e+02
4.28538998e-03  2.46920108e+02
4.34410542e-03  2.46835673e+02
4.40362534e-03  2.46748938e+02
4.46396077e-03  2.46659842e+02
4.52512286e-03  2.46568321e+02
4.58712296e-03  2.46474311e+02
4.64997254e-03  2.46377744e+02
4.71368324e-03  2.46278552e+02
4.77826686e-03  2.46176665e+02
4.84373536e-03  2.46072011e+02
4.91010086e-03  2.45964516e+02
4.97737566e-03  2.45854104e+02
5.04557221e-03  2.45740697e+02
5.11470314e-03  2.45624216e+02
5.18478126e-03  2.45504579e+02
5.25581954e-03  2.45381701e+02
5.32783113e-03  2.45255497e+02
5.40082938e-03  2.45125879e+02
5.47482780e-03  2.44992756e+02
5.54984010e-03  2.44856036e+02
5.62588016e-03  2.44715622e+02
5.70296207e-03  2.44571419e+02
5.78110010e-03  2.44423326e+02
5.86030872e-03  2.44271240e+02
5.94060261e-03  2.44115056e+02
6.02199663e-03  2.43954667e+02
6.10450585e-03  2.43789963e+02
6.18814556e-03  2.43620831e+02
6.27293124e-03  2.43447154e+02
6.35887860e-03  2.43268815e+02
6.44600354e-03  2.43085691e+02
6.53432221e-03  2.42897658e+02
6.62385097e-03  2.42704589e+02
6.71460638e-03  2.42506353e+02
6.80660526e-03  2.42302817e+02
6.89986465e-03  2.42093842e+02
6.99440181e-03  2.41879290e+02
7.09023425e-03  2.41659016e+02
7.18737973e-03  2.41432874e+02
7.28585622e-03  2.41200713e+02
7.38568197e-03  2.40962379e+02
7.48687547e-03  2.40717714e+02
7.58945544e-03  2.40466558e+02
7.69344090e-03  2.40208746e+02
7.79885110e-03  2.39944108e+02
7.90570555e-03  2.39672473e+02
8.01402404e-03  2.39393664e+02
8.12382664e-03  2.39107500e+02
8.23513368e-03  2.38813797e+02
8.34796578e-03  2.38512366e+02
8.46234382e-03  2.38203015e+02
8.57828899e-03  2.37885547e+02
8.69582275e-03  2.37559761e+02
8.81496689e-03  2.37225451e+02
8.93574345e-03  2.36882408e+02
9.05817482e-03  2.36530416e+02
9.18228365e-03  2.36169258e+02
9.30809293e-03  2.35798710e+02
9.43562597e-03  2.35418544e+02
9.56490637e-03  2.35028527e+02
9.69595809e-03  2.34628423e+02
9.82880538e-03  2.34217990e+02
9.96347286e-03  2.33796980e+02
1.00999855e-02  2.33365143e+02
1.02383685e-02  2.32922223e+02
1.03786475e-02  2.32467958e+02
1.05208485e-02  2.32002082e+02
1.06649979e-02  2.31524326e+02
1.08111223e-02  2.31034412e+02
1.09592488e-02  2.30532062e+02
1.11094048e-02  2.30016990e+02
1.12616182e-02  2.29488906e+02
1.14159171e-02  2.28947515e+02
1.15723301e-02  2.28392516e+02
1.17308861e-02  2.27823607e+02
1.18916146e-02  2.27240478e+02
1.20545452e-02  2.26642815e+02
1.22197083e-02  2.26030300e+02
1.23871342e-02  2.25402610e+02
1.25568541e-02  2.24759417e+02
1.27288995e-02  2.24100390e+02
1.29033020e-02  2.23425194e+02
1.30800941e-02  2.22733488e+02
1.32593085e-02  2.22024929e+02
1.34409783e-02  2.21299168e+02
1.36251373e-02  2.20555854e+02
1.38118195e-02  2.19794634e+02
1.40010595e-02  2.19015147e+02
1.41928923e-02  2.18217035e+02
1.43873535e-02  2.17399931e+02
1.45844790e-02  2.16563471e+02
1.47843054e-02  2.15707286e+02
1.49868697e-02  2.14831004e+02
1.51922094e-02  2.13934253e+02
1.54003625e-02  2.13016660e+02
1.56113676e-02  2.12077851e+02
1.58252638e-02  2.11117449e+02
1.60420906e-02  2.10135081e+02
1.62618882e-02  2.09130370e+02
1.64846973e-02  2.08102943e+02
1.67105592e-02  2.07052428e+02
1.69395157e-02  2.05978453e+02
1.71716092e-02  2.04880649e+02
1.74068827e-02  2.03758651e+02
1.76453797e-02  2.02612099e+02
1.78871445e-02  2.01440633e+02
1.81322217e-02  2.00243901e+02
1.83806568e-02  1.99021558e+02
1.86324959e-02  1.97773262e+02
1.88877854e-02  1.96498682e+02
1.91465727e-02  1.95197492e+02
1.94089058e-02  1.93869378e+02
1.96748332e-02  1.92514033e+02
1.99444041e-02  1.91131165e+02
2.02176685e-02  1.89720491e+02
2.04946770e-02  1.88281741e+02
2.07754808e-02  1.86814662e+02
2.10601321e-02  1.85319013e+02
2.13486834e-02  1.83794572e+02
2.16411883e-02  1.82241134e+02
2.19377008e-02  1.80658514e+02
2.22382760e-02  1.79046545e+02
2.25429694e-02  1.77405084e+02
2.28518376e-02  1.75734010e+02
2.31649376e-02  1.74033227e+02
2.34823275e-02  1.72302666e+02
2.38040661e-02  1.70542284e+02
2.41302129e-02  1.68752066e+02
2.44608283e-02  1.66932032e+02
2.47959736e-02  1.65082229e+02
2.51357109e-02  1.63202742e+02
2.54801030e-02  1.61293689e+02
2.58292137e-02  1.59355225e+02
2.61831077e-02  1.57387546e+02
2.65418504e-02  1.55390886e+02
2.69055085e-02  1.53365522e+02
2.72741491e-02  1.51311776e+02
2.76478406e-02  1.49230014e+02
2.80266521e-02  1.47120648e+02
2.84106539e-02  1.44984142e+02
2.87999170e-02  1.42821007e+02
2.91945135e-02  1.40631807e+02
2.95945165e-02  1.38417159e+02
3.00000000e-02  1.36177736e+02
