# pyIrena / Irena validation dataset: simple_guinier_rod
# tool          : Simple Fits
# model         : Guinier Rod
# equation      : I(Q) = I0 exp(-Q^2 Rc^2/2)/Q
# 
# GROUND-TRUTH PARAMETERS
#   I0                         = 5              [cm^-1 A^-1]
#   Rc                         = 25             [A]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 17.614, seed = 538831288
#   median rel. error = 0.0189, max = 0.08253
# 
# Q range       : 0.005 to 0.08 1/A, 200 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]               dI[1/cm]
5.00000000e-03  9.86444866e+02  1.24410929e+01
5.07015059e-03  9.81666895e+02  1.22980250e+01
5.14128540e-03  9.92813411e+02  1.21568234e+01
5.21341824e-03  9.62200410e+02  1.20174614e+01
5.28656311e-03  9.33403401e+02  1.18799124e+01
5.36073421e-03  9.10204285e+02  1.17441504e+01
5.43594594e-03  9.09047106e+02  1.16101495e+01
5.51221291e-03  8.97665673e+02  1.14778843e+01
5.58954990e-03  8.75433449e+02  1.13473299e+01
5.66797195e-03  8.73720642e+02  1.12184613e+01
5.74749426e-03  8.56901992e+02  1.10912543e+01
5.82813228e-03  8.51147414e+02  1.09656847e+01
5.90990166e-03  8.47668305e+02  1.08417289e+01
5.99281828e-03  8.25322429e+02  1.07193634e+01
6.07689823e-03  8.06741851e+02  1.05985651e+01
6.16215782e-03  8.02741377e+02  1.04793113e+01
6.24861362e-03  7.97441494e+02  1.03615793e+01
6.33628241e-03  7.94512461e+02  1.02453472e+01
6.42518120e-03  7.78008512e+02  1.01305929e+01
6.51532724e-03  7.53851532e+02  1.00172949e+01
6.60673805e-03  7.44416053e+02  9.90543191e+00
6.69943137e-03  7.38211606e+02  9.79498293e+00
6.79342518e-03  7.24394893e+02  9.68592724e+00
6.88873773e-03  7.19839968e+02  9.57824439e+00
6.98538753e-03  6.84586533e+02  9.47191421e+00
7.08339334e-03  7.00141148e+02  9.36691680e+00
7.18277419e-03  6.85811547e+02  9.26323254e+00
7.28354935e-03  6.71793102e+02  9.16084205e+00
7.38573841e-03  6.69191742e+02  9.05972624e+00
7.48936119e-03  6.77119381e+02  8.95986624e+00
7.59443781e-03  6.45190137e+02  8.86124346e+00
7.70098866e-03  6.30440485e+02  8.76383955e+00
7.80903444e-03  6.18762227e+02  8.66763640e+00
7.91859611e-03  6.28529558e+02  8.57261615e+00
8.02969495e-03  6.06237617e+02  8.47876118e+00
8.14235251e-03  5.97259540e+02  8.38605409e+00
8.25659068e-03  5.74306435e+02  8.29447773e+00
8.37243162e-03  6.03128053e+02  8.20401515e+00
8.48989782e-03  5.55659449e+02  8.11464966e+00
8.60901209e-03  5.65703274e+02  8.02636477e+00
8.72979754e-03  5.71046269e+02  7.93914422e+00
8.85227763e-03  5.36843630e+02  7.85297194e+00
8.97647612e-03  5.28795512e+02  7.76783210e+00
9.10241714e-03  5.29596969e+02  7.68370908e+00
