# pyIrena / Irena validation dataset: simple_guinier_rod
# tool          : Simple Fits
# model         : Guinier Rod
# equation      : I(Q) = I0 exp(-Q^2 Rc^2/2)/Q
# 
# GROUND-TRUTH PARAMETERS
#   I0                         = 5              [cm^-1 A^-1]
#   Rc                         = 25             [A]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 17.614, seed = 538831288
#   median rel. error = 0.0189, max = 0.08253
# 
# Q range       : 0.005 to 0.08 1/A, 200 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]
5.00000000e-03  9.92217938e+02
5.07015059e-03  9.78273628e+02
5.14128540e-03  9.64519269e+02
5.21341824e-03  9.50952195e+02
5.28656311e-03  9.37569774e+02
5.36073421e-03  9.24369410e+02
5.43594594e-03  9.11348543e+02
5.51221291e-03  8.98504648e+02
5.58954990e-03  8.85835234e+02
5.66797195e-03  8.73337845e+02
5.74749426e-03  8.61010056e+02
5.82813228e-03  8.48849479e+02
5.90990166e-03  8.36853756e+02
5.99281828e-03  8.25020561e+02
6.07689823e-03  8.13347599e+02
6.16215782e-03  8.01832610e+02
6.24861362e-03  7.90473360e+02
6.33628241e-03  7.79267649e+02
6.42518120e-03  7.68213306e+02
6.51532724e-03  7.57308187e+02
6.60673805e-03  7.46550182e+02
6.69943137e-03  7.35937205e+02
6.79342518e-03  7.25467201e+02
6.88873773e-03  7.15138142e+02
6.98538753e-03  7.04948029e+02
7.08339334e-03  6.94894888e+02
7.18277419e-03  6.84976773e+02
7.28354935e-03  6.75191765e+02
7.38573841e-03  6.65537969e+02
7.48936119e-03  6.56013518e+02
7.59443781e-03  6.46616569e+02
7.70098866e-03  6.37345306e+02
7.80903444e-03  6.28197934e+02
7.91859611e-03  6.19172685e+02
8.02969495e-03  6.10267816e+02
8.14235251e-03  6.01481604e+02
8.25659068e-03  5.92812353e+02
8.37243162e-03  5.84258388e+02
8.48989782e-03  5.75818057e+02
8.60901209e-03  5.67489731e+02
8.72979754e-03  5.59271803e+02
8.85227763e-03  5.51162688e+02
8.97647612e-03  5.43160822e+02
9.10241714e-03  5.35264661e+02
9.23012513e-03  5.27472686e+02
9.35962487e-03  5.19783394e+02
9.49094151e-03  5.12195305e+02
9.62410053e-03  5.04706959e+02
9.75912780e-03  4.97316916e+02
9.89604951e-03  4.90023754e+02
1.00348922e-02  4.82826072e+02
1.01756830e-02  4.75722488e+02
1.03184490e-02  4.68711639e+02
1.04632181e-02  4.61792179e+02
1.06100182e-02  4.54962782e+02
1.07588780e-02  4.48222140e+02
1.09098264e-02  4.41568963e+02
1.10628925e-02  4.35001978e+02
1.12181062e-02  4.28519930e+02
1.13754975e-02  4.22121581e+02
1.15350971e-02  4.15805711e+02
1.16969359e-02  4.09571115e+02
1.18610453e-02  4.03416608e+02
1.20274571e-02  3.97341017e+02
1.21962038e-02  3.91343189e+02
1.23673180e-02  3.85421985e+02
1.25408329e-02  3.79576284e+02
1.27167822e-02  3.73804978e+02
1.28952002e-02  3.68106977e+02
1.30761214e-02  3.62481205e+02
1.32595809e-02  3.56926601e+02
1.34456144e-02  3.51442122e+02
