# pyIrena / Irena validation dataset: simple_guinier_sheet
# tool          : Simple Fits
# model         : Guinier Sheet
# equation      : I(Q) = I0 exp(-Q^2 Rg^2)/Q^2
# 
# GROUND-TRUTH PARAMETERS
#   I0                         = 0.02           [cm^-1 A^-2]
#   Rg                         = 15             [A]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 658.905, seed = 2739133858
#   median rel. error = 0.01397, max = 0.08544
# 
# Q range       : 0.01 to 0.1 1/A, 200 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]               dI[1/cm]
1.00000000e-02  1.95840346e+02  2.02996815e+00
1.01163798e-02  1.87617873e+02  1.98419545e+00
1.02341140e-02  1.87298314e+02  1.93946888e+00
1.03532184e-02  1.82883367e+02  1.89576450e+00
1.04737090e-02  1.78428579e+02  1.85305889e+00
1.05956018e-02  1.75598187e+02  1.81132920e+00
1.07189132e-02  1.72475856e+02  1.77055307e+00
1.08436597e-02  1.64992394e+02  1.73070866e+00
1.09698580e-02  1.63950778e+02  1.69177465e+00
1.10975250e-02  1.56764000e+02  1.65373017e+00
1.12266777e-02  1.54787882e+02  1.61655486e+00
1.13573336e-02  1.50413063e+02  1.58022880e+00
1.14895100e-02  1.44350232e+02  1.54473255e+00
1.16232247e-02  1.42996600e+02  1.51004711e+00
1.17584955e-02  1.39712025e+02  1.47615388e+00
1.18953407e-02  1.37039836e+02  1.44303473e+00
1.20337784e-02  1.33439464e+02  1.41067192e+00
1.21738273e-02  1.31776660e+02  1.37904811e+00
1.23155060e-02  1.27168701e+02  1.34814639e+00
1.24588336e-02  1.23784680e+02  1.31795019e+00
1.26038293e-02  1.20389951e+02  1.28844335e+00
1.27505124e-02  1.18575817e+02  1.25961008e+00
1.28989026e-02  1.17078067e+02  1.23143492e+00
1.30490198e-02  1.12464385e+02  1.20390281e+00
1.32008840e-02  1.09855589e+02  1.17699898e+00
1.33545156e-02  1.07025733e+02  1.15070904e+00
1.35099352e-02  1.04070436e+02  1.12501892e+00
1.36671636e-02  1.02589229e+02  1.09991486e+00
1.38262217e-02  9.99452821e+01  1.07538341e+00
1.39871310e-02  9.79996918e+01  1.05141144e+00
1.41499130e-02  9.54098532e+01  1.02798613e+00
1.43145894e-02  9.21302915e+01  1.00509492e+00
1.44811823e-02  8.92877202e+01  9.82725564e-01
1.46497140e-02  8.88781849e+01  9.60866087e-01
1.48202071e-02  8.54879512e+01  9.39504786e-01
1.49926843e-02  8.47323873e+01  9.18630227e-01
1.51671689e-02  8.22603283e+01  8.98231234e-01
1.53436841e-02  8.03081294e+01  8.78296890e-01
1.55222536e-02  7.93002548e+01  8.58816523e-01
1.57029012e-02  7.65389961e+01  8.39779708e-01
1.58856513e-02  7.48712982e+01  8.21176255e-01
1.60705282e-02  7.24392036e+01  8.02996208e-01
1.62575567e-02  7.17781293e+01  7.85229837e-01
1.64467618e-02  7.01633813e+01  7.67867636e-01
1.66381689e-02  6.77830363e+01  7.50900312e-01
1.68318035e-02  6.63365282e+01  7.34318788e-01
1.70276917e-02  6.33836490e+01  7.18114190e-01
1.72258597e-02  6.29857265e+01  7.02277850e-01
1.74263339e-02  6.21635639e+01  6.86801294e-01
1.76291412e-02  6.07814905e+01  6.71676243e-01
1.78343088e-02  5.91906871e+01  6.56894608e-01
1.80418641e-02  5.73244570e+01  6.42448481e-01
1.82518349e-02  5.69374299e+01  6.28330136e-01
1.84642494e-02  5.39444506e+01  6.14532023e-01
1.86791360e-02  5.41808044e+01  6.01046763e-01
1.88965234e-02  5.23870011e+01  5.87867147e-01
1.91164408e-02  5.13259372e+01  5.74986128e-01
1.93389175e-02  4.95117439e+01  5.62396820e-01
1.95639834e-02  4.73519723e+01  5.50092495e-01
1.97916687e-02  4.72224254e+01  5.38066577e-01
2.00220037e-02  4.55226447e+01  5.26312638e-01
2.02550194e-02  4.50380557e+01  5.14824400e-01
2.04907469e-02  4.27612836e+01  5.03595725e-01
2.07292178e-02  4.22017789e+01  4.92620616e-01
2.09704640e-02  4.13530515e+01  4.81893211e-01
2.12145178e-02  4.07781907e+01  4.71407784e-01
2.14614120e-02  3.83515185e+01  4.61158735e-01
2.17111795e-02  3.78738073e+01  4.51140596e-01
2.19638537e-02  3.68697185e+01  4.41348020e-01
2.22194686e-02  3.63917422e+01  4.31775784e-01
2.24780583e-02  3.51588590e+01  4.22418781e-01
2.27396575e-02  3.41004057e+01  4.13272021e-01
2.30043012e-02  3.40029501e+01  4.04330631e-01
2.32720248e-02  3.19973748e+01  3.95589843e-01
2.35428641e-02  3.19988526e+01  3.87045001e-01
2.38168555e-02  3.18631657e+01  3.78691554e-01
2.40940356e-02  3.07116638e+01  3.70525054e-01
2.43744415e-02  2.89433221e+01  3.62541155e-01
2.46581108e-02  2.85440189e+01  3.54735609e-01
2.49450814e-02  2.82303424e+01  3.47104266e-01
2.52353917e-02  2.72681323e+01  3.39643067e-01
2.55290807e-02  2.66869277e+01  3.32348048e-01
2.58261876e-02  2.60960445e+01  3.25215336e-01
2.61267523e-02  2.49997374e+01  3.18241143e-01
2.64308149e-02  2.42530112e+01  3.11421769e-01
2.67384162e-02  2.42909690e+01  3.04753598e-01
2.70495973e-02  2.27084098e+01  2.98233095e-01
2.73644000e-02  2.24114157e+01  2.91856808e-01
2.76828663e-02  2.20236476e+01  2.85621362e-01
2.80050389e-02  2.16283617e+01  2.79523457e-01
2.83309610e-02  2.10398374e+01  2.73559871e-01
2.86606762e-02  2.06107785e+01  2.67727455e-01
2.89942285e-02  1.93470185e+01  2.62023130e-01
2.93316628e-02  1.93986171e+01  2.56443887e-01
2.96730241e-02  1.84869369e+01  2.50986789e-01
3.00183581e-02  1.86445817e+01  2.45648963e-01
3.03677112e-02  1.79865587e+01  2.40427601e-01
3.07211300e-02  1.69929629e+01  2.35319962e-01
3.10786619e-02  1.64230592e+01  2.30323365e-01
3.14403547e-02  1.63005459e+01  2.25435192e-01
3.18062569e-02  1.58079878e+01  2.20652883e-01
3.21764175e-02  1.53356491e+01  2.15973939e-01
3.25508860e-02  1.49194247e+01  2.11395917e-01
3.29297126e-02  1.45443619e+01  2.06916429e-01
3.33129479e-02  1.39732505e+01  2.02533144e-01
3.37006433e-02  1.37133341e+01  1.98243783e-01
3.40928507e-02  1.31551584e+01  1.94046120e-01
3.44896226e-02  1.27184578e+01  1.89937980e-01
3.48910121e-02  1.22269651e+01  1.85917239e-01
3.52970730e-02  1.19491061e+01  1.81981822e-01
3.57078596e-02  1.19689066e+01  1.78129700e-01
3.61234270e-02  1.13986247e+01  1.74358894e-01
3.65438307e-02  1.15163273e+01  1.70667468e-01
3.69691271e-02  1.07420067e+01  1.67053534e-01
3.73993730e-02  1.04484370e+01  1.63515246e-01
3.78346262e-02  1.02674067e+01  1.60050802e-01
3.82749448e-02  9.93073309e+00  1.56658442e-01
3.87203878e-02  9.89039046e+00  1.53336446e-01
3.91710149e-02  8.95723007e+00  1.50083137e-01
3.96268864e-02  8.87811394e+00  1.46896876e-01
4.00880633e-02  8.65997691e+00  1.43776063e-01
4.05546074e-02  8.37418653e+00  1.40719135e-01
4.10265811e-02  8.29145513e+00  1.37724569e-01
4.15040476e-02  7.86961278e+00  1.34790877e-01
4.19870708e-02  7.82198246e+00  1.31916604e-01
4.24757155e-02  7.32668281e+00  1.29100334e-01
4.29700470e-02  7.08097311e+00  1.26340684e-01
4.34701316e-02  6.76296383e+00  1.23636304e-01
4.39760361e-02  6.72710392e+00  1.20985876e-01
4.44878283e-02  6.48113221e+00  1.18388116e-01
4.50055768e-02  6.24677374e+00  1.15841772e-01
4.55293507e-02  6.26959200e+00  1.13345621e-01
4.60592204e-02  6.02720794e+00  1.10898472e-01
4.65952567e-02  5.76022144e+00  1.08499163e-01
4.71375313e-02  5.51188490e+00  1.06146562e-01
4.76861170e-02  5.29476292e+00  1.03839564e-01
4.82410870e-02  4.95394807e+00  1.01577096e-01
4.88025158e-02  4.99452237e+00  9.93581076e-02
4.93704785e-02  4.74090407e+00  9.71815791e-02
4.99450512e-02  4.52821974e+00  9.50465162e-02
5.05263107e-02  4.42708349e+00  9.29519508e-02
5.11143348e-02  4.22695142e+00  9.08969406e-02
5.17092024e-02  4.09052287e+00  8.88805683e-02
5.23109931e-02  4.05190344e+00  8.69019415e-02
5.29197874e-02  3.83310980e+00  8.49601920e-02
5.35356668e-02  3.77811943e+00  8.30544756e-02
5.41587138e-02  3.57236879e+00  8.11839716e-02
5.47890118e-02  3.34845746e+00  7.93478820e-02
5.54266452e-02  3.24561429e+00  7.75454318e-02
5.60716994e-02  3.14215977e+00  7.57758682e-02
5.67242607e-02  2.95625557e+00  7.40384601e-02
5.73844165e-02  2.83398037e+00  7.23324981e-02
5.80522552e-02  2.66485181e+00  7.06572937e-02
5.87278661e-02  2.72371211e+00  6.90121794e-02
5.94113398e-02  2.61356120e+00  6.73965080e-02
6.01027678e-02  2.45973815e+00  6.58096524e-02
6.08022426e-02  2.33717441e+00  6.42510051e-02
6.15098579e-02  2.28275396e+00  6.27199783e-02
6.22257084e-02  2.15266356e+00  6.12160029e-02
6.29498899e-02  2.06671291e+00  5.97385288e-02
6.36824994e-02  2.10635244e+00  5.82870240e-02
6.44236351e-02  1.83755596e+00  5.68609750e-02
6.51733960e-02  1.80120977e+00  5.54598857e-02
6.59318827e-02  1.76682432e+00  5.40832775e-02
6.66991966e-02  1.63270017e+00  5.27306892e-02
6.74754405e-02  1.48883436e+00  5.14016761e-02
6.82607183e-02  1.42645544e+00  5.00958101e-02
6.90551352e-02  1.46300486e+00  4.88126793e-02
6.98587975e-02  1.38679161e+00  4.75518876e-02
7.06718127e-02  1.30447969e+00  4.63130545e-02
7.14942899e-02  1.22591960e+00  4.50958146e-02
7.23263390e-02  1.17300323e+00  4.38998176e-02
7.31680714e-02  1.15628911e+00  4.27247275e-02
7.40196000e-02  1.07898650e+00  4.15702227e-02
7.48810386e-02  9.21815551e-01  4.04359955e-02
7.57525026e-02  9.88441859e-01  3.93217515e-02
7.66341087e-02  9.95823734e-01  3.82272098e-02
7.75259749e-02  8.74122169e-01  3.71521022e-02
7.84282206e-02  7.47510553e-01  3.60961729e-02
7.93409667e-02  7.71121044e-01  3.50591783e-02
8.02643352e-02  7.98342117e-01  3.40408864e-02
8.11984499e-02  6.91802172e-01  3.30410767e-02
8.21434358e-02  6.28682926e-01  3.20595395e-02
8.30994195e-02  5.61990484e-01  3.10960757e-02
8.40665289e-02  5.70468780e-01  3.01504963e-02
8.50448934e-02  5.06439455e-01  2.92226220e-02
8.60346442e-02  5.39289830e-01  2.83122827e-02
8.70359136e-02  4.72794327e-01  2.74193171e-02
8.80488358e-02  4.61163629e-01  2.65435725e-02
8.90735464e-02  3.68906893e-01  2.56849037e-02
9.01101825e-02  4.49699364e-01  2.48431733e-02
9.11588830e-02  3.60492281e-01  2.40182507e-02
9.22197882e-02  3.25395597e-01  2.32100116e-02
9.32930403e-02  2.83467562e-01  2.24183379e-02
9.43787828e-02  3.41813840e-01  2.16431167e-02
9.54771611e-02  2.77925955e-01  2.08842402e-02
9.65883224e-02  2.59567671e-01  2.01416050e-02
9.77124154e-02  2.32748120e-01  1.94151114e-02
9.88495905e-02  2.08249922e-01  1.87046631e-02
1.00000000e-01  1.91009666e-01  1.80101667e-02
