# pyIrena / Irena validation dataset: simple_guinier_sheet
# tool          : Simple Fits
# model         : Guinier Sheet
# equation      : I(Q) = I0 exp(-Q^2 Rg^2)/Q^2
# 
# GROUND-TRUTH PARAMETERS
#   I0                         = 0.02           [cm^-1 A^-2]
#   Rg                         = 15             [A]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 658.905, seed = 2739133858
#   median rel. error = 0.01397, max = 0.08544
# 
# Q range       : 0.01 to 0.1 1/A, 200 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]
1.00000000e-02  1.95550247e+02
1.01163798e-02  1.90976246e+02
1.02341140e-02  1.86506931e+02
1.03532184e-02  1.82139911e+02
1.04737090e-02  1.77872847e+02
1.05956018e-02  1.73703452e+02
1.07189132e-02  1.69629495e+02
1.08436597e-02  1.65648793e+02
1.09698580e-02  1.61759214e+02
1.10975250e-02  1.57958675e+02
1.12266777e-02  1.54245141e+02
1.13573336e-02  1.50616623e+02
1.14895100e-02  1.47071178e+02
1.16232247e-02  1.43606906e+02
1.17584955e-02  1.40221953e+02
1.18953407e-02  1.36914505e+02
1.20337784e-02  1.33682792e+02
1.21738273e-02  1.30525081e+02
1.23155060e-02  1.27439683e+02
1.24588336e-02  1.24424945e+02
1.26038293e-02  1.21479251e+02
1.27505124e-02  1.18601025e+02
1.28989026e-02  1.15788725e+02
1.30490198e-02  1.13040845e+02
1.32008840e-02  1.10355912e+02
1.33545156e-02  1.07732489e+02
1.35099352e-02  1.05169172e+02
1.36671636e-02  1.02664586e+02
1.38262217e-02  1.00217390e+02
1.39871310e-02  9.78262749e+01
1.41499130e-02  9.54899586e+01
1.43145894e-02  9.32071901e+01
1.44811823e-02  9.09767467e+01
1.46497140e-02  8.87974339e+01
1.48202071e-02  8.66680843e+01
1.49926843e-02  8.45875574e+01
1.51671689e-02  8.25547389e+01
1.53436841e-02  8.05685399e+01
1.55222536e-02  7.86278966e+01
1.57029012e-02  7.67317695e+01
1.58856513e-02  7.48791429e+01
1.60705282e-02  7.30690246e+01
1.62575567e-02  7.13004449e+01
1.64467618e-02  6.95724564e+01
1.66381689e-02  6.78841336e+01
1.68318035e-02  6.62345720e+01
1.70276917e-02  6.46228880e+01
1.72258597e-02  6.30482182e+01
1.74263339e-02  6.15097192e+01
1.76291412e-02  6.00065666e+01
1.78343088e-02  5.85379553e+01
1.80418641e-02  5.71030984e+01
1.82518349e-02  5.57012273e+01
1.84642494e-02  5.43315908e+01
1.86791360e-02  5.29934551e+01
1.88965234e-02  5.16861034e+01
1.91164408e-02  5.04088351e+01
1.93389175e-02  4.91609658e+01
1.95639834e-02  4.79418268e+01
1.97916687e-02  4.67507650e+01
2.00220037e-02  4.55871419e+01
2.02550194e-02  4.44503340e+01
2.04907469e-02  4.33397322e+01
2.07292178e-02  4.22547410e+01
2.09704640e-02  4.11947791e+01
2.12145178e-02  4.01592782e+01
2.14614120e-02  3.91476833e+01
2.17111795e-02  3.81594520e+01
2.19638537e-02  3.71940547e+01
2.22194686e-02  3.62509736e+01
2.24780583e-02  3.53297031e+01
2.27396575e-02  3.44297492e+01
2.30043012e-02  3.35506292e+01
2.32720248e-02  3.26918717e+01
2.35428641e-02  3.18530159e+01
2.38168555e-02  3.10336120e+01
2.40940356e-02  3.02332203e+01
2.43744415e-02  2.94514113e+01
2.46581108e-02  2.86877654e+01
2.49450814e-02  2.79418729e+01
2.52353917e-02  2.72133332e+01
2.55290807e-02  2.65017553e+01
2.58261876e-02  2.58067570e+01
2.61267523e-02  2.51279652e+01
2.64308149e-02  2.44650150e+01
2.67384162e-02  2.38175505e+01
2.70495973e-02  2.31852235e+01
2.73644000e-02  2.25676941e+01
2.76828663e-02  2.19646305e+01
2.80050389e-02  2.13757081e+01
2.83309610e-02  2.08006103e+01
2.86606762e-02  2.02390274e+01
2.89942285e-02  1.96906573e+01
2.93316628e-02  1.91552045e+01
2.96730241e-02  1.86323807e+01
3.00183581e-02  1.81219041e+01
3.03677112e-02  1.76234994e+01
3.07211300e-02  1.71368979e+01
3.10786619e-02  1.66618369e+01
3.14403547e-02  1.61980599e+01
3.18062569e-02  1.57453164e+01
3.21764175e-02  1.53033617e+01
3.25508860e-02  1.48719567e+01
3.29297126e-02  1.44508679e+01
3.33129479e-02  1.40398673e+01
3.37006433e-02  1.36387321e+01
3.40928507e-02  1.32472447e+01
3.44896226e-02  1.28651926e+01
3.48910121e-02  1.24923682e+01
3.52970730e-02  1.21285686e+01
3.57078596e-02  1.17735958e+01
3.61234270e-02  1.14272563e+01
3.65438307e-02  1.10893611e+01
3.69691271e-02  1.07597256e+01
3.73993730e-02  1.04381694e+01
3.78346262e-02  1.01245164e+01
3.82749448e-02  9.81859454e+00
3.87203878e-02  9.52023562e+00
3.91710149e-02  9.22927544e+00
3.96268864e-02  8.94555356e+00
4.00880633e-02  8.66891324e+00
4.05546074e-02  8.39920132e+00
4.10265811e-02  8.13626820e+00
4.15040476e-02  7.87996767e+00
4.19870708e-02  7.63015690e+00
4.24757155e-02  7.38669629e+00
4.29700470e-02  7.14944946e+00
4.34701316e-02  6.91828310e+00
4.39760361e-02  6.69306694e+00
4.44878283e-02  6.47367366e+00
4.50055768e-02  6.25997879e+00
4.55293507e-02  6.05186067e+00
4.60592204e-02  5.84920037e+00
4.65952567e-02  5.65188161e+00
4.71375313e-02  5.45979069e+00
4.76861170e-02  5.27281642e+00
4.82410870e-02  5.09085006e+00
4.88025158e-02  4.91378525e+00
4.93704785e-02  4.74151796e+00
4.99450512e-02  4.57394638e+00
5.05263107e-02  4.41097093e+00
5.11143348e-02  4.25249411e+00
5.17092024e-02  4.09842054e+00
5.23109931e-02  3.94865680e+00
5.29197874e-02  3.80311145e+00
5.35356668e-02  3.66169494e+00
5.41587138e-02  3.52431954e+00
5.47890118e-02  3.39089933e+00
5.54266452e-02  3.26135010e+00
5.60716994e-02  3.13558931e+00
5.67242607e-02  3.01353607e+00
5.73844165e-02  2.89511104e+00
5.80522552e-02  2.78023642e+00
5.87278661e-02  2.66883587e+00
5.94113398e-02  2.56083450e+00
6.01027678e-02  2.45615878e+00
6.08022426e-02  2.35473654e+00
6.15098579e-02  2.25649688e+00
6.22257084e-02  2.16137018e+00
6.29498899e-02  2.06928800e+00
6.36824994e-02  1.98018308e+00
6.44236351e-02  1.89398929e+00
6.51733960e-02  1.81064159e+00
6.59318827e-02  1.73007599e+00
6.66991966e-02  1.65222952e+00
6.74754405e-02  1.57704018e+00
6.82607183e-02  1.50444693e+00
6.90551352e-02  1.43438965e+00
6.98587975e-02  1.36680909e+00
7.06718127e-02  1.30164688e+00
7.14942899e-02  1.23884544e+00
7.23263390e-02  1.17834803e+00
7.31680714e-02  1.12009865e+00
7.40196000e-02  1.06404208e+00
7.48810386e-02  1.01012382e+00
7.57525026e-02  9.58290050e-01
7.66341087e-02  9.08487676e-01
7.75259749e-02  8.60664251e-01
7.84282206e-02  8.14767984e-01
7.93409667e-02  7.70747722e-01
8.02643352e-02  7.28552935e-01
8.11984499e-02  6.88133703e-01
8.21434358e-02  6.49440710e-01
8.30994195e-02  6.12425227e-01
8.40665289e-02  5.77039115e-01
8.50448934e-02  5.43234809e-01
8.60346442e-02  5.10965321e-01
8.70359136e-02  4.80184236e-01
8.80488358e-02  4.50845708e-01
8.90735464e-02  4.22904463e-01
9.01101825e-02  3.96315799e-01
9.11588830e-02  3.71035591e-01
9.22197882e-02  3.47020296e-01
9.32930403e-02  3.24226957e-01
9.43787828e-02  3.02613211e-01
9.54771611e-02  2.82137299e-01
9.65883224e-02  2.62758072e-01
9.77124154e-02  2.44435006e-01
9.88495905e-02  2.27128213e-01
1.00000000e-01  2.10798449e-01
