# pyIrena / Irena validation dataset: simple_porod
# tool          : Simple Fits
# model         : Porod
# equation      : I(Q) = Kp Q^-4 + bg
# 
# GROUND-TRUTH PARAMETERS
#   Kp                         = 2.5e-06        [cm^-1 A^-4]
#   Background                 = 0.05           [1/cm]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 5548.52, seed = 2585338660
#   median rel. error = 0.05863, max = 0.06084
# 
# Q range       : 0.05 to 0.5 1/A, 200 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]               dI[1/cm]
5.00000000e-02  4.46694490e-01  1.00674081e-02
5.05818990e-02  4.30057724e-01  9.82327038e-03
5.11705701e-02  4.19298612e-01  9.58755928e-03
5.17660922e-02  4.01178887e-01  9.35994474e-03
5.23685449e-02  3.93225424e-01  9.14011255e-03
5.29780090e-02  3.70671185e-01  8.92776359e-03
5.35945660e-02  3.50435236e-01  8.72261304e-03
5.42182984e-02  3.42218146e-01  8.52438961e-03
5.48492899e-02  3.26932083e-01  8.33283486e-03
5.54876248e-02  3.05088842e-01  8.14770249e-03
5.61333887e-02  3.13364619e-01  7.96875773e-03
5.67866679e-02  2.86854298e-01  7.79577669e-03
5.74475500e-02  2.84703310e-01  7.62854581e-03
5.81161234e-02  2.62852489e-01  7.46686128e-03
5.87924777e-02  2.64465706e-01  7.31052854e-03
5.94767034e-02  2.50552447e-01  7.15936176e-03
6.01688920e-02  2.35743062e-01  7.01318335e-03
6.08691364e-02  2.21292663e-01  6.87182356e-03
6.15775302e-02  2.34934165e-01  6.73512000e-03
6.22941682e-02  2.11636591e-01  6.60291726e-03
6.30191465e-02  2.12147794e-01  6.47506655e-03
6.37525620e-02  2.00868849e-01  6.35142527e-03
6.44945131e-02  1.76958298e-01  6.23185672e-03
6.52450989e-02  1.91102797e-01  6.11622977e-03
6.60044200e-02  1.75153869e-01  6.00441853e-03
6.67725781e-02  1.74003462e-01  5.89630207e-03
6.75496761e-02  1.66469919e-01  5.79176415e-03
6.83358178e-02  1.62483097e-01  5.69069295e-03
6.91311087e-02  1.68463396e-01  5.59298083e-03
6.99356551e-02  1.55131980e-01  5.49852410e-03
7.07495649e-02  1.51203877e-01  5.40722280e-03
7.15729469e-02  1.42961970e-01  5.31898051e-03
7.24059114e-02  1.47245417e-01  5.23370412e-03
7.32485699e-02  1.46646370e-01  5.15130370e-03
7.41010353e-02  1.32089545e-01  5.07169229e-03
7.49634216e-02  1.33470131e-01  4.99478577e-03
7.58358444e-02  1.32646044e-01  4.92050270e-03
7.67184204e-02  1.20301259e-01  4.84876416e-03
7.76112679e-02  1.13401077e-01  4.77949367e-03
7.85145062e-02  1.15487022e-01  4.71261703e-03
7.94282565e-02  1.24619019e-01  4.64806222e-03
8.03526409e-02  1.07809245e-01  4.58575929e-03
8.12877833e-02  9.93777006e-02  4.52564030e-03
8.22338089e-02  1.05623849e-01  4.46763916e-03
8.31908443e-02  1.01576085e-01  4.41169162e-03
8.41590177e-02  9.91272762e-02  4.35773515e-03
8.51384586e-02  1.03355705e-01  4.30570890e-03
8.61292983e-02  9.72357685e-02  4.25555359e-03
8.71316693e-02  9.53434654e-02  4.20721152e-03
8.81457059e-02  9.81488489e-02  4.16062644e-03
8.91715438e-02  9.27110847e-02  4.11574355e-03
9.02093205e-02  9.19267211e-02  4.07250945e-03
9.12591747e-02  8.96449365e-02  4.03087208e-03
9.23212471e-02  8.48794437e-02  3.99078070e-03
9.33956800e-02  8.05725054e-02  3.95218583e-03
9.44826170e-02  8.65500569e-02  3.91503926e-03
9.55822038e-02  7.99005999e-02  3.87929397e-03
9.66945875e-02  7.66856283e-02  3.84490413e-03
9.78199172e-02  7.91852567e-02  3.81182511e-03
9.89583434e-02  7.12163280e-02  3.78001336e-03
1.00110019e-01  7.58886088e-02  3.74942651e-03
1.01275097e-01  7.93260970e-02  3.72002324e-03
1.02453734e-01  7.69877046e-02  3.69176333e-03
1.03646089e-01  6.99528398e-02  3.66460763e-03
1.04852320e-01  6.94080471e-02  3.63851802e-03
1.06072589e-01  6.76410960e-02  3.61345742e-03
1.07307060e-01  7.00544216e-02  3.58938974e-03
1.08555897e-01  6.81731040e-02  3.56627991e-03
1.09819269e-01  6.45033509e-02  3.54409383e-03
1.11097343e-01  6.97813244e-02  3.52279837e-03
1.12390292e-01  6.73031271e-02  3.50236134e-03
1.13698288e-01  7.38054742e-02  3.48275149e-03
1.15021506e-01  5.64383058e-02  3.46393849e-03
1.16360124e-01  6.84398183e-02  3.44589293e-03
1.17714321e-01  6.90130430e-02  3.42858627e-03
1.19084278e-01  6.80010583e-02  3.41199085e-03
1.20470178e-01  5.82010744e-02  3.39607986e-03
1.21872208e-01  5.99623391e-02  3.38082735e-03
1.23290554e-01  5.92278276e-02  3.36620819e-03
1.24725407e-01  5.67283880e-02  3.35219804e-03
1.26176959e-01  5.80899747e-02  3.33877339e-03
1.27645403e-01  5.96024034e-02  3.32591147e-03
1.29130938e-01  5.55496331e-02  3.31359028e-03
1.30633761e-01  5.90203024e-02  3.30178859e-03
1.32154074e-01  6.13088073e-02  3.29048586e-03
1.33692081e-01  6.16503433e-02  3.27966227e-03
1.35247987e-01  6.16600807e-02  3.26929870e-03
1.36822000e-01  5.71918181e-02  3.25937670e-03
1.38414332e-01  5.77312580e-02  3.24987846e-03
1.40025195e-01  5.70897644e-02  3.24078683e-03
1.41654805e-01  5.47936776e-02  3.23208527e-03
1.43303381e-01  5.54002417e-02  3.22375786e-03
1.44971143e-01  5.55517367e-02  3.21578925e-03
1.46658314e-01  5.33519871e-02  3.20816467e-03
1.48365120e-01  5.12437616e-02  3.20086990e-03
1.50091791e-01  5.41369900e-02  3.19389125e-03
1.51838556e-01  5.44100234e-02  3.18721558e-03
1.53605650e-01  5.47801786e-02  3.18083022e-03
1.55393309e-01  6.10046527e-02  3.17472300e-03
1.57201774e-01  5.03704380e-02  3.16888223e-03
1.59031285e-01  5.44658476e-02  3.16329668e-03
1.60882088e-01  5.25411539e-02  3.15795554e-03
1.62754430e-01  5.59524413e-02  3.15284846e-03
1.64648563e-01  5.59740762e-02  3.14796547e-03
1.66564739e-01  5.19094945e-02  3.14329703e-03
1.68503216e-01  4.91512907e-02  3.13883396e-03
1.70464253e-01  5.30489548e-02  3.13456746e-03
1.72448113e-01  5.19193510e-02  3.13048908e-03
1.74455061e-01  5.11294435e-02  3.12659074e-03
1.76485365e-01  4.70610841e-02  3.12286465e-03
1.78539298e-01  4.95376102e-02  3.11930339e-03
1.80617135e-01  5.56458593e-02  3.11589980e-03
1.82719154e-01  5.56154337e-02  3.11264705e-03
1.84845635e-01  5.55360489e-02  3.10953858e-03
