# pyIrena / Irena validation dataset: simple_porod
# tool          : Simple Fits
# model         : Porod
# equation      : I(Q) = Kp Q^-4 + bg
# 
# GROUND-TRUTH PARAMETERS
#   Kp                         = 2.5e-06        [cm^-1 A^-4]
#   Background                 = 0.05           [1/cm]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 5548.52, seed = 2585338660
#   median rel. error = 0.05863, max = 0.06084
# 
# Q range       : 0.05 to 0.5 1/A, 200 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]
5.00000000e-02  4.50000000e-01
5.05818990e-02  4.31908645e-01
5.11705701e-02  4.14635532e-01
5.17660922e-02  3.98143654e-01
5.23685449e-02  3.82397678e-01
5.29780090e-02  3.67363867e-01
5.35945660e-02  3.53010010e-01
5.42182984e-02  3.39305356e-01
5.48492899e-02  3.26220541e-01
5.54876248e-02  3.13727531e-01
5.61333887e-02  3.01799560e-01
5.67866679e-02  2.90411071e-01
5.74475500e-02  2.79537666e-01
5.81161234e-02  2.69156047e-01
5.87924777e-02  2.59243972e-01
5.94767034e-02  2.49780205e-01
6.01688920e-02  2.40744468e-01
6.08691364e-02  2.32117403e-01
6.15775302e-02  2.23880526e-01
6.22941682e-02  2.16016190e-01
6.30191465e-02  2.08507546e-01
6.37525620e-02  2.01338505e-01
6.44945131e-02  1.94493708e-01
6.52450989e-02  1.87958490e-01
6.60044200e-02  1.81718850e-01
6.67725781e-02  1.75761419e-01
6.75496761e-02  1.70073433e-01
6.83358178e-02  1.64642705e-01
6.91311087e-02  1.59457600e-01
6.99356551e-02  1.54507009e-01
7.07495649e-02  1.49780325e-01
7.15729469e-02  1.45267422e-01
7.24059114e-02  1.40958630e-01
7.32485699e-02  1.36844718e-01
7.41010353e-02  1.32916871e-01
7.49634216e-02  1.29166675e-01
7.58358444e-02  1.25586094e-01
7.67184204e-02  1.22167456e-01
7.76112679e-02  1.18903439e-01
7.85145062e-02  1.15787047e-01
7.94282565e-02  1.12811605e-01
8.03526409e-02  1.09970737e-01
8.12877833e-02  1.07258358e-01
8.22338089e-02  1.04668654e-01
8.31908443e-02  1.02196079e-01
8.41590177e-02  9.98353346e-02
8.51384586e-02  9.75813627e-02
8.61292983e-02  9.54293343e-02
8.71316693e-02  9.33746387e-02
8.81457059e-02  9.14128737e-02
8.91715438e-02  8.95398362e-02
9.02093205e-02  8.77515131e-02
9.12591747e-02  8.60440730e-02
9.23212471e-02  8.44138577e-02
9.33956800e-02  8.28573743e-02
9.44826170e-02  8.13712882e-02
9.55822038e-02  7.99524154e-02
9.66945875e-02  7.85977159e-02
9.78199172e-02  7.73042873e-02
9.89583434e-02  7.60693584e-02
1.00110019e-01  7.48902833e-02
1.01275097e-01  7.37645359e-02
1.02453734e-01  7.26897043e-02
1.03646089e-01  7.16634855e-02
1.04852320e-01  7.06836810e-02
1.06072589e-01  6.97481914e-02
1.07307060e-01  6.88550125e-02
1.08555897e-01  6.80022307e-02
1.09819269e-01  6.71880188e-02
1.11097343e-01  6.64106324e-02
1.12390292e-01  6.56684060e-02
1.13698288e-01  6.49597492e-02
1.15021506e-01  6.42831439e-02
1.16360124e-01  6.36371403e-02
1.17714321e-01  6.30203544e-02
1.19084278e-01  6.24314648e-02
1.20470178e-01  6.18692096e-02
1.21872208e-01  6.13323844e-02
1.23290554e-01  6.08198389e-02
1.24725407e-01  6.03304750e-02
1.26176959e-01  5.98632443e-02
1.27645403e-01  5.94171457e-02
1.29130938e-01  5.89912233e-02
1.30633761e-01  5.85845648e-02
1.32154074e-01  5.81962988e-02
1.33692081e-01  5.78255934e-02
1.35247987e-01  5.74716544e-02
1.36822000e-01  5.71337235e-02
1.38414332e-01  5.68110767e-02
1.40025195e-01  5.65030227e-02
1.41654805e-01  5.62089014e-02
1.43303381e-01  5.59280828e-02
1.44971143e-01  5.56599652e-02
1.46658314e-01  5.54039741e-02
1.48365120e-01  5.51595610e-02
1.50091791e-01  5.49262024e-02
1.51838556e-01  5.47033982e-02
1.53605650e-01  5.44906711e-02
1.55393309e-01  5.42875653e-02
1.57201774e-01  5.40936456e-02
1.59031285e-01  5.39084966e-02
1.60882088e-01  5.37317216e-02
1.62754430e-01  5.35629419e-02
1.64648563e-01  5.34017957e-02
1.66564739e-01  5.32479380e-02
1.68503216e-01  5.31010390e-02
1.70464253e-01  5.29607840e-02
1.72448113e-01  5.28268725e-02
1.74455061e-01  5.26990176e-02
1.76485365e-01  5.25769454e-02
1.78539298e-01  5.24603943e-02
1.80617135e-01  5.23491146e-02
1.82719154e-01  5.22428680e-02
1.84845635e-01  5.21414267e-02
1.86996865e-01  5.20445734e-02
1.89173131e-01  5.19521006e-02
1.91374724e-01  5.18638103e-02
1.93601939e-01  5.17795131e-02
1.95855075e-01  5.16990286e-02
1.98134432e-01  5.16221843e-02
2.00440316e-01  5.15488155e-02
2.02773037e-01  5.14787651e-02
2.05132905e-01  5.14118829e-02
2.07520238e-01  5.13480257e-02
2.09935354e-01  5.12870567e-02
2.12378578e-01  5.12288452e-02
2.14850235e-01  5.11732665e-02
2.17350658e-01  5.11202016e-02
2.19880180e-01  5.10695366e-02
2.22439142e-01  5.10211632e-02
2.25027884e-01  5.09749777e-02
2.27646754e-01  5.09308810e-02
2.30296102e-01  5.08887787e-02
