# pyIrena / Irena validation dataset: simple_power_law
# tool          : Simple Fits
# model         : Power Law
# equation      : I(Q) = Prefactor Q^-Exponent + bg
# 
# GROUND-TRUTH PARAMETERS
#   Prefactor                  = 0.0012         [cm^-1 A^-n]
#   Exponent                   = 3.2            [-]
#   Background                 = 0.02           [1/cm]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 4580.16, seed = 4090444554
#   median rel. error = 0.01124, max = 0.07235
# 
# Q range       : 0.01 to 0.4 1/A, 250 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]               dI[1/cm]
1.00000000e-02  3.01988949e+03  3.01537519e+01
1.01492506e-02  2.92177869e+03  2.87581142e+01
1.03007288e-02  2.74811867e+03  2.74270961e+01
1.04544678e-02  2.60149791e+03  2.61577056e+01
1.06105013e-02  2.48300277e+03  2.49470893e+01
1.07688637e-02  2.38331087e+03  2.37925259e+01
1.09295896e-02  2.26219010e+03  2.26914200e+01
1.10927144e-02  2.14573550e+03  2.16412965e+01
1.12582738e-02  2.07635328e+03  2.06397949e+01
1.14263042e-02  1.94141856e+03  1.96846640e+01
1.15968425e-02  1.89819861e+03  1.87737566e+01
1.17699261e-02  1.78871073e+03  1.79050253e+01
1.19455929e-02  1.73017379e+03  1.70765171e+01
1.21238816e-02  1.62059718e+03  1.62863698e+01
1.23048313e-02  1.54585619e+03  1.55328072e+01
1.24884816e-02  1.48470896e+03  1.48141353e+01
1.26748729e-02  1.43055322e+03  1.41287387e+01
1.28640462e-02  1.35130894e+03  1.34750768e+01
1.30560428e-02  1.31657026e+03  1.28516800e+01
1.32509050e-02  1.22284955e+03  1.22571473e+01
1.34486756e-02  1.16890292e+03  1.16901420e+01
1.36493979e-02  1.10558392e+03  1.11493897e+01
1.38531159e-02  1.06319198e+03  1.06336748e+01
1.40598745e-02  1.00357638e+03  1.01418380e+01
1.42697190e-02  9.55346069e+02  9.67277381e+00
1.44826954e-02  9.34606774e+02  9.22542777e+00
1.46988505e-02  8.69403340e+02  8.79879433e+00
1.49182317e-02  8.35672825e+02  8.39191446e+00
1.51408872e-02  7.91861854e+02  8.00387354e+00
1.53668659e-02  7.59931456e+02  7.63379932e+00
1.55962172e-02  7.41967368e+02  7.28085992e+00
1.58289917e-02  6.85560888e+02  6.94426196e+00
1.60652404e-02  6.60313145e+02  6.62324882e+00
1.63050150e-02  6.25839635e+02  6.31709891e+00
1.65483684e-02  5.95345911e+02  6.02512404e+00
1.67953537e-02  5.73278856e+02  5.74666789e+00
1.70460254e-02  5.43921824e+02  5.48110452e+00
1.73004383e-02  5.17897688e+02  5.22783698e+00
1.75586484e-02  4.94880429e+02  4.98629596e+00
1.78207123e-02  4.75506184e+02  4.75593850e+00
1.80866875e-02  4.48715189e+02  4.53624680e+00
1.83566324e-02  4.22092364e+02  4.32672700e+00
1.86306062e-02  4.06593298e+02  4.12690815e+00
1.89086691e-02  3.93776262e+02  3.93634107e+00
1.91908821e-02  3.70144589e+02  3.75459739e+00
1.94773072e-02  3.60785079e+02  3.58126857e+00
1.97680072e-02  3.43885006e+02  3.41596500e+00
2.00630459e-02  3.29679456e+02  3.25831509e+00
2.03624880e-02  3.11270432e+02  3.10796447e+00
2.06663994e-02  2.94691732e+02  2.96457516e+00
2.09748466e-02  2.73859815e+02  2.82782485e+00
2.12878974e-02  2.66259605e+02  2.69740614e+00
2.16056206e-02  2.55044672e+02  2.57302587e+00
2.19280858e-02  2.44098097e+02  2.45440443e+00
2.22553637e-02  2.30842211e+02  2.34127520e+00
2.25875264e-02  2.22621419e+02  2.23338387e+00
2.29246466e-02  2.10928173e+02  2.13048790e+00
2.32667983e-02  2.03610953e+02  2.03235602e+00
2.36140566e-02  1.94380761e+02  1.93876762e+00
2.39664978e-02  1.83744990e+02  1.84951233e+00
2.43241992e-02  1.74265974e+02  1.76438953e+00
2.46872394e-02  1.65793912e+02  1.68320785e+00
2.50556979e-02  1.59829580e+02  1.60578483e+00
2.54296557e-02  1.52114962e+02  1.53194642e+00
2.58091948e-02  1.44437984e+02  1.46152664e+00
2.61943986e-02  1.36493948e+02  1.39436719e+00
2.65853515e-02  1.31902803e+02  1.33031712e+00
2.69821395e-02  1.25955037e+02  1.26923245e+00
2.73848495e-02  1.19751329e+02  1.21097586e+00
2.77935700e-02  1.15388750e+02  1.15541640e+00
2.82083907e-02  1.09879603e+02  1.10242918e+00
2.86294027e-02  1.04529336e+02  1.05189510e+00
2.90566982e-02  1.00457356e+02  1.00370056e+00
2.94903712e-02  9.58487709e+01  9.57737229e-01
2.99305167e-02  8.98035802e+01  9.13901781e-01
3.03772314e-02  8.62571484e+01  8.72095684e-01
3.08306134e-02  8.20637686e+01  8.32224963e-01
3.12907622e-02  7.93030651e+01  7.94199994e-01
3.17577787e-02  7.49986518e+01  7.57935303e-01
3.22317654e-02  7.04442110e+01  7.23349373e-01
3.27128264e-02  6.82231255e+01  6.90364458e-01
3.32010673e-02  6.42287668e+01  6.58906415e-01
3.36965952e-02  6.20130523e+01  6.28904530e-01
3.41995189e-02  5.86661004e+01  6.00291364e-01
3.47099488e-02  5.50106356e+01  5.73002599e-01
3.52279969e-02  5.31711489e+01  5.46976895e-01
3.57537768e-02  5.14156662e+01  5.22155750e-01
3.62874041e-02  4.84086373e+01  4.98483372e-01
3.68289957e-02  4.69660723e+01  4.75906550e-01
3.73786707e-02  4.33121919e+01  4.54374534e-01
3.79365496e-02  4.26394932e+01  4.33838927e-01
3.85027548e-02  4.07645616e+01  4.14253567e-01
3.90774108e-02  3.76892721e+01  3.95574433e-01
3.96606434e-02  3.65560364e+01  3.77759539e-01
4.02525809e-02  3.50721332e+01  3.60768840e-01
4.08533531e-02  3.34801273e+01  3.44564148e-01
4.14630918e-02  3.16679503e+01  3.29109039e-01
4.20819309e-02  3.04187263e+01  3.14368776e-01
4.27100063e-02  2.90749531e+01  3.00310228e-01
4.33474557e-02  2.79518988e+01  2.86901797e-01
4.39944190e-02  2.67001260e+01  2.74113347e-01
4.46510383e-02  2.51050536e+01  2.61916137e-01
4.53174578e-02  2.41268960e+01  2.50282753e-01
4.59938235e-02  2.28742493e+01  2.39187051e-01
4.66802841e-02  2.17992359e+01  2.28604096e-01
4.73769901e-02  2.11297801e+01  2.18510105e-01
4.80840945e-02  1.99512313e+01  2.08882395e-01
4.88017525e-02  1.89643793e+01  1.99699333e-01
4.95301216e-02  1.80271386e+01  1.90940285e-01
5.02693616e-02  1.72981911e+01  1.82585571e-01
5.10196348e-02  1.64913387e+01  1.74616420e-01
5.17811059e-02  1.58965373e+01  1.67014931e-01
5.25539420e-02  1.49967309e+01  1.59764028e-01
5.33383127e-02  1.42592962e+01  1.52847425e-01
