# pyIrena / Irena validation dataset: simple_power_law
# tool          : Simple Fits
# model         : Power Law
# equation      : I(Q) = Prefactor Q^-Exponent + bg
# 
# GROUND-TRUTH PARAMETERS
#   Prefactor                  = 0.0012         [cm^-1 A^-n]
#   Exponent                   = 3.2            [-]
#   Background                 = 0.02           [1/cm]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 4580.16, seed = 4090444554
#   median rel. error = 0.01124, max = 0.07235
# 
# Q range       : 0.01 to 0.4 1/A, 250 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]
1.00000000e-02  3.01428372e+03
1.01492506e-02  2.87471996e+03
1.03007288e-02  2.74161816e+03
1.04544678e-02  2.61467913e+03
1.06105013e-02  2.49361751e+03
1.07688637e-02  2.37816117e+03
1.09295896e-02  2.26805060e+03
1.10927144e-02  2.16303826e+03
1.12582738e-02  2.06288812e+03
1.14263042e-02  1.96737503e+03
1.15968425e-02  1.87628431e+03
1.17699261e-02  1.78941119e+03
1.19455929e-02  1.70656039e+03
1.21238816e-02  1.62754568e+03
1.23048313e-02  1.55218943e+03
1.24884816e-02  1.48032227e+03
1.26748729e-02  1.41178263e+03
1.28640462e-02  1.34641645e+03
1.30560428e-02  1.28407680e+03
1.32509050e-02  1.22462355e+03
1.34486756e-02  1.16792304e+03
1.36493979e-02  1.11384784e+03
1.38531159e-02  1.06227637e+03
1.40598745e-02  1.01309272e+03
1.42697190e-02  9.66186331e+02
1.44826954e-02  9.21451758e+02
1.46988505e-02  8.78788445e+02
1.49182317e-02  8.38100491e+02
1.51408872e-02  7.99296434e+02
1.53668659e-02  7.62289048e+02
1.55962172e-02  7.26995145e+02
1.58289917e-02  6.93335389e+02
1.60652404e-02  6.61234117e+02
1.63050150e-02  6.30619169e+02
1.65483684e-02  6.01421728e+02
1.67953537e-02  5.73576160e+02
1.70460254e-02  5.47019874e+02
1.73004383e-02  5.21693172e+02
1.75586484e-02  4.97539125e+02
1.78207123e-02  4.74503438e+02
1.80866875e-02  4.52534328e+02
1.83566324e-02  4.31582412e+02
