# pyIrena / Irena validation dataset: simple_sphere
# tool          : Simple Fits
# model         : Sphere (monodisperse) + flat background
# equation      : I(Q) = Scale |3(sin x - x cos x)/x^3|^2 + BG_flat, x = QR
# 
# GROUND-TRUTH PARAMETERS
#   Scale                      = 8              [1/cm]
#   R                          = 120            [A]
#   BG_flat                    = 0.01           [1/cm]   fit with the complex background, flat term only
# 
# DERIVED QUANTITIES (not fitted; for cross-checking)
#   Q_first_minimum            = 0.037445       [1/A]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 27045, seed = 3077917839
#   median rel. error = 0.01057, max = 0.06162
# 
# Q range       : 0.002 to 0.15 1/A, 500 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]               dI[1/cm]
2.00000000e-03  7.92665811e+00  8.10106120e-02
2.01737964e-03  7.90763981e+00  8.09946807e-02
2.03491031e-03  7.93953157e+00  8.09784742e-02
2.05259331e-03  7.85161661e+00  8.09619877e-02
2.07042998e-03  7.97485793e+00  8.09452164e-02
2.08842164e-03  7.85734667e+00  8.09281556e-02
2.10656965e-03  7.99877087e+00  8.09108001e-02
2.12487536e-03  7.74457900e+00  8.08931451e-02
2.14334014e-03  7.83776881e+00  8.08751854e-02
2.16196538e-03  7.92424274e+00  8.08569157e-02
2.18075247e-03  7.93234126e+00  8.08383309e-02
2.19970282e-03  7.90859327e+00  8.08194255e-02
2.21881784e-03  7.96765159e+00  8.08001941e-02
2.23809897e-03  7.78328694e+00  8.07806312e-02
2.25754765e-03  7.92723579e+00  8.07607310e-02
2.27716533e-03  7.88216824e+00  8.07404879e-02
2.29695349e-03  7.74573033e+00  8.07198960e-02
2.31691360e-03  7.84552642e+00  8.06989494e-02
2.33704716e-03  7.87345228e+00  8.06776420e-02
2.35735568e-03  7.82538743e+00  8.06559679e-02
2.37784067e-03  7.84661789e+00  8.06339206e-02
2.39850368e-03  7.83729914e+00  8.06114939e-02
2.41934625e-03  7.82752866e+00  8.05886813e-02
2.44036993e-03  7.84520299e+00  8.05654764e-02
2.46157631e-03  7.79747204e+00  8.05418724e-02
2.48296696e-03  7.90171650e+00  8.05178627e-02
2.50454350e-03  7.86806132e+00  8.04934403e-02
2.52630753e-03  7.96874576e+00  8.04685983e-02
2.54826069e-03  7.88293605e+00  8.04433295e-02
2.57040461e-03  7.84268941e+00  8.04176268e-02
2.59274097e-03  7.85530713e+00  8.03914829e-02
2.61527142e-03  7.81778866e+00  8.03648903e-02
2.63799766e-03  7.84099519e+00  8.03378414e-02
2.66092138e-03  7.88157000e+00  8.03103286e-02
2.68404431e-03  7.88004081e+00  8.02823440e-02
2.70736817e-03  7.86299387e+00  8.02538797e-02
2.73089471e-03  7.89486202e+00  8.02249277e-02
2.75462570e-03  7.77179998e+00  8.01954796e-02
2.77856290e-03  7.91115777e+00  8.01655273e-02
2.80270811e-03  7.81438758e+00  8.01350623e-02
2.82706314e-03  7.80708254e+00  8.01040759e-02
2.85162981e-03  7.63951413e+00  8.00725594e-02
2.87640996e-03  7.82585321e+00  8.00405039e-02
2.90140544e-03  7.79252827e+00  8.00079005e-02
2.92661813e-03  7.90434090e+00  7.99747399e-02
2.95204992e-03  7.81615326e+00  7.99410129e-02
2.97770270e-03  7.85565189e+00  7.99067099e-02
3.00357840e-03  7.72330682e+00  7.98718215e-02
3.02967895e-03  7.79031500e+00  7.98363377e-02
3.05600632e-03  7.86794574e+00  7.98002488e-02
3.08256246e-03  7.83226464e+00  7.97635446e-02
3.10934938e-03  7.82668337e+00  7.97262150e-02
3.13636906e-03  7.79399850e+00  7.96882495e-02
3.16362355e-03  7.88914634e+00  7.96496375e-02
3.19111486e-03  7.81457856e+00  7.96103684e-02
3.21884508e-03  7.82132203e+00  7.95704313e-02
3.24681626e-03  7.86076270e+00  7.95298152e-02
3.27503051e-03  7.77131984e+00  7.94885087e-02
3.30348994e-03  7.78276634e+00  7.94465005e-02
3.33219667e-03  7.66921566e+00  7.94037791e-02
3.36115286e-03  7.81987676e+00  7.93603326e-02
3.39036067e-03  7.73266781e+00  7.93161491e-02
3.41982230e-03  7.80815580e+00  7.92712166e-02
3.44953994e-03  7.88237616e+00  7.92255226e-02
3.47951582e-03  7.84875220e+00  7.91790548e-02
3.50975218e-03  7.65116950e+00  7.91318004e-02
3.54025130e-03  7.74444693e+00  7.90837466e-02
3.57101544e-03  7.76591415e+00  7.90348802e-02
3.60204693e-03  7.63468378e+00  7.89851881e-02
3.63334806e-03  7.64961779e+00  7.89346567e-02
3.66492120e-03  7.72442391e+00  7.88832723e-02
3.69676871e-03  7.64054809e+00  7.88310211e-02
3.72889296e-03  7.70674483e+00  7.87778891e-02
3.76129637e-03  7.62638965e+00  7.87238618e-02
3.79398136e-03  7.69666821e+00  7.86689248e-02
3.82695038e-03  7.66879133e+00  7.86130634e-02
3.86020589e-03  7.56829395e+00  7.85562627e-02
3.89375038e-03  7.64447578e+00  7.84985074e-02
3.92758637e-03  7.63283613e+00  7.84397822e-02
3.96171639e-03  7.70177201e+00  7.83800715e-02
3.99614299e-03  7.56797020e+00  7.83193594e-02
4.03086875e-03  7.61538235e+00  7.82576299e-02
4.06589628e-03  7.55318084e+00  7.81948667e-02
4.10122818e-03  7.60320968e+00  7.81310533e-02
4.13686712e-03  7.54763130e+00  7.80661729e-02
4.17281575e-03  7.58419246e+00  7.80002085e-02
4.20907677e-03  7.70229428e+00  7.79331428e-02
4.24565289e-03  7.66887704e+00  7.78649584e-02
4.28254685e-03  7.53102163e+00  7.77956375e-02
4.31976141e-03  7.50805452e+00  7.77251622e-02
4.35729936e-03  7.64213223e+00  7.76535141e-02
4.39516350e-03  7.60637688e+00  7.75806749e-02
4.43335668e-03  7.52667571e+00  7.75066257e-02
4.47188175e-03  7.55349115e+00  7.74313476e-02
4.51074160e-03  7.57633959e+00  7.73548214e-02
4.54993913e-03  7.60508951e+00  7.72770274e-02
4.58947728e-03  7.48280035e+00  7.71979459e-02
4.62935902e-03  7.50859090e+00  7.71175569e-02
4.66958731e-03  7.58520063e+00  7.70358400e-02
4.71016519e-03  7.57957540e+00  7.69527747e-02
4.75109567e-03  7.52950809e+00  7.68683401e-02
4.79238184e-03  7.40840210e+00  7.67825150e-02
4.83402677e-03  7.37485684e+00  7.66952781e-02
4.87603360e-03  7.48734599e+00  7.66066077e-02
4.91840545e-03  7.34720164e+00  7.65164818e-02
4.96114551e-03  7.55111532e+00  7.64248781e-02
5.00425697e-03  7.30689536e+00  7.63317742e-02
5.04774306e-03  7.57208418e+00  7.62371473e-02
5.09160704e-03  7.50907934e+00  7.61409741e-02
5.13585219e-03  7.54503807e+00  7.60432315e-02
5.18048182e-03  7.36628916e+00  7.59438957e-02
5.22549927e-03  7.33495878e+00  7.58429427e-02
5.27090792e-03  7.36984551e+00  7.57403484e-02
5.31671116e-03  7.38809813e+00  7.56360881e-02
5.36291243e-03  7.23253263e+00  7.55301372e-02
5.40951517e-03  7.33366929e+00  7.54224704e-02
5.45652288e-03  7.47934699e+00  7.53130624e-02
5.50393908e-03  7.29069607e+00  7.52018875e-02
5.55176732e-03  7.33253987e+00  7.50889198e-02
5.60001118e-03  7.33462998e+00  7.49741329e-02
5.64867427e-03  7.31346617e+00  7.48575003e-02
5.69776023e-03  7.40264210e+00  7.47389952e-02
5.74727274e-03  7.32447357e+00  7.46185903e-02
5.79721551e-03  7.28891532e+00  7.44962584e-02
5.84759227e-03  7.24036258e+00  7.43719716e-02
5.89840679e-03  7.28552396e+00  7.42457020e-02
5.94966288e-03  7.19125406e+00  7.41174213e-02
6.00136438e-03  7.20877886e+00  7.39871008e-02
6.05351516e-03  7.35884659e+00  7.38547119e-02
6.10611912e-03  7.09189941e+00  7.37202252e-02
6.15918019e-03  7.11574788e+00  7.35836115e-02
6.21270236e-03  7.12930522e+00  7.34448410e-02
6.26668962e-03  7.16950161e+00  7.33038838e-02
6.32114603e-03  7.19992753e+00  7.31607096e-02
6.37607565e-03  7.09001462e+00  7.30152879e-02
6.43148260e-03  7.08995341e+00  7.28675880e-02
6.48737103e-03  7.10937631e+00  7.27175788e-02
6.54374511e-03  6.95938407e+00  7.25652292e-02
6.60060908e-03  7.04787673e+00  7.24105075e-02
6.65796718e-03  7.03782223e+00  7.22533820e-02
6.71582372e-03  7.11775794e+00  7.20938206e-02
6.77418302e-03  6.99048167e+00  7.19317912e-02
6.83304945e-03  6.97630841e+00  7.17672613e-02
6.89242742e-03  6.93118343e+00  7.16001982e-02
6.95232137e-03  7.00357892e+00  7.14305689e-02
7.01273579e-03  6.95956844e+00  7.12583404e-02
7.07367520e-03  6.88303107e+00  7.10834793e-02
7.13514417e-03  6.94262009e+00  7.09059521e-02
7.19714729e-03  6.71131702e+00  7.07257251e-02
7.25968920e-03  6.86857611e+00  7.05427645e-02
7.32277459e-03  6.92210127e+00  7.03570363e-02
7.38640819e-03  6.75012456e+00  7.01685061e-02
7.45059474e-03  6.89582654e+00  6.99771398e-02
7.51533907e-03  6.85681823e+00  6.97829028e-02
7.58064601e-03  6.72344501e+00  6.95857605e-02
7.64652046e-03  6.72681909e+00  6.93856783e-02
7.71296735e-03  6.70094668e+00  6.91826214e-02
7.77999165e-03  6.67961450e+00  6.89765548e-02
7.84759837e-03  6.68423410e+00  6.87674436e-02
7.91579259e-03  6.70264909e+00  6.85552528e-02
7.98457940e-03  6.47737642e+00  6.83399475e-02
8.05396396e-03  6.65286211e+00  6.81214924e-02
8.12395146e-03  6.56379031e+00  6.78998526e-02
8.19454713e-03  6.54552104e+00  6.76749929e-02
8.26575627e-03  6.51368422e+00  6.74468784e-02
8.33758420e-03  6.42044659e+00  6.72154741e-02
8.41003631e-03  6.42453790e+00  6.69807450e-02
8.48311801e-03  6.41693801e+00  6.67426564e-02
8.55683478e-03  6.42546881e+00  6.65011734e-02
8.63119213e-03  6.39311264e+00  6.62562616e-02
8.70619564e-03  6.28123709e+00  6.60078865e-02
8.78185091e-03  6.39037971e+00  6.57560138e-02
8.85816362e-03  6.50009116e+00  6.55006095e-02
8.93513946e-03  6.26658404e+00  6.52416398e-02
9.01278422e-03  6.36755982e+00  6.49790712e-02
9.09110369e-03  6.23679667e+00  6.47128703e-02
9.17010374e-03  6.27748568e+00  6.44430043e-02
9.24979029e-03  6.29894891e+00  6.41694404e-02
9.33016930e-03  6.11975229e+00  6.38921464e-02
9.41124680e-03  6.23096183e+00  6.36110906e-02
9.49302884e-03  6.15505184e+00  6.33262415e-02
9.57552155e-03  6.14818524e+00  6.30375682e-02
9.65873111e-03  5.93631438e+00  6.27450403e-02
9.74266374e-03  6.16571796e+00  6.24486279e-02
9.82732573e-03  6.06650016e+00  6.21483017e-02
9.91272343e-03  5.99146088e+00  6.18440330e-02
9.99886321e-03  5.94450703e+00  6.15357939e-02
1.00857515e-02  6.03229652e+00  6.12235570e-02
1.01733949e-02  5.82434533e+00  6.09072958e-02
1.02617999e-02  5.97423630e+00  6.05869844e-02
1.03509731e-02  5.88759525e+00  6.02625979e-02
1.04409211e-02  5.88761177e+00  5.99341123e-02
1.05316509e-02  5.79241336e+00  5.96015043e-02
1.06231690e-02  5.72548702e+00  5.92647519e-02
1.07154824e-02  5.77411124e+00  5.89238338e-02
1.08085981e-02  5.79725136e+00  5.85787299e-02
1.09025228e-02  5.64765017e+00  5.82294213e-02
1.09972638e-02  5.61752607e+00  5.78758901e-02
1.10928280e-02  5.62036136e+00  5.75181199e-02
1.11892227e-02  5.49412679e+00  5.71560954e-02
1.12864550e-02  5.58327076e+00  5.67898025e-02
1.13845323e-02  5.51514662e+00  5.64192289e-02
1.14834618e-02  5.42786610e+00  5.60443634e-02
1.15832511e-02  5.36579810e+00  5.56651965e-02
1.16839074e-02  5.39751821e+00  5.52817203e-02
1.17854385e-02  5.37099034e+00  5.48939284e-02
1.18878518e-02  5.31445353e+00  5.45018163e-02
1.19911551e-02  5.24922611e+00  5.41053813e-02
1.20953561e-02  5.23997174e+00  5.37046222e-02
1.22004626e-02  5.13510093e+00  5.32995402e-02
1.23064824e-02  5.14508012e+00  5.28901381e-02
1.24134235e-02  5.07770229e+00  5.24764211e-02
1.25212939e-02  4.95901449e+00  5.20583962e-02
1.26301017e-02  4.98856166e+00  5.16360728e-02
1.27398550e-02  4.99617520e+00  5.12094625e-02
1.28505621e-02  4.89659872e+00  5.07785793e-02
1.29622311e-02  4.81890200e+00  5.03434397e-02
1.30748706e-02  4.79105151e+00  4.99040625e-02
1.31884889e-02  4.81121538e+00  4.94604692e-02
1.33030944e-02  4.71293307e+00  4.90126840e-02
1.34186959e-02  4.66182594e+00  4.85607338e-02
1.35353020e-02  4.63309969e+00  4.81046484e-02
1.36529213e-02  4.60528396e+00  4.76444602e-02
1.37715628e-02  4.64061217e+00  4.71802050e-02
1.38912352e-02  4.47238610e+00  4.67119213e-02
1.40119475e-02  4.40931253e+00  4.62396510e-02
1.41337088e-02  4.39186007e+00  4.57634390e-02
1.42565282e-02  4.31578904e+00  4.52833337e-02
1.43804148e-02  4.31094325e+00  4.47993866e-02
1.45053781e-02  4.22097360e+00  4.43116530e-02
1.46314272e-02  4.16784273e+00  4.38201916e-02
1.47585716e-02  4.18851232e+00  4.33250645e-02
1.48868210e-02  4.13894486e+00  4.28263377e-02
1.50161848e-02  4.02648673e+00  4.23240811e-02
1.51466727e-02  4.03720005e+00  4.18183681e-02
1.52782946e-02  3.95528485e+00  4.13092762e-02
1.54110602e-02  3.87567214e+00  4.07968870e-02
1.55449795e-02  3.78846000e+00  4.02812860e-02
1.56800626e-02  3.79997304e+00  3.97625627e-02
1.58163195e-02  3.73016248e+00  3.92408111e-02
1.59537605e-02  3.69243135e+00  3.87161292e-02
1.60923958e-02  3.62206844e+00  3.81886194e-02
1.62322358e-02  3.64032925e+00  3.76583885e-02
1.63732910e-02  3.54753655e+00  3.71255477e-02
1.65155720e-02  3.48107585e+00  3.65902126e-02
1.66590893e-02  3.44610814e+00  3.60525035e-02
1.68038538e-02  3.31041359e+00  3.55125449e-02
1.69498763e-02  3.30907042e+00  3.49704663e-02
1.70971677e-02  3.29467918e+00  3.44264016e-02
1.72457390e-02  3.23379438e+00  3.38804893e-02
1.73956013e-02  3.10070812e+00  3.33328728e-02
1.75467660e-02  3.17292104e+00  3.27836999e-02
1.76992442e-02  3.05617546e+00  3.22331234e-02
1.78530475e-02  3.03949968e+00  3.16813004e-02
1.80081872e-02  2.97885150e+00  3.11283931e-02
1.81646751e-02  2.85908756e+00  3.05745680e-02
1.83225229e-02  2.82944610e+00  3.00199966e-02
1.84817423e-02  2.80066537e+00  2.94648548e-02
1.86423453e-02  2.70718863e+00  2.89093231e-02
1.88043440e-02  2.64786470e+00  2.83535865e-02
1.89677503e-02  2.57924271e+00  2.77978345e-02
1.91325767e-02  2.54385158e+00  2.72422611e-02
1.92988353e-02  2.46310144e+00  2.66870645e-02
1.94665387e-02  2.41567815e+00  2.61324472e-02
1.96356994e-02  2.37844446e+00  2.55786156e-02
1.98063301e-02  2.33314107e+00  2.50257804e-02
1.99784436e-02  2.30819892e+00  2.44741561e-02
2.01520526e-02  2.26205014e+00  2.39239607e-02
2.03271703e-02  2.17140315e+00  2.33754161e-02
2.05038098e-02  2.15311173e+00  2.28287474e-02
2.06819842e-02  2.03640325e+00  2.22841829e-02
2.08617069e-02  1.93853898e+00  2.17419540e-02
2.10429914e-02  1.97731288e+00  2.12022950e-02
2.12258512e-02  1.87584521e+00  2.06654424e-02
2.14103000e-02  1.83054869e+00  2.01316355e-02
2.15963517e-02  1.77346365e+00  1.96011151e-02
2.17840201e-02  1.73590071e+00  1.90741243e-02
2.19733193e-02  1.64929843e+00  1.85509072e-02
2.21642635e-02  1.65924541e+00  1.80317093e-02
2.23568670e-02  1.57127383e+00  1.75167767e-02
