# pyIrena / Irena validation dataset: simple_sphere
# tool          : Simple Fits
# model         : Sphere (monodisperse) + flat background
# equation      : I(Q) = Scale |3(sin x - x cos x)/x^3|^2 + BG_flat, x = QR
# 
# GROUND-TRUTH PARAMETERS
#   Scale                      = 8              [1/cm]
#   R                          = 120            [A]
#   BG_flat                    = 0.01           [1/cm]   fit with the complex background, flat term only
# 
# DERIVED QUANTITIES (not fitted; for cross-checking)
#   Q_first_minimum            = 0.037445       [1/A]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 27045, seed = 3077917839
#   median rel. error = 0.01057, max = 0.06162
# 
# Q range       : 0.002 to 0.15 1/A, 500 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]
2.00000000e-03  7.91829372e+00
2.01737964e-03  7.91670100e+00
2.03491031e-03  7.91508077e+00
2.05259331e-03  7.91343255e+00
2.07042998e-03  7.91175586e+00
2.08842164e-03  7.91005022e+00
2.10656965e-03  7.90831513e+00
2.12487536e-03  7.90655009e+00
2.14334014e-03  7.90475458e+00
2.16196538e-03  7.90292809e+00
2.18075247e-03  7.90107010e+00
2.19970282e-03  7.89918006e+00
2.21881784e-03  7.89725742e+00
2.23809897e-03  7.89530164e+00
2.25754765e-03  7.89331214e+00
2.27716533e-03  7.89128836e+00
2.29695349e-03  7.88922971e+00
2.31691360e-03  7.88713560e+00
2.33704716e-03  7.88500542e+00
2.35735568e-03  7.88283857e+00
2.37784067e-03  7.88063442e+00
2.39850368e-03  7.87839234e+00
2.41934625e-03  7.87611169e+00
2.44036993e-03  7.87379180e+00
2.46157631e-03  7.87143203e+00
2.48296696e-03  7.86903169e+00
2.50454350e-03  7.86659009e+00
2.52630753e-03  7.86410654e+00
2.54826069e-03  7.86158034e+00
2.57040461e-03  7.85901075e+00
