# pyIrena / Irena validation dataset: sizes_sphere_bimodal
# tool          : Size Distribution
# model         : Bimodal log-normal volume distribution of solid spheres
# equation      : I(Q) = 1e-4 * contrast * INT V(r) F_sph^2(Qr) [P_1(r)+P_2(r)] dr
# 
# GROUND-TRUTH PARAMETERS
#   R_median_1                 = 40             [A]
#   sigma_log_1                = 0.18           [-]
#   volume_fraction_1          = 0.004          [-]
#   R_median_2                 = 250            [A]
#   sigma_log_2                = 0.22           [-]
#   volume_fraction_2          = 0.01           [-]
#   contrast                   = 100            [1e20 cm^-4]
#   background                 = 0              [1/cm]
# 
# DERIVED QUANTITIES (not fitted; for cross-checking)
#   R_mode_1                   = 38.7248        [A]
#   R_mode_2                   = 238.188        [A]
#   volume_fraction_total      = 0.014          [-]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 68857.2, seed = 3407787525
#   median rel. error = 0.01, max = 0.1178
# 
# Q range       : 0.0005 to 0.4 1/A, 400 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]               dI[1/cm]
5.00000000e-04  8.12808226e+03  8.11274322e+01
5.08447269e-04  8.20354004e+03  8.11147312e+01
5.17037251e-04  8.10628621e+03  8.11015996e+01
5.25772357e-04  8.17532066e+03  8.10880230e+01
5.34655038e-04  8.09713005e+03  8.10739861e+01
5.43687788e-04  8.10910950e+03  8.10594737e+01
5.52873142e-04  8.15835517e+03  8.10444696e+01
5.62213678e-04  8.14365461e+03  8.10289572e+01
5.71712019e-04  7.98665637e+03  8.10129196e+01
5.81370830e-04  8.09536070e+03  8.09963389e+01
5.91192821e-04  8.07877449e+03  8.09791970e+01
6.01180751e-04  8.06064728e+03  8.09614750e+01
6.11337422e-04  8.06415174e+03  8.09431533e+01
6.21665686e-04  7.97725778e+03  8.09242119e+01
6.32168440e-04  8.00296593e+03  8.09046299e+01
6.42848634e-04  8.07789101e+03  8.08843859e+01
6.53709265e-04  8.05207297e+03  8.08634576e+01
6.64753381e-04  7.90563510e+03  8.08418221e+01
6.75984083e-04  8.17399799e+03  8.08194558e+01
6.87404522e-04  8.11216353e+03  8.07963341e+01
6.99017904e-04  8.06419106e+03  8.07724318e+01
7.10827489e-04  8.10974161e+03  8.07477227e+01
7.22836591e-04  8.01012558e+03  8.07221801e+01
7.35048581e-04  8.09977879e+03  8.06957759e+01
7.47466888e-04  8.10089625e+03  8.06684814e+01
7.60094996e-04  8.13012665e+03  8.06402670e+01
7.72936450e-04  8.07652603e+03  8.06111021e+01
7.85994854e-04  8.13421014e+03  8.05809549e+01
7.99273874e-04  8.18016952e+03  8.05497928e+01
8.12777237e-04  8.02858414e+03  8.05175821e+01
8.26508733e-04  8.01235130e+03  8.04842879e+01
8.40472217e-04  7.96038830e+03  8.04498744e+01
8.54671607e-04  8.02526559e+03  8.04143043e+01
8.69110889e-04  8.10421020e+03  8.03775394e+01
8.83794116e-04  8.04185571e+03  8.03395402e+01
8.98725410e-04  7.95320248e+03  8.03002659e+01
9.13908961e-04  7.98277641e+03  8.02596743e+01
9.29349031e-04  7.98636841e+03  8.02177221e+01
9.45049953e-04  8.10533249e+03  8.01743644e+01
9.61016136e-04  7.88070046e+03  8.01295550e+01
9.77252060e-04  8.01563352e+03  8.00832462e+01
9.93762282e-04  8.13834638e+03  8.00353887e+01
1.01055144e-03  8.07463786e+03  7.99859318e+01
1.02762424e-03  7.89574556e+03  7.99348232e+01
1.04498547e-03  8.07063208e+03  7.98820089e+01
1.06264002e-03  8.09530451e+03  7.98274332e+01
1.08059283e-03  7.97324997e+03  7.97710386e+01
1.09884895e-03  8.03424731e+03  7.97127661e+01
1.11741350e-03  7.98655800e+03  7.96525546e+01
1.13629168e-03  7.99014743e+03  7.95903413e+01
1.15548880e-03  7.97147829e+03  7.95260613e+01
1.17501025e-03  7.93971308e+03  7.94596478e+01
1.19486151e-03  7.92490407e+03  7.93910321e+01
1.21504814e-03  7.98237564e+03  7.93201432e+01
1.23557582e-03  7.85397832e+03  7.92469082e+01
1.25645030e-03  8.06784652e+03  7.91712518e+01
1.27767745e-03  7.86143314e+03  7.90930965e+01
1.29926322e-03  7.89856192e+03  7.90123626e+01
1.32121367e-03  7.82007813e+03  7.89289681e+01
1.34353497e-03  7.94227589e+03  7.88428283e+01
1.36623337e-03  7.90558184e+03  7.87538562e+01
1.38931525e-03  7.87199567e+03  7.86619625e+01
1.41278709e-03  7.86379048e+03  7.85670550e+01
1.43665548e-03  7.90149497e+03  7.84690389e+01
1.46092711e-03  7.87872823e+03  7.83678170e+01
1.48560880e-03  7.76094301e+03  7.82632889e+01
1.51070748e-03  7.72540152e+03  7.81553518e+01
1.53623018e-03  7.71912078e+03  7.80438998e+01
1.56218408e-03  7.87755065e+03  7.79288241e+01
1.58857646e-03  7.72573467e+03  7.78100132e+01
1.61541472e-03  7.60495719e+03  7.76873522e+01
1.64270641e-03  7.78573434e+03  7.75607233e+01
1.67045918e-03  7.69049780e+03  7.74300056e+01
1.69868081e-03  7.72761130e+03  7.72950750e+01
1.72737924e-03  7.68072521e+03  7.71558042e+01
1.75656252e-03  7.64902261e+03  7.70120626e+01
1.78623883e-03  7.75566161e+03  7.68637163e+01
1.81641651e-03  7.65182443e+03  7.67106280e+01
1.84710403e-03  7.73824990e+03  7.65526572e+01
1.87831000e-03  7.79759674e+03  7.63896598e+01
1.91004318e-03  7.67987854e+03  7.62214883e+01
1.94231247e-03  7.60185474e+03  7.60479917e+01
1.97512695e-03  7.62718051e+03  7.58690158e+01
2.00849580e-03  7.54091883e+03  7.56844024e+01
2.04242841e-03  7.54638980e+03  7.54939903e+01
2.07693430e-03  7.60664357e+03  7.52976144e+01
2.11202315e-03  7.65287551e+03  7.50951063e+01
2.14770480e-03  7.57904323e+03  7.48862940e+01
2.18398928e-03  7.30326082e+03  7.46710021e+01
2.22088677e-03  7.33469452e+03  7.44490518e+01
2.25840763e-03  7.46078702e+03  7.42202607e+01
2.29656238e-03  7.29292276e+03  7.39844433e+01
2.33536174e-03  7.32616564e+03  7.37414106e+01
2.37481660e-03  7.37443018e+03  7.34909705e+01
2.41493803e-03  7.30004897e+03  7.32329276e+01
2.45573730e-03  7.39169866e+03  7.29670836e+01
2.49722584e-03  7.31776519e+03  7.26932373e+01
2.53941532e-03  7.30207100e+03  7.24111845e+01
2.58231757e-03  7.08587047e+03  7.21207184e+01
2.62594463e-03  7.23082225e+03  7.18216299e+01
2.67030876e-03  7.22668742e+03  7.15137072e+01
2.71542239e-03  7.07249399e+03  7.11967367e+01
2.76129820e-03  6.99363708e+03  7.08705028e+01
2.80794905e-03  7.00929086e+03  7.05347881e+01
2.85538806e-03  7.01773433e+03  7.01893739e+01
2.90362852e-03  6.95335381e+03  6.98340403e+01
2.95268398e-03  6.93327598e+03  6.94685669e+01
3.00256822e-03  6.89287142e+03  6.90927323e+01
3.05329522e-03  6.83810804e+03  6.87063155e+01
3.10487923e-03  6.80268863e+03  6.83090955e+01
3.15733473e-03  6.83317851e+03  6.79008522e+01
3.21067645e-03  6.82308206e+03  6.74813666e+01
3.26491934e-03  6.76345150e+03  6.70504213e+01
3.32007865e-03  6.70079989e+03  6.66078013e+01
3.37616984e-03  6.49241533e+03  6.61532943e+01
3.43320867e-03  6.57560652e+03  6.56866913e+01
3.49121115e-03  6.53916833e+03  6.52077874e+01
3.55019355e-03  6.46793635e+03  6.47163825e+01
3.61017243e-03  6.39061205e+03  6.42122817e+01
3.67116463e-03  6.42028789e+03  6.36952963e+01
3.73318726e-03  6.36646555e+03  6.31652448e+01
3.79625773e-03  6.26867017e+03  6.26219533e+01
3.86039375e-03  6.22765257e+03  6.20652568e+01
3.92561332e-03  6.11724129e+03  6.14949996e+01
3.99193475e-03  6.01130407e+03  6.09110371e+01
4.05937664e-03  5.95472038e+03  6.03132359e+01
4.12795794e-03  5.93121268e+03  5.97014757e+01
4.19769788e-03  5.96391502e+03  5.90756496e+01
4.26861605e-03  5.75694287e+03  5.84356660e+01
4.34073235e-03  5.79174520e+03  5.77814491e+01
4.41406702e-03  5.69069847e+03  5.71129409e+01
4.48864064e-03  5.62883230e+03  5.64301016e+01
4.56447415e-03  5.54933199e+03  5.57329115e+01
4.64158883e-03  5.53444086e+03  5.50213722e+01
4.72000633e-03  5.42579297e+03  5.42955077e+01
4.79974866e-03  5.29131791e+03  5.35553661e+01
4.88083820e-03  5.31258365e+03  5.28010209e+01
4.96329771e-03  5.25820005e+03  5.20325723e+01
5.04715033e-03  5.16094991e+03  5.12501485e+01
5.13241960e-03  5.01741565e+03  5.04539076e+01
5.21912946e-03  4.93954795e+03  4.96440385e+01
5.30730425e-03  4.87701826e+03  4.88207624e+01
5.39696870e-03  4.77830131e+03  4.79843345e+01
5.48814800e-03  4.67948335e+03  4.71350449e+01
5.58086772e-03  4.61417992e+03  4.62732199e+01
5.67515391e-03  4.61142840e+03  4.53992237e+01
5.77103301e-03  4.43018521e+03  4.45134590e+01
5.86853195e-03  4.32042820e+03  4.36163684e+01
5.96767809e-03  4.23072703e+03  4.27084352e+01
6.06849925e-03  4.12965179e+03  4.17901844e+01
6.17102374e-03  4.02825331e+03  4.08621834e+01
6.27528034e-03  3.95271297e+03  3.99250427e+01
6.38129831e-03  3.96161878e+03  3.89794160e+01
6.48910739e-03  3.74728634e+03  3.80260011e+01
6.59873787e-03  3.71448374e+03  3.70655392e+01
6.71022050e-03  3.62757235e+03  3.60988154e+01
6.82358657e-03  3.46971053e+03  3.51266580e+01
6.93886792e-03  3.40008635e+03  3.41499382e+01
7.05609689e-03  3.31018472e+03  3.31695690e+01
7.17530639e-03  3.22815887e+03  3.21865039e+01
7.29652988e-03  3.11281268e+03  3.12017361e+01
