# pyIrena / Irena validation dataset: sizes_sphere_bimodal
# tool          : Size Distribution
# model         : Bimodal log-normal volume distribution of solid spheres
# equation      : I(Q) = 1e-4 * contrast * INT V(r) F_sph^2(Qr) [P_1(r)+P_2(r)] dr
# 
# GROUND-TRUTH PARAMETERS
#   R_median_1                 = 40             [A]
#   sigma_log_1                = 0.18           [-]
#   volume_fraction_1          = 0.004          [-]
#   R_median_2                 = 250            [A]
#   sigma_log_2                = 0.22           [-]
#   volume_fraction_2          = 0.01           [-]
#   contrast                   = 100            [1e20 cm^-4]
#   background                 = 0              [1/cm]
# 
# DERIVED QUANTITIES (not fitted; for cross-checking)
#   R_mode_1                   = 38.7248        [A]
#   R_mode_2                   = 238.188        [A]
#   volume_fraction_total      = 0.014          [-]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 68857.2, seed = 3407787525
#   median rel. error = 0.01, max = 0.1178
# 
# Q range       : 0.0005 to 0.4 1/A, 400 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]
5.00000000e-04  8.11267060e+03
5.08447269e-04  8.11140051e+03
5.17037251e-04  8.11008735e+03
5.25772357e-04  8.10872968e+03
5.34655038e-04  8.10732600e+03
5.43687788e-04  8.10587475e+03
5.52873142e-04  8.10437434e+03
5.62213678e-04  8.10282311e+03
5.71712019e-04  8.10121934e+03
5.81370830e-04  8.09956128e+03
5.91192821e-04  8.09784709e+03
6.01180751e-04  8.09607489e+03
6.11337422e-04  8.09424272e+03
6.21665686e-04  8.09234858e+03
6.32168440e-04  8.09039038e+03
6.42848634e-04  8.08836598e+03
6.53709265e-04  8.08627315e+03
6.64753381e-04  8.08410960e+03
6.75984083e-04  8.08187296e+03
6.87404522e-04  8.07956079e+03
6.99017904e-04  8.07717056e+03
7.10827489e-04  8.07469966e+03
7.22836591e-04  8.07214539e+03
7.35048581e-04  8.06950497e+03
7.47466888e-04  8.06677553e+03
7.60094996e-04  8.06395409e+03
7.72936450e-04  8.06103759e+03
7.85994854e-04  8.05802288e+03
7.99273874e-04  8.05490667e+03
8.12777237e-04  8.05168560e+03
8.26508733e-04  8.04835618e+03
8.40472217e-04  8.04491482e+03
8.54671607e-04  8.04135782e+03
8.69110889e-04  8.03768133e+03
8.83794116e-04  8.03388141e+03
8.98725410e-04  8.02995398e+03
9.13908961e-04  8.02589482e+03
9.29349031e-04  8.02169960e+03
9.45049953e-04  8.01736383e+03
9.61016136e-04  8.01288289e+03
9.77252060e-04  8.00825200e+03
9.93762282e-04  8.00346626e+03
1.01055144e-03  7.99852057e+03
1.02762424e-03  7.99340971e+03
1.04498547e-03  7.98812828e+03
1.06264002e-03  7.98267070e+03
1.08059283e-03  7.97703125e+03
1.09884895e-03  7.97120400e+03
1.11741350e-03  7.96518285e+03
1.13629168e-03  7.95896151e+03
1.15548880e-03  7.95253351e+03
1.17501025e-03  7.94589217e+03
1.19486151e-03  7.93903060e+03
1.21504814e-03  7.93194171e+03
1.23557582e-03  7.92461821e+03
1.25645030e-03  7.91705256e+03
1.27767745e-03  7.90923704e+03
1.29926322e-03  7.90116365e+03
1.32121367e-03  7.89282419e+03
1.34353497e-03  7.88421021e+03
1.36623337e-03  7.87531301e+03
1.38931525e-03  7.86612364e+03
1.41278709e-03  7.85663289e+03
1.43665548e-03  7.84683128e+03
1.46092711e-03  7.83670908e+03
1.48560880e-03  7.82625628e+03
1.51070748e-03  7.81546256e+03
1.53623018e-03  7.80431736e+03
1.56218408e-03  7.79280980e+03
1.58857646e-03  7.78092871e+03
1.61541472e-03  7.76866260e+03
1.64270641e-03  7.75599971e+03
1.67045918e-03  7.74292795e+03
1.69868081e-03  7.72943489e+03
1.72737924e-03  7.71550781e+03
1.75656252e-03  7.70113365e+03
1.78623883e-03  7.68629901e+03
1.81641651e-03  7.67099019e+03
1.84710403e-03  7.65519310e+03
1.87831000e-03  7.63889336e+03
1.91004318e-03  7.62207621e+03
1.94231247e-03  7.60472656e+03
1.97512695e-03  7.58682896e+03
2.00849580e-03  7.56836763e+03
2.04242841e-03  7.54932642e+03
2.07693430e-03  7.52968882e+03
2.11202315e-03  7.50943801e+03
2.14770480e-03  7.48855678e+03
2.18398928e-03  7.46702760e+03
2.22088677e-03  7.44483256e+03
2.25840763e-03  7.42195346e+03
2.29656238e-03  7.39837172e+03
2.33536174e-03  7.37406845e+03
2.37481660e-03  7.34902443e+03
2.41493803e-03  7.32322015e+03
2.45573730e-03  7.29663575e+03
2.49722584e-03  7.26925112e+03
2.53941532e-03  7.24104583e+03
2.58231757e-03  7.21199923e+03
2.62594463e-03  7.18209037e+03
2.67030876e-03  7.15129811e+03
2.71542239e-03  7.11960106e+03
2.76129820e-03  7.08697766e+03
2.80794905e-03  7.05340619e+03
2.85538806e-03  7.01886477e+03
2.90362852e-03  6.98333142e+03
2.95268398e-03  6.94678407e+03
3.00256822e-03  6.90920062e+03
3.05329522e-03  6.87055894e+03
3.10487923e-03  6.83083694e+03
3.15733473e-03  6.79001261e+03
3.21067645e-03  6.74806404e+03
3.26491934e-03  6.70496951e+03
3.32007865e-03  6.66070751e+03
3.37616984e-03  6.61525681e+03
3.43320867e-03  6.56859652e+03
3.49121115e-03  6.52070613e+03
3.55019355e-03  6.47156564e+03
3.61017243e-03  6.42115556e+03
3.67116463e-03  6.36945702e+03
3.73318726e-03  6.31645187e+03
3.79625773e-03  6.26212272e+03
3.86039375e-03  6.20645306e+03
3.92561332e-03  6.14942735e+03
3.99193475e-03  6.09103109e+03
4.05937664e-03  6.03125098e+03
4.12795794e-03  5.97007495e+03
4.19769788e-03  5.90749235e+03
4.26861605e-03  5.84349398e+03
4.34073235e-03  5.77807230e+03
4.41406702e-03  5.71122148e+03
4.48864064e-03  5.64293755e+03
4.56447415e-03  5.57321854e+03
4.64158883e-03  5.50206461e+03
4.72000633e-03  5.42947816e+03
4.79974866e-03  5.35546400e+03
4.88083820e-03  5.28002948e+03
4.96329771e-03  5.20318461e+03
5.04715033e-03  5.12494224e+03
5.13241960e-03  5.04531814e+03
5.21912946e-03  4.96433123e+03
5.30730425e-03  4.88200363e+03
5.39696870e-03  4.79836084e+03
5.48814800e-03  4.71343188e+03
5.58086772e-03  4.62724938e+03
5.67515391e-03  4.53984976e+03
5.77103301e-03  4.45127329e+03
5.86853195e-03  4.36156423e+03
5.96767809e-03  4.27077090e+03
6.06849925e-03  4.17894582e+03
6.17102374e-03  4.08614573e+03
6.27528034e-03  3.99243165e+03
6.38129831e-03  3.89786899e+03
6.48910739e-03  3.80252750e+03
6.59873787e-03  3.70648131e+03
6.71022050e-03  3.60980892e+03
6.82358657e-03  3.51259319e+03
6.93886792e-03  3.41492121e+03
7.05609689e-03  3.31688428e+03
7.17530639e-03  3.21857778e+03
7.29652988e-03  3.12010100e+03
7.41980138e-03  3.02155701e+03
7.54515550e-03  2.92305242e+03
7.67262742e-03  2.82469718e+03
7.80225291e-03  2.72660426e+03
7.93406837e-03  2.62888938e+03
8.06811080e-03  2.53167069e+03
8.20441780e-03  2.43506834e+03
8.34302765e-03  2.33920408e+03
8.48397925e-03  2.24420088e+03
8.62731217e-03  2.15018237e+03
8.77306662e-03  2.05727237e+03
8.92128353e-03  1.96559436e+03
9.07200450e-03  1.87527088e+03
9.22527182e-03  1.78642299e+03
9.38112853e-03  1.69916958e+03
9.53961837e-03  1.61362683e+03
9.70078582e-03  1.52990747e+03
9.86467611e-03  1.44812023e+03
1.00313353e-02  1.36836910e+03
1.02008100e-02  1.29075271e+03
1.03731480e-02  1.21536370e+03
1.05483976e-02  1.14228807e+03
1.07266079e-02  1.07160459e+03
1.09078290e-02  1.00338423e+03
1.10921117e-02  9.37689595e+02
1.12795078e-02  8.74574475e+02
1.14700699e-02  8.14083373e+02
1.16638514e-02  7.56251135e+02
1.18609068e-02  7.01102639e+02
1.20612913e-02  6.48652550e+02
1.22650613e-02  5.98905157e+02
1.24722738e-02  5.51854292e+02
1.26829871e-02  5.07483341e+02
1.28972603e-02  4.65765342e+02
1.31151536e-02  4.26663174e+02
1.33367281e-02  3.90129846e+02
1.35620459e-02  3.56108877e+02
1.37911704e-02  3.24534763e+02
1.40241659e-02  2.95333544e+02
1.42610977e-02  2.68423441e+02
1.45020324e-02  2.43715580e+02
1.47470375e-02  2.21114785e+02
1.49961819e-02  2.00520425e+02
1.52495355e-02  1.81827322e+02
1.55071693e-02  1.64926688e+02
1.57691558e-02  1.49707099e+02
1.60355684e-02  1.36055471e+02
1.63064819e-02  1.23858045e+02
1.65819724e-02  1.13001358e+02
1.68621172e-02  1.03373180e+02
1.71469949e-02  9.48634152e+01
1.74366854e-02  8.73649481e+01
1.77312702e-02  8.07744242e+01
1.80308318e-02  7.49929517e+01
1.83354544e-02  6.99267199e+01
1.86452234e-02  6.54875217e+01
1.89602258e-02  6.15931781e+01
1.92805501e-02  5.81678585e+01
1.96062861e-02  5.51422965e+01
1.99375252e-02  5.24539004e+01
2.02743605e-02  5.00467627e+01
2.06168865e-02  4.78715719e+01
2.09651993e-02  4.58854332e+01
2.13193966e-02  4.40516075e+01
2.16795780e-02  4.23391774e+01
2.20458445e-02  4.07226517e+01
2.24182988e-02  3.91815202e+01
2.27970456e-02  3.76997715e+01
2.31821912e-02  3.62653862e+01
2.35738436e-02  3.48698180e+01
2.39721128e-02  3.35074750e+01
2.43771106e-02  3.21752121e+01
2.47889506e-02  3.08718454e+01
2.52077485e-02  2.95976960e+01
2.56336218e-02  2.83541725e+01
2.60666900e-02  2.71433961e+01
2.65070746e-02  2.59678733e+01
2.69548994e-02  2.48302187e+01
2.74102900e-02  2.37329277e+01
2.78733742e-02  2.26781993e+01
