# pyIrena / Irena validation dataset: sizes_sphere_flat_background
# tool          : Size Distribution
# model         : Log-normal spheres on a flat background
# equation      : I(Q) = 1e-4*contrast*INT V(r) F_sph^2(Qr) P_V(r) dr + flat
# 
# GROUND-TRUTH PARAMETERS
#   R_median                   = 120            [A]
#   sigma_log                  = 0.22           [-]
#   volume_fraction            = 0.006          [-]
#   contrast                   = 100            [1e20 cm^-4]
#   background_flat            = 0.02           [1/cm]   dominates above Q ~ 0.15 1/A; fit it there before inverting
# 
# DERIVED QUANTITIES (not fitted; for cross-checking)
#   R_mode                     = 114.33         [A]
#   R_mean_vol                 = 122.939        [A]
#   R_rms                      = 125.951        [A]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 12526.5, seed = 1916699605
#   median rel. error = 0.01002, max = 0.06298
# 
# Q range       : 0.0008 to 0.35 1/A, 350 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]               dI[1/cm]
8.00000000e-04  5.32101701e+02  5.38929260e+00
8.14061582e-04  5.46197410e+02  5.38877425e+00
8.28370323e-04  5.29355257e+02  5.38823756e+00
8.42930569e-04  5.33066337e+02  5.38768190e+00
8.57746741e-04  5.49963325e+02  5.38710660e+00
8.72823335e-04  5.36985018e+02  5.38651096e+00
8.88164931e-04  5.37588252e+02  5.38589427e+00
9.03776186e-04  5.37774937e+02  5.38525579e+00
9.19661839e-04  5.32413127e+02  5.38459475e+00
9.35826714e-04  5.40117520e+02  5.38391036e+00
9.52275719e-04  5.40546431e+02  5.38320179e+00
9.69013847e-04  5.23951150e+02  5.38246820e+00
9.86046181e-04  5.44355818e+02  5.38170870e+00
1.00337789e-03  5.33088485e+02  5.38092238e+00
1.02101424e-03  5.34585064e+02  5.38010831e+00
1.03896059e-03  5.31949626e+02  5.37926550e+00
1.05722237e-03  5.42443034e+02  5.37839295e+00
1.07580515e-03  5.33527899e+02  5.37748961e+00
1.09471455e-03  5.35624980e+02  5.37655440e+00
1.11395632e-03  5.39090650e+02  5.37558620e+00
1.13353631e-03  5.37036045e+02  5.37458386e+00
