# pyIrena / Irena validation dataset: sizes_sphere_flat_background
# tool          : Size Distribution
# model         : Log-normal spheres on a flat background
# equation      : I(Q) = 1e-4*contrast*INT V(r) F_sph^2(Qr) P_V(r) dr + flat
# 
# GROUND-TRUTH PARAMETERS
#   R_median                   = 120            [A]
#   sigma_log                  = 0.22           [-]
#   volume_fraction            = 0.006          [-]
#   contrast                   = 100            [1e20 cm^-4]
#   background_flat            = 0.02           [1/cm]   dominates above Q ~ 0.15 1/A; fit it there before inverting
# 
# DERIVED QUANTITIES (not fitted; for cross-checking)
#   R_mode                     = 114.33         [A]
#   R_mean_vol                 = 122.939        [A]
#   R_rms                      = 125.951        [A]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 12526.5, seed = 1916699605
#   median rel. error = 0.01002, max = 0.06298
# 
# Q range       : 0.0008 to 0.35 1/A, 350 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]
8.00000000e-04  5.38530253e+02
8.14061582e-04  5.38478417e+02
8.28370323e-04  5.38424749e+02
8.42930569e-04  5.38369183e+02
8.57746741e-04  5.38311652e+02
8.72823335e-04  5.38252089e+02
8.88164931e-04  5.38190420e+02
9.03776186e-04  5.38126572e+02
9.19661839e-04  5.38060468e+02
9.35826714e-04  5.37992029e+02
9.52275719e-04  5.37921172e+02
9.69013847e-04  5.37847813e+02
9.86046181e-04  5.37771863e+02
1.00337789e-03  5.37693231e+02
1.02101424e-03  5.37611824e+02
1.03896059e-03  5.37527543e+02
1.05722237e-03  5.37440288e+02
1.07580515e-03  5.37349954e+02
1.09471455e-03  5.37256433e+02
1.11395632e-03  5.37159613e+02
1.13353631e-03  5.37059379e+02
1.15346045e-03  5.36955611e+02
1.17373479e-03  5.36848185e+02
1.19436550e-03  5.36736973e+02
1.21535884e-03  5.36621842e+02
1.23672117e-03  5.36502656e+02
1.25845899e-03  5.36379272e+02
1.28057890e-03  5.36251543e+02
1.30308760e-03  5.36119318e+02
1.32599194e-03  5.35982440e+02
1.34929887e-03  5.35840746e+02
1.37301547e-03  5.35694068e+02
1.39714893e-03  5.35542232e+02
1.42170659e-03  5.35385060e+02
1.44669589e-03  5.35222364e+02
1.47212443e-03  5.35053952e+02
1.49799993e-03  5.34879626e+02
1.52433024e-03  5.34699180e+02
1.55112336e-03  5.34512402e+02
1.57838741e-03  5.34319072e+02
1.60613069e-03  5.34118962e+02
1.63436162e-03  5.33911838e+02
1.66308875e-03  5.33697457e+02
1.69232083e-03  5.33475568e+02
1.72206671e-03  5.33245911e+02
1.75233544e-03  5.33008218e+02
1.78313620e-03  5.32762211e+02
1.81447834e-03  5.32507605e+02
1.84637138e-03  5.32244104e+02
1.87882501e-03  5.31971401e+02
1.91184908e-03  5.31689180e+02
1.94545360e-03  5.31397115e+02
1.97964880e-03  5.31094868e+02
2.01444504e-03  5.30782091e+02
2.04985289e-03  5.30458424e+02
2.08588311e-03  5.30123495e+02
2.12254663e-03  5.29776920e+02
2.15985458e-03  5.29418304e+02
2.19781830e-03  5.29047235e+02
2.23644930e-03  5.28663293e+02
2.27575932e-03  5.28266040e+02
2.31576029e-03  5.27855026e+02
2.35646435e-03  5.27429788e+02
2.39788387e-03  5.26989844e+02
2.44003142e-03  5.26534701e+02
2.48291980e-03  5.26063849e+02
2.52656202e-03  5.25576759e+02
2.57097134e-03  5.25072891e+02
2.61616125e-03  5.24551683e+02
2.66214545e-03  5.24012559e+02
2.70893792e-03  5.23454923e+02
2.75655286e-03  5.22878162e+02
2.80500473e-03  5.22281643e+02
2.85430823e-03  5.21664716e+02
2.90447834e-03  5.21026710e+02
2.95553029e-03  5.20366933e+02
3.00747958e-03  5.19684674e+02
3.06034198e-03  5.18979200e+02
3.11413354e-03  5.18249758e+02
3.16887059e-03  5.17495571e+02
3.22456976e-03  5.16715840e+02
3.28124795e-03  5.15909746e+02
3.33892237e-03  5.15076442e+02
3.39761053e-03  5.14215063e+02
3.45733025e-03  5.13324714e+02
3.51809966e-03  5.12404480e+02
3.57993722e-03  5.11453419e+02
3.64286170e-03  5.10470565e+02
3.70689219e-03  5.09454925e+02
3.77204815e-03  5.08405481e+02
3.83834935e-03  5.07321189e+02
3.90581593e-03  5.06200978e+02
3.97446837e-03  5.05043751e+02
4.04432751e-03  5.03848383e+02
4.11541456e-03  5.02613723e+02
4.18775111e-03  5.01338592e+02
4.26135911e-03  5.00021784e+02
4.33626092e-03  4.98662067e+02
4.41247928e-03  4.97258180e+02
4.49003733e-03  4.95808836e+02
4.56895861e-03  4.94312720e+02
4.64926709e-03  4.92768492e+02
4.73098715e-03  4.91174783e+02
4.81414361e-03  4.89530202e+02
4.89876170e-03  4.87833328e+02
4.98486712e-03  4.86082718e+02
5.07248601e-03  4.84276906e+02
5.16164498e-03  4.82414399e+02
5.25237110e-03  4.80493684e+02
5.34469191e-03  4.78513228e+02
5.43863543e-03  4.76471475e+02
5.53423020e-03  4.74366852e+02
5.63150524e-03  4.72197769e+02
5.73049008e-03  4.69962620e+02
5.83121477e-03  4.67659786e+02
5.93370990e-03  4.65287637e+02
6.03800658e-03  4.62844533e+02
6.14413648e-03  4.60328828e+02
6.25213183e-03  4.57738871e+02
6.36202541e-03  4.55073011e+02
6.47385058e-03  4.52329600e+02
