# pyIrena / Irena validation dataset: sizes_sphere_lognormal
# tool          : Size Distribution
# model         : Single log-normal volume distribution of solid spheres
# equation      : I(Q) = 1e-4 * contrast * INT V(r) F_sph^2(Qr) P_V(r) dr
# 
# GROUND-TRUTH PARAMETERS
#   distribution               = log-normal (volume weighted) [-]
#   R_median                   = 100            [A]   median of P_V(r)
#   sigma_log                  = 0.25           [-]   log-space standard deviation
#   volume_fraction            = 0.01           [-]   INT P_V(r) dr
#   contrast                   = 100            [1e20 cm^-4]   (delta-rho)^2
#   background                 = 0              [1/cm]
# 
# DERIVED QUANTITIES (not fitted; for cross-checking)
#   R_mode                     = 93.9413        [A]   median*exp(-sigma^2)
#   R_mean_vol                 = 103.174        [A]   median*exp(sigma^2/2)
#   R_rms                      = 106.449        [A]   reported by pyIrena as 'Rg'
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 63358.3, seed = 3027962536
#   median rel. error = 0.01, max = 0.1108
# 
# Q range       : 0.0008 to 0.35 1/A, 350 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]               dI[1/cm]
8.00000000e-04  5.63361573e+02  5.53833679e+00
8.14061582e-04  5.58814594e+02  5.53792247e+00
8.28370323e-04  5.57282872e+02  5.53749349e+00
8.42930569e-04  5.56255472e+02  5.53704934e+00
8.57746741e-04  5.55175024e+02  5.53658947e+00
8.72823335e-04  5.54050318e+02  5.53611335e+00
8.88164931e-04  5.39461901e+02  5.53562038e+00
9.03776186e-04  5.52931804e+02  5.53510998e+00
9.19661839e-04  5.58508963e+02  5.53458154e+00
9.35826714e-04  5.50297815e+02  5.53403442e+00
9.52275719e-04  5.49821433e+02  5.53346796e+00
9.69013847e-04  5.52697583e+02  5.53288147e+00
9.86046181e-04  5.53699989e+02  5.53227426e+00
1.00337789e-03  5.44119955e+02  5.53164560e+00
1.02101424e-03  5.50842426e+02  5.53099472e+00
1.03896059e-03  5.45444374e+02  5.53032085e+00
1.05722237e-03  5.48940894e+02  5.52962318e+00
1.07580515e-03  5.50922927e+02  5.52890086e+00
1.09471455e-03  5.44625525e+02  5.52815304e+00
1.11395632e-03  5.51401487e+02  5.52737882e+00
1.13353631e-03  5.61697572e+02  5.52657727e+00
1.15346045e-03  5.47300485e+02  5.52574743e+00
1.17373479e-03  5.50435774e+02  5.52488830e+00
1.19436550e-03  5.50334844e+02  5.52399887e+00
