# pyIrena / Irena validation dataset: sizes_sphere_lognormal
# tool          : Size Distribution
# model         : Single log-normal volume distribution of solid spheres
# equation      : I(Q) = 1e-4 * contrast * INT V(r) F_sph^2(Qr) P_V(r) dr
# 
# GROUND-TRUTH PARAMETERS
#   distribution               = log-normal (volume weighted) [-]
#   R_median                   = 100            [A]   median of P_V(r)
#   sigma_log                  = 0.25           [-]   log-space standard deviation
#   volume_fraction            = 0.01           [-]   INT P_V(r) dr
#   contrast                   = 100            [1e20 cm^-4]   (delta-rho)^2
#   background                 = 0              [1/cm]
# 
# DERIVED QUANTITIES (not fitted; for cross-checking)
#   R_mode                     = 93.9413        [A]   median*exp(-sigma^2)
#   R_mean_vol                 = 103.174        [A]   median*exp(sigma^2/2)
#   R_rms                      = 106.449        [A]   reported by pyIrena as 'Rg'
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 63358.3, seed = 3027962536
#   median rel. error = 0.01, max = 0.1108
# 
# Q range       : 0.0008 to 0.35 1/A, 350 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]
8.00000000e-04  5.53754769e+02
8.14061582e-04  5.53713336e+02
8.28370323e-04  5.53670438e+02
8.42930569e-04  5.53626023e+02
8.57746741e-04  5.53580037e+02
8.72823335e-04  5.53532424e+02
8.88164931e-04  5.53483127e+02
9.03776186e-04  5.53432088e+02
9.19661839e-04  5.53379244e+02
9.35826714e-04  5.53324531e+02
9.52275719e-04  5.53267885e+02
9.69013847e-04  5.53209237e+02
9.86046181e-04  5.53148516e+02
1.00337789e-03  5.53085649e+02
1.02101424e-03  5.53020561e+02
1.03896059e-03  5.52953174e+02
1.05722237e-03  5.52883407e+02
1.07580515e-03  5.52811176e+02
1.09471455e-03  5.52736394e+02
1.11395632e-03  5.52658972e+02
1.13353631e-03  5.52578816e+02
1.15346045e-03  5.52495832e+02
1.17373479e-03  5.52409920e+02
1.19436550e-03  5.52320976e+02
1.21535884e-03  5.52228894e+02
1.23672117e-03  5.52133565e+02
1.25845899e-03  5.52034875e+02
1.28057890e-03  5.51932705e+02
1.30308760e-03  5.51826933e+02
1.32599194e-03  5.51717434e+02
1.34929887e-03  5.51604078e+02
1.37301547e-03  5.51486728e+02
1.39714893e-03  5.51365246e+02
1.42170659e-03  5.51239486e+02
1.44669589e-03  5.51109300e+02
