# pyIrena / Irena validation dataset: sizes_spheroid_lognormal
# tool          : Size Distribution
# model         : Log-normal volume distribution of oblate spheroids (AR = 0.3)
# equation      : I(Q) = 1e-4*contrast*INT V(r,AR) <F_ell^2(Q,r,AR)>_orient P_V(r) dr
# 
# GROUND-TRUTH PARAMETERS
#   shape                      = spheroid       [-]
#   aspect_ratio               = 0.3            [-]   semi-axes (r, r, AR*r)
#   R_median                   = 150            [A]
#   sigma_log                  = 0.2            [-]
#   volume_fraction            = 0.008          [-]
#   contrast                   = 50             [1e20 cm^-4]
#   background                 = 0              [1/cm]
# 
# DERIVED QUANTITIES (not fitted; for cross-checking)
#   R_mode                     = 144.118        [A]
#   R_rms                      = 156.122        [A]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 61853.2, seed = 312993427
#   median rel. error = 0.01001, max = 0.1144
# 
# Q range       : 0.0005 to 0.3 1/A, 320 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]               dI[1/cm]
5.00000000e-04  2.03192004e+02  2.02964878e+00
5.10127742e-04  2.03780668e+02  2.02955919e+00
5.20460627e-04  2.02753543e+02  2.02946594e+00
5.31002809e-04  2.03477133e+02  2.02936887e+00
5.41758528e-04  2.03273473e+02  2.02926784e+00
5.52732110e-04  2.04829345e+02  2.02916269e+00
5.63927967e-04  2.02440072e+02  2.02905323e+00
5.75350601e-04  2.02729474e+02  2.02893931e+00
5.87004606e-04  2.07265673e+02  2.02882073e+00
5.98894669e-04  2.05068941e+02  2.02869731e+00
6.11025571e-04  2.00322050e+02  2.02856884e+00
6.23402190e-04  2.05046343e+02  2.02843513e+00
6.36029503e-04  1.98654361e+02  2.02829596e+00
6.48912589e-04  2.01747691e+02  2.02815110e+00
6.62056628e-04  2.02813229e+02  2.02800033e+00
6.75466906e-04  2.03815644e+02  2.02784340e+00
6.89148815e-04  2.03533326e+02  2.02768007e+00
7.03107858e-04  1.99920736e+02  2.02751007e+00
7.17349649e-04  2.03441314e+02  2.02733313e+00
7.31879913e-04  2.07142691e+02  2.02714897e+00
7.46704496e-04  2.04206494e+02  2.02695729e+00
7.61829357e-04  2.03509025e+02  2.02675779e+00
7.77260580e-04  2.00210651e+02  2.02655016e+00
