# pyIrena / Irena validation dataset: sizes_spheroid_lognormal
# tool          : Size Distribution
# model         : Log-normal volume distribution of oblate spheroids (AR = 0.3)
# equation      : I(Q) = 1e-4*contrast*INT V(r,AR) <F_ell^2(Q,r,AR)>_orient P_V(r) dr
# 
# GROUND-TRUTH PARAMETERS
#   shape                      = spheroid       [-]
#   aspect_ratio               = 0.3            [-]   semi-axes (r, r, AR*r)
#   R_median                   = 150            [A]
#   sigma_log                  = 0.2            [-]
#   volume_fraction            = 0.008          [-]
#   contrast                   = 50             [1e20 cm^-4]
#   background                 = 0              [1/cm]
# 
# DERIVED QUANTITIES (not fitted; for cross-checking)
#   R_mode                     = 144.118        [A]
#   R_rms                      = 156.122        [A]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 61853.2, seed = 312993427
#   median rel. error = 0.01001, max = 0.1144
# 
# Q range       : 0.0005 to 0.3 1/A, 320 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]
5.00000000e-04  2.02884057e+02
5.10127742e-04  2.02875098e+02
5.20460627e-04  2.02865773e+02
5.31002809e-04  2.02856067e+02
5.41758528e-04  2.02845964e+02
5.52732110e-04  2.02835448e+02
5.63927967e-04  2.02824503e+02
5.75350601e-04  2.02813110e+02
5.87004606e-04  2.02801252e+02
5.98894669e-04  2.02788910e+02
6.11025571e-04  2.02776064e+02
6.23402190e-04  2.02762692e+02
6.36029503e-04  2.02748775e+02
6.48912589e-04  2.02734290e+02
6.62056628e-04  2.02719213e+02
6.75466906e-04  2.02703520e+02
6.89148815e-04  2.02687187e+02
7.03107858e-04  2.02670187e+02
7.17349649e-04  2.02652493e+02
7.31879913e-04  2.02634077e+02
7.46704496e-04  2.02614909e+02
7.61829357e-04  2.02594959e+02
7.77260580e-04  2.02574195e+02
7.93004370e-04  2.02552584e+02
8.09067057e-04  2.02530092e+02
8.25455103e-04  2.02506682e+02
8.42175096e-04  2.02482318e+02
8.59233761e-04  2.02456960e+02
8.76637957e-04  2.02430569e+02
8.94394683e-04  2.02403102e+02
9.12511081e-04  2.02374515e+02
9.30994435e-04  2.02344764e+02
9.49852179e-04  2.02313800e+02
9.69091895e-04  2.02281575e+02
9.88721321e-04  2.02248038e+02
1.00874835e-03  2.02213135e+02
1.02918104e-03  2.02176812e+02
1.05002760e-03  2.02139010e+02
1.07129642e-03  2.02099670e+02
1.09299604e-03  2.02058729e+02
1.11513521e-03  2.02016124e+02
1.13772281e-03  2.01971786e+02
1.16076794e-03  2.01925645e+02
1.18427986e-03  2.01877630e+02
1.20826802e-03  2.01827663e+02
1.23274207e-03  2.01775667e+02
1.25771186e-03  2.01721560e+02
1.28318742e-03  2.01665257e+02
1.30917901e-03  2.01606669e+02
1.33569706e-03  2.01545704e+02
1.36275225e-03  2.01482267e+02
1.39035546e-03  2.01416259e+02
1.41851778e-03  2.01347577e+02
1.44725055e-03  2.01276113e+02
1.47656531e-03  2.01201755e+02
1.50647386e-03  2.01124389e+02
1.53698821e-03  2.01043893e+02
1.56812066e-03  2.00960143e+02
1.59988370e-03  2.00873009e+02
1.63229012e-03  2.00782355e+02
1.66535295e-03  2.00688043e+02
1.69908548e-03  2.00589925e+02
1.73350128e-03  2.00487852e+02
1.76861419e-03  2.00381665e+02
1.80443832e-03  2.00271203e+02
1.84098810e-03  2.00156295e+02
1.87827820e-03  2.00036766e+02
1.91632364e-03  1.99912434e+02
1.95513970e-03  1.99783109e+02
1.99474200e-03  1.99648595e+02
2.03514647e-03  1.99508688e+02
2.07636935e-03  1.99363177e+02
2.11842721e-03  1.99211842e+02
2.16133698e-03  1.99054456e+02
2.20511591e-03  1.98890782e+02
2.24978160e-03  1.98720577e+02
2.29535202e-03  1.98543586e+02
2.34184549e-03  1.98359546e+02
2.38928070e-03  1.98168185e+02
2.43767674e-03  1.97969222e+02
2.48705306e-03  1.97762362e+02
2.53742953e-03  1.97547304e+02
2.58882639e-03  1.97323734e+02
2.64126433e-03  1.97091326e+02
2.69476442e-03  1.96849746e+02
2.74934817e-03  1.96598645e+02
2.80503755e-03  1.96337663e+02
2.86185495e-03  1.96066429e+02
2.91982321e-03  1.95784558e+02
2.97896564e-03  1.95491652e+02
3.03930603e-03  1.95187299e+02
3.10086865e-03  1.94871077e+02
3.16367825e-03  1.94542547e+02
3.22776008e-03  1.94201255e+02
3.29313993e-03  1.93846737e+02
3.35984407e-03  1.93478509e+02
3.42789934e-03  1.93096076e+02
3.49733311e-03  1.92698926e+02
