# pyIrena / Irena validation dataset: unified_one_level
# tool          : Unified Fit
# model         : Single Beaucage Unified level (Guinier + Porod), flat background
# equation      : I(Q) = G exp(-Q^2 Rg^2/3) + B/Q*^P + bg,  Q* = Q/erf(K Q Rg/sqrt6)^3,  K = 1 for P>3
# 
# GROUND-TRUTH PARAMETERS
#   G                          = 100            [1/cm]   Guinier prefactor
#   Rg                         = 200            [A]
#   P                          = 4              [-]   power-law slope
#   B                          = 3.045e-07      [cm^-1 A^-P]   = G exp(-P/2)(3P/2)^(P/2)/Rg^P (smooth join)
#   background                 = 0.01           [1/cm]
#   K                          = 1              [-]
# 
# DERIVED QUANTITIES (not fitted; for cross-checking)
#   I(0)                       = 100.01         [1/cm]
#   Q_rollover                 = 0.0141421      [1/A]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 27407.2, seed = 1260015518
#   median rel. error = 0.01012, max = 0.06111
# 
# Q range       : 0.0005 to 0.3 1/A, 350 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]               dI[1/cm]
5.00000000e-04  9.99084041e+01  9.98594888e-01
5.09249162e-04  9.91375171e+01  9.98470847e-01
5.18669418e-04  9.91152984e+01  9.98342191e-01
5.28263933e-04  9.98237243e+01  9.98208748e-01
5.38035931e-04  1.00073933e+02  9.98070342e-01
5.47988694e-04  1.00569639e+02  9.97926788e-01
5.58125566e-04  9.95032520e+01  9.97777895e-01
5.68449954e-04  9.94282868e+01  9.97623467e-01
5.78965326e-04  9.82453286e+01  9.97463298e-01
5.89675214e-04  9.87039628e+01  9.97297176e-01
6.00583217e-04  9.76410446e+01  9.97124880e-01
6.11693000e-04  9.91851343e+01  9.96946182e-01
6.23008296e-04  9.91492512e+01  9.96760846e-01
6.34532905e-04  9.96419982e+01  9.96568626e-01
6.46270701e-04  9.97762029e+01  9.96369268e-01
6.58225625e-04  1.01439887e+02  9.96162509e-01
6.70401697e-04  1.00289235e+02  9.95948075e-01
6.82803004e-04  9.83939467e+01  9.95725682e-01
6.95433716e-04  1.00124881e+02  9.95495039e-01
7.08298074e-04  9.76255798e+01  9.95255840e-01
7.21400402e-04  9.82520729e+01  9.95007771e-01
7.34745100e-04  1.00231207e+02  9.94750505e-01
7.48336653e-04  1.00559462e+02  9.94483702e-01
7.62179627e-04  9.95624528e+01  9.94207014e-01
7.76278673e-04  9.73875887e+01  9.93920076e-01
7.90638528e-04  9.79503775e+01  9.93622512e-01
8.05264015e-04  1.00671621e+02  9.93313931e-01
8.20160050e-04  9.90798872e+01  9.92993930e-01
8.35331637e-04  9.82792708e+01  9.92662089e-01
8.50783872e-04  1.00619273e+02  9.92317975e-01
8.66521948e-04  9.84854298e+01  9.91961139e-01
8.82551152e-04  9.82352116e+01  9.91591114e-01
8.98876869e-04  9.91998187e+01  9.91207420e-01
9.15504585e-04  9.96692040e+01  9.90809556e-01
9.32439886e-04  9.90319228e+01  9.90397006e-01
9.49688461e-04  9.77673835e+01  9.89969233e-01
9.67256106e-04  9.96605197e+01  9.89525683e-01
9.85148723e-04  9.81073745e+01  9.89065782e-01
1.00337232e-03  9.99112258e+01  9.88588935e-01
1.02193303e-03  9.68781354e+01  9.88094527e-01
1.04083708e-03  9.82002034e+01  9.87581920e-01
1.06009082e-03  9.80327257e+01  9.87050454e-01
1.07970072e-03  9.95482588e+01  9.86499447e-01
1.09967338e-03  9.75612175e+01  9.85928191e-01
1.12001549e-03  9.76511491e+01  9.85335956e-01
1.14073390e-03  9.86104944e+01  9.84721984e-01
1.16183557e-03  9.73947962e+01  9.84085492e-01
1.18332758e-03  9.89697045e+01  9.83425670e-01
1.20521716e-03  9.95318449e+01  9.82741680e-01
1.22751165e-03  9.78570525e+01  9.82032653e-01
1.25021856e-03  9.67380246e+01  9.81297695e-01
1.27334551e-03  9.77044486e+01  9.80535876e-01
1.29690027e-03  9.68707768e+01  9.79746238e-01
1.32089075e-03  9.89797747e+01  9.78927790e-01
1.34532502e-03  9.77711032e+01  9.78079505e-01
1.37021127e-03  9.83753347e+01  9.77200325e-01
1.39555789e-03  9.80787826e+01  9.76289155e-01
1.42137337e-03  9.75428375e+01  9.75344862e-01
1.44766639e-03  9.53972204e+01  9.74366278e-01
1.47444580e-03  9.71881692e+01  9.73352194e-01
1.50172057e-03  9.64984296e+01  9.72301363e-01
1.52949989e-03  9.64351211e+01  9.71212498e-01
1.55779307e-03  9.68133476e+01  9.70084267e-01
1.58660963e-03  9.51123589e+01  9.68915297e-01
1.61595925e-03  9.86662472e+01  9.67704172e-01
1.64585179e-03  9.73329110e+01  9.66449428e-01
1.67629729e-03  9.66241139e+01  9.65149557e-01
1.70730598e-03  9.70493074e+01  9.63803002e-01
1.73888828e-03  9.58117639e+01  9.62408159e-01
1.77105480e-03  9.72119204e+01  9.60963373e-01
1.80381635e-03  9.50412733e+01  9.59466939e-01
1.83718393e-03  9.53720556e+01  9.57917098e-01
1.87116875e-03  9.48602173e+01  9.56312041e-01
1.90578224e-03  9.64832454e+01  9.54649903e-01
1.94103601e-03  9.49377238e+01  9.52928765e-01
1.97694193e-03  9.49232167e+01  9.51146650e-01
2.01351204e-03  9.54472029e+01  9.49301525e-01
2.05075864e-03  9.57228861e+01  9.47391300e-01
2.08869424e-03  9.55506781e+01  9.45413825e-01
2.12733158e-03  9.34122612e+01  9.43366889e-01
2.16668365e-03  9.35775291e+01  9.41248221e-01
2.20676367e-03  9.18099880e+01  9.39055492e-01
2.24758510e-03  9.37668443e+01  9.36786305e-01
2.28916165e-03  9.38820432e+01  9.34438206e-01
2.33150731e-03  9.23396232e+01  9.32008676e-01
2.37463629e-03  9.35247018e+01  9.29495131e-01
2.41856308e-03  9.41422236e+01  9.26894927e-01
2.46330244e-03  9.08068853e+01  9.24205354e-01
2.50886941e-03  9.23438261e+01  9.21423640e-01
2.55527929e-03  9.07788810e+01  9.18546948e-01
2.60254767e-03  9.02909382e+01  9.15572381e-01
2.65069044e-03  9.03756657e+01  9.12496978e-01
2.69972377e-03  8.99163830e+01  9.09317717e-01
2.74966414e-03  9.06822042e+01  9.06031515e-01
2.80052832e-03  9.03283012e+01  9.02635233e-01
2.85233340e-03  8.95660826e+01  8.99125672e-01
2.90509679e-03  8.99607052e+01  8.95499579e-01
2.95883621e-03  8.81839304e+01  8.91753647e-01
3.01356972e-03  8.87436126e+01  8.87884520e-01
3.06931571e-03  8.84481435e+01  8.83888793e-01
3.12609291e-03  8.73313964e+01  8.79763016e-01
3.18392039e-03  8.58244030e+01  8.75503702e-01
3.24281758e-03  8.82746533e+01  8.71107324e-01
3.30280427e-03  8.70389608e+01  8.66570327e-01
3.36390062e-03  8.65198241e+01  8.61889126e-01
3.42612714e-03  8.51891761e+01  8.57060119e-01
3.48950475e-03  8.54820722e+01  8.52079688e-01
3.55405474e-03  8.49636150e+01  8.46944210e-01
3.61979880e-03  8.46538437e+01  8.41650061e-01
3.68675901e-03  8.36956480e+01  8.36193627e-01
3.75495787e-03  8.15703036e+01  8.30571313e-01
3.82441830e-03  8.03863954e+01  8.24779551e-01
3.89516363e-03  8.07079150e+01  8.18814814e-01
3.96721763e-03  8.12510523e+01  8.12673624e-01
4.04060451e-03  8.05516330e+01  8.06352567e-01
4.11534892e-03  7.97715728e+01  7.99848306e-01
4.19147598e-03  8.00868180e+01  7.93157596e-01
4.26901126e-03  7.97695253e+01  7.86277297e-01
4.34798081e-03  7.76041489e+01  7.79204393e-01
4.42841117e-03  7.72672110e+01  7.71936009e-01
4.51032936e-03  7.54506380e+01  7.64469428e-01
4.59376289e-03  7.49813703e+01  7.56802113e-01
4.67873981e-03  7.43976202e+01  7.48931728e-01
4.76528865e-03  7.45466657e+01  7.40856156e-01
4.85343851e-03  7.31764706e+01  7.32573527e-01
4.94321899e-03  7.27727079e+01  7.24082238e-01
5.03466026e-03  7.03022585e+01  7.15380983e-01
5.12779303e-03  7.06666106e+01  7.06468772e-01
5.22264861e-03  6.93969162e+01  6.97344966e-01
5.31925886e-03  6.78511697e+01  6.88009300e-01
5.41765623e-03  6.75371015e+01  6.78461914e-01
5.51787380e-03  6.61756737e+01  6.68703381e-01
5.61994521e-03  6.43596657e+01  6.58734739e-01
5.72390478e-03  6.53321030e+01  6.48557519e-01
5.82978743e-03  6.31772338e+01  6.38173779e-01
5.93762873e-03  6.26880124e+01  6.27586131e-01
6.04746491e-03  6.03009783e+01  6.16797776e-01
6.15933287e-03  6.06044408e+01  6.05812529e-01
6.27327021e-03  6.02545169e+01  5.94634851e-01
6.38931520e-03  5.81780937e+01  5.83269879e-01
6.50750682e-03  5.67804878e+01  5.71723446e-01
6.62788479e-03  5.67594119e+01  5.60002115e-01
6.75048955e-03  5.51375004e+01  5.48113191e-01
6.87536230e-03  5.42634726e+01  5.36064750e-01
7.00254498e-03  5.29191747e+01  5.23865648e-01
7.13208033e-03  5.04712958e+01  5.11525539e-01
7.26401186e-03  4.96997335e+01  4.99054879e-01
7.39838391e-03  4.91857629e+01  4.86464933e-01
7.53524161e-03  4.71469522e+01  4.73767768e-01
7.67463095e-03  4.62070070e+01  4.60976253e-01
7.81659876e-03  4.46409730e+01  4.48104037e-01
7.96119274e-03  4.34099955e+01  4.35165535e-01
8.10846147e-03  4.17257974e+01  4.22175894e-01
8.25845442e-03  4.09125850e+01  4.09150961e-01
8.41122198e-03  3.99401817e+01  3.96107238e-01
8.56681550e-03  3.80841058e+01  3.83061832e-01
8.72528723e-03  3.74523954e+01  3.70032391e-01
8.88669042e-03  3.57040952e+01  3.57037041e-01
9.05107930e-03  3.47104521e+01  3.44094306e-01
9.21850910e-03  3.32104186e+01  3.31223027e-01
9.38903607e-03  3.18576501e+01  3.18442266e-01
9.56271750e-03  3.01986633e+01  3.05771213e-01
9.73961175e-03  2.87969231e+01  2.93229079e-01
9.91977825e-03  2.80019167e+01  2.80834988e-01
1.01032775e-02  2.65045354e+01  2.68607860e-01
1.02901712e-02  2.54912812e+01  2.56566299e-01
1.04805221e-02  2.42780430e+01  2.44728473e-01
1.06743942e-02  2.29399371e+01  2.33111996e-01
1.08718526e-02  2.20530388e+01  2.21733810e-01
1.10729637e-02  2.07551366e+01  2.10610072e-01
1.12777950e-02  1.98202971e+01  1.99756044e-01
1.14864153e-02  1.86298869e+01  1.89185989e-01
1.16988947e-02  1.73600630e+01  1.78913075e-01
1.19153047e-02  1.67279942e+01  1.68949284e-01
1.21357178e-02  1.55684729e+01  1.59305338e-01
1.23602083e-02  1.44404467e+01  1.49990630e-01
1.25888514e-02  1.41190841e+01  1.41013168e-01
1.28217241e-02  1.29503251e+01  1.32379531e-01
1.30589045e-02  1.24336084e+01  1.24094842e-01
1.33004723e-02  1.13748242e+01  1.16162748e-01
1.35465088e-02  1.06584591e+01  1.08585416e-01
1.37970965e-02  1.00896916e+01  1.01363544e-01
1.40523197e-02  9.44433202e+00  9.44963770e-02
1.43122640e-02  8.72640954e+00  8.79817454e-02
1.45770169e-02  8.01253939e+00  8.18161055e-02
1.48466673e-02  7.49536551e+00  7.59945948e-02
1.51213058e-02  6.97447361e+00  7.05110970e-02
1.54010246e-02  6.47545489e+00  6.53583146e-02
1.56859177e-02  5.86895545e+00  6.05278508e-02
1.59760809e-02  5.44252828e+00  5.60102982e-02
1.62716116e-02  4.98025934e+00  5.17953341e-02
1.65726092e-02  4.61115387e+00  4.78718224e-02
1.68791747e-02  4.22987566e+00  4.42279197e-02
1.71914111e-02  3.92908319e+00  4.08511860e-02
1.75094234e-02  3.58230108e+00  3.77286988e-02
1.78333184e-02  3.32864702e+00  3.48471694e-02
1.81632049e-02  3.03694019e+00  3.21930607e-02
1.84991938e-02  2.81162872e+00  2.97527045e-02
1.88413979e-02  2.62896596e+00  2.75124175e-02
1.91899322e-02  2.36345443e+00  2.54586148e-02
1.95449137e-02  2.16970235e+00  2.35779179e-02
1.99064619e-02  2.04934115e+00  2.18572571e-02
2.02746981e-02  1.88362381e+00  2.02839657e-02
2.06497460e-02  1.73910700e+00  1.88458642e-02
2.10317317e-02  1.60577423e+00  1.75313347e-02
2.14207835e-02  1.46539183e+00  1.63293812e-02
2.18170321e-02  1.38467966e+00  1.52296785e-02
2.22206106e-02  1.24300849e+00  1.42226064e-02
2.26316547e-02  1.16933420e+00  1.32992702e-02
2.30503024e-02  1.06305071e+00  1.24515081e-02
2.34766944e-02  9.81046656e-01  1.16718849e-02
2.39109739e-02  9.28180641e-01  1.09536744e-02
2.43532868e-02  8.74704238e-01  1.02908313e-02
2.48037818e-02  8.14388954e-01  9.67795443e-03
2.52626102e-02  7.44339673e-01  9.11024266e-03
2.57299261e-02  6.87721415e-01  8.58344637e-03
2.62058867e-02  6.44650289e-01  8.09381568e-03
2.66906517e-02  6.20598319e-01  7.63804757e-03
2.71843840e-02  5.72605932e-01  7.21323361e-03
2.76872495e-02  5.20806696e-01  6.81680970e-03
2.81994172e-02  4.82734365e-01  6.44650899e-03
2.87210592e-02  4.52978204e-01  6.10031886e-03
2.92523507e-02  4.10461116e-01  5.77644258e-03
2.97934701e-02  3.89025306e-01  5.47326583e-03
3.03445994e-02  3.62768432e-01  5.18932811e-03
3.09059236e-02  3.36440470e-01  4.92329894e-03
3.14776314e-02  3.21492822e-01  4.67395829e-03
3.20599149e-02  2.95789218e-01  4.44018099e-03
3.26529696e-02  2.77087076e-01  4.22092430e-03
3.32569948e-02  2.60746360e-01  4.01521836e-03
3.38721935e-02  2.44532938e-01  3.82215871e-03
3.44987723e-02  2.27913779e-01  3.64090058e-03
3.51369418e-02  2.10348905e-01  3.47065442e-03
3.57869163e-02  1.90407236e-01  3.31068227e-03
3.64489143e-02  1.86151193e-01  3.16029483e-03
3.71231581e-02  1.72219286e-01  3.01884877e-03
3.78098743e-02  1.55520762e-01  2.88574440e-03
3.85092936e-02  1.49236142e-01  2.76042341e-03
3.92216510e-02  1.39211056e-01  2.64236662e-03
3.99471859e-02  1.31639331e-01  2.53109186e-03
4.06861418e-02  1.23232597e-01  2.42615175e-03
4.14387673e-02  1.10569863e-01  2.32713162e-03
4.22053150e-02  1.02368969e-01  2.23364740e-03
4.29860426e-02  9.70697950e-02  2.14534353e-03
4.37812124e-02  9.14029130e-02  2.06189101e-03
4.45910915e-02  8.82844550e-02  1.98298546e-03
4.54159519e-02  8.17076654e-02  1.90834532e-03
4.62560709e-02  7.89650396e-02  1.83771010e-03
4.71117307e-02  6.97781387e-02  1.77083872e-03
4.79832188e-02  6.88524561e-02  1.70750802e-03
4.88708279e-02  6.48672120e-02  1.64751131e-03
4.97748564e-02  5.87307793e-02  1.59065702e-03
5.06956078e-02  5.28661162e-02  1.53676746e-03
5.16333916e-02  5.21896254e-02  1.48567767e-03
5.25885228e-02  5.28436777e-02  1.43723437e-03
5.35613223e-02  4.63988433e-02  1.39129495e-03
5.45521170e-02  4.50084225e-02  1.34772659e-03
5.55612398e-02  4.11465865e-02  1.30640542e-03
5.65890296e-02  4.21575788e-02  1.26721572e-03
5.76358318e-02  3.81249221e-02  1.23004926e-03
5.87019981e-02  3.46623979e-02  1.19480465e-03
5.97878867e-02  3.26362422e-02  1.16138673e-03
6.08938624e-02  3.33961680e-02  1.12970602e-03
6.20202968e-02  3.08755386e-02  1.09967829e-03
6.31675684e-02  2.98840700e-02  1.07122404e-03
6.43360626e-02  2.94568956e-02  1.04426812e-03
6.55261719e-02  2.71535487e-02  1.01873940e-03
6.67382963e-02  2.48798874e-02  9.94570383e-04
6.79728429e-02  2.42971320e-02  9.71696928e-04
6.92302266e-02  2.37533566e-02  9.50057991e-04
7.05108698e-02  2.20908228e-02  9.29595373e-04
7.18152027e-02  2.21916993e-02  9.10253511e-04
7.31436636e-02  2.17986750e-02  8.91979287e-04
7.44966988e-02  2.06635888e-02  8.74721863e-04
7.58747629e-02  1.96750082e-02  8.58432529e-04
7.72783189e-02  1.73798463e-02  8.43064579e-04
7.87078383e-02  1.73243486e-02  8.28573196e-04
8.01638014e-02  1.74566208e-02  8.14915354e-04
8.16466974e-02  1.63270504e-02  8.02049731e-04
8.31570245e-02  1.50446687e-02  7.89936637e-04
8.46952901e-02  1.55453910e-02  7.78537949e-04
8.62620110e-02  1.68366230e-02  7.67817052e-04
8.78577136e-02  1.51198974e-02  7.57738793e-04
8.94829341e-02  1.52733259e-02  7.48269435e-04
9.11382184e-02  1.33574600e-02  7.39376616e-04
9.28241227e-02  1.40026910e-02  7.31029317e-04
9.45412135e-02  1.29876252e-02  7.23197823e-04
9.62900675e-02  1.27325377e-02  7.15853694e-04
9.80712724e-02  1.27992596e-02  7.08969735e-04
9.98854266e-02  1.35261068e-02  7.02519962e-04
1.01733140e-01  1.50191757e-02  6.96479578e-04
1.03615032e-01  1.25566471e-02  6.90824936e-04
1.05531737e-01  1.30685004e-02  6.85533512e-04
1.07483897e-01  1.17675957e-02  6.80583875e-04
1.09472169e-01  1.12031371e-02  6.75955653e-04
1.11497221e-01  1.24473488e-02  6.71629500e-04
1.13559732e-01  1.22247282e-02  6.67587065e-04
1.15660397e-01  1.23280833e-02  6.63810959e-04
1.17799921e-01  1.11070514e-02  6.60284716e-04
1.19979022e-01  1.05939648e-02  6.56992766e-04
1.22198433e-01  1.18923105e-02  6.53920394e-04
1.24458899e-01  1.09485098e-02  6.51053709e-04
1.26761180e-01  1.14632199e-02  6.48379607e-04
1.29106049e-01  1.06811647e-02  6.45885742e-04
1.31494295e-01  1.05796018e-02  6.43560482e-04
1.33926719e-01  1.06767372e-02  6.41392886e-04
1.36404139e-01  1.11887125e-02  6.39372666e-04
1.38927387e-01  1.15237510e-02  6.37490154e-04
1.41497311e-01  1.01795634e-02  6.35736272e-04
1.44114774e-01  1.03455506e-02  6.34102503e-04
1.46780655e-01  1.26464895e-02  6.32580857e-04
1.49495852e-01  1.02829648e-02  6.31163847e-04
1.52261274e-01  1.10550376e-02  6.29844460e-04
1.55077853e-01  1.05141984e-02  6.28616128e-04
1.57946533e-01  1.01949756e-02  6.27472706e-04
1.60868279e-01  1.01200525e-02  6.26408443e-04
1.63844073e-01  1.07729757e-02  6.25417966e-04
1.66874914e-01  1.03360367e-02  6.24496250e-04
1.69961820e-01  1.04413772e-02  6.23638600e-04
1.73105829e-01  1.05508891e-02  6.22840634e-04
1.76307997e-01  1.05336317e-02  6.22098257e-04
1.79569399e-01  1.00164463e-02  6.21407650e-04
1.82891132e-01  1.07128106e-02  6.20765247e-04
