# pyIrena / Irena validation dataset: unified_one_level
# tool          : Unified Fit
# model         : Single Beaucage Unified level (Guinier + Porod), flat background
# equation      : I(Q) = G exp(-Q^2 Rg^2/3) + B/Q*^P + bg,  Q* = Q/erf(K Q Rg/sqrt6)^3,  K = 1 for P>3
# 
# GROUND-TRUTH PARAMETERS
#   G                          = 100            [1/cm]   Guinier prefactor
#   Rg                         = 200            [A]
#   P                          = 4              [-]   power-law slope
#   B                          = 3.045e-07      [cm^-1 A^-P]   = G exp(-P/2)(3P/2)^(P/2)/Rg^P (smooth join)
#   background                 = 0.01           [1/cm]
#   K                          = 1              [-]
# 
# DERIVED QUANTITIES (not fitted; for cross-checking)
#   I(0)                       = 100.01         [1/cm]
#   Q_rollover                 = 0.0141421      [1/A]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 27407.2, seed = 1260015518
#   median rel. error = 0.01012, max = 0.06111
# 
# Q range       : 0.0005 to 0.3 1/A, 350 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]
5.00000000e-04  9.96772216e+01
5.09249162e-04  9.96648175e+01
5.18669418e-04  9.96519519e+01
5.28263933e-04  9.96386077e+01
5.38035931e-04  9.96247671e+01
5.47988694e-04  9.96104117e+01
5.58125566e-04  9.95955225e+01
5.68449954e-04  9.95800797e+01
5.78965326e-04  9.95640628e+01
5.89675214e-04  9.95474506e+01
6.00583217e-04  9.95302210e+01
6.11693000e-04  9.95123513e+01
6.23008296e-04  9.94938177e+01
6.34532905e-04  9.94745958e+01
6.46270701e-04  9.94546600e+01
6.58225625e-04  9.94339841e+01
6.70401697e-04  9.94125407e+01
6.82803004e-04  9.93903015e+01
6.95433716e-04  9.93672372e+01
7.08298074e-04  9.93433174e+01
7.21400402e-04  9.93185105e+01
7.34745100e-04  9.92927839e+01
7.48336653e-04  9.92661037e+01
7.62179627e-04  9.92384349e+01
7.76278673e-04  9.92097412e+01
7.90638528e-04  9.91799848e+01
8.05264015e-04  9.91491268e+01
8.20160050e-04  9.91171267e+01
8.35331637e-04  9.90839427e+01
8.50783872e-04  9.90495314e+01
8.66521948e-04  9.90138478e+01
8.82551152e-04  9.89768454e+01
8.98876869e-04  9.89384760e+01
9.15504585e-04  9.88986897e+01
9.32439886e-04  9.88574347e+01
9.49688461e-04  9.88146575e+01
9.67256106e-04  9.87703026e+01
9.85148723e-04  9.87243126e+01
1.00337232e-03  9.86766280e+01
1.02193303e-03  9.86271872e+01
1.04083708e-03  9.85759266e+01
1.06009082e-03  9.85227801e+01
1.07970072e-03  9.84676795e+01
1.09967338e-03  9.84105540e+01
1.12001549e-03  9.83513306e+01
1.14073390e-03  9.82899335e+01
1.16183557e-03  9.82262845e+01
1.18332758e-03  9.81603024e+01
1.20521716e-03  9.80919034e+01
1.22751165e-03  9.80210009e+01
1.25021856e-03  9.79475052e+01
1.27334551e-03  9.78713235e+01
1.29690027e-03  9.77923598e+01
1.32089075e-03  9.77105151e+01
1.34532502e-03  9.76256868e+01
1.37021127e-03  9.75377690e+01
1.39555789e-03  9.74466521e+01
1.42137337e-03  9.73522229e+01
1.44766639e-03  9.72543647e+01
1.47444580e-03  9.71529565e+01
1.50172057e-03  9.70478736e+01
1.52949989e-03  9.69389873e+01
1.55779307e-03  9.68261644e+01
1.58660963e-03  9.67092676e+01
1.61595925e-03  9.65881553e+01
1.64585179e-03  9.64626811e+01
1.67629729e-03  9.63326942e+01
1.70730598e-03  9.61980390e+01
1.73888828e-03  9.60585550e+01
1.77105480e-03  9.59140766e+01
1.80381635e-03  9.57644335e+01
1.83718393e-03  9.56094497e+01
1.87116875e-03  9.54489443e+01
1.90578224e-03  9.52827308e+01
1.94103601e-03  9.51106173e+01
1.97694193e-03  9.49324061e+01
2.01351204e-03  9.47478940e+01
2.05075864e-03  9.45568718e+01
2.08869424e-03  9.43591246e+01
2.12733158e-03  9.41544314e+01
2.16668365e-03  9.39425651e+01
2.20676367e-03  9.37232925e+01
2.24758510e-03  9.34963743e+01
2.28916165e-03  9.32615649e+01
2.33150731e-03  9.30186123e+01
2.37463629e-03  9.27672583e+01
2.41856308e-03  9.25072384e+01
2.46330244e-03  9.22382816e+01
2.50886941e-03  9.19601107e+01
2.55527929e-03  9.16724421e+01
2.60254767e-03  9.13749860e+01
2.65069044e-03  9.10674463e+01
2.69972377e-03  9.07495208e+01
2.74966414e-03  9.04209013e+01
2.80052832e-03  9.00812738e+01
2.85233340e-03  8.97303185e+01
2.90509679e-03  8.93677099e+01
2.95883621e-03  8.89931175e+01
3.01356972e-03  8.86062056e+01
3.06931571e-03  8.82066337e+01
3.12609291e-03  8.77940569e+01
3.18392039e-03  8.73681264e+01
3.24281758e-03  8.69284896e+01
3.30280427e-03  8.64747908e+01
3.36390062e-03  8.60066718e+01
3.42612714e-03  8.55237722e+01
3.48950475e-03  8.50257303e+01
3.55405474e-03  8.45121836e+01
3.61979880e-03  8.39827700e+01
3.68675901e-03  8.34371279e+01
3.75495787e-03  8.28748978e+01
3.82441830e-03  8.22957230e+01
3.89516363e-03  8.16992508e+01
3.96721763e-03  8.10851333e+01
4.04060451e-03  8.04530292e+01
4.11534892e-03  7.98026048e+01
4.19147598e-03  7.91335356e+01
4.26901126e-03  7.84455075e+01
4.34798081e-03  7.77382190e+01
4.42841117e-03  7.70113826e+01
4.51032936e-03  7.62647266e+01
4.59376289e-03  7.54979974e+01
4.67873981e-03  7.47109611e+01
4.76528865e-03  7.39034064e+01
4.85343851e-03  7.30751460e+01
4.94321899e-03  7.22260198e+01
5.03466026e-03  7.13558970e+01
5.12779303e-03  7.04646789e+01
5.22264861e-03  6.95523014e+01
5.31925886e-03  6.86187381e+01
5.41765623e-03  6.76640028e+01
5.51787380e-03  6.66881531e+01
5.61994521e-03  6.56912927e+01
5.72390478e-03  6.46735746e+01
5.82978743e-03  6.36352048e+01
5.93762873e-03  6.25764444e+01
6.04746491e-03  6.14976135e+01
6.15933287e-03  6.03990937e+01
6.27327021e-03  5.92813311e+01
6.38931520e-03  5.81448393e+01
6.50750682e-03  5.69902018e+01
6.62788479e-03  5.58180748e+01
6.75048955e-03  5.46291889e+01
6.87536230e-03  5.34243516e+01
7.00254498e-03  5.22044486e+01
7.13208033e-03  5.09704454e+01
7.26401186e-03  4.97233875e+01
7.39838391e-03  4.84644015e+01
7.53524161e-03  4.71946942e+01
7.67463095e-03  4.59155524e+01
7.81659876e-03  4.46283412e+01
7.96119274e-03  4.33345021e+01
8.10846147e-03  4.20355497e+01
8.25845442e-03  4.07330690e+01
8.41122198e-03  3.94287101e+01
8.56681550e-03  3.81241837e+01
8.72528723e-03  3.68212549e+01
8.88669042e-03  3.55217363e+01
9.05107930e-03  3.42274804e+01
9.21850910e-03  3.29403712e+01
9.38903607e-03  3.16623153e+01
9.56271750e-03  3.03952317e+01
9.73961175e-03  2.91410416e+01
9.91977825e-03  2.79016575e+01
1.01032775e-02  2.66789717e+01
1.02901712e-02  2.54748446e+01
1.04805221e-02  2.42910934e+01
1.06743942e-02  2.31294796e+01
1.08718526e-02  2.19916976e+01
1.10729637e-02  2.08793635e+01
1.12777950e-02  1.97940036e+01
1.14864153e-02  1.87370447e+01
1.16988947e-02  1.77098037e+01
1.19153047e-02  1.67134795e+01
1.21357178e-02  1.57491445e+01
1.23602083e-02  1.48177386e+01
1.25888514e-02  1.39200630e+01
1.28217241e-02  1.30567762e+01
1.30589045e-02  1.22283913e+01
1.33004723e-02  1.14352734e+01
1.35465088e-02  1.06776402e+01
1.37970965e-02  9.95556210e+00
1.40523197e-02  9.26896470e+00
1.43122640e-02  8.61763191e+00
1.45770169e-02  8.00121040e+00
1.48466673e-02  7.41921508e+00
1.51213058e-02  6.87103551e+00
1.54010246e-02  6.35594324e+00
1.56859177e-02  5.87309993e+00
1.59760809e-02  5.42156625e+00
1.62716116e-02  5.00031141e+00
1.65726092e-02  4.60822330e+00
1.68791747e-02  4.24411909e+00
1.71914111e-02  3.90675630e+00
1.75094234e-02  3.59484417e+00
1.78333184e-02  3.30705526e+00
1.81632049e-02  3.04203722e+00
1.84991938e-02  2.79842447e+00
1.88413979e-02  2.57484983e+00
1.91899322e-02  2.36995577e+00
1.95449137e-02  2.18240531e+00
1.99064619e-02  2.01089216e+00
2.02746981e-02  1.85415023e+00
2.06497460e-02  1.71096206e+00
2.10317317e-02  1.58016623e+00
2.14207835e-02  1.46066353e+00
2.18170321e-02  1.35142180e+00
2.22206106e-02  1.25147947e+00
2.26316547e-02  1.15994761e+00
2.30503024e-02  1.07601069e+00
2.34766944e-02  9.98925991e-01
2.39109739e-02  9.28021880e-01
2.43532868e-02  8.62694943e-01
2.48037818e-02  8.02406301e-01
2.52626102e-02  7.46677185e-01
2.57299261e-02  6.95084025e-01
2.62058867e-02  6.47253216e-01
2.66906517e-02  6.02855786e-01
2.71843840e-02  5.61602101e-01
2.76872495e-02  5.23236789e-01
2.81994172e-02  4.87533975e-01
2.87210592e-02  4.54292942e-01
2.92523507e-02  4.23334253e-01
2.97934701e-02  3.94496384e-01
3.03445994e-02  3.67632845e-01
3.09059236e-02  3.42609797e-01
3.14776314e-02  3.19304097e-01
3.20599149e-02  2.97601752e-01
3.26529696e-02  2.77396691e-01
3.32569948e-02  2.58589837e-01
3.38721935e-02  2.41088380e-01
3.44987723e-02  2.24805242e-01
3.51369418e-02  2.09658650e-01
3.57869163e-02  1.95571810e-01
3.64489143e-02  1.82472634e-01
3.71231581e-02  1.70293505e-01
3.78098743e-02  1.58971065e-01
3.85092936e-02  1.48446011e-01
3.92216510e-02  1.38662899e-01
3.99471859e-02  1.29569945e-01
4.06861418e-02  1.21118833e-01
4.14387673e-02  1.13264518e-01
4.22053150e-02  1.05965033e-01
4.29860426e-02  9.91813084e-02
4.37812124e-02  9.28769819e-02
4.45910915e-02  8.70182280e-02
4.54159519e-02  8.15735887e-02
4.62560709e-02  7.65138145e-02
4.71117307e-02  7.18117135e-02
4.79832188e-02  6.74420101e-02
4.88708279e-02  6.33812112e-02
4.97748564e-02  5.96074826e-02
5.06956078e-02  5.61005318e-02
5.16333916e-02  5.28415004e-02
5.25885228e-02  4.98128625e-02
5.35613223e-02  4.69983309e-02
5.45521170e-02  4.43827697e-02
5.55612398e-02  4.19521131e-02
5.65890296e-02  3.96932893e-02
5.76358318e-02  3.75941509e-02
5.87019981e-02  3.56434090e-02
5.97878867e-02  3.38305730e-02
6.08938624e-02  3.21458936e-02
6.20202968e-02  3.05803111e-02
6.31675684e-02  2.91254058e-02
6.43360626e-02  2.77733537e-02
6.55261719e-02  2.65168836e-02
6.67382963e-02  2.53492385e-02
6.79728429e-02  2.42641389e-02
6.92302266e-02  2.32557494e-02
7.05108698e-02  2.23186470e-02
7.18152027e-02  2.14477921e-02
7.31436636e-02  2.06385015e-02
7.44966988e-02  1.98864229e-02
7.58747629e-02  1.91875118e-02
7.72783189e-02  1.85380095e-02
7.87078383e-02  1.79344232e-02
8.01638014e-02  1.73735068e-02
8.16466974e-02  1.68522438e-02
8.31570245e-02  1.63678311e-02
8.46952901e-02  1.59176634e-02
8.62620110e-02  1.54993199e-02
8.78577136e-02  1.51105508e-02
8.94829341e-02  1.47492653e-02
9.11382184e-02  1.44135206e-02
9.28241227e-02  1.41015110e-02
9.45412135e-02  1.38115587e-02
9.62900675e-02  1.35421042e-02
9.80712724e-02  1.32916986e-02
9.98854266e-02  1.30589951e-02
1.01733140e-01  1.28427424e-02
1.03615032e-01  1.26417775e-02
1.05531737e-01  1.24550196e-02
1.07483897e-01  1.22814643e-02
1.09472169e-01  1.21201784e-02
1.11497221e-01  1.19702944e-02
1.13559732e-01  1.18310064e-02
1.15660397e-01  1.17015651e-02
1.17799921e-01  1.15812746e-02
1.19979022e-01  1.14694880e-02
1.22198433e-01  1.13656039e-02
1.24458899e-01  1.12690639e-02
1.26761180e-01  1.11793486e-02
1.29106049e-01  1.10959757e-02
1.31494295e-01  1.10184968e-02
1.33926719e-01  1.09464951e-02
1.36404139e-01  1.08795836e-02
1.38927387e-01  1.08174023e-02
1.41497311e-01  1.07596168e-02
1.44114774e-01  1.07059164e-02
1.46780655e-01  1.06560123e-02
1.49495852e-01  1.06096362e-02
1.52261274e-01  1.05665385e-02
1.55077853e-01  1.05264876e-02
1.57946533e-01  1.04892681e-02
1.60868279e-01  1.04546798e-02
1.63844073e-01  1.04225366e-02
1.66874914e-01  1.03926658e-02
1.69961820e-01  1.03649067e-02
1.73105829e-01  1.03391099e-02
1.76307997e-01  1.03151369e-02
1.79569399e-01  1.02928586e-02
1.82891132e-01  1.02721552e-02
1.86274311e-01  1.02529155e-02
1.89720074e-01  1.02350359e-02
1.93229577e-01  1.02184202e-02
1.96804001e-01  1.02029792e-02
2.00444545e-01  1.01886298e-02
2.04152433e-01  1.01752948e-02
2.07928911e-01  1.01629025e-02
2.11775248e-01  1.01513863e-02
2.15692735e-01  1.01406842e-02
2.19682689e-01  1.01307386e-02
2.23746450e-01  1.01214962e-02
2.27885385e-01  1.01129071e-02
2.32100883e-01  1.01049253e-02
2.36394360e-01  1.00975077e-02
2.40767260e-01  1.00906145e-02
2.45221050e-01  1.00842086e-02
2.49757229e-01  1.00782555e-02
2.54377319e-01  1.00727233e-02
2.59082873e-01  1.00675822e-02
2.63875472e-01  1.00628046e-02
2.68756726e-01  1.00583647e-02
2.73728275e-01  1.00542386e-02
2.78791790e-01  1.00504043e-02
2.83948970e-01  1.00468410e-02
2.89201551e-01  1.00435296e-02
2.94551295e-01  1.00404523e-02
3.00000000e-01  1.00375926e-02
