# pyIrena / Irena validation dataset: unified_one_level_slitsmeared
# tool          : Unified Fit (slit smearing)
# model         : Single Unified level, infinite-slit smeared
# equation      : I_smr(Q) = (1/SL) INT_0^SL I_ideal(sqrt(Q^2+l^2)) dl
# 
# GROUND-TRUTH PARAMETERS
#   G                          = 100            [1/cm]
#   Rg                         = 200            [A]
#   P                          = 4              [-]
#   B                          = 3.045e-07      [cm^-1 A^-P]
#   background                 = 0.01           [1/cm]
#   slit_length_dQl            = 0.03           [1/A]   written as entry/sasdata/dQl in the HDF5
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 27411.7, seed = 2570568956
#   median rel. error = 0.01037, max = 0.06111
# 
# Q range       : 0.0005 to 0.3 1/A, 350 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# Slit smearing : dQl = 0.03 1/A (infinite-slit-length / Lake smearing)
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]               dI[1/cm]
5.00000000e-04  2.64206857e+01  2.66170466e-01
5.09249162e-04  2.63574890e+01  2.66138950e-01
5.18669418e-04  2.60895367e+01  2.66106260e-01
5.28263933e-04  2.59342663e+01  2.66072355e-01
5.38035931e-04  2.65761392e+01  2.66037188e-01
5.47988694e-04  2.67383655e+01  2.66000714e-01
5.58125566e-04  2.60452464e+01  2.65962883e-01
5.68449954e-04  2.67880181e+01  2.65923646e-01
5.78965326e-04  2.62906148e+01  2.65882950e-01
5.89675214e-04  2.61479454e+01  2.65840742e-01
6.00583217e-04  2.64720758e+01  2.65796965e-01
6.11693000e-04  2.63097966e+01  2.65751562e-01
6.23008296e-04  2.63993790e+01  2.65704472e-01
6.34532905e-04  2.58448117e+01  2.65655634e-01
6.46270701e-04  2.66202645e+01  2.65604981e-01
6.58225625e-04  2.61074193e+01  2.65552449e-01
6.70401697e-04  2.64882361e+01  2.65497966e-01
6.82803004e-04  2.60436821e+01  2.65441462e-01
6.95433716e-04  2.61118559e+01  2.65382862e-01
7.08298074e-04  2.64992747e+01  2.65322088e-01
7.21400402e-04  2.66420846e+01  2.65259060e-01
7.34745100e-04  2.67931372e+01  2.65193696e-01
7.48336653e-04  2.60096787e+01  2.65125909e-01
7.62179627e-04  2.66228164e+01  2.65055611e-01
7.76278673e-04  2.66582035e+01  2.64982709e-01
7.90638528e-04  2.63282205e+01  2.64907108e-01
8.05264015e-04  2.57980574e+01  2.64828707e-01
