# pyIrena / Irena validation dataset: unified_one_level_slitsmeared
# tool          : Unified Fit (slit smearing)
# model         : Single Unified level, infinite-slit smeared
# equation      : I_smr(Q) = (1/SL) INT_0^SL I_ideal(sqrt(Q^2+l^2)) dl
# 
# GROUND-TRUTH PARAMETERS
#   G                          = 100            [1/cm]
#   Rg                         = 200            [A]
#   P                          = 4              [-]
#   B                          = 3.045e-07      [cm^-1 A^-P]
#   background                 = 0.01           [1/cm]
#   slit_length_dQl            = 0.03           [1/A]   written as entry/sasdata/dQl in the HDF5
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 27411.7, seed = 2570568956
#   median rel. error = 0.01037, max = 0.06111
# 
# Q range       : 0.0005 to 0.3 1/A, 350 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# Slit smearing : dQl = 0.03 1/A (infinite-slit-length / Lake smearing)
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]
5.00000000e-04  2.64352680e+01
5.09249162e-04  2.64321164e+01
5.18669418e-04  2.64288476e+01
5.28263933e-04  2.64254571e+01
5.38035931e-04  2.64219405e+01
5.47988694e-04  2.64182932e+01
5.58125566e-04  2.64145102e+01
5.68449954e-04  2.64105866e+01
5.78965326e-04  2.64065171e+01
5.89675214e-04  2.64022964e+01
6.00583217e-04  2.63979188e+01
6.11693000e-04  2.63933786e+01
6.23008296e-04  2.63886697e+01
6.34532905e-04  2.63837860e+01
6.46270701e-04  2.63787209e+01
6.58225625e-04  2.63734677e+01
6.70401697e-04  2.63680196e+01
6.82803004e-04  2.63623693e+01
6.95433716e-04  2.63565094e+01
7.08298074e-04  2.63504322e+01
7.21400402e-04  2.63441296e+01
7.34745100e-04  2.63375933e+01
7.48336653e-04  2.63308148e+01
7.62179627e-04  2.63237852e+01
7.76278673e-04  2.63164951e+01
7.90638528e-04  2.63089351e+01
8.05264015e-04  2.63010953e+01
8.20160050e-04  2.62929653e+01
8.35331637e-04  2.62845346e+01
8.50783872e-04  2.62757921e+01
8.66521948e-04  2.62667265e+01
8.82551152e-04  2.62573258e+01
8.98876869e-04  2.62475779e+01
9.15504585e-04  2.62374700e+01
9.32439886e-04  2.62269890e+01
9.49688461e-04  2.62161214e+01
9.67256106e-04  2.62048531e+01
9.85148723e-04  2.61931694e+01
1.00337232e-03  2.61810553e+01
1.02193303e-03  2.61684951e+01
1.04083708e-03  2.61554726e+01
1.06009082e-03  2.61419712e+01
1.07970072e-03  2.61279734e+01
1.09967338e-03  2.61134614e+01
1.12001549e-03  2.60984164e+01
1.14073390e-03  2.60828194e+01
1.16183557e-03  2.60666505e+01
1.18332758e-03  2.60498890e+01
1.20521716e-03  2.60325138e+01
1.22751165e-03  2.60145027e+01
1.25021856e-03  2.59958330e+01
1.27334551e-03  2.59764812e+01
1.29690027e-03  2.59564230e+01
1.32089075e-03  2.59356331e+01
1.34532502e-03  2.59140855e+01
1.37021127e-03  2.58917535e+01
1.39555789e-03  2.58686091e+01
1.42137337e-03  2.58446236e+01
1.44766639e-03  2.58197675e+01
1.47444580e-03  2.57940100e+01
1.50172057e-03  2.57673195e+01
1.52949989e-03  2.57396633e+01
1.55779307e-03  2.57110077e+01
1.58660963e-03  2.56813179e+01
1.61595925e-03  2.56505578e+01
1.64585179e-03  2.56186904e+01
1.67629729e-03  2.55856775e+01
1.70730598e-03  2.55514795e+01
1.73888828e-03  2.55160559e+01
1.77105480e-03  2.54793645e+01
1.80381635e-03  2.54413623e+01
1.83718393e-03  2.54020046e+01
1.87116875e-03  2.53612456e+01
