# pyIrena / Irena validation dataset: unified_two_level
# tool          : Unified Fit
# model         : Two-level Beaucage Unified model with level-2 low-Q cut-off
# equation      : I(Q) = SUM_i [G_i exp(-Q^2 Rg_i^2/3) + B_i/Q*_i^P_i exp(-Q^2 RgCO_i^2/3)] + bg
# 
# GROUND-TRUTH PARAMETERS
#   G_1                        = 8              [1/cm]
#   Rg_1                       = 120            [A]
#   P_1                        = 4              [-]
#   B_1                        = 1.88e-07       [cm^-1 A^-P]
#   RgCO_1                     = 0              [A]
#   G_2                        = 4000           [1/cm]
#   Rg_2                       = 1200           [A]
#   P_2                        = 3.2            [-]
#   B_2                        = 1.393e-06      [cm^-1 A^-P]
#   RgCO_2                     = 120            [A]   linked to Rg of level 1
#   background                 = 0.02           [1/cm]
# 
# DERIVED QUANTITIES (not fitted; for cross-checking)
#   I(0)                       = 4008.02        [1/cm]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 13809.4, seed = 286680045
#   median rel. error = 0.01013, max = 0.06096
# 
# Q range       : 0.0001 to 0.3 1/A, 450 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]               dI[1/cm]
1.00000000e-04  3.96705137e+03  3.98922769e+01
1.01799148e-04  3.96404640e+03  3.98853398e+01
1.03630666e-04  3.98894512e+03  3.98781522e+01
1.05495136e-04  4.03897372e+03  3.98707050e+01
1.07393150e-04  4.01048057e+03  3.98629889e+01
1.09325312e-04  4.02471498e+03  3.98549942e+01
1.11292237e-04  3.96147840e+03  3.98467110e+01
1.13294550e-04  3.99379865e+03  3.98381289e+01
1.15332887e-04  4.04231769e+03  3.98292371e+01
1.17407897e-04  4.05131393e+03  3.98200246e+01
1.19520239e-04  3.97555981e+03  3.98104798e+01
1.21670586e-04  3.92445383e+03  3.98005910e+01
1.23859620e-04  3.94431423e+03  3.97903457e+01
1.26088039e-04  4.02570111e+03  3.97797312e+01
1.28356550e-04  4.01575335e+03  3.97687344e+01
1.30665875e-04  3.95180553e+03  3.97573415e+01
1.33016748e-04  4.00029714e+03  3.97455384e+01
1.35409917e-04  3.94268418e+03  3.97333105e+01
1.37846142e-04  3.95354805e+03  3.97206426e+01
1.40326199e-04  4.04036895e+03  3.97075191e+01
1.42850876e-04  3.92964548e+03  3.96939237e+01
1.45420975e-04  3.97849165e+03  3.96798396e+01
1.48037314e-04  3.94691025e+03  3.96652495e+01
1.50700725e-04  3.94338597e+03  3.96501353e+01
1.53412055e-04  4.02368914e+03  3.96344785e+01
