# pyIrena / Irena validation dataset: unified_two_level
# tool          : Unified Fit
# model         : Two-level Beaucage Unified model with level-2 low-Q cut-off
# equation      : I(Q) = SUM_i [G_i exp(-Q^2 Rg_i^2/3) + B_i/Q*_i^P_i exp(-Q^2 RgCO_i^2/3)] + bg
# 
# GROUND-TRUTH PARAMETERS
#   G_1                        = 8              [1/cm]
#   Rg_1                       = 120            [A]
#   P_1                        = 4              [-]
#   B_1                        = 1.88e-07       [cm^-1 A^-P]
#   RgCO_1                     = 0              [A]
#   G_2                        = 4000           [1/cm]
#   Rg_2                       = 1200           [A]
#   P_2                        = 3.2            [-]
#   B_2                        = 1.393e-06      [cm^-1 A^-P]
#   RgCO_2                     = 120            [A]   linked to Rg of level 1
#   background                 = 0.02           [1/cm]
# 
# DERIVED QUANTITIES (not fitted; for cross-checking)
#   I(0)                       = 4008.02        [1/cm]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 13809.4, seed = 286680045
#   median rel. error = 0.01013, max = 0.06096
# 
# Q range       : 0.0001 to 0.3 1/A, 450 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]
1.00000000e-04  3.98886563e+03
1.01799148e-04  3.98817193e+03
1.03630666e-04  3.98745317e+03
1.05495136e-04  3.98670845e+03
1.07393150e-04  3.98593684e+03
1.09325312e-04  3.98513737e+03
1.11292237e-04  3.98430904e+03
1.13294550e-04  3.98345083e+03
1.15332887e-04  3.98256165e+03
1.17407897e-04  3.98164040e+03
1.19520239e-04  3.98068592e+03
1.21670586e-04  3.97969704e+03
1.23859620e-04  3.97867251e+03
1.26088039e-04  3.97761106e+03
1.28356550e-04  3.97651138e+03
1.30665875e-04  3.97537209e+03
1.33016748e-04  3.97419178e+03
1.35409917e-04  3.97296899e+03
1.37846142e-04  3.97170221e+03
1.40326199e-04  3.97038985e+03
1.42850876e-04  3.96903031e+03
1.45420975e-04  3.96762191e+03
1.48037314e-04  3.96616289e+03
1.50700725e-04  3.96465148e+03
1.53412055e-04  3.96308580e+03
1.56172166e-04  3.96146392e+03
1.58981935e-04  3.95978387e+03
1.61842256e-04  3.95804357e+03
1.64754039e-04  3.95624090e+03
1.67718208e-04  3.95437366e+03
1.70735708e-04  3.95243955e+03
1.73807497e-04  3.95043622e+03
1.76934552e-04  3.94836123e+03
1.80117867e-04  3.94621206e+03
1.83358455e-04  3.94398610e+03
1.86657346e-04  3.94168066e+03
1.90015589e-04  3.93929294e+03
1.93434252e-04  3.93682007e+03
1.96914421e-04  3.93425905e+03
2.00457204e-04  3.93160683e+03
2.04063727e-04  3.92886020e+03
2.07735136e-04  3.92601589e+03
2.11472600e-04  3.92307050e+03
2.15277306e-04  3.92002051e+03
2.19150464e-04  3.91686230e+03
2.23093306e-04  3.91359213e+03
2.27107086e-04  3.91020613e+03
2.31193080e-04  3.90670030e+03
2.35352587e-04  3.90307052e+03
2.39586929e-04  3.89931254e+03
2.43897454e-04  3.89542197e+03
2.48285531e-04  3.89139426e+03
2.52752557e-04  3.88722474e+03
2.57299951e-04  3.88290859e+03
2.61929159e-04  3.87844083e+03
2.66641653e-04  3.87381633e+03
2.71438933e-04  3.86902978e+03
2.76322522e-04  3.86407575e+03
2.81293974e-04  3.85894860e+03
2.86354871e-04  3.85364253e+03
2.91506820e-04  3.84815159e+03
2.96751461e-04  3.84246962e+03
3.02090460e-04  3.83659030e+03
3.07525516e-04  3.83050710e+03
3.13058357e-04  3.82421331e+03
3.18690741e-04  3.81770205e+03
3.24424461e-04  3.81096620e+03
3.30261339e-04  3.80399848e+03
3.36203231e-04  3.79679138e+03
3.42252026e-04  3.78933720e+03
3.48409648e-04  3.78162800e+03
3.54678055e-04  3.77365567e+03
3.61059240e-04  3.76541186e+03
3.67555232e-04  3.75688801e+03
3.74168097e-04  3.74807533e+03
3.80899936e-04  3.73896482e+03
3.87752892e-04  3.72954725e+03
3.94729142e-04  3.71981319e+03
4.01830905e-04  3.70975295e+03
4.09060440e-04  3.69935665e+03
4.16420045e-04  3.68861417e+03
4.23912060e-04  3.67751517e+03
4.31538867e-04  3.66604910e+03
4.39302892e-04  3.65420518e+03
4.47206604e-04  3.64197243e+03
4.55252515e-04  3.62933965e+03
4.63443183e-04  3.61629544e+03
4.71781214e-04  3.60282821e+03
4.80269259e-04  3.58892616e+03
4.88910016e-04  3.57457732e+03
4.97706233e-04  3.55976955e+03
5.06660708e-04  3.54449054e+03
5.15776286e-04  3.52872783e+03
5.25055867e-04  3.51246882e+03
5.34502402e-04  3.49570079e+03
5.44118894e-04  3.47841092e+03
5.53908401e-04  3.46058629e+03
5.63874036e-04  3.44221392e+03
5.74018967e-04  3.42328080e+03
5.84346420e-04  3.40377388e+03
5.94859680e-04  3.38368011e+03
6.05562089e-04  3.36298651e+03
6.16457050e-04  3.34168014e+03
6.27548028e-04  3.31974817e+03
6.38838549e-04  3.29717790e+03
6.50332203e-04  3.27395682e+03
6.62032645e-04  3.25007264e+03
6.73943596e-04  3.22551333e+03
6.86068842e-04  3.20026717e+03
6.98412239e-04  3.17432282e+03
