# pyIrena / Irena validation dataset: waxs_pseudovoigt
# tool          : WAXS Peak Fit
# model         : Two pseudo-Voigt peaks on a cubic-polynomial background
# equation      : I(Q) = SUM_k bg_k Q^k + SUM_i A_i[eta L_i(Q) + (1-eta) G_i(Q)]
# 
# GROUND-TRUTH PARAMETERS
#   background_shape           = Cubic          [-]
#   bg0                        = 10             [cm^-1 A^0]
#   bg1                        = -2             [cm^-1 A^1]
#   bg2                        = 0.8            [cm^-1 A^2]
#   bg3                        = -0.05          [cm^-1 A^3]
#   peak1_shape                = Pseudo-Voigt   [-]
#   peak1_A                    = 200            [1/cm]
#   peak1_Q0                   = 2.1            [1/A]
#   peak1_FWHM                 = 0.07           [1/A]
#   peak1_eta                  = 0.4            [-]
#   peak2_shape                = Pseudo-Voigt   [-]
#   peak2_A                    = 90             [1/cm]
#   peak2_Q0                   = 2.95           [1/A]
#   peak2_FWHM                 = 0.11           [1/A]
#   peak2_eta                  = 0.4            [-]
# 
# DERIVED QUANTITIES (not fitted; for cross-checking)
#   peak1_area                 = 17.738         [cm^-1 A^-1]
#   peak1_d_spacing            = 2.99199        [A]
#   peak2_area                 = 12.5433        [cm^-1 A^-1]
#   peak2_d_spacing            = 2.12989        [A]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 30.3851, seed = 4129793739
#   median rel. error = 0.05484, max = 0.06144
# 
# Q range       : 1.5 to 4 1/A, 650 points, linear-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]               dI[1/cm]
1.50000000e+00  9.54427193e+00  5.50191239e-01
1.50385208e+00  8.98355947e+00  5.50318319e-01
1.50770416e+00  9.24737167e+00  5.50448132e-01
1.51155624e+00  8.69923122e+00  5.50580734e-01
1.51540832e+00  8.69018681e+00  5.50716180e-01
1.51926040e+00  9.47550231e+00  5.50854529e-01
1.52311248e+00  8.21728596e+00  5.50995841e-01
1.52696456e+00  8.59971446e+00  5.51140178e-01
1.53081664e+00  9.95124508e+00  5.51287605e-01
1.53466872e+00  8.83591113e+00  5.51438188e-01
1.53852080e+00  1.03764164e+01  5.51591995e-01
1.54237288e+00  9.45501044e+00  5.51749098e-01
1.54622496e+00  9.67004297e+00  5.51909569e-01
1.55007704e+00  8.63207961e+00  5.52073485e-01
1.55392912e+00  9.57033135e+00  5.52240925e-01
1.55778120e+00  9.40165739e+00  5.52411969e-01
1.56163328e+00  8.12130381e+00  5.52586701e-01
1.56548536e+00  9.28231074e+00  5.52765209e-01
1.56933744e+00  9.06037524e+00  5.52947583e-01
1.57318952e+00  8.91776998e+00  5.53133915e-01
1.57704160e+00  9.26798827e+00  5.53324304e-01
1.58089368e+00  8.79698069e+00  5.53518848e-01
1.58474576e+00  8.64975784e+00  5.53717652e-01
1.58859784e+00  9.25717458e+00  5.53920824e-01
1.59244992e+00  8.99503241e+00  5.54128474e-01
1.59630200e+00  8.62548311e+00  5.54340719e-01
1.60015408e+00  9.85641693e+00  5.54557680e-01
1.60400616e+00  9.53208800e+00  5.54779480e-01
1.60785824e+00  9.62839334e+00  5.55006249e-01
1.61171032e+00  9.24344546e+00  5.55238121e-01
1.61556240e+00  8.65684768e+00  5.55475237e-01
