# pyIrena / Irena validation dataset: waxs_pseudovoigt
# tool          : WAXS Peak Fit
# model         : Two pseudo-Voigt peaks on a cubic-polynomial background
# equation      : I(Q) = SUM_k bg_k Q^k + SUM_i A_i[eta L_i(Q) + (1-eta) G_i(Q)]
# 
# GROUND-TRUTH PARAMETERS
#   background_shape           = Cubic          [-]
#   bg0                        = 10             [cm^-1 A^0]
#   bg1                        = -2             [cm^-1 A^1]
#   bg2                        = 0.8            [cm^-1 A^2]
#   bg3                        = -0.05          [cm^-1 A^3]
#   peak1_shape                = Pseudo-Voigt   [-]
#   peak1_A                    = 200            [1/cm]
#   peak1_Q0                   = 2.1            [1/A]
#   peak1_FWHM                 = 0.07           [1/A]
#   peak1_eta                  = 0.4            [-]
#   peak2_shape                = Pseudo-Voigt   [-]
#   peak2_A                    = 90             [1/cm]
#   peak2_Q0                   = 2.95           [1/A]
#   peak2_FWHM                 = 0.11           [1/A]
#   peak2_eta                  = 0.4            [-]
# 
# DERIVED QUANTITIES (not fitted; for cross-checking)
#   peak1_area                 = 17.738         [cm^-1 A^-1]
#   peak1_d_spacing            = 2.99199        [A]
#   peak2_area                 = 12.5433        [cm^-1 A^-1]
#   peak2_d_spacing            = 2.12989        [A]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 30.3851, seed = 4129793739
#   median rel. error = 0.05484, max = 0.06144
# 
# Q range       : 1.5 to 4 1/A, 650 points, linear-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]
1.50000000e+00  8.95427012e+00
1.50385208e+00  8.95830022e+00
1.50770416e+00  8.96241786e+00
1.51155624e+00  8.96662485e+00
1.51540832e+00  8.97092302e+00
1.51926040e+00  8.97531430e+00
1.52311248e+00  8.97980065e+00
1.52696456e+00  8.98438411e+00
1.53081664e+00  8.98906679e+00
1.53466872e+00  8.99385088e+00
1.53852080e+00  8.99873862e+00
1.54237288e+00  9.00373235e+00
1.54622496e+00  9.00883448e+00
1.55007704e+00  9.01404752e+00
1.55392912e+00  9.01937404e+00
1.55778120e+00  9.02481673e+00
1.56163328e+00  9.03037834e+00
1.56548536e+00  9.03606177e+00
1.56933744e+00  9.04186997e+00
1.57318952e+00  9.04780604e+00
1.57704160e+00  9.05387317e+00
1.58089368e+00  9.06007467e+00
1.58474576e+00  9.06641399e+00
1.58859784e+00  9.07289468e+00
1.59244992e+00  9.07952045e+00
1.59630200e+00  9.08629514e+00
1.60015408e+00  9.09322273e+00
1.60400616e+00  9.10030737e+00
1.60785824e+00  9.10755336e+00
1.61171032e+00  9.11496518e+00
1.61556240e+00  9.12254746e+00
1.61941448e+00  9.13030505e+00
1.62326656e+00  9.13824296e+00
1.62711864e+00  9.14636644e+00
1.63097072e+00  9.15468091e+00
1.63482280e+00  9.16319205e+00
1.63867488e+00  9.17190575e+00
1.64252696e+00  9.18082817e+00
1.64637904e+00  9.18996571e+00
1.65023112e+00  9.19932504e+00
1.65408320e+00  9.20891314e+00
1.65793529e+00  9.21873725e+00
1.66178737e+00  9.22880497e+00
1.66563945e+00  9.23912421e+00
1.66949153e+00  9.24970322e+00
1.67334361e+00  9.26055064e+00
1.67719569e+00  9.27167550e+00
1.68104777e+00  9.28308722e+00
1.68489985e+00  9.29479568e+00
1.68875193e+00  9.30681118e+00
1.69260401e+00  9.31914454e+00
1.69645609e+00  9.33180707e+00
1.70030817e+00  9.34481063e+00
1.70416025e+00  9.35816763e+00
1.70801233e+00  9.37189111e+00
1.71186441e+00  9.38599473e+00
1.71571649e+00  9.40049282e+00
