# pyIrena / Irena validation dataset: waxs_three_gauss
# tool          : WAXS Peak Fit
# model         : Three Gaussian peaks on a linear background
# equation      : I(Q) = bg0 + bg1 Q + SUM_i A_i exp[-4 ln2 (Q-Q0_i)^2/FWHM_i^2]
# 
# GROUND-TRUTH PARAMETERS
#   background_shape           = Linear         [-]
#   bg0                        = 8              [1/cm]
#   bg1                        = 1.5            [cm^-1 A]
#   peak1_shape                = Gauss          [-]
#   peak1_A                    = 100            [1/cm]   peak height at Q0
#   peak1_Q0                   = 1.85           [1/A]
#   peak1_FWHM                 = 0.09           [1/A]
#   peak2_shape                = Gauss          [-]
#   peak2_A                    = 60             [1/cm]   peak height at Q0
#   peak2_Q0                   = 2.55           [1/A]
#   peak2_FWHM                 = 0.12           [1/A]
#   peak3_shape                = Gauss          [-]
#   peak3_A                    = 35             [1/cm]   peak height at Q0
#   peak3_Q0                   = 3.05           [1/A]
#   peak3_FWHM                 = 0.15           [1/A]
# 
# DERIVED QUANTITIES (not fitted; for cross-checking)
#   peak1_area                 = 9.5802         [cm^-1 A^-1]   A*FWHM*sqrt(pi/(4 ln2))
#   peak1_d_spacing            = 3.39632        [A]
#   peak2_area                 = 7.66416        [cm^-1 A^-1]   A*FWHM*sqrt(pi/(4 ln2))
#   peak2_d_spacing            = 2.46399        [A]
#   peak3_area                 = 5.58845        [cm^-1 A^-1]   A*FWHM*sqrt(pi/(4 ln2))
#   peak3_d_spacing            = 2.06006        [A]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 27.75, seed = 1368163545
#   median rel. error = 0.05323, max = 0.06146
# 
# Q range       : 1.2 to 4 1/A, 700 points, linear-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]               dI[1/cm]
1.20000000e+00  9.16355453e+00  6.02292952e-01
1.20400572e+00  1.09502009e+01  6.02482453e-01
1.20801144e+00  9.42906497e+00  6.02671900e-01
1.21201717e+00  9.88224734e+00  6.02861293e-01
1.21602289e+00  8.74363424e+00  6.03050633e-01
1.22002861e+00  9.10361384e+00  6.03239920e-01
1.22403433e+00  9.18642305e+00  6.03429153e-01
1.22804006e+00  8.65858055e+00  6.03618333e-01
1.23204578e+00  9.94299887e+00  6.03807460e-01
1.23605150e+00  9.38641450e+00  6.03996533e-01
1.24005722e+00  1.04555823e+01  6.04185553e-01
1.24406295e+00  9.07798236e+00  6.04374520e-01
1.24806867e+00  9.34175142e+00  6.04563434e-01
1.25207439e+00  7.96008927e+00  6.04752295e-01
1.25608011e+00  9.77344275e+00  6.04941103e-01
1.26008584e+00  1.05118873e+01  6.05129858e-01
1.26409156e+00  9.32199642e+00  6.05318560e-01
1.26809728e+00  1.00935534e+01  6.05507209e-01
1.27210300e+00  1.00373647e+01  6.05695805e-01
1.27610873e+00  1.01515890e+01  6.05884349e-01
1.28011445e+00  1.00631435e+01  6.06072840e-01
1.28412017e+00  1.02261736e+01  6.06261278e-01
1.28812589e+00  9.21651789e+00  6.06449664e-01
1.29213162e+00  1.04598494e+01  6.06637997e-01
1.29613734e+00  1.08846407e+01  6.06826277e-01
1.30014306e+00  1.01887302e+01  6.07014506e-01
1.30414878e+00  1.04540323e+01  6.07202681e-01
1.30815451e+00  9.46768239e+00  6.07390805e-01
1.31216023e+00  1.05100120e+01  6.07578876e-01
1.31616595e+00  9.85803223e+00  6.07766895e-01
1.32017167e+00  9.84177658e+00  6.07954862e-01
1.32417740e+00  9.85232252e+00  6.08142776e-01
1.32818312e+00  1.07029662e+01  6.08330638e-01
1.33218884e+00  9.33921108e+00  6.08518449e-01
1.33619456e+00  1.04667546e+01  6.08706207e-01
1.34020029e+00  1.06493773e+01  6.08893913e-01
