# pyIrena / Irena validation dataset: waxs_three_gauss
# tool          : WAXS Peak Fit
# model         : Three Gaussian peaks on a linear background
# equation      : I(Q) = bg0 + bg1 Q + SUM_i A_i exp[-4 ln2 (Q-Q0_i)^2/FWHM_i^2]
# 
# GROUND-TRUTH PARAMETERS
#   background_shape           = Linear         [-]
#   bg0                        = 8              [1/cm]
#   bg1                        = 1.5            [cm^-1 A]
#   peak1_shape                = Gauss          [-]
#   peak1_A                    = 100            [1/cm]   peak height at Q0
#   peak1_Q0                   = 1.85           [1/A]
#   peak1_FWHM                 = 0.09           [1/A]
#   peak2_shape                = Gauss          [-]
#   peak2_A                    = 60             [1/cm]   peak height at Q0
#   peak2_Q0                   = 2.55           [1/A]
#   peak2_FWHM                 = 0.12           [1/A]
#   peak3_shape                = Gauss          [-]
#   peak3_A                    = 35             [1/cm]   peak height at Q0
#   peak3_Q0                   = 3.05           [1/A]
#   peak3_FWHM                 = 0.15           [1/A]
# 
# DERIVED QUANTITIES (not fitted; for cross-checking)
#   peak1_area                 = 9.5802         [cm^-1 A^-1]   A*FWHM*sqrt(pi/(4 ln2))
#   peak1_d_spacing            = 3.39632        [A]
#   peak2_area                 = 7.66416        [cm^-1 A^-1]   A*FWHM*sqrt(pi/(4 ln2))
#   peak2_d_spacing            = 2.46399        [A]
#   peak3_area                 = 5.58845        [cm^-1 A^-1]   A*FWHM*sqrt(pi/(4 ln2))
#   peak3_d_spacing            = 2.06006        [A]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 27.75, seed = 1368163545
#   median rel. error = 0.05323, max = 0.06146
# 
# Q range       : 1.2 to 4 1/A, 700 points, linear-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]
1.20000000e+00  9.80000000e+00
1.20400572e+00  9.80600858e+00
1.20801144e+00  9.81201717e+00
1.21201717e+00  9.81802575e+00
1.21602289e+00  9.82403433e+00
1.22002861e+00  9.83004292e+00
1.22403433e+00  9.83605150e+00
1.22804006e+00  9.84206009e+00
1.23204578e+00  9.84806867e+00
1.23605150e+00  9.85407725e+00
1.24005722e+00  9.86008584e+00
1.24406295e+00  9.86609442e+00
1.24806867e+00  9.87210300e+00
1.25207439e+00  9.87811159e+00
1.25608011e+00  9.88412017e+00
1.26008584e+00  9.89012876e+00
1.26409156e+00  9.89613734e+00
1.26809728e+00  9.90214592e+00
1.27210300e+00  9.90815451e+00
1.27610873e+00  9.91416309e+00
1.28011445e+00  9.92017167e+00
1.28412017e+00  9.92618026e+00
1.28812589e+00  9.93218884e+00
1.29213162e+00  9.93819742e+00
1.29613734e+00  9.94420601e+00
1.30014306e+00  9.95021459e+00
1.30414878e+00  9.95622318e+00
1.30815451e+00  9.96223176e+00
1.31216023e+00  9.96824034e+00
1.31616595e+00  9.97424893e+00
1.32017167e+00  9.98025751e+00
1.32417740e+00  9.98626609e+00
1.32818312e+00  9.99227468e+00
1.33218884e+00  9.99828326e+00
1.33619456e+00  1.00042918e+01
1.34020029e+00  1.00103004e+01
1.34420601e+00  1.00163090e+01
1.34821173e+00  1.00223176e+01
1.35221745e+00  1.00283262e+01
1.35622318e+00  1.00343348e+01
1.36022890e+00  1.00403433e+01
1.36423462e+00  1.00463519e+01
1.36824034e+00  1.00523605e+01
1.37224607e+00  1.00583691e+01
1.37625179e+00  1.00643777e+01
1.38025751e+00  1.00703863e+01
1.38426323e+00  1.00763948e+01
1.38826896e+00  1.00824034e+01
1.39227468e+00  1.00884120e+01
1.39628040e+00  1.00944206e+01
1.40028612e+00  1.01004292e+01
1.40429185e+00  1.01064378e+01
1.40829757e+00  1.01124464e+01
1.41230329e+00  1.01184549e+01
1.41630901e+00  1.01244635e+01
1.42031474e+00  1.01304721e+01
1.42432046e+00  1.01364807e+01
1.42832618e+00  1.01424893e+01
1.43233190e+00  1.01484979e+01
1.43633763e+00  1.01545064e+01
1.44034335e+00  1.01605150e+01
1.44434907e+00  1.01665236e+01
1.44835479e+00  1.01725322e+01
1.45236052e+00  1.01785408e+01
1.45636624e+00  1.01845494e+01
1.46037196e+00  1.01905579e+01
1.46437768e+00  1.01965665e+01
1.46838340e+00  1.02025751e+01
1.47238913e+00  1.02085837e+01
1.47639485e+00  1.02145923e+01
1.48040057e+00  1.02206009e+01
1.48440629e+00  1.02266094e+01
1.48841202e+00  1.02326180e+01
1.49241774e+00  1.02386266e+01
1.49642346e+00  1.02446352e+01
1.50042918e+00  1.02506438e+01
1.50443491e+00  1.02566524e+01
1.50844063e+00  1.02626609e+01
1.51244635e+00  1.02686695e+01
1.51645207e+00  1.02746781e+01
1.52045780e+00  1.02806867e+01
1.52446352e+00  1.02866953e+01
1.52846924e+00  1.02927039e+01
1.53247496e+00  1.02987124e+01
1.53648069e+00  1.03047210e+01
1.54048641e+00  1.03107296e+01
1.54449213e+00  1.03167382e+01
1.54849785e+00  1.03227468e+01
1.55250358e+00  1.03287554e+01
1.55650930e+00  1.03347639e+01
1.56051502e+00  1.03407725e+01
1.56452074e+00  1.03467811e+01
1.56852647e+00  1.03527897e+01
1.57253219e+00  1.03587983e+01
1.57653791e+00  1.03648069e+01
1.58054363e+00  1.03708155e+01
1.58454936e+00  1.03768240e+01
1.58855508e+00  1.03828326e+01
1.59256080e+00  1.03888412e+01
1.59656652e+00  1.03948498e+01
1.60057225e+00  1.04008584e+01
1.60457797e+00  1.04068671e+01
1.60858369e+00  1.04128758e+01
1.61258941e+00  1.04188845e+01
1.61659514e+00  1.04248935e+01
1.62060086e+00  1.04309028e+01
1.62460658e+00  1.04369127e+01
